3.8059999999999743 0 0.33400000000000024 1 3.4719999999999756 0 1 5234; 
7.897999999999966 0 0.7440000000000005 1 7.153999999999966 0 1 5234 1335; 
10.517999999999965 0 1.0120000000000007 1 9.505999999999963 0 1 5234 1335 4985; 
13.319999999999961 0 1.284000000000001 1 12.035999999999978 0 1 1335 5234 4985 3449; 
16.629999999999985 0 1.6060000000000012 1 15.023999999999967 0 1 1335 5234 4985 3449 1315; 
19.54199999999997 0 1.8580000000000014 1 17.683999999999966 0 1 1335 5234 4985 3449 1315 5351; 
22.169999999999977 0 2.161999999999998 1 20.007999999999985 0 1 1335 5234 4985 3449 5351 1315 2411; 
24.82199999999999 0 2.2279999999999958 1 22.593999999999962 0 1 1335 5234 4985 205 5351 1315 2411 4812; 
27.193999999999974 0 2.319999999999996 1 24.873999999999953 0 1 205 1335 5351 5234 4812 1315 4985 2411 677; 
29.61399999999997 0 2.6479999999999886 1 26.965999999999962 0 1 205 1335 5351 5234 4812 1315 4985 2411 677 97; 
31.586000000000002 0 3.989999999999975 1 27.595999999999957 0 5135; 1 205 1335 5351 5234 4812 1315 4985 2411 677 97; 
34.25399999999996 0 4.111999999999973 1 30.141999999999985 0 5135; 1 205 1335 5351 5234 4812 1315 4985 2411 677 97 4980; 
36.21999999999999 0 4.155999999999976 1 32.06399999999995 0 5135; 1 205 1335 5351 5234 4812 1315 4985 2411 677 97 4980 3782; 
38.01199999999999 0 4.531999999999975 1 33.48000000000001 0 5135; 1 3449 1335 5351 5234 4812 1315 4985 2411 677 97 4980 3782 1628; 
39.92800000000005 0 5.63799999999997 1 34.289999999999985 0 5135 4854; 1 97 4985 1628 5234 4812 1315 1335 4980 3449 3782 2411 5351 677; 
42.537999999999954 0 5.823999999999971 1 36.714 0 5135 4854; 1 97 4985 1628 5234 4812 1315 1335 4980 3449 3782 2411 5351 677 3634; 
43.67599999999999 0 5.751999999999962 1 37.924 0 5135 4854; 1 97 4985 1628 5234 4812 1315 1335 4980 3449 3782 2411 2659 677 3634 5834; 
45.26599999999998 0 5.865999999999977 1 39.40000000000003 0 5135 4854; 1 97 695 1628 5234 4812 1315 1335 4980 3449 3782 2411 2659 677 3634 5834 5679; 
46.48800000000002 0 7.005999999999967 1 39.482 0 5135 4854 3623; 1 97 695 1628 5234 4812 1315 1335 4980 3449 3782 2411 2659 677 3634 5834 5679; 
48.662000000000006 0 7.247999999999971 1 41.41399999999999 0 5135 4854 3623; 1 97 695 1628 5234 4812 1315 1335 4980 3449 3782 2411 2659 677 3634 5834 5679 4446; 
50.458 0 7.287999999999966 1 43.16999999999995 0 5135 4854 3623; 1 97 695 1628 5234 4812 1315 1335 4980 3449 3782 2411 2659 677 3634 5834 5679 4446 5338; 
51.324 0 8.015999999999973 1 43.307999999999964 0 16 5135 4854 3623; 1 97 695 1628 5234 1315 1237 4980 3449 3782 2411 2659 677 3634 5834 5679 4446 5338 205; 
53.08999999999994 0 8.211999999999964 1 44.87800000000001 0 16 5135 4854 3623; 1 97 695 1628 5234 1315 1237 4980 3449 3782 2411 2659 677 3634 5834 5679 4446 5338 205 6097; 
55.71199999999995 0 7.495999999999963 1 48.21599999999997 0 5135 4854 3623; 1 97 695 1628 5234 4812 1315 1335 4980 3449 3782 2411 2659 677 5679 4446 3634 6097 205 5338 5834 4036; 
57.63999999999997 0 7.5899999999999626 1 50.049999999999976 0 5135 4854 3623; 1 97 695 1628 5234 4812 1315 1335 4980 3449 3782 2411 2659 677 5679 4446 3634 6097 205 5338 5834 4036 2787; 
59.65399999999995 0 7.70399999999997 1 51.94999999999995 0 5135 4854 3623; 1 97 695 1628 5234 3051 1315 1237 4980 3449 3782 2411 5351 677 5679 4446 3634 6097 205 5338 5834 4036 2787 2659; 
61.01599999999998 0 7.68399999999996 1 53.33199999999995 0 5135 4854 3623; 1 97 695 1628 5234 3051 1315 1237 4980 3449 3782 2411 5351 677 5679 4446 3634 6097 205 5338 5834 4036 2659 2787 5107; 
62.16800000000002 0 7.69799999999997 1 54.469999999999956 0 5135 4854 3623; 1 97 695 1628 5234 3051 1315 1237 4980 3449 3782 2411 5351 677 5679 4446 3634 6097 205 5338 5834 4036 2659 2787 5107 507; 
63.57399999999994 0 6.777999999999971 1 56.79599999999998 0 5135 4854; 1 97 695 2333 5234 3051 1315 1335 4980 3449 3782 2411 5351 677 5679 4446 3634 3683 6097 205 5338 5834 4036 5107 507 2659 2787 5615; 
65.13200000000002 0 7.95999999999997 1 57.171999999999954 0 5135 4854 5390; 1 97 695 2333 5234 3051 1315 1237 4980 3449 3782 2411 5351 677 5679 4446 3634 3683 6097 205 5338 5834 5107 507 2659 2787 5615 3259; 
65.62800000000003 0 8.063999999999966 1 57.563999999999936 0 5135 4854 5390; 1 97 695 2333 5234 3051 1315 1237 4980 3449 3782 2411 5351 677 5679 4446 3634 3683 6097 205 5338 5834 5615 2659 3259 2787 5107 507 593; 
69.36000000000008 0 8.417999999999966 1 60.94200000000002 0 5135 4854 5390; 1 97 695 2333 5234 3051 1315 1335 4980 3449 3782 2411 5351 677 5679 4446 3634 3683 6097 205 5338 5834 5615 2659 3259 2787 5107 507 593 5528; 
70.5940000000001 0 8.339999999999966 1 62.25399999999997 0 5135 4854 5390; 1 97 5721 2333 5234 3051 1315 1335 4980 3449 3782 2411 5351 677 5679 4446 3634 3683 6097 205 5338 5834 593 2787 3259 5528 5107 507 5615 2659 695; 
