3.9539999999999718 0 0.33800000000000024 1 3.6159999999999735 0 1 5234; 
7.2619999999999685 0 0.7820000000000006 1 6.47999999999997 0 1 5234 4985; 
11.085999999999965 0 1.0420000000000007 1 10.043999999999953 0 1 5234 4985 1335; 
12.873999999999963 0 2.3399999999999928 1 10.533999999999963 0 5135; 1 4985 1335 5234; 
16.081999999999976 0 2.45199999999999 1 13.629999999999974 0 5135; 1 4985 1335 5234 5679; 
18.777999999999967 0 2.8239999999999856 1 15.953999999999965 0 5135; 1 4985 1335 5234 5679 1315; 
21.94999999999996 0 3.0039999999999827 1 18.94599999999997 0 5135; 1 4985 1335 5234 5679 1315 97; 
23.158 0 4.261999999999976 1 18.89599999999997 0 5135 3623; 1 4985 1335 5234 5679 1315 97; 
25.94199999999999 0 4.461999999999973 1 21.479999999999983 0 5135 3623; 1 4985 1335 5234 97 5679 1315 4812; 
28.45599999999996 0 4.753999999999972 1 23.701999999999995 0 5135 3623; 1 4985 1335 5234 97 5679 1315 4812 5351; 
30.34999999999999 0 4.833999999999972 1 25.515999999999984 0 5135 3623; 1 4985 1335 5234 97 5679 1315 4812 5351 3782; 
32.71199999999995 0 5.023999999999977 1 27.687999999999978 0 5135 3623; 1 4985 1335 5234 5351 1315 3782 5679 97 4812 593; 
35.215999999999966 0 5.269999999999974 1 29.945999999999987 0 5135 3623; 1 4985 1335 5234 5351 1315 3782 5679 97 4812 593 677; 
35.91999999999997 0 5.225999999999976 1 30.693999999999967 0 5135 3623; 1 695 1335 5234 5351 1315 3782 5679 97 4812 593 677 5834; 
39.85599999999998 0 5.515999999999974 1 34.33999999999997 0 5135 3623; 1 695 1335 5234 5351 1315 3782 5679 97 4812 593 677 5834 3634; 
41.07600000000001 0 5.593999999999967 1 35.48199999999998 0 5135 3623; 1 695 1335 5234 5351 1315 3782 5679 97 4812 593 677 5834 3634 4980; 
42.832000000000036 0 5.47999999999997 1 37.352000000000004 0 5135 3623; 1 695 1335 5234 5351 1315 3782 5679 97 205 593 677 5834 3634 4980 3259; 
45.07800000000005 0 6.015999999999974 1 39.06200000000005 0 5135 3623; 1 695 1335 5234 5351 1315 3782 5679 97 205 593 677 5834 3634 4980 3259 5615; 
47.56599999999998 0 6.02599999999997 1 41.54 0 5135 3623; 1 695 1335 5234 5351 1315 3782 5679 97 4812 593 677 5834 3634 4980 3259 5615 205; 
49.547999999999966 0 6.3019999999999685 1 43.24600000000003 0 5135 3623; 1 695 1335 5234 5351 1315 3782 5679 97 4812 593 677 5834 3634 3259 205 5615 4980 5338; 
51.50599999999993 0 6.22199999999997 1 45.28400000000006 0 5135 3623; 1 695 1335 5234 5351 1315 3782 5679 97 4812 593 677 5834 3634 3259 205 5615 4980 5338 1628; 
53.14599999999993 0 6.473999999999963 1 46.672000000000004 0 5135 3623; 1 695 1335 5234 5351 1315 3782 5679 97 4812 593 677 5834 3634 3259 205 5615 4980 5338 1628 2411; 
53.36999999999995 0 8.569999999999965 1 44.79999999999998 0 5135 5 3623 16; 1 695 1335 5234 5351 1315 3782 5679 593 677 5834 3634 4036 3449 5615 4980 5338 1628 2411 4566; 
55.29599999999994 0 8.401999999999974 1 46.894 0 5135 5 3623 16; 1 695 1335 5234 5351 1315 3782 5679 593 5338 5615 2333 586 2411 5834 3449 677 4036 4980 3634 205; 
55.19799999999999 0 10.079999999999956 1 45.117999999999995 0 5703 5135 5 3623 16 339; 1 1335 5234 4209 1315 3782 5679 593 5338 5615 2333 586 2411 5834 3449 677 4036 4980 3634 205; 
58.92799999999998 0 10.629999999999963 1 48.29800000000005 0 5703 5135 5 3623 16 339; 1 1335 5234 4209 1315 3782 5679 593 5338 5615 2333 586 2411 5834 3449 677 4036 4980 3634 205 1448; 
60.185999999999915 0 11.665999999999972 1 48.52000000000001 0 5703 5135 5 3623 16 339 4854; 1 1335 5234 4209 1315 3782 5679 593 5338 5615 2333 586 2411 5834 3449 677 4036 4980 3634 205 1448; 
62.11799999999997 0 11.78399999999997 1 50.333999999999975 0 5703 5135 5 3623 16 4854 4241; 1 1335 5234 5351 1315 3782 5679 593 5615 677 6097 586 2411 5834 3449 4980 1448 5338 3634 2333 205 4209; 
63.453999999999965 0 11.877999999999954 1 51.57599999999999 0 5703 5135 5 3623 16 4854 4241; 1 1335 5234 5351 1315 3782 5679 593 5615 677 6097 586 2411 5834 3449 4980 1448 5338 3634 2333 205 4209 5306; 
65.18400000000001 0 11.985999999999954 1 53.197999999999986 0 5703 5135 5 3623 16 4854 4241; 1 1335 5234 5351 1315 3782 5679 593 5615 677 6097 586 2411 5834 3449 4980 1448 5338 3634 2333 205 4209 5306 6109; 
67.25200000000004 0 12.263999999999958 1 54.987999999999936 0 5703 5135 5 3623 16 4854 4241; 1 1335 5234 5351 1315 3782 5679 593 5615 677 6097 586 2411 5834 3449 4980 1448 5338 953 2333 205 4209 5306 6109 4446; 
68.94000000000007 0 11.28399999999996 1 57.6559999999999 0 5135 5 3623 16 4854 4241; 1 4985 1335 5234 5351 1315 3782 5679 593 5615 677 6097 586 2411 5834 3449 4980 1448 5338 953 2333 205 4209 5306 6109 4446 3348; 
70.99800000000006 0 10.503999999999964 1 60.49399999999996 0 5135 5 3623 16 4854; 1 4985 1335 5234 5351 1315 3782 5679 593 5615 677 6097 586 2411 5834 3449 3259 4980 1448 5338 953 2333 205 4209 5306 4446 3348 6109 4036; 
73.21800000000007 0 10.615999999999962 1 62.60200000000001 0 5135 5 3623 16 4854; 1 4985 1335 5234 5351 1315 3782 5679 593 5615 677 6097 586 2411 5834 3449 3259 4980 1448 5338 953 2333 205 4209 5306 4446 3348 6109 4036 5107; 
74.24200000000006 0 9.567999999999962 1 64.67399999999998 0 5135 3623 16 4854; 1 4985 1335 5234 5351 1315 3782 5679 97 593 5615 677 6097 586 2411 5834 3449 3259 4980 1448 5338 953 2333 205 4209 5306 4446 3348 6109 4036 5107 2196; 
74.83800000000008 0 10.69799999999997 1 64.14 0 5135 3623 773 4854 16; 1 4985 1335 5234 5351 1315 3782 5679 97 593 5615 677 6097 586 2411 5834 3449 3259 4980 1448 5338 953 2333 205 4209 5306 4446 3348 6109 4036 5107 2196; 
76.67000000000013 0 11.587999999999953 1 65.08200000000001 0 5135 3623 773 4854 4241 16; 1 4985 1335 5234 5351 1315 3782 5679 97 593 5615 677 6097 586 2411 5834 3449 3259 4980 1448 5338 953 2333 205 4209 5306 4446 3348 6109 5107 2196 1048; 
77.78600000000012 0 11.981999999999942 1 65.80400000000002 0 5135 3623 773 4854 4241 16; 1 4985 1335 5234 5351 1315 3782 5679 97 593 5615 677 6097 586 2411 5834 3449 3259 4980 1448 5338 953 2333 205 4209 5306 4446 3348 6109 5107 2196 1048 4436; 
80.08200000000019 0 10.841999999999963 1 69.24000000000002 0 5135 3623 4854 4241 16; 1 4985 1335 5234 5351 1315 3782 5679 97 4812 593 5615 677 6097 586 2411 5834 3449 3259 4980 1448 5338 953 2333 205 4209 5306 4446 3348 6109 2196 5107 4436 1048 5528; 
80.9880000000001 0 10.973999999999965 1 70.01400000000008 0 5135 3623 4854 16 3838; 1 4985 1335 5234 5351 1315 3782 5679 97 4812 593 5615 677 6097 586 2411 5834 3449 3259 4980 1448 5338 953 2333 205 4209 5306 4446 3348 6109 4036 2196 5107 4436 2730 5528; 
