3.6219999999999746 0 0.33800000000000024 1 3.2839999999999767 0 1 5234; 
7.043999999999973 0 0.7120000000000005 1 6.3319999999999785 0 1 5234 4985; 
10.433999999999958 0 0.9740000000000008 1 9.459999999999964 0 1 5234 4985 4980; 
12.459999999999972 0 1.1320000000000008 1 11.327999999999967 0 1 5234 4985 4980 5679; 
16.15199999999997 0 1.444000000000001 1 14.707999999999982 0 1 4985 4980 5679 5234 1335; 
19.13199999999997 0 1.7100000000000013 1 17.42199999999997 0 1 4985 4980 5679 5234 1335 5351; 
22.349999999999998 0 1.9180000000000015 1 20.43199999999997 0 1 4985 4980 5679 5234 1335 5351 97; 
24.037999999999972 0 2.1099999999999977 1 21.927999999999972 0 1 4985 4980 5679 5234 1335 5351 97 3449; 
26.371999999999964 0 2.2239999999999975 1 24.14799999999997 0 1 4985 4980 5679 5234 1335 5351 97 3449 593; 
28.64399999999997 0 2.44199999999999 1 26.201999999999998 0 1 4985 4980 5679 5234 1335 5351 97 1009 593 2411; 
30.79199999999996 0 2.521999999999992 1 28.26999999999996 0 1 4980 97 5351 2411 1009 4985 593 5234 5679 1335 5834; 
33.50799999999996 0 2.6899999999999884 1 30.81799999999998 0 1 4980 97 5351 2411 1009 4985 593 5234 5679 1335 5834 3634; 
34.927999999999976 0 2.9819999999999856 1 31.94599999999997 0 1 4980 97 5351 2411 1009 4985 593 5234 5679 1335 5834 3634 4812; 
37.976 0 3.441999999999978 1 34.534000000000006 0 1 4980 97 5351 2411 1009 4985 593 5234 5679 1335 5834 4812 3634 2333; 
39.56 0 4.425999999999979 1 35.133999999999965 0 3623; 1 4980 97 5351 2411 1009 695 593 5234 5679 1335 5834 4812 3634 5615; 
42.13399999999995 0 4.725999999999968 1 37.40799999999999 0 3623; 1 4980 97 5351 2411 1009 695 593 5234 5679 1335 5834 4812 3634 5615 5338; 
43.16400000000002 0 4.401999999999971 1 38.762 0 3623; 1 4980 97 5351 2411 1009 695 593 5234 5679 1335 5834 3634 5338 5615 4812 677; 
44.91400000000001 0 5.675999999999972 1 39.23799999999999 0 4241 3623; 1 4980 97 5351 2411 3449 695 593 5234 5679 1335 5834 3634 5338 5615 677 205; 
46.088000000000015 0 6.881999999999971 1 39.20599999999998 0 3623 4241 5135; 1 97 5679 3634 5615 593 5234 677 1335 5338 4980 695 3449 205 2411 5351 5834; 
48.499999999999964 0 7.003999999999972 1 41.496000000000016 0 3623 4241 5135; 1 97 5679 3634 5615 593 5234 677 1335 5338 4980 695 3449 205 2411 5351 5834 1315; 
49.80399999999999 0 6.103999999999967 1 43.699999999999996 0 4241 5135; 1 97 5679 3634 2333 5615 593 5234 677 1237 5338 4980 695 3449 205 2411 2659 5834 1315 3782; 
50.778000000000006 0 7.0899999999999626 1 43.68799999999998 0 4241 16 5135; 1 97 5679 3634 2333 5615 593 5234 677 1237 4980 695 3449 205 2411 2659 775 1315 3782 4436; 
53.365999999999964 0 7.339999999999968 1 46.02600000000001 0 4241 16 5135; 1 97 5679 3634 2333 5615 593 5234 677 1237 4980 695 3449 205 2411 2659 775 1315 3782 4436 2787; 
55.013999999999974 0 7.49999999999997 1 47.51399999999999 0 16 3838 5135; 1 2196 5679 3634 2333 5615 593 5234 677 1237 4980 695 3449 205 2411 2659 775 1315 2787 4436 3782 4036; 
56.36999999999996 0 7.479999999999963 1 48.88999999999998 0 16 3838 5135; 1 2196 5679 3634 2333 5615 593 5234 677 1237 4980 695 3449 205 2411 2659 775 1315 2787 4436 3782 4036 5913; 
58.15999999999991 0 7.479999999999972 1 50.67999999999997 0 16 3838 5135; 1 2196 5679 3634 2333 5615 593 5234 677 1237 4980 695 3449 205 2411 2659 775 1315 2787 4436 3782 4036 5913 1009; 
