3.7439999999999753 0 0.3860000000000003 1 3.357999999999977 0 1 5234; 
8.335999999999961 0 0.8320000000000006 1 7.503999999999968 0 1 5234 1335; 
11.333999999999975 0 1.0780000000000007 1 10.255999999999965 0 1 5234 1335 4985; 
14.181999999999967 0 1.262000000000001 1 12.919999999999968 0 1 1335 4985 5234 677; 
17.001999999999967 0 1.5760000000000012 1 15.425999999999968 0 1 1335 4985 5234 677 4980; 
19.477999999999973 0 1.7440000000000013 1 17.73399999999997 0 1 4980 5234 4985 1335 677 205; 
22.39199999999998 0 1.9060000000000015 1 20.485999999999933 0 1 4980 5234 4985 1335 677 205 5351; 
24.045999999999967 0 2.111999999999999 1 21.933999999999955 0 1 4980 5234 4985 1335 677 205 5351 2411; 
26.97799999999998 0 2.359999999999994 1 24.617999999999984 0 1 5234 1335 5351 2411 677 4980 4985 205 1048; 
28.858 0 2.5479999999999925 1 26.30999999999997 0 1 5234 1335 5351 2411 677 4980 695 205 1048 593; 
31.75599999999996 0 2.7659999999999854 1 28.989999999999988 0 1 5234 1335 5351 2411 677 4980 4985 1628 1048 593 3634; 
33.44199999999994 0 2.9459999999999815 1 30.49599999999997 0 1 5234 1335 5351 2411 677 4980 4985 1628 1048 593 3634 4446; 
35.617999999999974 0 2.9959999999999845 1 32.62199999999996 0 1 5234 1335 5351 2411 677 4980 695 1628 1048 593 3634 4446 5615; 
38.989999999999995 0 4.357999999999974 1 34.631999999999984 0 5135; 1 5234 1335 5351 2411 677 4980 4985 1628 1048 593 3634 5615 4446; 
39.40399999999998 0 4.4199999999999715 1 34.98399999999995 0 5135; 1 5234 1335 5351 2411 677 4980 695 1628 1048 593 3634 5615 4446 97; 
41.15599999999999 0 4.405999999999973 1 36.74999999999996 0 5135; 1 5234 1335 5351 2411 677 4980 4985 1628 1048 593 3634 5615 4446 97 5679; 
42.884000000000036 0 4.603999999999969 1 38.28000000000001 0 5135; 1 5234 1335 2659 2411 677 4980 695 1009 1048 4446 5615 3634 5679 593 97 6097; 
43.99399999999998 0 5.623999999999966 1 38.370000000000005 0 5135 3623; 1 5234 1335 2659 2411 677 4980 695 1009 1048 4446 5615 3634 5679 593 97 6097; 
47.63799999999997 0 6.101999999999971 1 41.53600000000004 0 5135 3623; 1 5234 1335 2659 2411 677 4980 695 1628 1048 4446 5615 3634 5679 593 97 4436 3449; 
49.43999999999994 0 6.087999999999972 1 43.35199999999997 0 5135 3623; 1 5234 1335 2659 2411 677 4980 695 1628 1048 4446 5615 3634 5679 593 97 4436 4812 205; 
50.80800000000001 0 6.223999999999973 1 44.583999999999975 0 5135 3623; 1 5234 1335 2659 2411 677 4980 695 1628 1048 4446 5615 3634 5679 593 97 6097 4812 205 4436; 
52.829999999999956 0 6.299999999999963 1 46.530000000000015 0 5135 3623; 1 5234 1335 2659 2411 677 4980 695 1628 1048 4446 5615 3634 5679 593 97 6097 4812 205 4436 5834; 
54.20199999999996 0 6.447999999999973 1 47.754000000000026 0 5135 3623; 1 5234 1335 2659 2411 677 4980 695 1628 1048 4446 5615 3634 5679 593 97 6097 3051 205 4436 5834 3449; 
55.11399999999995 0 6.481999999999972 1 48.63199999999999 0 5135 3623; 1 5234 1335 2659 2411 677 4980 695 1628 1048 4446 5615 3634 5679 593 97 6097 3051 205 4436 5834 3449 5082; 
58.01399999999999 0 6.6419999999999675 1 51.37199999999995 0 5135 3623; 1 5234 1335 2659 2411 677 4980 695 1628 1048 4446 5615 3634 5679 593 97 6097 3051 205 4436 5834 3449 5082 586; 
59.40800000000003 0 7.657999999999968 1 51.74999999999996 0 5135 3623 4854; 1 5234 1335 2659 2411 677 4980 695 1628 1048 4446 5615 3634 5679 593 97 6097 3051 205 4436 5834 3449 5082 586; 
60.765999999999984 0 7.829999999999961 1 52.93599999999999 0 3623 5135 4854; 1 5234 1335 2659 2411 677 4980 695 1628 1048 4446 205 4436 5679 5082 3449 586 6097 97 593 3634 3051 5615 5834 5338; 
