4.045999999999968 0 0.3880000000000003 1 3.657999999999972 0 1 5234; 
6.569999999999971 0 0.6220000000000004 1 5.947999999999972 0 1 5234 4980; 
10.04199999999998 0 0.9520000000000007 1 9.089999999999968 0 1 5234 4980 1315; 
13.505999999999965 0 1.358000000000001 1 12.147999999999957 0 1 5234 4980 1315 3634; 
15.76399999999998 0 1.5140000000000011 1 14.249999999999957 0 1 5234 4980 1315 3634 593; 
18.823999999999973 0 1.8220000000000014 1 17.001999999999963 0 1 5234 4980 1315 3634 593 4985; 
21.24999999999997 0 2.066 1 19.183999999999983 0 1 4980 5234 1315 4985 3634 593 1009; 
24.695999999999977 0 2.235999999999996 1 22.459999999999972 0 1 4980 5234 1315 4985 3634 593 1009 1335; 
27.284000000000002 0 2.4159999999999924 1 24.867999999999967 0 1 4980 5234 1315 4985 3634 593 1009 1335 5351; 
28.92599999999997 0 3.7139999999999778 1 25.211999999999936 0 5135; 1 4980 5234 1315 4985 3634 593 1009 1335 5351; 
31.703999999999947 0 3.9059999999999744 1 27.79799999999993 0 5135; 1 4980 5234 1315 4985 3634 593 1009 1335 5351 3259; 
33.58199999999997 0 4.021999999999974 1 29.55999999999997 0 5135; 1 4980 5234 1315 4985 3634 593 1009 1335 5351 3259 677; 
36.121999999999986 0 4.2719999999999745 1 31.849999999999945 0 5135; 1 4980 5234 1315 4985 3634 593 1009 1335 5351 3259 677 3782; 
38.027999999999984 0 4.381999999999971 1 33.64599999999997 0 5135; 1 4980 5234 1315 4985 3634 593 1009 1335 5351 3259 677 3782 97; 
40.615999999999964 0 4.79599999999997 1 35.82 0 5135; 1 4980 5234 1315 4985 3634 593 1009 1335 5351 3259 677 3782 97 4812; 
40.77400000000001 0 4.6919999999999735 1 36.08200000000002 0 5135; 1 4980 5234 1315 4985 3634 593 205 1324 5351 3259 677 3782 97 3051 3449; 
43.019999999999996 0 5.70799999999997 1 37.31199999999999 0 5135 3623; 1 4980 5234 1315 4985 3634 593 205 1324 5351 3259 677 97 3449 3051 3782; 
45.686 0 6.099999999999971 1 39.58600000000003 0 5135 3623; 1 4980 5234 1315 4985 3634 593 205 1324 5351 3259 677 97 3449 4812 3782 1628; 
47.80199999999996 0 6.233999999999969 1 41.56800000000005 0 5135 3623; 1 4980 5234 1315 4985 3634 593 205 1324 5351 3259 677 97 3449 4812 3782 1628 3051; 
47.431999999999974 0 8.049999999999958 1 39.38200000000004 0 4241 5135 3623 339; 1 4980 5234 1315 4985 3634 593 205 1324 2659 677 3782 3051 3449 97 4812 1628; 
48.56999999999992 0 9.165999999999974 1 39.403999999999996 0 4241 5135 3623 339 4854; 1 4980 5234 1315 4985 3634 593 205 1324 2659 677 3782 3051 3449 97 4812 1628; 
50.68000000000001 0 10.227999999999973 1 40.45200000000002 0 4241 5135 3623 1326 339 4854; 1 4980 5234 1315 4985 3634 593 205 1324 2659 677 3782 3051 3449 97 4812 5615; 
52.55199999999992 0 10.291999999999966 1 42.26000000000004 0 4241 5135 3623 1326 339 4854; 1 4980 5234 1315 4985 3634 593 205 1324 2659 677 3782 3051 3449 97 4812 5615 2411; 
53.67999999999992 0 10.459999999999962 1 43.220000000000006 0 4241 5135 3623 1326 339 4854; 1 4980 5234 1315 4985 3634 593 205 1324 2659 677 3782 3051 3449 97 4812 5615 2411 4446; 
56.494 0 10.671999999999967 1 45.82200000000001 0 4241 5135 3623 1326 339 4854; 1 4980 5234 1315 4985 3634 593 586 1324 2659 677 3782 3051 3449 97 4812 5615 2411 4446 205; 
