4.349999999999967 0 0.32000000000000023 1 4.029999999999973 0 1 1335; 
8.131999999999962 0 0.6540000000000005 1 7.477999999999965 0 1 1335 5234; 
10.289999999999953 0 1.0060000000000007 1 9.283999999999962 0 1 1335 5234 3449; 
13.02999999999998 0 1.294000000000001 1 11.73599999999996 0 1 3449 1335 5234 5785; 
15.409999999999972 0 2.4439999999999897 1 12.965999999999973 0 3623; 1 1009 1335 5234 5785; 
17.01199999999996 0 2.6159999999999863 1 14.39599999999997 0 3623; 1 5785 5234 1009 1335 2411; 
20.887999999999984 0 2.9379999999999837 1 17.949999999999957 0 3623; 1 5785 5234 1009 1335 2411 4980; 
23.02599999999999 0 4.3539999999999734 1 18.671999999999983 0 3623 5135; 1 5785 5234 1009 1335 2411 4980; 
25.472 0 4.439999999999976 1 21.03199999999999 0 3623 5135; 1 5785 5234 1009 1335 2411 4980 4436; 
27.473999999999982 0 4.607999999999973 1 22.865999999999946 0 3623 5135; 1 5785 5234 1009 1335 2411 4980 4436 4812; 
30.421999999999944 0 4.745999999999973 1 25.675999999999977 0 3623 5135; 1 5234 4812 2411 5785 1335 4436 1009 4980 4446; 
32.11199999999999 0 3.8179999999999756 1 28.293999999999958 0 5135; 1 5234 4812 2333 2411 5785 1335 4436 1009 4980 4446 1048; 
34.21199999999999 0 3.9999999999999725 1 30.211999999999975 0 5135; 1 5234 4812 2333 2411 5785 1335 4436 1009 4980 4446 1048 3634; 
36.18600000000004 0 3.9899999999999762 1 32.19599999999997 0 335; 1 5234 4812 2333 2411 5785 1335 4436 1009 4980 4446 3634 1048 5679; 
38.981999999999964 0 4.437999999999974 1 34.543999999999976 0 5135; 1 5234 4812 2333 2411 5785 1335 4436 1009 4980 4446 3634 1048 5679 4985; 
40.67800000000003 0 4.445999999999974 1 36.231999999999985 0 5135; 1 5234 4812 2333 2411 5785 1335 4436 1009 4980 4446 5679 1048 3634 4985 5082; 
42.26600000000003 0 5.495999999999969 1 36.769999999999996 0 3623 5135; 1 5234 4812 2411 3051 1335 4436 1009 4980 4446 5679 1048 3634 4985 5082 1315; 
43.986000000000026 0 5.71999999999997 1 38.26600000000005 0 3623 5135; 1 5234 4812 2411 3051 1335 4436 1009 4980 4446 5679 1048 3634 4985 5082 1315 5107; 
46.60399999999998 0 6.015999999999967 1 40.58800000000001 0 3623 5135; 1 5234 4812 2411 3051 1335 4436 1009 4980 4446 5679 1048 3634 4985 6109 1315 5107 677; 
48.526 0 5.099999999999967 1 43.42600000000002 0 5135; 1 5234 4812 2333 2411 3051 1335 4436 1009 4980 4446 5679 1048 3634 4985 6109 1315 5107 677 3782; 
50.27000000000001 0 6.089999999999968 1 44.180000000000014 0 5135 1595; 1 5234 4812 2333 2411 3051 1335 4436 1009 4980 4446 5679 1048 3634 4985 6109 3782 1315 677 5107; 
51.99400000000002 0 7.325999999999965 1 44.66800000000001 0 5135 1595 4854; 1 5234 4812 2333 2411 3051 1335 4436 1009 4980 4446 5679 1048 3634 4985 6109 3782 1315 677 5107; 
54.06599999999992 0 7.547999999999967 1 46.51799999999998 0 5135 1595 4854; 1 5234 4812 2333 2411 3051 1335 4436 1009 4980 4446 5679 1048 3634 4985 6109 3782 1315 677 5107 593; 
53.97399999999996 0 9.261999999999968 1 44.71200000000002 0 5135 5 1595 4854 5703; 1 5234 4812 2333 2411 3051 1335 4436 1009 4446 5679 1048 2113 2806 6109 3782 1315 677 5107 593; 
56.39399999999994 0 9.349999999999975 1 47.044000000000054 0 5135 5 1595 4854 5703; 1 5234 4812 2333 2411 3051 1335 4436 1009 4446 5679 1048 2113 2806 6109 3782 1315 677 5107 593 205; 
58.19599999999996 0 10.581999999999953 1 47.614000000000004 0 5135 5 1595 5703 4854 3838; 1 5234 4812 2333 2411 3051 1335 4436 1009 4446 5679 1048 2113 2806 6109 593 677 205 3782 5107 1315; 
59.301999999999936 0 10.571999999999967 1 48.73000000000004 0 5135 5 1595 5703 4854 3838; 1 5234 4812 2333 2411 3051 1335 4436 1009 4446 5679 1048 2113 4985 6109 593 677 205 3782 5107 1315 5370; 
61.91799999999997 0 9.64399999999997 1 52.27399999999998 0 5135 1595 5703 4854 3838; 1 5234 4812 2333 2411 3051 1335 4436 1009 4980 4446 5679 1048 2113 4985 6109 593 677 205 3782 5107 1315 5370 2196; 
