3.669999999999971 0 0.35600000000000026 1 3.3139999999999747 0 1 5234; 
7.2579999999999725 0 0.7160000000000005 1 6.541999999999969 0 1 5234 4980; 
10.779999999999973 0 1.0260000000000007 1 9.753999999999964 0 1 5234 4980 1335; 
13.333999999999971 0 2.2979999999999934 1 11.035999999999971 0 5135; 1 5234 4980 1335; 
15.415999999999952 0 3.6579999999999786 1 11.757999999999955 0 5135 3623; 1 5234 4980 1335; 
18.26999999999997 0 3.7699999999999765 1 14.499999999999963 0 5135 3623; 1 5234 4980 1335 4436; 
21.433999999999962 0 4.025999999999976 1 17.40799999999996 0 5135 3623; 1 5234 4980 1335 4436 3364; 
23.26999999999997 0 4.191999999999976 1 19.077999999999967 0 5135 3623; 1 5234 4980 1335 4436 3364 4446; 
25.915999999999954 0 4.143999999999978 1 21.771999999999995 0 3623 5135; 1 4980 3364 5234 4436 4446 1335 5679; 
27.901999999999965 0 4.401999999999975 1 23.499999999999975 0 3623 5135; 1 4980 3364 5234 4436 4446 1335 5679 4985; 
30.42599999999998 0 4.665999999999977 1 25.759999999999973 0 3623 5135; 1 4980 3364 5234 4436 4446 1335 2628 4985 1315; 
33.11599999999998 0 4.893999999999977 1 28.22200000000001 0 3623 5135; 1 4980 3364 5234 4436 4446 1335 2628 4985 1315 3634; 
34.713999999999984 0 5.077999999999972 1 29.635999999999957 0 3623 5135; 1 4980 3364 5234 4436 4446 1335 2628 4985 1315 3634 2730; 
36.01799999999996 0 4.949999999999971 1 31.068 0 3623 335; 1 4980 3364 5234 4436 4446 1335 5679 4985 1315 3634 2730 2628; 
39.54599999999999 0 5.387999999999971 1 34.15799999999996 0 3623 335; 1 4980 3364 5234 4436 4446 1335 5679 4985 1315 3634 1048 2628 677; 
40.759999999999984 0 5.4279999999999715 1 35.33199999999995 0 3623 335; 1 4980 3364 5234 4436 4446 1335 5679 4985 1315 3634 1048 2628 677 6109; 
43.68399999999999 0 5.723999999999967 1 37.95999999999999 0 3623 335; 1 4980 3364 5234 4436 4446 1335 5679 4985 1315 3634 1048 2628 677 6109 5351; 
44.27199999999997 0 5.585999999999969 1 38.685999999999986 0 3623 335; 1 4980 3364 5234 4436 4446 1335 5679 4985 1315 3634 4036 2628 677 6109 5351 5370; 
46.945999999999984 0 6.797999999999968 1 40.14800000000004 0 1595 3623 335; 1 4036 6109 5234 5370 3634 1335 3364 4980 677 4446 1315 5351 4985 4436 5679 2628; 
48.787999999999975 0 6.933999999999964 1 41.85400000000002 0 1595 3623 335; 1 4036 6109 5234 5370 3634 1335 3364 4980 677 4446 1315 5351 4985 4436 5679 2628 97; 
50.701999999999956 0 6.991999999999975 1 43.71000000000001 0 1595 3623 335; 1 4036 6109 5234 5370 3634 1335 3364 4980 677 2993 1315 5351 4985 4436 5679 2628 97 2411; 
52.259999999999984 0 8.299999999999956 1 43.96000000000003 0 1595 3623 335 5789; 1 4036 6109 5234 5370 3634 1335 3364 4980 677 2993 1315 5351 4985 4436 5679 2628 2411 97; 
54.28199999999995 0 7.333999999999969 1 46.94799999999999 0 1595 335 5789; 1 4036 6109 5234 5370 2333 3634 1335 3364 4980 677 2993 1315 5351 4985 4436 5679 2628 2411 97 4812; 
54.97999999999998 0 7.391999999999964 1 47.58799999999998 0 1595 335 5789; 1 4036 6109 5234 5370 2333 3634 1335 3364 4980 677 2993 1315 5351 4985 4436 5679 2628 2411 97 3449 3051; 
55.96799999999993 0 7.263999999999961 1 48.703999999999986 0 1595 335 5789; 1 4036 6109 5234 5370 2333 3634 1335 3364 4980 677 2435 2993 1315 5351 4436 5679 2628 3449 2411 97 3051 6097; 
58.11199999999997 0 7.31199999999996 1 50.799999999999955 0 1595 335 5789; 1 2730 6109 5234 5370 2333 3634 1335 3364 4980 677 2435 2993 1315 5351 4436 5679 2628 3449 2411 97 3051 6097 4036; 
59.68999999999999 0 7.521999999999965 1 52.16800000000001 0 1595 335 5789; 1 2730 6109 5234 5370 2333 3634 1335 3364 4980 677 2435 2993 1315 5351 4436 5679 2628 3449 2411 97 3051 6097 4036 817; 
60.43199999999999 0 8.551999999999964 1 51.879999999999924 0 1595 5135 5789 335; 1 2730 6109 5234 5370 2333 3634 1335 3364 4980 677 2993 1315 5351 4985 4436 5679 2628 3449 2411 97 3051 6097 4036 817; 
62.92799999999999 0 8.893999999999968 1 54.03399999999994 0 1595 5135 5789 335; 1 2730 6109 5234 5370 2333 3634 1335 3364 4980 677 2993 1315 5351 4985 4436 5679 2628 3449 2411 5338 3051 6097 4036 817 97; 
64.85599999999997 0 8.875999999999971 1 55.97999999999994 0 1595 5135 5789 335; 1 2730 6109 5234 5370 2333 3634 1335 3364 4980 677 2993 1315 5351 4985 4436 5679 2628 3449 2411 5338 3051 6097 4036 817 97 2787; 
66.35600000000002 0 7.957999999999964 1 58.397999999999996 0 1595 5135 335; 1 2730 6109 5234 5370 2333 3634 1335 3364 4980 677 2993 1315 5351 4985 4436 5679 2628 3449 2411 5338 3051 593 6097 4036 817 97 2787 5834; 
67.39999999999998 0 7.897999999999964 1 59.501999999999924 0 1595 5135 335; 1 2730 6109 5234 5370 2333 3634 1335 3364 4980 677 2993 1315 5351 4985 4436 5679 2628 3449 2411 5338 3051 593 6097 4036 817 97 2787 5834 5635; 
69.978 0 8.229999999999963 1 61.748 0 1595 5135 335; 1 2730 6109 5234 5370 2333 3634 1335 3364 4980 677 2993 1315 5351 4985 4436 5679 2628 3449 2411 1235 3051 593 6097 4036 817 97 2787 5834 5635 3782; 
