4.491999999999971 0 0.4000000000000003 1 4.091999999999969 0 1 1335; 
7.899999999999955 0 0.6700000000000005 1 7.229999999999967 0 1 1335 5234; 
10.839999999999963 0 1.0840000000000007 1 9.755999999999966 0 1 1335 5234 4985; 
13.305999999999964 0 1.2500000000000009 1 12.055999999999965 0 1 5234 1335 4985 4812; 
15.435999999999966 0 1.436000000000001 1 13.99999999999997 0 1 1335 2628 5234 4985 1048; 
18.595999999999975 0 1.6980000000000013 1 16.89799999999996 0 1 1335 2628 5234 4985 1048 677; 
21.251999999999985 0 1.9440000000000015 1 19.307999999999954 0 1 1335 2628 5234 4985 1048 677 5615; 
24.685999999999993 0 2.185999999999997 1 22.499999999999964 0 1 677 4985 5234 2628 1335 5615 1048 3634; 
26.761999999999954 0 2.5419999999999914 1 24.219999999999978 0 1 677 4985 5234 2628 1335 5615 1048 3634 4980; 
28.87399999999997 0 2.6039999999999917 1 26.269999999999975 0 1 677 4985 5234 4812 1335 5615 1048 3634 4980 1628; 
31.605999999999945 0 2.885999999999987 1 28.719999999999978 0 1 677 4985 5234 4812 1335 5615 1048 3634 4980 1628 2659; 
33.79399999999998 0 3.1039999999999828 1 30.68999999999998 0 1 677 4985 5234 4812 1335 5615 1048 3634 4980 1628 2659 2730; 
35.759999999999934 0 3.2659999999999814 1 32.49399999999999 0 1 677 4985 5234 4812 1335 5615 1048 3634 4980 1628 2659 2730 1448; 
38.03799999999999 0 3.419999999999979 1 34.617999999999945 0 1 677 4985 5234 4812 1335 5615 1048 3634 4980 1628 2659 2730 1448 3449; 
39.31599999999997 0 4.355999999999971 1 34.96 0 3623; 1 677 4985 5234 4812 1335 5615 1048 3634 4980 2659 205 3449 1448 2730; 
41.37999999999996 0 4.6879999999999695 1 36.69200000000001 0 3623; 1 677 4985 5234 4812 1335 5615 1048 3634 4980 2659 205 3449 1448 2730 1315; 
43.47199999999996 0 5.903999999999968 1 37.568 0 3623 3838; 1 677 4985 5234 4812 1335 5615 1048 3634 2659 3449 205 1448 2730 4980 1315; 
45.76799999999999 0 6.123999999999969 1 39.64399999999997 0 3623 3838; 1 677 4985 5234 4812 1335 5615 1048 3634 2659 3449 205 1448 2730 4980 1315 6109; 
47.82199999999997 0 6.183999999999971 1 41.63799999999997 0 3623 3838; 1 677 4985 5234 4812 1335 5615 1048 3634 2659 3449 205 1448 2730 4980 1315 6109 97; 
49.00999999999996 0 6.275999999999964 1 42.733999999999966 0 3623 3838; 1 677 4985 5234 4812 1335 5615 1048 3634 2659 3449 205 1448 2730 4980 1315 6109 97 3348; 
51.245999999999924 0 6.627999999999963 1 44.61800000000006 0 3623 3838; 1 677 4985 5234 4812 1335 5615 1048 3634 2659 3449 1628 1448 2730 4980 1315 6109 97 3348 2628; 
53.185999999999936 0 6.801999999999965 1 46.383999999999986 0 3623 3838; 1 677 4985 5234 4812 1335 5615 1048 3634 2659 3449 1628 1448 2730 4980 1315 6109 97 3348 2628 5679; 
54.203999999999965 0 7.619999999999962 1 46.584 0 3623 3838 5135; 1 677 4985 5234 4812 1335 5615 1048 3634 2659 3449 1628 1448 2730 4980 1315 6109 97 5679 3348 2628; 
56.38799999999999 0 8.827999999999967 1 47.55999999999995 0 3623 3838 5135 1595; 1 677 4985 5234 4812 1335 5615 1048 3634 2659 3449 1628 1448 2730 4980 1315 6109 97 5679 3348 2628; 
