4.847999999999966 0 0.47600000000000037 1 4.37199999999997 0 1 1335; 
7.643999999999976 0 0.6900000000000005 1 6.953999999999969 0 1 1335 5234; 
11.25999999999996 0 1.0840000000000007 1 10.175999999999968 0 1 1335 5234 3634; 
14.233999999999972 0 1.306000000000001 1 12.927999999999976 0 1 1335 5234 3634 4436; 
17.065999999999963 0 1.5140000000000011 1 15.551999999999964 0 1 4436 5234 1335 3634 6109; 
20.613999999999987 0 1.9180000000000015 1 18.69599999999997 0 1 4436 5234 1335 3634 6109 4812; 
22.225999999999978 0 2.0919999999999987 1 20.13399999999996 0 1 5234 1335 6109 3634 4436 4812 4985; 
24.61599999999998 0 2.287999999999996 1 22.327999999999985 0 1 5234 1335 6109 3634 4436 4812 4985 3449; 
26.89399999999994 0 2.5619999999999914 1 24.332000000000004 0 1 5234 1335 6109 3634 4436 4812 4985 2628 1315; 
29.029999999999944 0 2.55599999999999 1 26.473999999999972 0 1 5234 1335 6109 3634 4436 4812 3232 1315 2628 593; 
31.00799999999995 0 2.7619999999999876 1 28.24599999999998 0 1 5234 1335 6109 3634 4436 4812 3232 1315 3449 593 2628; 
33.37399999999991 0 3.125999999999981 1 30.247999999999987 0 1 5234 1335 6109 3634 4436 4812 3232 1315 3449 593 2628 813; 
34.52599999999994 0 2.9899999999999842 1 31.535999999999945 0 1 5234 1335 6109 3634 4436 4812 3232 1315 3449 593 2628 813 5730; 
36.94000000000001 0 3.117999999999983 1 33.82199999999995 0 1 5234 1324 6109 3634 4436 4812 3232 1315 3449 593 2628 813 5730 3854; 
38.89399999999999 0 3.2859999999999814 1 35.607999999999954 0 1 5234 1324 6109 3634 4436 4812 3232 593 813 1315 3854 2628 5730 3449 3259; 
40.850000000000016 0 3.463999999999978 1 37.385999999999974 0 1 5234 1324 6109 3634 4436 4812 3232 593 813 1315 3854 2628 5730 3449 3259 2411; 
42.04799999999997 0 4.655999999999969 1 37.392000000000024 0 3838; 1 5234 1324 6109 3634 4436 4812 3232 593 813 1315 3854 2628 5730 3449 3259 2411; 
44.234000000000016 0 5.861999999999973 1 38.372000000000014 0 3838 4854; 1 5234 1324 6109 3634 4436 4812 3232 593 813 1315 3854 2628 5730 3449 3259 2411; 
45.72200000000004 0 5.993999999999966 1 39.728000000000065 0 4854 3838; 1 1324 5730 586 4436 813 5234 3259 1315 3854 2411 4812 3449 593 3634 6109 3232 2628; 
48.38999999999993 0 6.081999999999968 1 42.30800000000003 0 4854 3838; 1 1324 5730 586 4436 813 5234 3259 1315 3854 2411 4812 3449 593 3634 6109 3232 205 1628; 
50.316 0 6.407999999999969 1 43.90799999999998 0 4854 3838; 1 1324 5730 586 4436 813 5234 3259 1315 3854 2411 4812 3449 593 3634 6109 3232 2628 1628 5615; 
52.36999999999999 0 6.493999999999962 1 45.876000000000005 0 4854 3838; 1 1324 5730 586 4436 813 5234 3259 1315 3854 2411 4812 3449 593 3634 6109 3232 2628 1628 5615 2382; 
54.43199999999999 0 6.475999999999972 1 47.95600000000003 0 4854 3838; 1 1324 5730 586 4436 813 5234 3259 1315 3854 2411 4812 3449 593 3634 6109 3232 2628 5615 1628 2382 4446; 
55.29799999999994 0 6.561999999999964 1 48.73599999999996 0 4854 3838; 1 1324 5730 586 4436 813 5234 3259 1315 3854 2411 4812 3449 593 3634 6109 3232 2628 5615 1628 2382 4446 2692; 
56.62599999999995 0 6.489999999999967 1 50.13599999999999 0 4854 3838; 1 1324 5730 586 4436 813 5234 3259 1315 3854 2411 4812 3449 593 3634 6109 3232 2628 5615 1628 2382 4446 2692 2730; 
58.21799999999999 0 7.685999999999965 1 50.53200000000003 0 4854 3838 5135; 1 1324 5730 586 4436 813 5234 3259 1315 3854 2411 4812 3449 593 3634 6109 3232 2628 5615 1628 2382 4446 2730 2692; 
59.98799999999997 0 7.795999999999964 1 52.19199999999998 0 4854 3838 5135; 1 1324 5730 586 4436 813 5234 3259 1315 3854 2411 4812 3449 593 3634 6109 3232 2628 5615 1628 677 4446 2730 2692 5082; 
61.428000000000004 0 8.919999999999964 1 52.50799999999993 0 4854 3838 5135 3623; 1 1324 5730 586 4436 813 5234 3259 1315 3854 2411 4812 3449 593 3634 6109 3232 2628 5615 1628 677 4446 2730 2692 5082; 
64.21600000000004 0 9.089999999999963 1 55.12599999999987 0 4854 3838 5135 3623; 1 1324 5730 586 4436 813 5234 3259 1315 3854 2411 4812 3449 593 3634 6109 3232 205 5615 1628 677 4446 2730 2692 5082 1009; 
65.16199999999999 0 9.069999999999974 1 56.09199999999999 0 4854 3623 3838 5135; 1 5730 5615 586 4436 677 3259 5082 3854 2411 4812 3449 1628 3634 6109 1324 3232 2692 2730 593 4446 1009 1315 5234 813 205 3939; 
65.98800000000001 0 9.215999999999973 1 56.77199999999994 0 4854 3623 3838 5135; 1 5730 5615 586 4436 677 3259 5082 3854 2411 4812 3449 1628 3634 6109 1324 3232 2692 2730 593 4446 1009 1315 5234 813 205 3939 1897; 
68.93000000000004 0 9.565999999999969 1 59.363999999999955 0 4854 3623 3838 5135; 1 5730 5615 586 4436 677 3259 5082 3854 2411 4812 3449 1628 3634 6109 1324 3232 1448 2730 593 4446 1009 1315 5234 813 205 3939 1897 4980; 
69.46200000000005 0 10.395999999999958 1 59.06599999999993 0 4854 3623 3838 5135 5390; 1 5730 5615 586 4436 677 3259 5082 3854 2411 4812 3449 1628 3634 6109 1324 3232 1448 2730 593 4446 1009 1315 5234 813 205 3939 1897 4980; 
71.17399999999996 0 10.65999999999997 1 60.514 0 4854 3623 3838 5135 5390; 1 5730 5615 586 4436 677 3259 5082 3854 2411 4812 3449 1628 3634 6109 1324 3232 1448 2730 593 4446 1009 1315 5234 813 205 3939 4980 1897 5306; 
72.75000000000011 0 10.487999999999959 1 62.261999999999986 0 4854 3623 3838 5135 5390; 1 5730 5615 586 4436 677 3259 5082 3854 2411 4812 3449 1628 3634 6109 1324 3232 1448 2730 593 4446 1009 1315 5234 813 205 3939 4980 1897 5306 2382; 
74.08800000000011 0 11.707999999999974 1 62.37999999999995 0 4854 3623 3838 5135 5390 4257; 1 5730 5615 586 4436 677 3259 5082 3854 2411 4812 3449 1628 3634 6109 1324 3232 1448 2730 593 4446 1009 1315 5234 813 205 3939 4980 1897 5306 2382; 
76.03000000000013 0 11.635999999999953 1 64.394 0 4854 3623 3838 5135 4257 5390; 1 5730 5615 586 4436 677 3259 5082 3854 2411 4812 3449 1628 3634 6109 1335 3232 1448 2730 593 4446 1009 1315 5234 813 205 3939 3374 1897 5306 2382 3364; 
77.37400000000012 0 11.685999999999964 1 65.68800000000002 0 4854 3623 3838 5135 4257 5390; 1 5730 5615 586 4436 677 3259 5082 3854 2411 4812 3449 1628 3634 6109 1335 3232 1448 2730 593 4446 1009 1315 5234 813 205 3939 3374 1897 5306 2382 3364 5834; 
79.29600000000008 0 12.06399999999996 1 67.2320000000001 0 4854 3623 3838 5135 4257 5390; 1 5730 5615 586 4436 677 3259 5082 2659 2411 4812 3449 1628 3634 6109 1335 3232 1448 2730 593 4446 1009 1315 5234 813 205 3939 3374 1897 5306 2382 3364 5834 3854; 
80.72800000000014 0 12.045999999999966 1 68.68200000000002 0 4854 3623 3838 5135 4257 5390; 1 5730 5615 586 4436 677 3259 5082 2659 2411 4812 3449 1628 3634 6109 1335 3232 1448 2730 593 4446 1009 1315 5234 813 205 3939 3374 1897 5306 2382 3364 5834 3854 4493; 
