3.6319999999999735 0 0.34600000000000025 1 3.2859999999999756 0 1 5234; 
6.3899999999999695 0 0.5980000000000004 1 5.791999999999966 0 1 5234 4980; 
10.845999999999965 0 1.0100000000000007 1 9.835999999999968 0 1 5234 4980 1335; 
13.835999999999956 0 1.348000000000001 1 12.487999999999966 0 1 1335 5234 4980 3449; 
17.18599999999997 0 1.5460000000000012 1 15.639999999999956 0 1 1335 5234 4980 3449 5615; 
19.037999999999975 0 1.8060000000000014 1 17.231999999999946 0 1 1335 5234 4980 3449 5615 4812; 
21.353999999999974 0 2.0320000000000014 1 19.321999999999953 0 1 1335 5234 4980 3449 5615 4812 3634; 
23.531999999999957 0 2.072 1 21.459999999999994 0 1 3449 4812 3634 5234 1335 4980 5615 1048; 
26.879999999999995 0 2.487999999999992 1 24.391999999999978 0 1 3449 4812 3634 5234 1335 4980 5615 1048 5351; 
28.425999999999963 0 2.6339999999999852 1 25.79199999999999 0 1 1729 4812 3634 5234 1335 4980 5615 1048 5351 2411; 
31.381999999999962 0 2.827999999999984 1 28.553999999999977 0 1 3449 1335 3634 5234 1048 4980 5615 2411 2628 5351 4985; 
33.857999999999976 0 2.9059999999999864 1 30.951999999999973 0 1 3449 1335 3634 5234 1048 4980 5615 2411 2628 5351 4985 5082; 
35.969999999999935 0 4.283999999999975 1 31.68599999999996 0 3623; 1 3449 1335 3634 5234 1048 4980 5615 2411 2628 5351 4985 5082; 
37.48400000000002 0 4.413999999999976 1 33.06999999999998 0 3623; 1 3449 1335 3634 5234 1048 4980 5615 2411 2628 5351 4985 5082 593; 
39.51599999999999 0 4.753999999999977 1 34.76199999999999 0 3623; 1 3449 1335 3634 5234 1048 4980 5615 2411 2628 5351 4985 5082 593 5785; 
40.878000000000014 0 4.6599999999999735 1 36.217999999999996 0 3623; 1 3449 1335 3634 5234 1048 4980 5615 2411 2628 5351 4985 5082 593 5785 1897; 
43.17200000000002 0 4.771999999999973 1 38.39999999999998 0 3623; 1 3449 1335 3634 5234 1048 4980 5615 2411 2628 5351 4985 5082 593 5785 1897 1315; 
45.52399999999999 0 6.199999999999964 1 39.324000000000055 0 3623 5135; 1 3449 1335 3634 5234 1048 4980 5615 2411 2628 5351 4985 5082 5785 1315 1897 593; 
48.18799999999999 0 6.443999999999967 1 41.74400000000001 0 3623 5135; 1 5879 1335 3634 5234 1048 4980 5615 2411 1729 5351 4985 5082 5785 1315 1897 593 813; 
49.345999999999954 0 6.563999999999964 1 42.782000000000025 0 3623 5135; 1 5879 1335 3634 5234 1048 4980 5615 2411 1729 5351 4985 677 5785 1315 1897 593 813 6109; 
51.97599999999994 0 6.701999999999971 1 45.27399999999995 0 3623 5135; 1 5879 1335 3634 5234 1048 4980 5615 2411 1729 5351 4985 677 5785 1315 1897 593 813 6109 325; 
52.865999999999964 0 6.6499999999999675 1 46.21600000000004 0 3623 5135; 1 5879 1335 3634 5234 1048 4980 5615 2411 1729 5351 4985 677 5785 1315 1897 593 6109 325 813 5107; 
