3.8899999999999744 0 0.3940000000000003 1 3.4959999999999747 0 1 5234; 
6.943999999999969 0 0.6440000000000005 1 6.299999999999969 0 1 5234 4985; 
10.037999999999968 0 0.9500000000000007 1 9.087999999999969 0 1 5234 4985 3449; 
13.183999999999964 0 1.280000000000001 1 11.903999999999971 0 1 5234 3449 4985 1335; 
17.125999999999966 0 1.7600000000000013 1 15.365999999999959 0 1 5234 3449 4985 1335 3634; 
19.32599999999997 0 1.8860000000000015 1 17.43999999999996 0 1 3449 4985 1335 5234 3634 813; 
21.469999999999967 0 2.087999999999999 1 19.381999999999966 0 1 3449 4985 1335 5234 3634 813 593; 
25.005999999999986 0 2.4719999999999906 1 22.53399999999995 0 1 3449 4985 1335 5234 3634 813 593 1315; 
26.24599999999998 0 2.4959999999999907 1 23.749999999999954 0 1 3449 4985 1335 5234 3634 813 593 1315 4812; 
28.841999999999953 0 3.9319999999999764 1 24.909999999999975 0 3838; 1 2628 4985 1335 5234 3634 813 593 1315 4812; 
30.835999999999967 0 4.043999999999973 1 26.791999999999952 0 3838; 1 2628 4985 1335 5234 3634 813 593 1315 4812 1048; 
32.31799999999999 0 5.189999999999973 1 27.127999999999975 0 3838 1595; 1 2628 4985 1335 5234 3634 813 1315 4812 1048 593; 
34.92999999999997 0 5.305999999999967 1 29.623999999999963 0 3838 1595; 1 2628 4985 1335 5234 3634 813 1315 4812 1048 593 6109; 
36.827999999999996 0 5.633999999999972 1 31.19399999999996 0 3838 1595; 1 2628 4985 1335 5234 3634 813 1315 4812 1048 593 6109 2411; 
39.385999999999974 0 5.7799999999999665 1 33.60599999999994 0 3838 1595; 1 2628 4985 1335 5234 3634 813 1315 4812 1048 593 6109 2411 4980; 
41.49 0 5.953999999999968 1 35.535999999999994 0 1595 3838; 1 813 6109 1335 3634 4980 2411 4985 2628 5234 1315 593 1048 4812 5730; 
42.82800000000003 0 7.111999999999963 1 35.71599999999998 0 1595 3838 5135; 1 813 6109 1335 3634 4980 2411 4985 2628 5234 1315 593 1048 4812 5730; 
45.486000000000026 0 7.085999999999963 1 38.39999999999999 0 1595 3838 5135; 1 813 6109 1335 3634 4980 2411 4985 2628 5234 1315 593 1048 4812 5730 5615; 
46.512000000000015 0 7.327999999999969 1 39.184000000000005 0 1595 3838 5135; 1 813 6109 1335 2113 4980 2411 4985 2628 5234 1315 593 1048 4812 5730 5615 5785; 
49.15 0 7.4159999999999675 1 41.733999999999995 0 1595 3838 5135; 1 813 6109 1335 2113 4980 2411 4985 2628 5234 1315 593 1048 4812 5730 5615 5785 97; 
51.247999999999955 0 7.775999999999964 1 43.471999999999994 0 1595 3838 5135; 1 813 6109 1335 2113 4980 2411 4985 2628 5234 1315 593 1048 4812 5730 5785 5615 97 5351; 
52.87399999999998 0 7.7039999999999615 1 45.17 0 1595 3838 5135; 1 813 6109 1335 2113 4980 2411 4985 2628 5234 1315 593 1048 4812 5730 5785 5615 97 5351 1324; 
