3.8279999999999728 0 0.36600000000000027 1 3.4619999999999758 0 1 5234; 
6.329999999999961 0 0.5440000000000004 1 5.785999999999957 0 1 5234 5834; 
8.739999999999965 0 1.8960000000000015 1 6.843999999999965 0 3838; 1 5234 5834; 
12.15599999999997 0 2.175999999999999 1 9.979999999999961 0 3838; 1 5234 5834 4985; 
13.817999999999973 0 2.395999999999992 1 11.421999999999954 0 3838; 1 4985 5234 5834 2659; 
17.171999999999972 0 2.6559999999999877 1 14.515999999999968 0 3838; 1 4985 5234 5834 3259 5351; 
20.201999999999963 0 2.823999999999983 1 17.377999999999982 0 3838; 1 3259 5234 5351 5834 4985 1315; 
21.465999999999962 0 2.8999999999999853 1 18.56599999999998 0 3838; 1 3259 5234 5351 5834 4985 1315 1009; 
24.75999999999999 0 3.0979999999999817 1 21.66199999999998 0 3838; 1 3259 5234 5351 5834 4985 1315 1009 1237; 
27.699999999999985 0 3.379999999999981 1 24.319999999999983 0 3838; 1 3259 5234 5351 5834 4985 1315 1009 1237 3634; 
30.145999999999972 0 3.5679999999999765 1 26.57799999999994 0 3838; 1 3259 5234 5351 5834 3348 1315 1009 1335 3634 2787; 
32.57399999999997 0 3.785999999999975 1 28.78799999999999 0 3838; 1 3259 5234 5351 5834 3348 1315 1335 3634 1009 2787 4980; 
33.47600000000001 0 3.8499999999999797 1 29.625999999999994 0 3838; 1 3259 5234 5351 5834 3348 1315 1335 3634 1009 2787 4980 1048; 
35.89200000000001 0 4.15199999999997 1 31.739999999999995 0 3838; 1 3259 5234 5351 5834 3348 1315 1335 3634 1009 2787 4980 1048 2411; 
38.92199999999999 0 4.6219999999999715 1 34.299999999999976 0 3838; 1 3259 5234 5351 5834 4985 1315 1335 3634 1009 2787 4980 2411 1048 3348; 
40.002 0 4.575999999999976 1 35.425999999999995 0 3838; 1 3259 5234 5351 5834 4985 1315 1335 3634 4812 2787 4980 2411 1048 3348 1009; 
42.30200000000001 0 5.777999999999973 1 36.524000000000015 0 3838 5135; 1 3259 5234 5351 5834 4985 1315 1335 2113 4812 2787 4980 2411 1048 3348 1009; 
43.36000000000004 0 6.841999999999967 1 36.518 0 3838 5135 3623; 1 3259 5234 5351 5834 4985 1315 1335 2113 4812 2787 4980 3348 1009 1048 2411; 
44.33200000000001 0 7.671999999999975 1 36.66000000000001 0 3838 5135 3623 4854; 1 3259 5234 5351 5834 4985 1315 4493 2113 4812 2787 4980 3348 1009 1048 2411; 
46.88400000000006 0 7.98799999999997 1 38.89600000000002 0 3838 5135 3623 4854; 1 3259 5234 5351 5834 4985 1315 4493 2113 4812 2787 4980 3348 1009 1048 2411 3830; 
47.95199999999998 0 8.017999999999969 1 39.934000000000026 0 3838 5135 3623 4854; 1 3259 5234 5351 5834 4985 1315 4493 2113 4812 2787 4980 3348 1009 1048 2411 3830 593; 
49.646000000000015 0 8.113999999999963 1 41.532000000000004 0 3838 4854 3623 5135; 1 3259 5234 5351 5834 4985 1315 2113 2411 2787 4493 4980 1048 4812 3830 593 3348 1009 5370; 
51.32399999999995 0 8.287999999999958 1 43.036000000000044 0 3838 4854 3623 5135; 1 3259 5234 5351 5834 4985 1315 2113 2411 2787 4493 4980 1048 205 3830 593 3348 1009 5370 3051; 
52.76799999999997 0 8.391999999999962 1 44.37600000000002 0 3838 4854 3623 5135; 1 3259 5234 5351 5834 4985 1315 2113 2411 2787 4493 4980 1048 4812 3830 593 3348 1009 5370 3051 4566; 
54.85199999999995 0 8.459999999999967 1 46.39199999999999 0 3838 4854 3623 5135; 1 3259 5234 5351 5834 4985 1315 2113 2411 2787 4493 4980 1048 4812 3830 593 3348 1009 5370 4566 3051 97; 
56.68 0 8.535999999999962 1 48.14400000000003 0 3838 4854 3623 5135; 1 3259 5234 5351 5834 4985 1315 2113 2411 2787 4493 4980 1048 4812 3830 593 3348 1009 5370 4566 3051 97 1235; 
58.21399999999999 0 9.671999999999969 1 48.54199999999991 0 3838 4854 3623 2889 5135; 1 3259 5234 5351 5834 4985 1315 2113 2411 2787 4493 4980 1048 4812 593 3348 1009 5370 1235 3051 4566 97 2659; 
60.26599999999998 0 9.783999999999978 1 50.481999999999964 0 3838 4854 3623 2889 5135; 1 3259 5234 5351 5834 4985 1315 2113 2411 2787 4493 4980 1048 4812 593 3348 1009 5370 1235 3051 4566 97 2659 5082; 
61.279999999999966 0 9.89799999999997 1 51.381999999999955 0 3838 4854 3623 2889 5135; 1 3259 5234 5351 5834 4985 1315 2113 2411 2787 4493 4980 1048 4812 593 3348 1009 5370 1235 3051 4566 97 2659 5082 3782; 
63.81799999999996 0 10.139999999999965 1 53.67799999999994 0 3838 4854 3623 2889 5135; 1 3259 5234 5351 5834 4985 1315 2113 2411 2787 4493 4980 1048 4812 593 3348 3449 5370 1235 3051 205 97 2659 5082 3782 5306; 
64.92399999999998 0 11.17399999999996 1 53.74999999999997 0 3838 4854 3623 2053 2889 5135; 1 3259 5234 5351 5834 4985 1315 2113 2411 2787 4493 4980 4812 593 3348 3449 5370 3782 97 205 2659 1235 5082 5306 3051 2730; 
66.84800000000004 0 12.187999999999946 1 54.66 0 3838 4854 3623 2053 2889 5135 1595; 1 3259 5234 5351 5834 4985 1315 2113 2411 2787 4493 4980 4812 593 3348 3449 5370 3782 97 205 2659 1235 5082 5306 3051 2730; 
67.96199999999996 0 12.113999999999962 1 55.84799999999993 0 3838 4854 3623 2053 2889 5135 1595; 1 3259 5234 5351 5834 4985 1315 2113 2411 2787 4493 4980 4812 593 3348 3449 5370 3782 97 205 2659 1235 5082 5306 3051 2730 4209; 
69.98000000000005 0 12.339999999999952 1 57.63999999999995 0 2889 3623 5135 1595 3838 2053 4854; 1 5234 4980 2411 5370 3259 3051 5306 97 1235 4812 4209 593 3348 3449 2730 2113 5082 205 4985 5834 4493 5351 2787 3782 2659 1315 4436; 
72.31600000000016 0 12.339999999999959 1 59.97599999999997 0 2889 3623 5135 1595 3838 2053 4854; 1 5234 4980 2411 5370 3259 3051 5306 97 1235 4812 4209 593 3348 3449 2730 2113 5082 205 4985 5834 1335 5351 2787 3782 2659 1315 4436 3010; 
74.03400000000009 0 12.587999999999948 1 61.44599999999997 0 2889 3623 5135 1595 3838 2053 4854; 1 5234 4980 2411 5370 3259 3051 5306 97 1235 4812 4209 593 3348 3449 2730 2113 5082 205 4985 5834 1335 5351 2787 3782 2659 1315 4436 3010 134; 
74.95200000000011 0 12.465999999999958 1 62.48600000000001 0 2889 3623 5135 1595 3838 2053 4854; 1 5234 4980 2411 5370 3259 3051 5306 97 1235 4812 4209 593 3348 3449 2730 2113 5082 205 4985 5834 1335 5351 2787 3782 2659 1315 4436 3010 134 5107; 
77.55200000000016 0 12.859999999999975 1 64.69199999999998 0 2889 3623 5135 1595 3838 2053 4854; 1 5234 4980 2411 5370 3259 3051 5306 97 1235 4812 4209 593 3348 3449 2730 2113 5082 205 4985 5834 1335 5351 2787 3782 2659 1315 4436 134 5107 3010 6109; 
79.4340000000001 0 12.019999999999955 1 67.41400000000007 0 2889 5135 1595 3838 2053 4854; 1 5234 3341 4980 2411 5370 3259 3051 5306 97 1235 4812 4209 593 3348 3449 2730 2113 5082 205 4985 5834 1335 5351 2787 3782 2659 1315 4436 134 5107 3010 6109 2333; 
79.72200000000008 0 11.859999999999955 1 67.86200000000002 0 2889 5135 1595 3838 2053 4854; 1 5234 3341 4980 2411 5370 3259 3051 5306 97 1235 4812 4209 593 3348 3449 2730 2113 5082 205 4985 5834 1335 5351 2787 3782 2659 1315 4436 134 5107 3010 6109 2333 5338; 
