2.4279999999999906 0 1.320000000000001 1 1.1080000000000008 0 5135; 1 
5.733999999999969 0 1.6020000000000012 1 4.13199999999997 0 5135; 1 4436; 
9.215999999999962 0 1.8040000000000014 1 7.411999999999964 0 5135; 1 4436 1335; 
12.809999999999967 0 2.109999999999999 1 10.69999999999997 0 5135; 1 1335 4436 4980; 
16.153999999999968 0 2.5099999999999905 1 13.643999999999972 0 5135; 1 1335 4436 4980 4812; 
17.855999999999952 0 2.6899999999999857 1 15.165999999999954 0 5135; 1 1335 4436 4980 4812 5785; 
20.273999999999972 0 2.7519999999999865 1 17.521999999999956 0 5135; 1 1335 4436 4980 4812 5785 5679; 
22.40999999999998 0 2.9959999999999813 1 19.41399999999996 0 5135; 1 4812 4436 4980 1335 5785 5679 3449; 
25.279999999999966 0 3.2799999999999825 1 21.999999999999957 0 5135; 1 4812 4436 4980 1335 5785 5679 3449 3634; 
27.08199999999996 0 4.449999999999979 1 22.631999999999966 0 5135 3623; 1 4812 4436 4980 1335 5785 5679 3449 3634; 
30.01999999999999 0 4.7519999999999705 1 25.26799999999998 0 5135 3623; 1 4812 4436 4980 1335 5785 5679 3449 3634 5234; 
31.864 0 4.989999999999974 1 26.873999999999985 0 5135 3623; 1 4812 4436 4980 1335 5785 5679 3449 3634 5234 3259; 
35.40199999999997 0 5.241999999999974 1 30.15999999999997 0 5135 3623; 1 4812 4436 4980 1335 5785 5679 3449 3634 5234 3259 4985; 
36.76800000000001 0 5.32799999999997 1 31.439999999999962 0 5135 3623; 1 4812 4436 4980 1335 5785 5679 3449 3634 5234 3259 4985 97; 
40.03800000000002 0 5.585999999999969 1 34.45199999999998 0 3623 5135; 1 3449 5234 4436 1335 4985 4812 3634 5679 5785 3259 4980 97 1315; 
40.54000000000005 0 6.6559999999999695 1 33.88399999999997 0 3623 5135 3838; 1 3449 5234 4436 1335 4985 4812 3634 5679 5785 2659 4980 97 1315; 
42.73800000000003 0 7.693999999999963 1 35.043999999999976 0 3623 5135 3838 1595; 1 3449 5234 4436 1335 4985 4812 3634 5679 5785 2659 4980 97 1315; 
44.583999999999975 0 7.889999999999966 1 36.694000000000045 0 3623 5135 1595 3838; 1 3449 5234 4436 1237 4985 4812 3634 5679 5785 2659 4980 97 1315 677; 
44.906000000000006 0 7.829999999999964 1 37.07599999999995 0 3623 1595 3838 2121; 1 3449 5234 4436 1237 4985 4812 72 3634 5679 5785 2659 4980 97 1315 677; 
48.446000000000026 0 8.255999999999961 1 40.190000000000026 0 3623 3838 1595 2121; 1 3449 5234 4436 1237 4985 4812 72 3634 5679 5785 2659 4980 97 1315 677 6109; 
