4.161999999999965 0 0.3120000000000002 1 3.8499999999999703 0 1 1335; 
7.76199999999997 0 0.7360000000000005 1 7.025999999999971 0 1 1335 1315; 
11.561999999999971 0 1.0840000000000007 1 10.477999999999977 0 1 1335 1315 2411; 
14.325999999999969 0 1.2500000000000009 1 13.07599999999996 0 1 1315 1335 2411 4436; 
16.65999999999996 0 1.404000000000001 1 15.255999999999961 0 1 2411 1335 1315 4436 5234; 
18.80399999999996 0 2.6179999999999874 1 16.185999999999964 0 5135; 1 2411 1335 1315 4436 5234; 
21.329999999999988 0 2.953999999999986 1 18.375999999999962 0 5135; 1 2411 1335 1315 4436 5234 4985; 
24.24399999999999 0 3.2179999999999813 1 21.025999999999975 0 5135; 1 2411 1335 1315 4436 5234 4985 5615; 
26.47599999999995 0 3.3619999999999823 1 23.113999999999983 0 5135; 1 2411 1335 1315 4436 5234 4985 5615 586; 
29.20599999999997 0 3.749999999999978 1 25.455999999999985 0 5135; 1 2411 1335 1315 4436 5234 4985 5615 586 3634; 
31.58399999999995 0 3.9419999999999735 1 27.64199999999995 0 5135; 1 2411 1335 1315 4436 5234 4985 5615 3634 586 1628; 
33.78999999999995 0 4.091999999999975 1 29.69799999999998 0 5135; 1 2411 1335 1315 4436 5234 4985 5615 3634 586 1628 6109; 
35.39999999999996 0 5.267999999999973 1 30.13199999999997 0 5135 3838; 1 2411 1335 1315 4436 5234 4985 5615 3634 586 1628 6109; 
38.05800000000003 0 5.565999999999976 1 32.491999999999955 0 5135 3838; 1 2411 1335 1315 4436 5234 4985 5615 3634 586 1628 6109 4980; 
40.235999999999976 0 5.633999999999963 1 34.601999999999975 0 5135 3838; 1 5234 2411 4436 586 1628 6109 5615 1315 4985 4980 3634 1335 4812; 
41.88399999999996 0 5.891999999999968 1 35.99199999999998 0 5135 3838; 1 5234 2411 4436 586 1628 6109 5615 1315 4985 4980 3634 1335 4812 1048; 
43.50000000000002 0 5.919999999999975 1 37.58000000000003 0 5135 3838; 1 5234 2411 4436 586 1628 6109 5615 1315 4985 4980 3634 1335 4812 1048 605; 
45.13200000000004 0 7.005999999999966 1 38.12600000000001 0 5135 3838 2053; 1 5234 2411 4436 586 1628 6109 5615 1315 4985 4980 3634 1335 4812 605 2382; 
47.224000000000004 0 6.125999999999964 1 41.09799999999996 0 5135 3838; 1 5234 2411 4436 205 1628 6109 5615 1315 4985 4980 3634 1335 4812 3051 2382 5165 3854; 
49.712 0 5.329999999999967 1 44.38199999999994 0 3838; 1 5234 2411 695 4436 205 1628 6109 5615 1315 4985 4980 3634 1335 4812 3051 2382 5165 3854 5107; 
51.26000000000002 0 6.191999999999967 1 45.068 0 3838 3623; 1 5234 2411 695 4436 205 1628 6109 5615 1315 4985 4980 3634 1335 4812 3051 2382 5165 3854 5107; 
52.17599999999993 0 6.185999999999967 1 45.98999999999997 0 3838 3623; 1 5234 2411 695 4436 205 1628 6109 5615 1315 4985 4980 3634 1335 4812 3051 2382 5165 3259 5107 3854; 
55.62799999999992 0 6.629999999999968 1 48.997999999999955 0 3838 3623; 1 5234 2411 695 4436 586 1628 6109 5615 1315 4985 4980 3634 1335 4812 3051 2382 5165 3259 5107 3854 205; 
55.84599999999996 0 7.719999999999964 1 48.12599999999995 0 3838 3623 1595; 1 5234 2411 695 4436 586 1628 6109 5615 1315 4985 4980 3634 1335 4812 3051 2382 5165 3259 5107 3854 205; 
57.88399999999996 0 7.725999999999966 1 50.15800000000004 0 3838 3623 1595; 1 5234 2411 695 4436 586 1628 6109 5615 1315 4985 4980 3634 1335 4812 3051 2382 5165 3259 5107 3854 205 97; 
59.643999999999956 0 7.841999999999961 1 51.80199999999998 0 3838 3623 1595; 1 5234 2411 695 4436 586 1628 6109 5615 1315 4985 4980 3634 1335 4812 3051 2382 5165 3259 5107 3854 205 97 5338; 
61.21199999999995 0 8.027999999999967 1 53.18399999999991 0 1595 3838 3623; 1 2411 3634 695 4436 1628 6109 97 1315 5107 4980 4812 1335 605 3259 5234 4985 5338 5615 2382 586 3854 205 5165 3051; 
63.28200000000002 0 8.23399999999997 1 55.04799999999998 0 1595 3838 3623; 1 2411 3634 695 4436 1628 6109 97 1315 5107 4980 4812 1335 605 3259 5234 4985 5338 5615 2382 586 3854 205 5165 3051 813; 
64.82000000000009 0 8.211999999999964 1 56.60799999999994 0 1595 3838 3623; 1 2411 3634 695 4436 1628 6109 97 1315 5107 4980 4812 1335 605 3259 5234 4985 5338 5615 2382 586 3854 205 5165 3051 813 3782; 
65.62799999999999 0 9.527999999999968 1 56.09999999999998 0 1595 3838 3623 5463; 1 2411 3634 695 4436 1628 6109 97 1315 5107 4980 4812 1335 605 3259 5234 4985 5338 5615 2382 586 3854 5306 5165 3051 813 3782; 
67.14800000000005 0 9.119999999999957 1 58.02799999999989 0 1595 3838 3623 5463; 1 2411 3634 695 4436 1628 6109 97 1315 5107 4980 4812 1335 605 3259 5234 4985 5338 5615 2382 586 3854 5306 5165 3051 813 3782 205; 
68.90000000000002 0 11.585999999999952 1 57.31399999999992 0 5135 1595 3838 335 3623 5463; 1 2411 3634 4436 1628 6109 97 1315 5107 4980 4812 1335 605 3259 5234 5338 5615 2382 586 3854 5306 5165 3051 813 3782 205 593; 
70.58000000000004 0 11.529999999999959 1 59.04999999999996 0 5135 1595 3838 335 3623 5463; 1 2411 3634 4436 1628 6109 97 1315 5107 4980 4812 1335 605 3259 5234 5338 5615 2382 586 3854 5306 5165 3051 813 3782 205 593 5834; 
72.24800000000009 0 11.62999999999996 1 60.61799999999999 0 5135 1595 3838 335 3623 5463; 1 2411 3634 4436 1628 6109 97 1315 5107 4980 4812 1335 605 3259 5234 5338 5615 2382 586 3854 5306 5165 3051 813 3782 205 593 5834 677; 
73.64400000000009 0 11.609999999999962 1 62.03400000000001 0 5135 1595 3838 335 3623 5463; 1 2411 3634 4436 1628 6109 97 1315 5107 4980 4812 1335 605 3259 5234 5338 5615 2382 586 3854 5306 5165 3051 813 3782 205 5834 677 593 3030; 
74.82000000000012 0 12.06399999999996 1 62.75599999999993 0 5135 1595 3838 335 3623 5463; 1 2411 3634 4436 1628 6109 97 1315 5107 4980 4812 1335 605 3259 5234 5338 5615 2382 586 3854 5306 5165 3051 813 3782 205 5834 677 593 3030 1009; 
76.03400000000005 0 12.547999999999954 1 63.48599999999999 0 5135 1595 3838 335 3623 5463 4854; 1 2411 3634 4436 1628 6109 97 1315 5107 4980 4812 1335 605 3259 5234 5338 5615 2382 586 3854 5306 5165 3051 813 3782 205 5834 677 593 3030 1009; 
76.90400000000018 0 12.653999999999957 1 64.25 0 5135 1595 3838 335 3623 5463 4854; 1 2411 3634 4436 1628 6109 97 1315 5107 4980 4812 1335 605 3259 5234 5338 5615 2382 586 3854 5306 5165 3051 813 3782 205 5834 677 593 3030 1009 746; 
78.9840000000002 0 13.595999999999954 1 65.38800000000012 0 5135 1595 3838 335 3623 5463 4854 1494; 1 2411 3634 4436 1628 6109 97 1315 5107 4980 4812 1335 605 3259 5234 5338 5615 2382 586 3854 5306 5165 3051 813 3782 205 5834 677 593 3030 1009 746; 
80.54800000000004 0 13.921999999999954 1 66.62599999999995 0 5135 1595 3838 335 3623 5463 4854 1494; 1 2411 3634 4436 1628 6109 97 1315 5107 4980 4812 1335 605 3259 5234 5338 5615 2382 586 3854 5306 5165 3051 813 3782 205 5834 677 593 3030 1009 746 5513; 
