2.531999999999985 0 0.19800000000000012 1 2.3339999999999885 0 1 586; 
7.04599999999997 0 0.6560000000000005 1 6.38999999999997 0 1 586 1335; 
9.895999999999972 0 0.8540000000000006 1 9.041999999999978 0 1 586 1335 1315; 
12.847999999999958 0 1.1620000000000008 1 11.685999999999959 0 1 586 1335 1315 5351; 
15.481999999999978 0 2.465999999999989 1 13.015999999999961 0 5135; 1 586 1335 5351 1315; 
17.817999999999973 0 2.779999999999982 1 15.037999999999968 0 5135; 1 586 1335 5351 1315 3259; 
20.249999999999954 0 2.787999999999985 1 17.461999999999964 0 5135; 1 586 1335 5351 1315 3259 4980; 
22.82199999999997 0 3.11199999999998 1 19.70999999999998 0 5135; 1 586 1335 1315 5351 4980 3259 97; 
25.529999999999966 0 3.397999999999978 1 22.131999999999966 0 5135; 1 586 1335 1315 5351 4980 3259 97 2787; 
27.975999999999967 0 3.239999999999982 1 24.735999999999976 0 5135; 1 205 1335 1315 5351 4980 3259 97 2787 1291; 
29.917999999999957 0 4.621999999999974 1 25.295999999999964 0 5135 3623; 1 205 1335 1315 5351 4980 3259 97 2787 1291; 
32.233999999999945 0 4.77999999999998 1 27.45399999999996 0 5135 3623; 1 205 1335 1315 5351 4980 3259 97 1291 2787 677; 
34.81799999999995 0 5.031999999999973 1 29.785999999999973 0 5135 3623; 1 205 1335 1315 5351 4980 3259 97 1291 2787 677 5234; 
37.56599999999996 0 5.327999999999967 1 32.237999999999936 0 5135 3623; 1 205 1335 1315 2659 4980 3259 97 5234 2787 677 1291 4436; 
39.48600000000001 0 5.3199999999999745 1 34.16599999999997 0 5135 3623; 1 205 1335 1315 2659 4980 3259 97 5234 2787 677 1291 4436 4985; 
40.35400000000004 0 5.465999999999973 1 34.88799999999999 0 5135 3623; 1 205 1335 1315 2659 4980 3259 97 5234 2787 677 1291 4436 4985 1048; 
43.445999999999984 0 6.577999999999959 1 36.868 0 5135 3623 3838; 1 205 1335 1315 2659 4980 3259 97 5234 2787 677 1291 4436 1048 4985; 
45.463999999999984 0 7.001999999999967 1 38.462000000000025 0 5135 3623 3838; 1 205 1335 1315 2659 4980 3259 97 5234 2787 677 1291 4436 1048 4985 3634; 
47.296 0 7.0399999999999645 1 40.25600000000004 0 3623 5135 3838; 1 586 2787 97 4980 4985 5234 1335 677 3634 4436 1315 1291 3259 1048 2659 205; 
47.83399999999996 0 7.969999999999961 1 39.864 0 3623 5135 3838 1595; 1 586 2787 97 4980 4985 5234 1335 677 3634 4436 1315 1291 3259 1048 2659 205; 
50.10599999999998 0 8.057999999999963 1 42.048000000000016 0 3623 5135 3838 1595; 1 586 2787 97 4980 4985 5234 1335 677 3634 4436 1315 1291 3259 1048 5351 205 2659; 
51.71199999999991 0 9.165999999999979 1 42.546000000000014 0 3623 5135 3838 1595 5; 1 586 2787 97 4980 4985 5234 1335 677 3634 4436 1315 1291 3259 1048 5351 205 2659; 
53.960000000000015 0 9.607999999999969 1 44.35199999999998 0 3623 5135 3838 1595 5; 1 586 2787 97 4980 4985 5234 1335 677 3634 4436 1315 1291 3259 1048 5351 205 2659 2333; 
56.379999999999946 0 10.523999999999957 1 45.856000000000016 0 3623 5135 1074 3838 5 1595; 1 586 2787 97 4980 5234 1335 677 3634 4436 1315 1291 3259 1048 5351 205 2659 2333 593; 
57.44399999999994 0 11.657999999999971 1 45.78600000000005 0 3623 5135 1074 3838 5 1595 4854; 1 586 2787 97 4980 5234 1335 677 3634 4436 1315 1291 3259 1048 5351 205 2659 1628 593; 
59.28199999999999 0 11.687999999999965 1 47.59400000000003 0 3623 5135 1074 3838 5 1595 4854; 1 586 2787 97 4980 5234 1335 677 3634 4436 1315 1291 3259 1048 5351 205 2659 1628 593 6109; 
60.706 0 11.847999999999955 1 48.85800000000004 0 3623 5135 1074 3838 5 1595 4854; 1 586 2787 97 4980 5234 1335 677 3634 4436 1315 1291 3259 1048 5351 205 2659 1628 593 6109 3051; 
62.27400000000001 0 11.917999999999957 1 50.35599999999993 0 3623 5135 1074 3838 5 1595 4854; 1 586 2787 97 4980 5234 1335 677 3634 4436 1315 1291 3259 1048 5351 205 2659 1628 593 6109 3051 1625; 
64.28199999999997 0 12.191999999999966 1 52.08999999999996 0 3623 5135 1074 3838 5 1595 4854; 1 586 2787 97 4980 5234 1335 677 3634 4436 1315 1291 3259 1048 5351 205 2659 1628 593 6109 3051 1625 4812; 
66.58600000000008 0 12.31599999999995 1 54.26999999999989 0 3623 5135 1074 3838 5 4854 1595; 1 586 2787 97 4980 5234 1335 677 3634 4436 1315 1291 3259 1048 5351 205 2659 3051 1625 6109 1628 4812 593 4446; 
67.398 0 12.145999999999958 1 55.251999999999896 0 3623 5135 1074 3838 5 4854 1595; 1 586 2787 97 4980 5234 1335 677 3634 4436 1315 1291 3259 1048 5351 205 2659 3051 1625 6109 1628 4812 593 4446 5879; 
69.15600000000008 0 12.145999999999956 1 57.00999999999998 0 3623 5135 1074 3838 5 4854 1595; 1 586 2787 97 4980 5234 1335 677 3634 4436 1315 1291 3259 1048 5351 205 2659 3051 1625 6109 1628 4812 593 4446 5879 578; 
70.36800000000004 0 12.215999999999962 1 58.15199999999993 0 3623 5135 1074 3838 5 4854 1595; 1 586 2787 97 4980 5234 1335 677 3634 4436 1315 1291 3259 1048 5351 205 2659 3051 1625 6109 1628 4812 593 4446 5879 578 2411; 
72.37000000000012 0 12.59599999999996 1 59.77399999999996 0 3623 5135 1074 3838 5 4854 1595; 1 586 2787 97 4980 5234 1335 677 3634 4436 1315 1291 3259 1048 5351 205 2659 3051 1625 6109 1628 4812 593 4446 5879 578 2411 817; 
73.91200000000015 0 12.595999999999952 1 61.31599999999998 0 3623 5135 1074 3838 5 4854 1595; 1 586 2787 97 4980 5234 1335 677 3634 4436 1315 1291 3259 1048 5351 205 2659 3051 1625 6109 1628 4812 593 4446 5879 578 2411 817 5834; 
75.11400000000006 0 12.499999999999972 1 62.61399999999999 0 3623 5135 1074 3838 5 4854 1595; 1 586 2787 97 4980 5234 1335 677 3634 4436 1315 1291 3259 1048 5351 205 2659 3051 1625 6109 1628 4812 593 4446 578 817 5834 5879 2411 639; 
76.34400000000011 0 13.669999999999948 1 62.67400000000005 0 3623 5135 1074 3838 4241 5 4854 1595; 1 586 2787 97 4980 5234 1335 677 3634 4436 1315 1291 3259 5351 205 2659 3051 1625 6109 1628 4812 593 4446 578 817 5834 5879 2411 639 2730; 
78.53200000000011 0 13.851999999999956 1 64.68000000000004 0 3623 5135 1074 3838 4241 5 4854 1595; 1 586 2787 97 4980 5234 1335 677 3634 4436 1315 1291 3259 5351 205 2659 3051 1625 6109 1628 4812 593 4446 578 817 5834 5879 2411 639 2730 507; 
79.9600000000001 0 13.985999999999947 1 65.97400000000007 0 3623 5135 1074 3838 4241 5 4854 1595; 1 586 2787 97 4980 5234 1335 677 3634 4436 1315 1291 3259 5351 205 2659 3051 1625 6109 1628 4812 593 4446 578 817 5834 5879 2411 639 2730 507 1324; 
81.32600000000006 0 13.851999999999972 1 67.47400000000005 0 3623 5135 1074 3838 4241 4854 1595 5; 1 586 2787 97 4980 5234 1335 677 3634 4436 1315 1291 3259 5351 205 817 593 3051 507 6109 1628 4812 4446 1625 2411 5834 1324 639 578 2730 5879 2659 1009; 
