4.611999999999967 0 0.4240000000000003 1 4.187999999999972 0 1 1335; 
7.603999999999969 0 0.6460000000000005 1 6.957999999999969 0 1 1335 5234; 
11.483999999999963 0 1.0760000000000007 1 10.40799999999996 0 1 1335 5234 3634; 
13.943999999999969 0 1.324000000000001 1 12.619999999999969 0 1 1335 5234 3634 1315; 
17.101999999999954 0 1.468000000000001 1 15.63399999999996 0 1 1335 5234 3634 1315 4980; 
19.889999999999983 0 1.9880000000000015 1 17.90199999999996 0 1 1335 5234 3634 4980 1315 4812; 
21.789999999999978 0 2.161999999999998 1 19.627999999999982 0 1 1335 5234 3634 4980 1315 4812 2411; 
24.795999999999975 0 2.3459999999999943 1 22.449999999999964 0 1 1335 5234 3634 4980 1315 4812 2411 97; 
26.20999999999998 0 4.535999999999974 1 21.673999999999968 0 5463 3838; 1 3634 4980 5234 2411 97 1335 1315; 
27.387999999999966 0 5.509999999999964 1 21.87799999999996 0 5463 3838 5135; 1 3634 4980 5234 2411 97 1335 1315; 
29.763999999999974 0 5.605999999999972 1 24.157999999999966 0 5463 3838 5135; 1 3634 4980 5234 2411 97 1335 1315 5615; 
33.41799999999996 0 6.067999999999973 1 27.349999999999962 0 5463 3838 5135; 1 3634 4980 5234 2411 97 1335 1315 5615 5351; 
33.95600000000001 0 5.951999999999966 1 28.003999999999973 0 5463 3838 5135; 1 3634 4980 5234 2411 97 1335 1315 5615 5351 5082; 
36.74800000000001 0 7.431999999999966 1 29.315999999999995 0 5463 3838 5135 3623; 1 3634 4980 5234 2411 97 1335 1315 5615 5351 5082; 
38.85600000000001 0 7.533999999999963 1 31.321999999999964 0 5463 3838 5135 3623; 1 3634 4980 5234 2411 97 1335 1315 5615 5351 5082 4436; 
41.179999999999986 0 7.52599999999996 1 33.65399999999998 0 5463 3838 5135 3623; 1 3634 4980 5234 2411 97 1335 1315 5615 5351 5082 4436 3259; 
42.703999999999986 0 7.725999999999972 1 34.97799999999996 0 5463 3838 5135 3623; 1 3634 4980 5234 2411 97 1335 1315 3259 5082 5615 4436 5351 6109; 
44.76399999999999 0 8.941999999999974 1 35.82199999999997 0 3838 1074 339 3623 1494; 1 3634 4812 4980 5234 2411 97 1335 1315 3259 5082 5615 5351 6109; 
47.01399999999998 0 7.963999999999967 1 39.049999999999955 0 3623 1494 1074 3838; 1 4812 3634 3259 2411 4436 5082 1315 1335 5615 97 5234 5351 4980 6109 5834; 
49.24599999999993 0 8.287999999999961 1 40.95799999999998 0 3623 1494 1074 3838; 1 4812 3634 3259 2411 4436 5082 1315 1335 5615 97 5234 5351 4980 6109 5834 1048; 
51.03399999999994 0 8.43199999999996 1 42.60199999999996 0 3623 1494 1074 3838; 1 4812 3634 3259 2411 4436 5082 1315 1335 5615 97 5234 5351 4980 6109 5834 1048 2333; 
51.46999999999997 0 8.285999999999968 1 43.18400000000003 0 5463 3623 1074 3838; 1 3634 3259 2411 947 4436 5082 1315 1335 5615 97 5234 5351 4980 6109 5834 1048 2333 3051; 
53.29199999999992 0 8.53799999999997 1 44.75399999999995 0 5463 3623 1074 3838; 1 3634 3259 2411 947 4436 5082 1315 1335 5615 97 5234 5351 4980 6109 5834 1048 2333 3051 817; 
55.001999999999974 0 8.811999999999966 1 46.19000000000003 0 5463 3623 5135 3838; 1 3634 3259 2411 947 4436 5082 1315 1335 5615 97 5234 5351 4980 6109 5834 2333 817 3051 1048 3348; 
57.49799999999994 0 8.807999999999955 1 48.69000000000004 0 5463 3623 5135 3838; 1 3634 3259 2411 947 4436 5082 1315 1335 5615 97 5234 5351 4980 6109 5834 2333 817 3051 1048 3348 4985; 
60.316 0 9.101999999999968 1 51.213999999999956 0 3623 5135 3838 4854; 1 4812 3634 3259 2411 947 4436 5082 1315 1335 5615 97 5234 5351 4980 6109 5834 817 3051 4985 1048 1628 3348; 
61.842000000000006 0 9.053999999999967 1 52.78800000000001 0 3623 5135 3838 4854; 1 4812 3634 3259 2411 947 4436 5082 1315 1335 5615 97 5234 5351 4980 6109 5834 817 3051 4985 1048 1628 3348 5679; 
62.808000000000035 0 10.117999999999965 1 52.68999999999994 0 3623 5135 3838 4854 5463; 1 4812 3634 3259 2411 947 4436 5082 1315 1335 5615 97 5234 5351 4980 6109 5834 817 3051 4985 1048 1628 3348 5679; 
64.75999999999998 0 10.205999999999962 1 54.55400000000003 0 3623 5135 3838 4854 5463; 1 4812 3634 3259 2411 947 4436 5082 1315 1335 5615 97 5234 5351 4980 6109 5834 817 3051 4985 1048 1628 3348 5679 4960; 
64.99600000000007 0 10.555999999999965 1 54.43999999999999 0 3623 5135 3838 4854 5463; 1 4812 2113 3259 2411 947 4436 5082 1315 1335 5615 97 5234 5351 4980 6109 5834 817 3051 4985 1048 1628 3348 4960 5679 3939; 
66.32400000000001 0 11.145999999999969 1 55.17799999999997 0 3623 1494 5135 3838 4854 5463; 1 4812 2113 3259 2411 4436 5082 1315 1335 5615 97 5234 5351 4980 6109 5834 817 3051 4985 1048 1628 3348 4960 5679 3939 947; 
68.45200000000001 0 11.49199999999995 1 56.95999999999997 0 3623 1494 5135 3838 4854 5463; 1 4812 2113 3259 2411 4436 5082 1315 1335 5615 97 5234 5351 4980 6109 5834 817 3051 4985 1048 1628 3348 4960 5679 3939 947 2806; 
70.07600000000008 0 11.553999999999972 1 58.52199999999993 0 3623 1494 5135 3838 4854 5463; 1 4812 2113 3259 2411 4436 5082 1315 1335 5615 97 5234 5351 4980 6109 5834 817 3051 4985 1048 1628 3348 4960 5679 3030 3939 947 2806; 
71.63000000000018 0 13.453999999999962 1 58.176 0 3623 1494 5135 339 3838 5020 4854 5463; 1 4812 2113 3259 2411 5082 1315 1335 5615 97 5234 5351 4980 6109 817 3051 4985 1048 2333 3348 4960 5679 3030 3939 947 2806 1448; 
72.74000000000008 0 13.389999999999954 1 59.34999999999998 0 5020 3623 1494 5135 3838 4854 5463 339; 1 4980 3259 2411 1048 817 5679 2806 5615 97 3348 2113 1448 3051 4812 4985 6109 2333 5351 4960 5234 1335 3030 1315 947 5082 3939 813; 
75.11200000000011 0 13.361999999999968 1 61.750000000000014 0 5020 3623 1494 5135 3838 4854 5463 339; 1 4980 3259 4446 1048 5528 5679 2806 5615 97 3348 2113 1448 3051 4812 4985 6109 2333 5351 4960 5234 1335 3030 1315 947 5082 3939 813 3782; 
75.88800000000006 0 13.395999999999939 1 62.491999999999976 0 5020 3623 1494 5135 3838 4854 5463 339; 1 4980 3259 4446 1048 5528 5679 2806 5615 97 3348 2113 1448 3051 4812 4985 6109 2333 5351 4960 5234 1335 3030 1315 947 5082 3939 813 3782 1771; 
77.35600000000011 0 14.545999999999962 1 62.810000000000066 0 5020 3623 1494 5135 3838 4854 5463 339 4257; 1 4980 3259 4446 1048 5528 5679 2806 5615 97 3348 2113 1448 3051 4812 4985 6109 2333 5351 4960 5234 1335 3030 1315 947 5082 3939 813 3782 1771; 
78.85799999999999 0 15.473999999999952 1 63.384 0 5020 3623 1494 5135 3838 4854 5463 339 4257 1595; 1 4980 3259 4446 1048 5528 5679 2806 5615 97 3348 2113 1448 3051 4812 4985 6109 2333 5351 4960 5234 1335 3030 1315 947 5082 3939 813 3782 1771; 
80.51600000000009 0 15.64999999999998 1 64.86600000000001 0 5020 3623 1494 5135 3838 4854 5463 339 4257 1595; 1 4980 3259 4446 1048 5528 5679 2806 5615 97 3348 2113 1448 3051 4812 4985 6109 2333 5351 4960 5234 1335 3030 1315 947 5082 3939 813 3782 1771 586; 
