3.1139999999999772 0 0.32000000000000023 1 2.7939999999999823 0 1 4812; 
6.627999999999968 0 0.6420000000000005 1 5.985999999999979 0 1 4812 5234; 
8.969999999999962 0 0.8660000000000007 1 8.103999999999976 0 1 4812 5234 3259; 
11.871999999999964 0 2.1779999999999977 1 9.69399999999996 0 5135; 1 4812 5234 5351; 
14.345999999999966 0 2.369999999999992 1 11.975999999999958 0 5135; 1 4812 5234 5351 3449; 
17.149999999999967 0 2.735999999999987 1 14.413999999999957 0 5135; 1 4812 5234 3449 3259 5351; 
18.91199999999998 0 2.7839999999999847 1 16.12799999999996 0 5135; 1 4812 5234 3449 3259 5351 1048; 
21.83799999999997 0 3.011999999999981 1 18.825999999999954 0 5135; 1 4812 3259 1048 5351 3449 5234 5679; 
23.24799999999997 0 4.137999999999976 1 19.10999999999996 0 5135 3838; 1 4812 3259 1048 5351 3449 5234 5679; 
25.547999999999984 0 5.323999999999973 1 20.223999999999965 0 5135 5463 3838; 1 4812 3259 1048 5351 5234 5679 1335; 
28.157999999999973 0 5.5579999999999705 1 22.599999999999994 0 5135 5463 3838; 1 4812 3259 1048 5351 5234 5679 1335 2317; 
31.243999999999964 0 5.74999999999997 1 25.493999999999968 0 5135 5463 3838; 1 4812 3259 1048 5351 5234 5679 1335 2317 6109; 
32.817999999999984 0 6.923999999999963 1 25.893999999999984 0 5135 5463 3838 3623; 1 4812 3259 1048 5351 5234 5679 1335 2317 6109; 
35.62399999999998 0 7.323999999999968 1 28.299999999999976 0 5135 5463 3838 3623; 1 4812 3259 1048 5351 5234 5679 1335 2317 6109 1628; 
38.83799999999995 0 7.511999999999962 1 31.325999999999958 0 5135 5463 3838 3623; 1 4812 3259 1048 5351 5234 5679 1335 2317 6109 1628 2411; 
40.37000000000002 0 6.573999999999972 1 33.796 0 5135 3838 3623; 1 4812 3259 1048 5351 3449 5234 5679 1335 2317 6109 1628 2411 586; 
41.886000000000024 0 6.669999999999967 1 35.215999999999994 0 5135 3838 3623; 1 4812 3259 1048 5351 3449 5234 5679 1335 2317 6109 1628 2411 586 4980; 
43.95800000000002 0 6.755999999999972 1 37.201999999999956 0 335 3838 3623; 1 4812 3259 1048 5351 3449 5234 5679 1335 2317 6109 1628 2411 586 4980 593; 
44.75 0 6.881999999999965 1 37.86800000000003 0 3623 3838 335; 1 3259 4812 2317 1048 1628 5234 6109 1335 593 2411 3449 586 5351 4980 5679 5785; 
48.261999999999986 0 7.163999999999963 1 41.098 0 3623 3838 335; 1 3259 4812 2317 1048 1628 5234 6109 1335 593 2411 3449 586 5351 4980 5679 3051 1315; 
49.178000000000054 0 7.303999999999964 1 41.873999999999995 0 3623 3838 335; 1 3259 4812 2317 1048 1628 5234 6109 1335 593 2411 3449 586 5351 4980 5679 3051 1315 3782; 
50.909999999999954 0 8.25799999999997 1 42.652 0 3623 3838 335 1595; 1 3259 4812 2317 1048 1628 5234 6109 1335 593 2411 3449 586 5351 4980 5679 3051 1315 3782; 
51.72199999999995 0 8.451999999999968 1 43.27000000000001 0 3623 3838 335 1595; 1 3259 4812 2317 1048 1628 4629 6109 1335 593 2411 3449 2628 5351 4980 5679 3051 1315 3782 2113; 
53.44799999999992 0 9.245999999999965 1 44.20200000000002 0 3623 3838 335 1595 4854; 1 3259 4812 2317 1048 1628 4629 6109 1335 593 2411 3449 5879 5351 4980 5679 3051 1315 3782 2113; 
55.91399999999992 0 9.423999999999968 1 46.48999999999995 0 3623 3838 335 4854 1595; 1 3259 4812 2317 1048 1628 4629 6109 1335 593 2411 3449 5879 5351 4980 5679 3051 2113 3782 1315 5834; 
55.86399999999996 0 11.435999999999968 1 44.42799999999998 0 3623 5140 3838 335 4854 1595 339; 1 3259 4812 2317 1048 2333 6109 1335 593 2411 3449 5879 5351 4980 5679 3051 2113 3782 1315 5615; 
58.58199999999995 0 12.735999999999969 1 45.84599999999999 0 3623 5140 3838 335 4854 1595 339 5463; 1 3259 4812 2317 1048 1628 6109 1335 593 2411 3449 586 5351 4980 5679 3051 2113 3782 1315 5615; 
60.464 0 11.797999999999966 1 48.66599999999999 0 3623 5140 3838 335 4854 1595 5463; 1 3259 4812 2317 1048 1628 6109 1335 593 2411 3449 586 5351 4980 5679 3051 2113 3782 1315 5834 5615 4436; 
