3.569999999999972 0 0.3880000000000003 1 3.1819999999999773 0 1 6109; 
5.9319999999999675 0 1.7080000000000013 1 4.223999999999967 0 3623; 1 6109; 
9.15599999999996 0 1.8940000000000015 1 7.261999999999968 0 3623; 1 6109 3449; 
11.23199999999996 0 2.209999999999995 1 9.021999999999965 0 3623; 1 6109 3449 5785; 
13.707999999999961 0 2.45199999999999 1 11.255999999999954 0 3623; 1 6109 3449 5785 1048; 
16.26399999999995 0 2.659999999999986 1 13.603999999999964 0 3623; 1 1048 6109 5785 3449 4985; 
18.489999999999963 0 3.971999999999978 1 14.517999999999962 0 3623 5135; 1 1048 6109 5785 3449 4985; 
22.369999999999987 0 4.331999999999977 1 18.037999999999972 0 3623 5135; 1 1048 6109 5785 3449 4985 1335; 
24.63399999999997 0 5.477999999999971 1 19.15599999999996 0 3623 5135 3838; 1 4985 5785 6109 3449 1048 1335; 
26.39399999999998 0 5.591999999999968 1 20.80199999999996 0 3623 5135 3838; 1 4985 5785 6109 3449 1048 1335 2628; 
28.485999999999944 0 6.777999999999965 1 21.707999999999988 0 3623 5135 3838 1595; 1 4985 5785 6109 3449 1048 1335 2628; 
31.793999999999976 0 7.137999999999962 1 24.65599999999998 0 3623 5135 3838 1595; 1 4985 5785 6109 3449 1048 1335 2628 4980; 
33.995999999999974 0 7.259999999999958 1 26.73599999999997 0 3623 3838 5135 1595; 1 5785 1048 6109 3449 4812 4985 1335 4980 97; 
34.913999999999994 0 7.325999999999968 1 27.587999999999973 0 3623 3838 5135 1595; 1 5785 1048 6109 3449 4812 4985 1335 4980 97 817; 
37.22 0 7.4979999999999665 1 29.721999999999927 0 3623 3838 5135 1595; 1 5785 1048 6109 3449 4812 4985 1335 4980 97 817 3782; 
38.27399999999994 0 7.6119999999999655 1 30.66199999999998 0 3623 3838 5135 1595; 1 5785 1048 6109 3449 4812 4985 1335 4980 97 817 3782 3348; 
40.809999999999995 0 7.695999999999965 1 33.114 0 3623 3838 5135 1595; 1 5785 1048 6109 3449 4812 4985 1335 4980 97 817 3782 3348 5234; 
43.306000000000054 0 8.085999999999963 1 35.21999999999999 0 3623 3838 5135 1595; 1 5785 1048 6109 3449 4812 4985 1335 4980 97 817 3782 3348 5234 1315; 
46.15799999999999 0 8.355999999999963 1 37.802000000000035 0 3623 3838 5135 1595; 1 5785 1048 6109 3449 4812 4985 1335 4980 97 817 3782 3348 1315 5234 605; 
46.73599999999996 0 9.167999999999967 1 37.56800000000004 0 3623 3838 5135 1595 4854; 1 5785 1048 6109 3449 4812 4985 1335 4980 97 817 3782 3348 1315 5234 605; 
48.08 0 10.14999999999997 1 37.930000000000014 0 3623 3838 5135 1595 4854 1228; 1 5785 1048 6109 3449 4812 4985 1335 4980 97 817 3782 3348 1315 5234 605; 
50.538000000000004 0 10.439999999999982 1 40.09800000000001 0 3623 3838 5135 1595 4854 1228; 1 5785 1048 6109 3449 4812 4985 1335 4980 97 3782 817 1315 3348 5234 605 5306; 
53.19999999999996 0 10.629999999999965 1 42.57000000000003 0 3623 3838 5135 1595 4854 1228; 1 5785 1048 6109 3449 2628 4985 1335 4980 97 3782 817 1315 3348 5234 605 5306 813; 
53.121999999999964 0 10.609999999999971 1 42.511999999999986 0 3623 3838 5135 1595 4854 1228; 1 5785 1048 6109 3449 2628 4985 1335 4980 97 3782 817 1315 3348 5234 605 5306 813 1628; 
55.57599999999996 0 10.743999999999973 1 44.83200000000002 0 3623 3838 5135 1595 1228 4854; 1 5785 1048 6109 3449 2628 4985 1335 4980 97 813 3348 1628 817 1315 5306 5234 605 3782 2411; 
57.68199999999996 0 11.817999999999966 1 45.86399999999999 0 3623 3838 5135 1595 1228 4854 4012; 1 5785 1048 6109 3449 2628 4985 1335 4980 97 813 3348 1628 817 1315 5306 5234 605 3782 2411; 
58.549999999999926 0 14.747999999999962 1 43.80200000000002 0 3623 3838 5135 1595 1074 2016 1228 4854 4012 1198; 1 5785 1048 6109 3449 2628 4985 1335 4980 97 813 1628 1315 5306 5234 605 3782 2411; 
59.87599999999996 0 13.789999999999964 1 46.08599999999999 0 3623 3838 5135 1595 4012 1198 1228 4854 2016; 1 5785 1048 6109 3449 2628 4985 1335 4980 97 5234 1628 1315 5306 3348 605 3782 813 2411 650; 
60.719999999999985 0 14.955999999999957 1 45.76400000000001 0 3623 3838 5135 1595 4012 1198 1228 4854 2016 2121; 1 5785 1048 6109 3449 2628 4985 1335 4980 97 5234 1628 1315 5306 3348 605 3782 813 2411 650; 
62.02000000000003 0 14.837999999999955 1 47.181999999999995 0 3623 3838 5135 1595 4012 1198 1228 4854 2016 2121; 1 5785 1048 6109 3449 2628 4985 1335 4980 97 5234 1628 1315 5306 3348 605 3782 813 2411 650 2317; 
65.04000000000008 0 15.299999999999955 1 49.73999999999995 0 3623 3838 5135 1595 4012 1198 1228 4854 2016 2121; 1 5785 1048 6109 3449 2628 4985 1335 4980 97 5234 1628 1315 5306 3348 605 3782 813 2411 650 2317 593; 
66.55800000000006 0 15.177999999999955 1 51.379999999999974 0 3623 3838 5135 1595 4012 1198 1228 4854 2016 2121; 1 5785 1048 6109 3449 2628 4985 1335 4980 97 5234 1628 1315 5306 3348 605 3782 813 2411 650 2317 593 677; 
67.71800000000002 0 15.351999999999963 1 52.365999999999964 0 3623 3838 5135 1595 4012 1198 1228 4854 2016 2121; 1 5785 1048 6109 3449 2628 4985 1335 4980 97 5234 1628 1315 5306 3348 605 3782 813 2411 650 2317 677 593 3030; 
68.98200000000008 0 16.417999999999992 1 52.56399999999996 0 3623 3838 5135 1595 4012 1198 1228 4854 2016 2121 4257; 1 5785 1048 6109 3449 2628 4985 1335 4980 97 5234 1628 1315 5306 3348 605 3782 813 2411 650 2317 677 593 3030; 
71.08200000000001 0 16.481999999999967 1 54.60000000000002 0 3623 3838 5135 1595 4012 1198 1228 4854 2016 2121 4257; 1 5785 1048 6109 3449 2628 4985 1335 4980 97 5234 1628 1315 5306 3348 605 3782 813 2411 650 2317 677 593 3030 5615; 
72.1340000000001 0 16.367999999999984 1 55.76599999999998 0 3623 3838 5135 1595 4854 2121 1228 4012 2016 4257 1198; 1 97 1315 3782 3449 813 5234 593 650 5785 4980 1628 5615 1335 3348 605 677 4985 2628 2317 2411 6109 3030 5306 1048 3259; 
74.03600000000003 0 16.61399999999998 1 57.42199999999996 0 3623 3838 5135 1595 4854 2121 1228 4012 2016 4257 1198; 1 97 1315 3782 3449 813 5234 593 650 5785 4980 1628 5615 1335 3348 605 677 4985 2628 2317 2411 6109 3030 5306 1048 3259 3634; 
75.10000000000008 0 16.707999999999963 1 58.39199999999996 0 3623 3838 5135 1595 2121 1228 4012 2016 4257 1198 5463; 1 97 1315 3782 3449 813 4629 593 3423 650 5785 4980 1628 5615 1335 3348 605 677 4985 5513 2317 2411 6109 3030 5306 1048 3259 3634; 
76.26200000000011 0 16.80399999999999 1 59.45799999999994 0 3623 4241 5135 1595 2121 1228 4012 2016 4257 1198 5463; 1 97 1315 3782 3449 813 4629 593 3423 650 5785 4980 1628 5615 1335 3348 605 677 4985 5513 2317 2411 6109 3030 5306 1048 3259 3634 3051; 
78.85800000000015 0 16.891999999999975 1 61.96599999999999 0 3623 4241 5135 1595 2121 1228 4012 2016 4257 1198 5463; 1 97 1315 3782 3449 813 4629 593 3423 650 5785 4980 1628 5615 1335 3348 605 677 4985 5513 2317 2411 6109 3030 5306 1048 3259 3634 3051 3010; 
