2.471999999999987 0 0.23800000000000018 1 2.233999999999995 0 1 3782; 
6.109999999999971 0 0.5640000000000004 1 5.545999999999973 0 1 3782 5234; 
8.465999999999973 0 0.8220000000000006 1 7.643999999999969 0 1 3782 5234 593; 
12.39999999999996 0 1.1900000000000008 1 11.209999999999965 0 1 3782 5234 593 4985; 
14.017999999999976 0 1.360000000000001 1 12.657999999999976 0 1 3782 5234 593 4985 3348; 
17.56399999999998 0 1.6560000000000012 1 15.907999999999959 0 1 3782 5234 593 4985 3348 3634; 
19.52799999999998 0 1.7760000000000014 1 17.751999999999995 0 1 5234 3782 4985 3348 3634 593 2317; 
21.96999999999997 0 3.0799999999999836 1 18.88999999999998 0 3623; 1 5234 3782 4985 3348 3634 593 2317; 
23.659999999999975 0 3.2039999999999793 1 20.455999999999957 0 3623; 1 5234 3782 4985 3348 3634 593 2317 5834; 
25.695999999999973 0 3.3079999999999794 1 22.387999999999973 0 3623; 1 5234 3782 4985 3348 3634 593 2317 5834 2382; 
28.891999999999967 0 3.853999999999975 1 25.037999999999947 0 3623; 1 5234 3782 4985 3348 3634 593 2317 5834 2382 4812; 
30.30799999999997 0 3.8139999999999783 1 26.49399999999995 0 3623; 1 5234 3782 4985 3348 3634 593 2317 5834 2382 4812 586; 
32.00599999999994 0 5.01599999999998 1 26.989999999999977 0 3623 5135; 1 5234 3782 4985 3348 3634 593 2317 5834 2382 4812 586; 
34.381999999999984 0 5.163999999999974 1 29.217999999999957 0 3623 5135; 1 5234 3782 4985 3348 3634 593 2317 5834 2382 4812 586 2411; 
36.56399999999998 0 5.485999999999975 1 31.07799999999995 0 3623 5135; 1 5234 3782 4985 3348 3634 593 2317 5834 2382 4812 586 2411 1315; 
39.698 0 5.699999999999969 1 33.99800000000001 0 3623 5135; 1 5234 3782 4985 3348 3634 593 2317 2382 5834 1315 4812 586 2411 4980; 
41.532 0 5.813999999999971 1 35.718000000000025 0 3623 5135; 1 5234 3782 4985 3348 3634 593 2317 2382 5834 1315 4812 586 2411 4980 3259; 
43.53600000000002 0 7.029999999999965 1 36.505999999999986 0 3623 5135 3838; 1 5234 3782 4985 3348 3634 593 2317 2382 5834 1315 4812 586 2411 4980 3259; 
44.87800000000004 0 8.069999999999961 1 36.80800000000004 0 3623 5135 3838 4854; 1 5234 3782 4985 3348 3634 593 2317 677 5834 1315 4812 586 2411 4980 3259; 
46.343999999999994 0 9.18599999999997 1 37.15800000000001 0 3623 5135 3838 4854 2053; 1 5234 3782 4985 3348 3634 593 2317 677 5834 1315 4812 586 2411 4980 3259; 
