2.993999999999973 0 0.3100000000000002 1 2.683999999999979 0 1 5785; 
6.431999999999969 0 0.6160000000000004 1 5.815999999999972 0 1 5785 5234; 
10.52599999999996 0 0.9840000000000008 1 9.541999999999968 0 1 5785 5234 1335; 
13.495999999999963 0 1.2360000000000009 1 12.259999999999975 0 1 5785 5234 1335 1628; 
16.247999999999976 0 1.5340000000000011 1 14.71399999999997 0 1 5785 5234 1335 1628 4985; 
18.50599999999997 0 1.7080000000000013 1 16.797999999999966 0 1 5785 5234 1335 1628 4985 639; 
21.155999999999956 0 1.9860000000000015 1 19.169999999999966 0 1 1335 1628 4985 639 5785 5234 2411; 
23.625999999999966 0 2.3219999999999947 1 21.303999999999974 0 1 1335 1628 4985 639 5785 5234 2411 605; 
24.973999999999986 0 2.3319999999999954 1 22.641999999999985 0 1 1335 1628 4985 639 5785 5234 2411 605 1048; 
27.63399999999999 0 2.6659999999999897 1 24.967999999999975 0 1 2411 5785 4985 639 1628 5234 605 1335 1048 3348; 
29.961999999999968 0 2.873999999999986 1 27.087999999999973 0 1 2411 5785 4985 639 1628 5234 605 1335 1048 3348 3449; 
30.675999999999956 0 4.033999999999974 1 26.641999999999978 0 5463; 1 2411 5785 4985 639 1628 5234 605 1335 1048 3348 4812; 
31.57199999999996 0 5.031999999999973 1 26.539999999999964 0 5463 3838; 1 2411 5785 4985 639 1628 5234 605 1335 1048 3348 4812; 
34.789999999999985 0 5.31199999999997 1 29.477999999999984 0 5463 3838; 1 2411 5785 4985 639 1628 5234 605 1335 1048 3348 4812 1315; 
37.622000000000014 0 5.393999999999971 1 32.227999999999945 0 5463 3838; 1 2411 5785 4985 639 1628 5234 605 1335 1048 3348 4812 1315 4980; 
39.296000000000035 0 6.7019999999999635 1 32.59399999999998 0 5463 3838 5135; 1 2411 5785 4985 639 1628 5234 605 1335 1048 3348 4812 1315 4980; 
41.29599999999998 0 6.885999999999961 1 34.40999999999997 0 5463 3838 5135; 1 2411 5785 4985 639 1628 5234 605 1335 1048 3348 4812 1315 4980 2113; 
43.327999999999996 0 7.859999999999957 1 35.46799999999996 0 5463 3838 5135 5; 1 2411 5785 4985 639 1628 5234 605 1335 1048 3059 4812 1315 4980 2113; 
44.756000000000014 0 7.907999999999964 1 36.848 0 5463 3838 5135 5; 1 2411 5785 4985 639 1628 5234 605 1335 1048 3059 4812 1315 4980 2113 677; 
46.95399999999999 0 9.219999999999969 1 37.733999999999995 0 5463 3838 5135 5 3623; 1 2411 5785 4985 639 1628 5234 605 1335 1048 3059 4812 1315 4980 2113 677; 
48.672 0 9.473999999999968 1 39.19799999999998 0 1198 5463 3838 5135 3623; 1 5785 4985 639 1628 5234 605 1335 1048 3059 4812 1315 4980 2113 5338 677 4436; 
