3.8239999999999683 0 0.36000000000000026 1 3.46399999999997 0 1 5234; 
7.251999999999965 0 0.6980000000000005 1 6.553999999999969 0 1 5234 4980; 
9.79399999999997 0 0.9840000000000008 1 8.809999999999969 0 1 5234 4980 5785; 
13.259999999999959 0 1.390000000000001 1 11.86999999999996 0 1 5234 4980 5785 1315; 
15.271999999999963 0 1.498000000000001 1 13.773999999999974 0 1 5234 4980 5785 1315 593; 
17.707999999999956 0 1.7200000000000013 1 15.987999999999959 0 1 5234 4980 5785 1315 593 639; 
19.269999999999964 0 2.9099999999999864 1 16.359999999999957 0 3623; 1 5234 4980 5785 593 639 1315; 
21.095999999999986 0 4.04399999999998 1 17.051999999999953 0 3623 3838; 1 5234 4980 5785 593 639 1315; 
24.049999999999976 0 5.399999999999968 1 18.649999999999967 0 3623 3838 5; 1 5234 4980 5785 593 639 1315; 
26.415999999999972 0 5.427999999999973 1 20.98799999999995 0 3623 3838 5; 1 5234 4980 5785 593 639 1315 2411; 
26.265999999999973 0 6.481999999999967 1 19.783999999999974 0 3623 3838 5 1595; 1 5234 3683 5785 593 639 1315 2411; 
29.533999999999963 0 7.8799999999999635 1 21.65399999999997 0 3623 3838 5 1595 1550; 1 5234 4980 5785 593 639 1315 2411; 
30.639999999999965 0 8.893999999999963 1 21.745999999999942 0 3623 1550 1595 3838 5 5135; 1 5234 4980 5785 593 639 1315 2411; 
33.94399999999998 0 9.161999999999965 1 24.78199999999996 0 3623 1550 1595 3838 5 5135; 1 5234 4980 5785 593 639 1315 2411 4985; 
36.77199999999998 0 9.485999999999976 1 27.285999999999962 0 3623 5135 3838 1595 5 1550; 1 5234 4980 5785 593 639 1315 4985 2411 6109; 
38.707999999999984 0 8.619999999999967 1 30.08799999999996 0 3623 5135 3838 1595 1550; 1 5234 3683 5785 593 639 1315 4985 3782 2411 6109 97; 
40.842 0 7.709999999999972 1 33.132 0 5135 3838 1595 1550; 1 5234 3683 5785 593 677 1315 2333 4985 3782 2411 6109 97 3449; 
43.65799999999998 0 7.965999999999969 1 35.69199999999998 0 5135 3838 1595 1550; 1 5234 4980 5785 593 677 1315 2333 4985 3782 2411 6109 97 3449 3348; 
45.54400000000005 0 8.215999999999966 1 37.328 0 5135 3838 1595 1550; 1 5234 4980 5785 593 677 1315 2333 4985 3782 2411 6109 97 3449 3348 586; 
47.13399999999997 0 8.00999999999997 1 39.123999999999995 0 5135 3838 1595 1550; 1 5234 4980 5785 593 639 1315 2333 4985 3782 2411 6109 97 3449 3348 586 677; 
49.21800000000002 0 8.379999999999969 1 40.83800000000003 0 3623 5135 3838 1595; 1 5234 4980 5785 593 639 1315 4985 3782 2730 2411 6109 97 3449 3348 586 677 1335; 
51.474 0 8.389999999999974 1 43.083999999999996 0 5135 3623 3838 1595; 1 3449 593 97 2730 4985 1335 4980 639 586 6109 5234 3348 2411 1315 3782 677 5785 2113; 
52.68799999999996 0 8.301999999999959 1 44.38600000000002 0 5135 3623 3838 1595; 1 3449 593 97 2730 4985 1335 4980 639 586 6109 5234 3348 2411 1315 3782 677 5785 2113 1048; 
54.87399999999995 0 10.78199999999996 1 44.09199999999997 0 5135 3623 3838 1595 5390 4854; 1 3449 593 97 2730 4985 1335 4980 639 586 6109 5234 3348 2411 1315 3782 677 5785 2113; 
55.727999999999994 0 10.767999999999965 1 44.95999999999997 0 5135 3623 3838 1595 5390 4854; 1 3449 593 97 2730 4985 1335 4980 639 586 6109 5234 3348 2411 1315 3782 677 5785 2113 1628; 
56.99799999999999 0 11.69599999999995 1 45.30199999999998 0 5135 3623 3838 1595 5390 4854 4012; 1 3449 593 97 2730 4985 1335 4980 639 586 6109 5234 3348 2411 1315 3782 677 5785 2113 1628; 
58.51599999999995 0 13.567999999999948 1 44.94799999999998 0 5135 3623 3838 1595 1074 5 5390 4854 4012; 1 3449 593 97 2730 4985 1335 3683 639 586 6109 5234 2411 1315 677 5785 2113 1628 4436; 
60.025999999999975 0 13.563999999999961 1 46.461999999999996 0 5135 3623 3838 1595 5 5390 4012 4854 1074; 1 3449 593 97 2730 4985 1335 3683 639 586 6109 5234 3348 2411 1315 677 5785 2113 1628 4436; 
61.739999999999995 0 13.07999999999995 1 48.65999999999992 0 5135 3623 3838 1595 5 5390 4012 1074; 1 2628 593 97 2730 4985 1335 3683 639 586 6109 5234 3348 2411 1315 677 5785 2113 1628 4436 3449 3939; 
63.894 0 14.843999999999946 1 49.04999999999999 0 5135 3623 3838 1595 1494 5 5390 4012 4854 1074; 1 3449 593 97 2730 4985 1335 3683 639 6109 5234 3348 2411 1315 677 5785 2113 1628 4436 3939 4209; 
64.50400000000003 0 15.005999999999956 1 49.498 0 5463 5135 3623 3838 1595 1494 5 5390 4012 1074; 1 593 97 2730 4985 1335 3683 639 6109 5234 3348 2411 1315 677 5785 2113 1628 4436 3449 3939 4209 5082; 
66.462 0 16.09399999999998 1 50.36799999999996 0 5463 5135 3623 3838 1595 1494 5 5390 4012 1074 3300; 1 593 97 2730 4985 1335 4980 639 6109 5234 3348 2411 1315 677 5785 2113 1628 4436 3449 3939 4209 5082; 
68.01800000000004 0 17.099999999999962 1 50.91799999999992 0 5463 5135 3623 3838 1595 1494 5 5390 4012 4854 1074 3300; 1 593 97 2730 4985 1335 4980 639 6109 5234 3348 2411 1315 677 5785 2113 1628 4436 4209 3939 5082 4812; 
69.61399999999999 0 16.37399999999996 1 53.24000000000001 0 5135 3623 3838 1595 5 5390 4012 4854 1074 3067 3300; 1 3449 593 97 2730 4985 1335 4980 639 586 6109 5234 3348 2411 1315 677 5785 2113 1628 4436 4209 3939 4812 2628; 
72.52800000000008 0 16.407999999999976 1 56.119999999999976 0 5390 5135 3623 3067 4854 3838 1595 1074 5 3300 4012; 1 2411 4209 1335 4980 639 586 3939 5234 4812 2113 677 5785 3449 1315 1628 3348 6109 2628 4985 2730 4436 97 593 2382; 
