2.369999999999984 0 0.20000000000000012 1 2.169999999999992 0 1 2234; 
5.613999999999977 0 0.4300000000000003 1 5.183999999999971 0 1 2234 1324; 
7.497999999999973 0 0.5660000000000004 1 6.931999999999977 0 1 2234 1324 507; 
9.773999999999962 0 0.6440000000000005 1 9.12999999999996 0 1 2234 507 1324 5721; 
11.561999999999966 0 0.7020000000000005 1 10.85999999999995 0 1 2234 507 1324 5721 1190; 
14.015999999999979 0 0.9020000000000007 1 13.11399999999998 0 1 2234 507 1324 5721 1190 5482; 
15.60199999999995 0 0.9800000000000008 1 14.62199999999996 0 1 2234 507 1324 5721 5482 1190 4202; 
16.773999999999972 0 0.9220000000000007 1 15.85199999999997 0 1 2234 507 1324 5721 5482 1190 4202 4225; 
19.437999999999967 0 1.0680000000000007 1 18.36999999999998 0 1 5721 4202 4225 1190 2234 1324 5482 507 4209; 
20.639999999999983 0 1.0840000000000007 1 19.555999999999987 0 1 5721 4202 4225 1190 2234 1324 5482 507 4209 2587; 
22.393999999999984 0 2.2739999999999916 1 20.11999999999996 0 1209; 1 5721 4202 4225 1190 2234 1324 5482 507 4209 2587; 
24.35799999999997 0 2.435999999999992 1 21.921999999999976 0 1209; 1 5721 4202 4225 1190 2234 1324 5482 507 4209 2587 4708; 
26.457999999999977 0 2.457999999999989 1 23.99999999999996 0 1209; 1 5721 4202 4225 1190 2234 1324 5482 507 4209 2587 4708 4493; 
28.099999999999948 0 2.469999999999991 1 25.629999999999956 0 1209; 1 5721 4202 4225 1190 2234 1324 5482 507 4209 2587 4708 4493 4249; 
30.369999999999973 0 3.761999999999982 1 26.607999999999983 0 1209 1074; 1 5721 4202 4225 1190 2234 1324 5482 507 4209 2587 4708 4493 4249; 
31.525999999999947 0 4.6819999999999755 1 26.84399999999996 0 1209 1074 1550; 1 5721 4202 4225 1190 2234 1324 5482 507 4209 2587 4708 4493 4249; 
33.55199999999999 0 4.9459999999999695 1 28.60599999999999 0 1209 1074 1550; 1 5721 4202 4225 1190 2234 1324 5482 507 4209 2587 4708 4493 4249 72; 
35.10999999999998 0 5.119999999999973 1 29.98999999999998 0 1209 1074 1550; 1 5721 4202 4225 1190 2234 1324 5482 507 4209 2587 4708 4493 4249 72 5082; 
36.339999999999975 0 6.27999999999996 1 30.05999999999997 0 1550 1074 1209 5698; 1 5721 4202 4225 1190 2234 1324 5482 507 4209 72 4493 5082 2587 4708 4249; 
37.69200000000002 0 6.039999999999959 1 31.65199999999996 0 1550 1074 1209 5698; 1 5721 4202 4225 1190 2234 1324 5482 507 4209 72 4493 5082 2587 4708 4249 4671; 
40.33400000000002 0 6.15599999999996 1 34.17799999999996 0 1550 1074 1209 5698; 1 5721 4202 4225 1190 2234 1324 5482 507 4209 72 4493 5082 2587 4708 4249 4671 54; 
42.26399999999999 0 6.383999999999963 1 35.87999999999996 0 1550 1074 1209 5698; 1 5721 4202 4225 1190 2234 1324 5482 507 4209 72 4493 5082 2587 4708 4249 4671 54 1216; 
43.314000000000036 0 6.429999999999956 1 36.883999999999986 0 1550 1074 1209 5698; 1 5721 4202 4225 1190 2234 1324 5482 507 4209 72 4493 5082 2587 4708 4249 4671 54 1216 1971; 
46.69000000000001 0 6.861999999999961 1 39.82799999999997 0 1550 1074 1209 5698; 1 5721 4202 4225 1190 2234 1324 5482 507 4209 72 4493 5082 2587 4708 4249 4671 54 1216 1971 1625; 
48.804 0 6.881999999999967 1 41.92199999999998 0 1550 1074 1209 5698; 1 5721 4202 4225 1190 2234 1324 5482 507 4209 72 4493 5082 2587 4708 4249 1216 4671 1625 1971 54 2855; 
49.45200000000004 0 7.967999999999966 1 41.48399999999999 0 1550 1074 1209 5698 5519; 1 5721 4202 4225 1190 2234 1324 5482 507 4209 72 4493 5082 2587 4708 4249 1216 4671 1625 1971 54 2855; 
51.23599999999995 0 8.029999999999966 1 43.20600000000001 0 1550 1074 1209 5698 5519; 1 5721 4202 4225 1190 2234 1324 5482 507 4209 72 4493 5082 2587 4708 4249 1216 4671 1625 1971 54 2855 1007; 
52.62599999999992 0 8.027999999999958 1 44.597999999999985 0 1550 1074 1209 5698 5519; 1 5721 4202 4225 1190 2234 1324 5482 507 4209 72 4493 5082 2587 4708 4249 1216 4671 1625 1971 54 2855 1007 5165; 
54.505999999999986 0 8.191999999999972 1 46.314000000000014 0 1550 1074 1209 5698 5519; 1 5721 4202 4225 1190 2234 1324 5482 507 4209 72 4493 5082 2587 4708 4249 1216 4671 1625 1971 54 2855 1007 5165 3374; 
56.55199999999992 0 8.281999999999968 1 48.270000000000024 0 1550 1074 1209 5698 5519; 1 5721 4202 4225 1190 2234 1324 5482 507 4209 72 4493 5082 2587 4708 4249 1216 4671 1625 1971 54 2855 5165 1007 3374 1245; 
56.67599999999988 0 8.137999999999966 1 48.537999999999975 0 1550 1074 1209 5698 5519; 1 5721 4202 4225 1190 2234 1324 5482 507 4209 72 4493 5082 2587 4708 4249 1216 4671 1625 1971 54 2855 5165 1007 3374 1245 1682; 
59.15999999999998 0 9.401999999999969 1 49.757999999999996 0 1550 1074 1209 5698 5519 3550; 1 5721 4202 4225 1190 2234 1324 5482 507 4209 72 4493 5082 2587 4708 4249 1216 4671 1625 1971 54 2855 5165 1007 3374 1245 1682; 
59.651999999999944 0 9.377999999999968 1 50.27400000000004 0 1550 1074 1209 5698 5519 3550; 1 5721 4202 4225 1190 2234 1324 5482 507 4209 72 4493 5082 2587 4708 4249 1216 4671 1625 1971 54 2855 5165 1007 3374 1245 1682 2993; 
62.086000000000055 0 9.543999999999965 1 52.541999999999966 0 1550 1074 1209 5698 5519 3550; 1 5721 4202 4225 1190 2234 1324 5482 507 4209 72 4493 5082 2587 4708 4249 1216 4671 1625 1971 54 2855 5165 1007 3374 1245 1682 2993 6109; 
63.52399999999997 0 9.619999999999974 1 53.90399999999992 0 5698 1074 1550 1209 3550 5519; 1 5721 4202 4225 1190 2234 1324 5482 507 4209 3374 2855 1682 4708 4249 1625 4671 5165 1007 2587 1216 54 5082 4493 1245 2993 1971 6109 72 3880; 
64.46800000000006 0 9.759999999999973 1 54.707999999999956 0 5698 1074 1550 1209 3550 5519; 1 5721 4202 4225 1190 2234 1324 5482 507 4209 3374 2855 1682 4708 4249 1625 4671 5165 1007 2587 1216 54 5082 4493 1245 2993 1971 6109 72 3880 4440; 
66.86200000000008 0 9.885999999999985 1 56.97599999999994 0 5698 1074 1550 1209 3550 5519; 1 5721 4202 4225 1190 2234 1324 5482 507 4209 3374 2855 1682 4708 4249 1625 4671 5165 1007 2587 1216 54 5082 4493 1245 2993 1971 6109 72 3880 4440 1792; 
67.66000000000003 0 9.899999999999977 1 57.75999999999998 0 5698 1074 1550 1209 3550 5519; 1 5721 4202 4225 1190 2234 1324 5482 507 4209 3374 2855 1682 4708 4249 1625 4671 5165 1007 2587 1216 54 5082 4493 1245 2993 1971 6109 72 3880 4440 1792 13; 
69.47000000000008 0 9.945999999999966 1 59.52399999999994 0 5698 1074 1550 1209 3550 5519; 1 5721 4202 4225 1190 2234 1324 5482 507 4209 3374 2855 1682 4708 4249 1625 4671 5165 1007 2587 1216 54 5082 4493 1245 2993 1971 6109 72 3880 4440 1792 13 5730; 
71.2980000000001 0 10.183999999999962 1 61.11399999999994 0 5698 1074 1550 1209 3550 5519; 1 5721 4202 4225 1190 2234 1324 5482 507 4209 3374 2855 1682 4708 4249 1625 4671 5165 1007 2587 1216 54 5082 4493 1245 2993 1971 6109 72 3880 4440 1792 13 5730 1540; 
