1.472000000000001 0 1.1460000000000008 1 0.3260000000000002 0 4241; 1 
2.6759999999999957 0 2.214 1 0.46200000000000024 0 4241 2744; 1 
5.403999999999978 0 2.5179999999999954 1 2.885999999999979 0 4241 2744; 1 4812; 
6.453999999999965 0 3.551999999999969 1 2.90199999999998 0 4241 2744 5140; 1 4812; 
8.183999999999951 0 3.595999999999968 1 4.587999999999982 0 4241 2744 5140; 1 4812 5035; 
10.139999999999972 0 3.7099999999999693 1 6.429999999999978 0 4241 2744 5140; 1 4812 5035 4992; 
11.901999999999965 0 3.745999999999968 1 8.15599999999997 0 4241 2744 5140; 1 4812 5035 4992 1119; 
13.95199999999996 0 3.8659999999999686 1 10.085999999999965 0 4241 2744 5140; 1 4812 5035 4992 1119 1691; 
16.543999999999958 0 4.153999999999974 1 12.389999999999967 0 5140 4241 2744; 1 1691 4992 5035 4812 1119 586; 
17.395999999999976 0 5.177999999999973 1 12.217999999999961 0 5140 4241 2744 2014; 1 1691 4992 5035 4812 1119 586; 
19.711999999999975 0 5.231999999999971 1 14.479999999999963 0 5140 4241 2744 2014; 1 1691 4992 5035 4812 1119 586 4279; 
21.114000000000004 0 5.3879999999999635 1 15.725999999999955 0 5140 4241 2744 2014; 1 1691 4992 5035 4812 1119 586 4279 1792; 
23.063999999999968 0 5.49999999999997 1 17.563999999999965 0 5140 4241 2744 2014; 1 1691 4992 5035 4812 1119 586 4279 1792 3463; 
24.563999999999982 0 6.5619999999999505 1 18.001999999999978 0 5140 4241 2744 2014 3168; 1 1691 4992 5035 4812 1119 586 4279 1792 3463; 
26.531999999999982 0 7.735999999999972 1 18.795999999999985 0 5140 4241 2744 2014 3168 4572; 1 1691 4992 5035 4812 1119 586 4279 1792 3463; 
27.201999999999952 0 7.793999999999971 1 19.407999999999973 0 5140 4241 2744 2014 3168 4572; 1 1691 4992 5035 4812 1119 586 4279 1792 3463 2980; 
29.919999999999963 0 7.749999999999971 1 22.169999999999956 0 5140 4241 2744 2014 3168 4572; 1 1691 4992 5035 4812 1119 586 4279 1792 3463 2980 1897; 
31.19599999999993 0 7.901999999999973 1 23.29399999999996 0 5140 4241 2744 2014 3168 4572; 1 1691 4992 5035 4812 1119 586 4279 1792 3463 2980 1897 4053; 
33.455999999999975 0 9.167999999999974 1 24.287999999999972 0 5140 4241 2744 2014 3168 4572 916; 1 1691 4992 5035 4812 1119 586 4279 1792 3463 2980 1897 4053; 
34.638000000000005 0 9.05199999999997 1 25.58599999999998 0 5140 4241 2744 2014 3168 4572 916; 1 1691 4992 5035 4812 1119 586 4279 1792 3463 2980 1897 4053 999; 
35.94600000000001 0 9.281999999999973 1 26.66399999999996 0 2014 5140 916 3168 2744 4572 4241; 1 586 5035 1119 3463 4992 1691 1792 4812 4053 2980 999 1897 4279 2587; 
37.60800000000002 0 9.281999999999984 1 28.32599999999997 0 2014 5140 916 3168 2744 4572 4241; 1 586 5035 1119 3463 4992 1691 1792 4812 4053 2980 999 1897 4279 2587 883; 
39.67000000000002 0 9.309999999999969 1 30.359999999999978 0 2014 5140 916 3168 2744 4572 4241; 1 586 5035 1119 3463 4992 1691 1792 4812 4053 2980 999 1897 4279 2587 883 11; 
42.04800000000002 0 9.43599999999997 1 32.61199999999996 0 2014 5140 916 3168 2744 4572 4241; 1 586 5035 1119 3463 4992 1691 1792 4812 4053 2980 999 1897 4279 2587 883 11 1324; 
43.45400000000003 0 9.387999999999973 1 34.06599999999996 0 2014 5140 916 3168 2744 4572 4241; 1 586 5035 1119 3463 4992 1691 1792 4812 4053 2980 999 1897 4279 2587 883 11 1324 1216; 
45.98000000000001 0 9.661999999999974 1 36.31799999999998 0 2014 5140 916 3168 2744 4572 4241; 1 586 5035 1119 3463 4992 1691 1792 4812 4053 2980 999 1897 4279 2587 883 11 1324 1216 639; 
47.94999999999997 0 9.737999999999978 1 38.21199999999998 0 2014 5140 916 3168 2744 4572 4241; 1 586 5035 1119 3463 4992 1691 1792 4812 4053 2980 999 1897 4279 2587 883 11 1324 1216 639 1261; 
48.53999999999994 0 10.823999999999964 1 37.716000000000015 0 2014 5140 916 3168 2744 4572 4241 773; 1 586 5035 1119 3463 4992 1691 1792 4812 4053 2980 999 1897 4279 2587 883 11 1324 1216 639 1261; 
50.456000000000024 0 10.833999999999966 1 39.622000000000014 0 2014 5140 916 3168 2744 4572 4241 773; 1 586 5035 1119 3463 4992 1691 1792 4812 4053 2980 999 1897 4279 2587 883 11 1324 639 1261 1216 4480; 
51.02400000000001 0 10.847999999999958 1 40.176000000000045 0 2014 5140 916 3168 2744 4572 4241 773; 1 586 5035 1119 3463 4992 1691 1792 4812 4053 2980 999 1897 4279 2587 883 11 1324 639 1261 1216 4480 4883; 
53.49399999999996 0 10.92399999999997 1 42.56999999999999 0 2014 5140 916 3168 2744 4572 4241 773; 1 586 5035 1119 3463 4992 1691 1792 4812 4053 2980 999 1897 4279 2587 883 11 1324 639 1261 1216 4480 4883 1771; 
54.717999999999954 0 10.88599999999997 1 43.83199999999998 0 2014 5140 916 3168 2744 4572 4241 773; 1 586 5035 1119 3463 4992 1691 1792 4812 4053 2980 999 1897 4279 2587 1324 1261 883 4480 4883 1771 639 1216 11 4441; 
57.52599999999991 0 11.193999999999962 1 46.33199999999999 0 2014 5140 916 3168 2744 4572 4241 773; 1 586 5035 1119 3463 4992 1691 1792 4812 4053 2980 999 1897 4279 2587 1324 1261 883 4480 4883 1771 639 1216 11 4441 3374; 
58.75799999999992 0 11.299999999999956 1 47.45800000000002 0 2014 5140 916 3168 2744 4572 4241 773; 1 586 5035 1119 3463 4992 1691 1792 4812 4053 2980 999 1897 4279 2587 1324 1261 883 4480 4883 1771 639 1216 11 4441 3374 1847; 
60.369999999999905 0 11.30399999999996 1 49.06600000000002 0 2014 5140 916 3168 2744 4572 4241 773; 1 586 5035 1119 3463 4992 1691 1792 4812 4053 2980 999 1897 4279 2587 1324 1261 883 4480 4883 1771 639 1216 11 4441 3374 1847 4036; 
61.94199999999994 0 12.387999999999947 1 49.55399999999996 0 2014 5140 916 3168 2744 4572 4241 773 4366; 1 586 5035 1119 3463 4992 1691 1792 4812 4053 2980 999 1897 4279 2587 1324 1261 883 4480 4883 1771 639 1216 11 4441 3374 1847 4036; 
62.185999999999986 0 12.51999999999995 1 49.66600000000002 0 2014 5140 916 3168 2744 4572 4241 4366 773; 1 586 5035 1119 3463 4992 1691 1792 4812 4053 2980 999 1897 4279 2587 4441 639 4036 883 4480 1847 1771 1216 11 1324 3374 4883 1261 3635; 
64.708 0 12.473999999999949 1 52.234000000000016 0 2014 5140 916 3168 2744 4572 4241 4366 773; 1 586 5035 1119 3463 4992 1691 1792 4812 4053 2980 999 1897 4279 2587 4441 639 4036 883 4480 1847 1771 1216 11 1324 3374 4883 1261 3635 5107; 
65.77199999999992 0 12.651999999999951 1 53.11999999999997 0 2014 5140 916 3168 2744 4572 4241 4366 773; 1 586 5035 1119 3463 4992 1691 1792 4812 4053 2980 999 1897 4279 2587 4441 639 4036 883 4480 1847 1771 1216 11 1324 3374 4883 1261 3635 5107 3683; 
68.04000000000002 0 12.74199999999996 1 55.29799999999995 0 2014 5140 916 3168 2744 4572 4241 4366 773; 1 586 5035 1119 3463 4992 1691 1792 4812 4053 2980 999 1897 4279 2587 4441 639 4036 883 4480 1847 1771 1216 11 1324 3374 4883 1261 3635 5107 3683 854; 
