1.8420000000000014 0 0.17800000000000013 1 1.6640000000000013 0 1 3683; 
3.753999999999986 0 0.22800000000000017 1 3.525999999999988 0 1 3683 1792; 
5.1739999999999835 0 0.2640000000000002 1 4.90999999999998 0 1 3683 1792 4883; 
7.543999999999968 0 0.34400000000000025 1 7.1999999999999735 0 1 3683 1792 4883 1137; 
9.095999999999965 0 0.4180000000000003 1 8.67799999999996 0 1 3683 1792 4883 1137 4099; 
11.245999999999976 0 0.6780000000000005 1 10.567999999999975 0 1 3683 4099 1792 1137 4883 1971; 
12.631999999999973 0 1.7840000000000014 1 10.847999999999969 0 5345; 1 3683 4099 1792 1137 4883 1971; 
15.403999999999963 0 2.0479999999999996 1 13.355999999999973 0 5345; 1 3683 4099 1792 1137 4883 1971 5834; 
17.217999999999964 0 3.2759999999999865 1 13.941999999999965 0 5345 4321; 1 3683 4099 1792 1137 4883 1971 5834; 
18.37399999999998 0 3.3359999999999865 1 15.037999999999967 0 5345 4321; 1 3683 4099 1792 1137 4883 1971 5834 3577; 
20.935999999999968 0 3.5079999999999787 1 17.42799999999995 0 5345 4321; 1 1971 4883 3577 3683 1137 1792 5834 4099 1897; 
22.42599999999999 0 3.561999999999983 1 18.86399999999997 0 5345 4321; 1 1971 4883 3577 3683 1137 1792 5834 4099 1897 135; 
24.128 0 3.5999999999999783 1 20.527999999999974 0 5345 4321; 1 1971 4883 3577 3683 1137 1792 5834 4099 1897 135 4473; 
24.34599999999999 0 4.599999999999974 1 19.745999999999977 0 5345 4321 5698; 1 1971 4883 3577 3683 1137 1792 5834 4099 1897 135 4473; 
26.79799999999994 0 4.811999999999974 1 21.985999999999976 0 5345 4321 5698; 1 1971 4883 3577 3683 1137 1792 5834 4099 1897 135 4473 5473; 
28.95799999999995 0 4.999999999999973 1 23.957999999999984 0 5698 4321 5345; 1 5473 135 3577 3683 1137 4883 5834 4099 1971 4473 1792 1897 1092; 
30.121999999999943 0 5.087999999999971 1 25.033999999999974 0 5698 4321 5345; 1 5473 135 3577 3683 1137 4883 5834 4099 1971 4473 1792 1897 1092 3088; 
32.67999999999998 0 5.2819999999999725 1 27.39799999999997 0 5698 4321 5345; 1 5473 135 3577 3683 1137 4883 5834 4099 1971 4473 1792 1897 1092 3088 4985; 
34.47599999999995 0 6.2279999999999625 1 28.24800000000002 0 5698 4321 5345 4572; 1 5473 135 3577 3683 1137 4883 5834 4099 1971 4473 1792 1897 1092 3088 4985; 
37.18199999999997 0 6.3459999999999654 1 30.83599999999995 0 5698 4321 5345 4572; 1 5473 135 3577 3683 1137 4883 5834 4099 1971 4473 1792 1897 1092 3088 4985 3552; 
37.964000000000006 0 6.397999999999962 1 31.565999999999985 0 5698 4321 5345 4572; 1 5473 135 3577 3683 1137 4883 5834 4099 1971 4473 1792 1897 1092 3088 4985 3552 3078; 
39.461999999999975 0 7.527999999999964 1 31.933999999999923 0 5698 4321 5345 4572 642; 1 5473 135 3577 3683 1137 4883 5834 4099 1971 4473 1792 1897 1092 3088 4985 3552 3078; 
40.96999999999999 0 8.595999999999968 1 32.373999999999995 0 5698 4321 5345 4572 642 1978; 1 5473 135 3577 3683 1137 4883 5834 4099 1971 4473 1792 1897 1092 3088 4985 3552 3078; 
42.19400000000001 0 9.699999999999966 1 32.49399999999995 0 5698 4321 5345 4572 642 1978 1049; 1 5473 135 3577 3683 1137 4883 5834 4099 1971 4473 1792 1897 1092 3088 4985 3552 3078; 
44.47000000000003 0 9.835999999999979 1 34.634 0 5698 4321 5345 4572 642 1978 1049; 1 5473 135 3577 3683 1137 4883 5834 4099 1971 4473 1792 1897 1092 3088 4985 3552 3078 937; 
46.09600000000001 0 9.957999999999968 1 36.138000000000034 0 5698 4321 5345 4572 642 1978 1049; 1 5473 135 3577 3683 1137 4883 5834 4099 1971 4473 1792 1897 1092 3088 4985 3552 3078 937 3259; 
47.85800000000002 0 10.065999999999972 1 37.79199999999997 0 5698 4321 5345 1978 642 1049 4572; 1 5473 135 3577 3683 1137 4883 5834 4099 1971 4473 1792 1897 1092 3552 937 3078 3088 4985 3259 13; 
49.49400000000004 0 10.075999999999977 1 39.41800000000007 0 5698 4321 5345 1978 642 1049 4572; 1 5473 135 3577 3683 1137 4883 5834 4099 1971 4473 1792 1897 1092 3552 937 3078 3088 4985 3259 13 573; 
