1.7180000000000013 0 0.08000000000000004 1 1.6380000000000012 0 1 1245; 
3.617999999999986 0 0.16200000000000012 1 3.455999999999988 0 1 1245 999; 
5.947999999999983 0 0.34800000000000025 1 5.599999999999984 0 1 1245 999 2343; 
7.461999999999965 0 1.488000000000001 1 5.9739999999999736 0 16; 1 1245 999 2343; 
8.80999999999996 0 1.494000000000001 1 7.315999999999963 0 16; 1 1245 999 2343 5757; 
10.081999999999965 0 1.5840000000000012 1 8.497999999999951 0 16; 1 999 2343 5757 1245 134; 
12.759999999999975 0 1.7920000000000014 1 10.967999999999975 0 16; 1 999 2343 5757 1245 134 1175; 
14.577999999999985 0 1.9440000000000015 1 12.633999999999967 0 16; 1 999 2343 5757 1245 134 1175 5017; 
16.163999999999977 0 3.0139999999999896 1 13.149999999999961 0 16 4058; 1 999 2343 5757 1245 134 5017 1175; 
18.05199999999994 0 2.999999999999988 1 15.05199999999997 0 16 4058; 1 999 2343 5757 1245 134 5017 1175 4462; 
18.483999999999952 0 3.0699999999999874 1 15.413999999999957 0 16 4058; 1 999 2343 5757 1245 134 5017 1175 4462 4535; 
21.434 0 3.279999999999983 1 18.153999999999964 0 16 4058; 1 999 2343 5757 1245 134 5017 1175 4462 4535 947; 
23.679999999999993 0 3.4719999999999827 1 20.20799999999998 0 16 4058; 1 999 2343 5757 1245 134 5017 1175 4462 4535 947 3161; 
24.977999999999962 0 3.4839999999999836 1 21.493999999999982 0 16 4058; 1 999 2343 5757 1245 134 5017 1175 947 3161 4462 4535 4992; 
26.709999999999944 0 3.623999999999981 1 23.085999999999967 0 16 4058; 1 999 2343 5757 1245 134 5017 1175 947 3161 4462 4535 4992 2930; 
28.51799999999995 0 3.6859999999999826 1 24.831999999999983 0 16 4058; 1 999 2343 5757 1245 134 5017 1175 947 3161 4462 4535 4992 2930 4629; 
31.173999999999968 0 3.909999999999978 1 27.26399999999998 0 16 4058; 1 999 2343 5757 1245 134 5017 1175 947 3161 4462 4535 4992 2930 4629 1138; 
32.965999999999966 0 3.9459999999999753 1 29.01999999999998 0 16 4058; 1 999 2343 5757 1245 134 5017 1175 947 3161 4462 4535 4992 1138 4629 2930 695; 
34.05399999999997 0 5.037999999999979 1 29.015999999999977 0 16 4058 5140; 1 999 2343 5757 1245 134 5017 1175 947 3161 4462 4535 4992 1138 4629 2930 695; 
35.947999999999986 0 6.235999999999966 1 29.711999999999954 0 16 4058 5140 5135; 1 999 2343 5757 1245 134 5017 1175 947 3161 4462 4535 4992 1138 4629 2930 695; 
37.181999999999995 0 6.163999999999964 1 31.01799999999997 0 16 4058 5140 5135; 1 999 2343 5757 1245 134 5017 1175 947 3161 4462 4535 4992 4629 2930 695 1138 1682; 
39.196 0 6.31999999999996 1 32.875999999999934 0 16 4058 5140 5135; 1 999 2343 5757 1245 134 5017 1175 947 3161 4462 4535 4992 4629 2930 695 1138 1682 573; 
41.260000000000026 0 6.32199999999996 1 34.937999999999974 0 5140 16 4058 5135; 1 2343 573 2930 4535 1138 3161 1682 5017 999 1175 1245 4992 695 5757 947 4462 4629 134 2495; 
41.65399999999998 0 6.40999999999996 1 35.244 0 5140 16 4058 5135; 1 2343 573 2930 4535 1138 3161 1682 5017 999 1175 1245 4992 695 5757 947 4462 4629 134 2495 2993; 
43.81000000000004 0 6.553999999999962 1 37.25599999999997 0 5140 16 4058 5135; 1 2343 573 2930 4535 1138 3161 1682 5017 999 1175 1245 4992 695 5757 947 4462 4629 134 2495 2993 5053; 
44.84000000000002 0 6.37599999999997 1 38.46400000000005 0 5140 16 4058 5135; 1 2343 573 2930 4535 1138 3161 1682 5017 999 1175 1245 4992 695 5757 947 4462 4629 134 2495 2993 5053 1792; 
46.83000000000002 0 7.605999999999962 1 39.22399999999997 0 5140 16 4058 5135 1209; 1 2343 573 2930 4535 1138 3161 1682 5017 999 1175 1245 4992 695 5757 947 4462 4629 134 2495 2993 5053 1792; 
48.08599999999996 0 8.807999999999964 1 39.27799999999997 0 5140 16 4058 5135 1209 1477; 1 2343 573 2930 4535 1138 3161 1682 5017 999 1175 1245 4992 695 5757 947 4462 4629 134 2495 2993 5053 1792; 
50.29 0 8.94599999999997 1 41.34399999999999 0 5140 16 4058 5135 1209 1477; 1 2343 573 2930 4535 1138 3161 1682 5017 999 1175 1245 4992 695 5757 947 4462 4629 134 2495 5053 2993 1792 5035; 
