1.0560000000000007 0 0.006 1 1.0460000000000007 2 0.004 0 1 12389772; 2 
2.314 0 0.066 1 2.2 2 0.04800000000000003 0 1 12389772 22523228; 2 
3.3439999999999634 0 0.06000000000000002 1 3.2339999999999645 2 0.05000000000000002 0 1 12389772 22523228 14167991; 2 
6.78999999999996 0 2.875999999999985 1 3.8379999999999685 2 0.07600000000000005 0 22461427; 1 12389772 14167991 14785887; 2 
10.993999999999964 0 3.3879999999999786 1 6.197999999999966 2 1.408000000000001 0 22461427; 1 2384071 14167991 14785887; 2 17850012; 
12.243999999999957 0 3.5319999999999814 1 7.357999999999964 2 1.354000000000001 0 22461427; 1 2384071 22523228 14167991 14785887; 2 17850012; 
13.205999999999964 0 3.5039999999999814 1 7.311999999999959 2 2.3899999999999966 0 22461427; 1 2384071 22523228 14167991 14785887; 2 17850012 16420606; 
14.18999999999996 0 4.531999999999979 1 7.301999999999966 2 2.3559999999999985 0 22461427 14813714; 1 22523228 14785887 14167991 2384071; 2 17850012 16420606; 
15.331999999999962 0 4.573999999999971 1 7.397999999999963 2 3.35999999999997 0 22461427 14813714; 1 22523228 14785887 14167991 2384071; 2 17850012 16420606 16788703; 
15.897999999999975 0 4.4359999999999795 1 7.081999999999956 2 4.37999999999999 0 22461427 14813714; 1 22523228 14785887 14167991 2384071; 2 17850012 16420606 16788703 24863940; 
17.363999999999997 0 4.627999999999971 1 8.397999999999966 2 4.337999999999991 0 22461427 14813714; 1 22523228 14785887 14167991 2384071 22242176; 2 17850012 16420606 16788703 24863940; 
18.265999999999973 0 4.557999999999972 1 9.331999999999974 2 4.375999999999987 0 22461427 14813714; 1 22523228 14785887 14167991 12389772 22242176 2384071; 2 17850012 16420606 16788703 24863940; 
19.177999999999976 0 4.451999999999973 1 10.389999999999967 2 4.33599999999999 0 22461427 14813714; 1 22523228 14785887 14167991 12389772 22242176 2384071 17305642; 2 17850012 16420606 16788703 24863940; 
20.309999999999985 0 4.6159999999999775 1 11.42199999999996 2 4.271999999999991 0 14813714 22461427; 1 12389772 17305642 14167991 2384071 22523228 22242176 14785887 797018; 2 24863940 16788703 16420606 17850012; 
21.429999999999986 0 4.571999999999975 1 12.479999999999944 2 4.377999999999988 0 14813714 22461427; 1 12389772 17305642 14167991 2384071 22523228 22242176 14785887 797018 17201112; 2 24863940 16788703 16420606 17850012; 
22.727999999999938 0 4.549999999999975 1 13.799999999999944 2 4.377999999999989 0 14813714 22461427; 1 12389772 17305642 14167991 2384071 22523228 22242176 14785887 797018 17201112 37975185; 2 24863940 16788703 16420606 17850012; 
23.72999999999991 0 4.5439999999999765 1 14.757999999999953 2 4.427999999999985 0 14813714 22461427; 1 12389772 17305642 14167991 2384071 22523228 22242176 14785887 797018 17201112 37975185 43199935; 2 24863940 16788703 16420606 17850012; 
25.36799999999993 0 4.853999999999976 1 16.039999999999974 2 4.473999999999983 0 14813714 22461427; 1 12389772 17305642 14167991 2384071 22523228 22242176 14785887 797018 17201112 37975185 43199935 15105269; 2 24863940 16788703 16420606 17850012; 
26.42999999999993 0 4.775999999999971 1 17.227999999999984 2 4.425999999999987 0 14813714 22461427; 1 12389772 17305642 14167991 2384071 22523228 22242176 14785887 797018 17201112 37975185 43199935 15105269 23344327; 2 24863940 16788703 16420606 17850012; 
27.607999999999933 0 5.769999999999971 1 17.361999999999973 2 4.475999999999985 0 22461427 14813714 18888190; 1 12389772 17305642 14167991 2384071 22523228 17201112 797018 37975185 23344327 15105269 14785887 22242176 43199935; 2 16420606 24863940 16788703 17850012; 
29.113999999999972 0 6.161999999999971 1 18.446000000000005 2 4.505999999999984 0 22461427 14813714 7376382; 1 12389772 17305642 14167991 2384071 22523228 17201112 797018 37975185 23344327 15105269 14785887 22242176 43199935 27120518; 2 16420606 24863940 16788703 17850012; 
29.93599999999995 0 6.089999999999969 1 19.403999999999986 2 4.441999999999985 0 22461427 14813714 7376382; 1 12389772 17305642 14167991 2384071 22523228 17201112 797018 37975185 23344327 15105269 14785887 22242176 43199935 27120518 8043172; 2 16420606 24863940 16788703 17850012; 
31.319999999999997 0 6.159999999999971 1 20.687999999999978 2 4.4719999999999835 0 22461427 14813714 7376382; 1 12389772 17305642 14167991 2384071 22523228 17201112 797018 37975185 23344327 15105269 14785887 22242176 43199935 27120518 8043172 15184942; 2 16420606 24863940 16788703 17850012; 
32.37399999999998 0 7.137999999999962 1 20.735999999999954 2 4.499999999999983 0 14551274 14813714 7376382 22461427; 1 12389772 17305642 14167991 2384071 22523228 17201112 797018 37975185 23344327 15105269 14785887 22242176 43199935 27120518 8043172 15184942; 2 16420606 24863940 16788703 17850012; 
33.55000000000002 0 7.15799999999996 1 21.90999999999999 2 4.481999999999986 0 14551274 14813714 7376382 22461427; 1 12389772 17305642 14167991 2384071 22523228 17201112 797018 37975185 23344327 15105269 14785887 22242176 43199935 27120518 8043172 15184942 16102437; 2 16420606 24863940 16788703 17850012; 
34.98400000000003 0 8.359999999999971 1 23.069999999999972 2 3.553999999999968 0 20466461 14551274 14813714 7376382 22461427; 1 15184942 14167991 2384071 22523228 17201112 8043172 37975185 27120518 23344327 16102437 14785887 22242176 12389772 43199935 15105269 797018 17305642 41773112; 2 16420606 17850012 24863940; 
36.680000000000064 0 8.329999999999973 1 24.84399999999993 2 3.5059999999999705 0 20466461 14813714 7376382 22461427 17582384; 1 15184942 14167991 2384071 22523228 17201112 8043172 16004411 37975185 27120518 23344327 16102437 14785887 22242176 12389772 43199935 15105269 797018 17305642 41773112; 2 16420606 17850012 24863940; 
37.07800000000006 0 9.087999999999962 1 24.513999999999925 2 3.4759999999999684 0 20466461 14813714 33437822 22461427 17582384 15572221; 1 23344327 15184942 14167991 2384071 22523228 17201112 8043172 16004411 37975185 27120518 41773112 16102437 14785887 22242176 12389772 43199935 15105269 797018 17305642; 2 17850012 24863940 16420606; 
