1.0640000000000007 0 0.008 1 1.0400000000000007 2 0.016 0 1 12389772; 2 
2.230000000000001 0 0.06600000000000002 1 2.1440000000000015 2 0.020000000000000004 0 1 12389772 22523228; 2 
4.7219999999999756 0 0.3960000000000003 1 3.0519999999999863 2 1.274000000000001 0 1 12389772 22523228; 2 17850012; 
9.75799999999998 0 3.473999999999979 1 4.915999999999973 2 1.368000000000001 0 22461427; 1 2384071 37975185; 2 17850012; 
10.98599999999997 0 3.5499999999999776 1 6.045999999999967 2 1.390000000000001 0 22461427; 1 2384071 22523228 37975185; 2 17850012; 
11.831999999999965 0 4.547999999999972 1 5.937999999999969 2 1.346000000000001 0 22461427 19748714; 1 2384071 22523228 37975185; 2 17850012; 
12.967999999999961 0 4.639999999999971 1 6.989999999999962 2 1.338000000000001 0 22461427 19748714; 1 12389772 22523228 37975185 2384071; 2 17850012; 
13.86799999999996 0 4.5199999999999765 1 6.989999999999963 2 2.357999999999997 0 19748714 22461427; 1 12389772 37975185 22523228 2384071; 2 17850012 16420606; 
14.979999999999965 0 4.523999999999977 1 7.087999999999971 2 3.3679999999999706 0 19748714 22461427; 1 12389772 37975185 22523228 2384071; 2 17850012 16420606 24863940; 
16.541999999999966 0 4.615999999999974 1 8.59599999999997 2 3.32999999999997 0 19748714 22461427; 1 12389772 37975185 22523228 2384071 16447060; 2 17850012 24863940 16788703; 
17.329999999999988 0 4.509999999999978 1 9.48999999999997 2 3.329999999999969 0 19748714 22461427; 1 12389772 37975185 22523228 14167991 16447060 2384071; 2 17850012 16788703 24863940; 
18.083999999999985 0 4.5919999999999686 1 9.163999999999968 2 4.327999999999989 0 19748714 22461427; 1 12389772 37975185 22523228 14167991 2384071 27486099; 2 17850012 16420606 16788703 24863940; 
19.225999999999992 0 4.525999999999972 1 10.31799999999996 2 4.3819999999999855 0 19748714 22461427; 1 12389772 37975185 22523228 14167991 2384071 27486099 23344327; 2 17850012 17492541 16788703 24863940; 
20.61999999999997 0 4.713999999999973 1 11.493999999999968 2 4.411999999999989 0 19748714 22461427; 1 12389772 37975185 22523228 14167991 2384071 27486099 23344327 14785887; 2 17850012 17492541 16788703 24863940; 
21.841999999999967 0 4.589999999999978 1 12.819999999999947 2 4.431999999999986 0 19748714 22461427; 1 12389772 37975185 22523228 14167991 2384071 27486099 23344327 14785887 17201112; 2 17850012 17492541 16788703 24863940; 
22.533999999999963 0 5.4879999999999685 1 12.65599999999995 2 4.389999999999987 0 14813714 18162730 22461427; 1 12389772 37975185 22523228 14167991 2384071 27486099 23344327 14785887 17201112; 2 17850012 17492541 16788703 24863940; 
23.692 0 5.647999999999972 1 13.62199999999995 2 4.421999999999986 0 14813714 18162730 22461427; 1 12389772 37975185 22523228 14167991 2384071 27486099 23344327 14785887 17201112 22463905; 2 17850012 17492541 16788703 24863940; 
24.889999999999976 0 5.713999999999968 1 14.727999999999957 2 4.447999999999983 0 14813714 18162730 22461427; 1 12389772 37975185 22523228 14167991 2384071 27486099 23344327 14785887 17201112 22463905 14909369; 2 17850012 17492541 16788703 24863940; 
26.023999999999926 0 5.77999999999997 1 15.859999999999985 2 4.383999999999986 0 14813714 18162730 22461427; 1 12389772 37975185 22523228 14167991 2384071 27486099 23344327 14785887 17201112 22463905 14909369 22242176; 2 17850012 17492541 16788703 24863940; 
