1.0740000000000007 0 0.006 1 1.0440000000000007 2 0.024000000000000007 0 1 12389772; 2 
2.1360000000000015 0 1.0480000000000007 1 1.0620000000000007 2 0.026000000000000002 0 14813714; 1 12389772; 2 
3.279999999999963 0 1.0500000000000007 1 2.196000000000001 2 0.034 0 14813714; 1 12389772 22523228; 2 
6.503999999999964 0 3.7819999999999765 1 2.6359999999999917 2 0.08600000000000005 0 14813714 22461427; 1 12389772 22523228; 2 
11.201999999999966 0 4.535999999999971 1 5.263999999999974 2 1.402000000000001 0 22461427 14813714; 1 2384071 22523228; 2 17850012; 
11.79399999999995 0 4.3939999999999735 1 6.019999999999971 2 1.380000000000001 0 22461427 14813714; 1 2384071 22523228 8043172; 2 17850012; 
12.941999999999952 0 4.493999999999974 1 7.111999999999959 2 1.336000000000001 0 14813714 22461427; 1 8043172 22523228 2384071 797018; 2 17850012; 
14.147999999999955 0 4.535999999999973 1 8.257999999999967 2 1.354000000000001 0 14813714 22461427; 1 8043172 22523228 2384071 797018 14785887; 2 17850012; 
15.427999999999953 0 4.595999999999972 1 9.433999999999985 2 1.398000000000001 0 14813714 22461427; 1 8043172 22523228 2384071 797018 14785887 19360333; 2 17850012; 
16.093999999999966 0 4.481999999999977 1 9.271999999999972 2 2.339999999999999 0 14813714 22461427; 1 8043172 22523228 2384071 797018 14785887 19360333; 2 17850012 24863940; 
17.215999999999976 0 4.549999999999977 1 9.321999999999974 2 3.3439999999999674 0 14813714 22461427; 1 8043172 22523228 797018 19360333 2384071 14785887; 2 24863940 17850012 16420606; 
18.38399999999999 0 4.481999999999975 1 10.505999999999965 2 3.39599999999997 0 14813714 22461427; 1 8043172 22523228 797018 19360333 2384071 14785887 17201112; 2 24863940 17850012 16420606; 
19.478 0 4.513999999999974 1 11.527999999999954 2 3.43599999999997 0 14813714 22461427; 1 8043172 22523228 797018 19360333 2384071 14785887 17201112 37975185; 2 24863940 17850012 16420606; 
21.239999999999977 0 4.8059999999999725 1 13.027999999999944 2 3.4059999999999686 0 14813714 22461427; 1 8043172 17173775 797018 19360333 2384071 14785887 17201112 37975185 23344327; 2 24863940 17850012 16420606; 
22.028000000000006 0 4.6999999999999735 1 13.867999999999949 2 3.4599999999999693 0 14813714 22461427; 1 8043172 22523228 797018 19360333 2384071 14785887 17201112 37975185 23344327 14167991; 2 24863940 17850012 16420606; 
24.081999999999947 0 4.889999999999975 1 15.699999999999958 2 3.491999999999969 0 14813714 22461427; 1 8043172 17173775 797018 19360333 2384071 14785887 17201112 37975185 23344327 14167991 16004411; 2 24863940 17850012 16420606; 
24.707999999999956 0 5.607999999999973 1 15.63799999999997 2 3.4619999999999695 0 14813714 22461427 19045839; 1 8043172 22523228 797018 19360333 2384071 14785887 17201112 16004411 37975185 23344327 14167991; 2 24863940 17850012 16420606; 
26.33799999999993 0 5.9299999999999695 1 16.955999999999978 2 3.451999999999969 0 14813714 22461427 19045839; 1 8043172 17173775 797018 19360333 2384071 14785887 17201112 16004411 37975185 23344327 14167991 16102437; 2 24863940 17850012 16420606; 
27.527999999999935 0 6.071999999999974 1 17.990000000000013 2 3.465999999999969 0 14813714 22461427 21470154; 1 8043172 17173775 797018 19360333 12389772 14785887 17201112 16004411 37975185 23344327 14167991 16102437 2384071; 2 24863940 17850012 16420606; 
27.965999999999926 0 5.787999999999964 1 18.736000000000008 2 3.441999999999968 0 14813714 22461427 21470154; 1 8043172 22523228 797018 19360333 12389772 14785887 17201112 16004411 37975185 23344327 14167991 16102437 2384071 26348935; 2 24863940 17850012 16420606; 
29.341999999999956 0 5.841999999999969 1 20.044000000000008 2 3.45599999999997 0 14813714 22461427 21470154; 1 8043172 22523228 797018 19360333 12389772 14785887 17201112 16004411 928881 23344327 14167991 16102437 2384071 26348935 14451294; 2 24863940 17850012 16420606; 
30.835999999999974 0 7.053999999999963 1 20.30399999999999 2 3.477999999999971 0 11350892 14813714 19045839 22461427; 1 17486893 23344327 8043172 17201112 2384071 14451294 16102437 26348935 14785887 16004411 14167991 37975185 12389772 19360333 797018; 2 16420606 17850012 24863940; 
32.29199999999999 0 7.333999999999965 1 21.46199999999995 2 3.4959999999999702 0 11350892 14813714 22461427 9922122; 1 17486893 23344327 8043172 17201112 2384071 14451294 16102437 26348935 14785887 16004411 14167991 37975185 12389772 19360333 797018 22040276; 2 16420606 17850012 24863940; 
33.45599999999999 0 7.235999999999968 1 22.701999999999984 2 3.517999999999967 0 11350892 14813714 22461427 9922122; 1 17486893 23344327 8043172 17201112 2384071 14451294 16102437 26348935 14785887 16004411 14167991 928881 12389772 19360333 797018 22040276 15184942; 2 16420606 17850012 24863940; 
34.51800000000004 0 8.431999999999974 1 22.579999999999973 2 3.50599999999997 0 11350892 14813714 22461427 9922122 29863027; 1 17486893 23344327 8043172 17201112 2384071 14451294 16102437 26348935 14785887 16004411 14167991 928881 12389772 19360333 797018 22040276 15184942; 2 16420606 17850012 24863940; 
36.11200000000005 0 8.629999999999967 1 23.967999999999964 2 3.5139999999999705 0 11350892 14813714 22461427 9922122 29863027; 1 17486893 23344327 8043172 17201112 2384071 14451294 16102437 26348935 14785887 16004411 14167991 928881 12389772 19360333 797018 22040276 15184942 15105269; 2 16420606 17850012 24863940; 
36.55800000000002 0 8.465999999999967 1 23.585999999999938 2 4.5059999999999825 0 11350892 14813714 22461427 9922122 29863027; 1 16004411 23344327 8043172 17201112 2384071 14451294 16102437 26348935 14785887 14167991 17451621 12389772 19360333 797018 22040276 15184942 15105269 43199935; 2 16420606 16788703 17850012 24863940; 
