2.5559999999999885 0 0.2920000000000002 1 0.9820000000000008 2 1.282000000000001 0 1 2 17850012; 
4.261999999999977 0 1.454000000000001 1 2.739999999999987 2 0.06800000000000002 0 14813714; 1 2384071; 2 
8.691999999999965 0 3.413999999999979 1 3.9039999999999755 2 1.374000000000001 0 22461427; 1 2384071; 2 17850012; 
10.051999999999959 0 3.53399999999998 1 5.143999999999976 2 1.374000000000001 0 22461427; 1 2384071 22523228; 2 17850012; 
10.831999999999972 0 4.517999999999971 1 4.983999999999973 2 1.330000000000001 0 22461427 14813714; 1 22523228 2384071; 2 17850012; 
9.899999999999967 0 4.067999999999977 1 4.541999999999973 2 1.290000000000001 0 22461427 14813714; 1 22523228 12389772 15912438; 2 17850012; 
13.093999999999957 0 4.545999999999978 1 7.157999999999965 2 1.390000000000001 0 22461427 14813714; 1 22523228 12389772 2384071 14785887; 2 17850012; 
14.063999999999947 0 4.371999999999975 1 7.323999999999965 2 2.3679999999999977 0 22461427 14813714; 1 22523228 12389772 2384071 14785887; 2 17850012 16420606; 
15.007999999999972 0 4.491999999999973 1 7.157999999999965 2 3.357999999999968 0 22461427 14813714; 1 22523228 12389772 2384071 14785887; 2 17850012 16420606 24863940; 
16.06399999999997 0 4.425999999999975 1 7.267999999999968 2 4.369999999999988 0 14813714 22461427; 1 22523228 2384071 12389772 14785887; 2 16420606 17850012 24863940 16788703; 
17.39799999999997 0 4.605999999999976 1 8.39999999999997 2 4.391999999999989 0 14813714 22461427; 1 22523228 2384071 12389772 14785887 17201112; 2 16420606 17850012 24863940 16788703; 
14.253999999999955 0 3.4699999999999656 1 6.495999999999955 2 4.287999999999989 0 14813714 18162730 9922122; 1 22523228 14167991 12389772 14785887 17201112; 2 16420606 17850012 24863940 16788703; 
15.301999999999984 0 3.4559999999999667 1 7.513999999999969 2 4.331999999999987 0 14813714 18162730 9922122; 1 22523228 14167991 12389772 14785887 17201112 21494085; 2 16420606 17850012 24863940 16788703; 
20.359999999999978 0 4.5359999999999765 1 11.461999999999952 2 4.361999999999986 0 14813714 22461427; 1 22523228 14167991 12389772 14785887 2384071 17201112 21494085 8043172; 2 16420606 17850012 24863940 16788703; 
17.48200000000001 0 3.5099999999999683 1 9.639999999999974 2 4.331999999999989 0 14813714 18162730 9922122; 1 22523228 14167991 12389772 14785887 17201112 21494085 8043172 797018; 2 16420606 17850012 24863940 16788703; 
22.47399999999994 0 5.5399999999999725 1 12.487999999999948 2 4.445999999999984 0 14813714 22461427 33437822; 1 22523228 14167991 12389772 14785887 2384071 17201112 21494085 8043172 797018; 2 16420606 17850012 24863940 16788703; 
24.067999999999955 0 5.859999999999966 1 13.819999999999956 2 4.387999999999987 0 7376382 22461427 14813714; 1 2384071 14167991 8043172 797018 22523228 21494085 14785887 17201112 12389772 37975185; 2 17850012 24863940 16420606 16788703; 
24.899999999999938 0 6.853999999999961 1 13.677999999999956 2 4.367999999999985 0 7376382 18162730 14813714 22461427; 1 2384071 14167991 8043172 797018 22523228 21494085 14785887 17201112 12389772 37975185; 2 17850012 24863940 16420606 16788703; 
26.103999999999935 0 6.887999999999962 1 14.825999999999965 2 4.3899999999999855 0 7376382 18162730 14813714 22461427; 1 2384071 14167991 8043172 797018 22523228 21494085 14785887 17201112 12389772 37975185 41773112; 2 17850012 24863940 16420606 16788703; 
