1.0600000000000007 0 0.002 1 1.0460000000000007 2 0.012 0 1 12389772; 2 
2.1360000000000015 0 1.0220000000000007 1 1.0820000000000007 2 0.032 0 18162730; 1 12389772; 2 
4.539999999999975 0 0.33400000000000024 1 2.9119999999999906 2 1.294000000000001 0 1 12389772 22523228; 2 17850012; 
7.923999999999966 0 3.1399999999999815 1 3.4919999999999827 2 1.292000000000001 0 22461427; 1 12389772 22523228; 2 17850012; 
8.82799999999997 0 4.055999999999977 1 3.487999999999981 2 1.284000000000001 0 22461427 14813714; 1 12389772 22523228; 2 17850012; 
9.819999999999972 0 4.091999999999974 1 3.4739999999999807 2 2.254 0 22461427 14813714; 1 12389772 22523228; 2 17850012 16788703; 
13.027999999999956 0 4.505999999999975 1 6.161999999999968 2 2.359999999999997 0 22461427 14813714; 1 2384071 22523228 37975185; 2 17850012 16788703; 
13.917999999999973 0 4.483999999999975 1 7.075999999999956 2 2.3579999999999974 0 22461427 14813714; 1 2384071 22523228 16931885 37975185; 2 17850012 24863940; 
15.675999999999977 0 4.429999999999978 1 7.263999999999959 2 3.981999999999971 0 22461427 14813714; 1 22523228 2384071 37975185 16931885; 2 24863940 17850012 19686924; 
17.055999999999973 0 4.61199999999998 1 8.499999999999961 2 3.9439999999999733 0 22461427 14813714; 1 22523228 2384071 37975185 16931885 16102437; 2 24863940 17850012 19686924; 
18.43399999999999 0 5.753999999999966 1 8.747999999999974 2 3.931999999999971 0 12925 22461427 14813714; 1 22523228 2384071 37975185 16102437 23344327; 2 24863940 17850012 19686924; 
19.501999999999995 0 5.6259999999999675 1 9.929999999999971 2 3.945999999999973 0 12925 22461427 14813714; 1 22523228 2384071 37975185 16102437 23344327 22242176; 2 24863940 17850012 19686924; 
20.985999999999983 0 5.657999999999973 1 11.323999999999975 2 4.003999999999973 0 12925 22461427 14813714; 1 22523228 2384071 37975185 16102437 23344327 22242176 14785887; 2 24863940 17850012 19686924; 
22.047999999999988 0 5.857999999999974 1 12.247999999999948 2 3.9419999999999695 0 12925 22461427 14813714; 1 22523228 2384071 37975185 16102437 14785887 22242176 23344327 27120518; 2 24863940 17850012 19686924; 
23.123999999999967 0 4.779999999999973 1 13.373999999999944 2 4.969999999999974 0 22461427 14813714; 1 22523228 2384071 37975185 16102437 14785887 22242176 23344327 27120518 17201112; 2 24863940 17850012 16788703 19686924; 
23.895999999999937 0 4.711999999999975 1 14.211999999999945 2 4.971999999999971 0 22461427 14813714; 1 22523228 2384071 37975185 16102437 14785887 22242176 23344327 27120518 17201112 14167991; 2 24863940 17850012 16788703 19686924; 
25.333999999999953 0 4.917999999999971 1 15.39599999999997 2 5.019999999999975 0 22461427 14813714; 1 22523228 2384071 37975185 16102437 14785887 22242176 23344327 27120518 17201112 14167991 16412744; 2 24863940 17850012 16788703 19686924; 
26.139999999999926 0 4.747999999999968 1 16.41399999999998 2 4.977999999999975 0 22461427 14813714; 1 22523228 2384071 37975185 16102437 14785887 22242176 23344327 27120518 17201112 16412744 14167991 16931885; 2 24863940 17850012 16788703 19686924; 
27.43799999999992 0 4.997999999999968 1 17.393999999999988 2 5.045999999999963 0 22461427 14813714; 1 22523228 2384071 37975185 16102437 14785887 22242176 23344327 27120518 17201112 41773112 14167991 16931885 14451294; 2 24863940 17850012 16788703 19686924; 
28.45199999999993 0 4.855999999999973 1 18.579999999999973 2 5.015999999999973 0 22461427 14813714; 1 22523228 12389772 37975185 16102437 14785887 22242176 23344327 27120518 17201112 41773112 14167991 16931885 14451294 2384071; 2 24863940 17850012 16788703 19686924; 
29.35599999999996 0 4.839999999999967 1 19.451999999999977 2 5.063999999999967 0 22461427 14813714; 1 22523228 12389772 37975185 16102437 14785887 22242176 23344327 27120518 17201112 41773112 14167991 16931885 2384071 14451294 14909369; 2 24863940 17850012 16788703 19686924; 
30.75799999999997 0 5.04399999999997 1 20.701999999999995 2 5.011999999999972 0 22461427 14813714; 1 22523228 12389772 37975185 16102437 14785887 22242176 23344327 27120518 17201112 41773112 14167991 23885448 2384071 14451294 14909369 21494085; 2 24863940 17850012 16788703 19686924; 
31.85199999999998 0 5.0099999999999705 1 20.79799999999999 2 6.043999999999947 0 22461427 14813714; 1 22523228 12389772 37975185 16102437 14785887 22242176 23344327 27120518 17201112 14167991 23885448 21494085 14451294 2384071 14909369 19360333; 2 24863940 17850012 16788703 19686924 18336787; 
33.29000000000001 0 4.017999999999974 1 22.17999999999998 2 7.0919999999999686 0 22461427; 1 22523228 12389772 37975185 16102437 14785887 22242176 23344327 27120518 17201112 14167991 23885448 21494085 14451294 2384071 14909369 19360333 15487691; 2 24863940 17850012 16788703 23015762 19686924 18336787; 
