1.1900000000000008 0 0.06200000000000001 1 1.1140000000000008 2 0.014 0 1 22523228; 2 
2.228 0 0.024000000000000007 1 2.1800000000000006 2 0.024 0 1 22523228 37975185; 2 
4.685999999999977 0 0.33600000000000024 1 3.061999999999986 2 1.288000000000001 0 1 22523228 37975185; 2 17850012; 
7.647999999999965 0 0.7520000000000006 1 5.581999999999971 2 1.314000000000001 0 1 37975185 22523228 2384071; 2 17850012; 
6.711999999999958 0 0.36400000000000027 1 5.093999999999968 2 1.254000000000001 0 1 37975185 22523228 12389772 14167991; 2 17850012; 
9.97399999999997 0 3.1399999999999832 1 5.551999999999965 2 1.282000000000001 0 22461427; 1 37975185 22523228 12389772 14167991; 2 17850012; 
10.923999999999959 0 4.1159999999999775 1 5.501999999999963 2 1.306000000000001 0 22461427 28597688; 1 37975185 22523228 12389772 14167991; 2 17850012; 
12.11599999999996 0 4.037999999999978 1 6.787999999999962 2 1.290000000000001 0 22461427 28597688; 1 37975185 22523228 12389772 14167991 14785887; 2 17850012; 
15.13599999999998 0 4.461999999999974 1 8.275999999999973 2 2.397999999999997 0 22461427 28597688; 1 37975185 22523228 12389772 2384071 14785887; 2 17850012 16788703; 
16.28799999999998 0 4.577999999999974 1 9.305999999999973 2 2.4039999999999964 0 22461427 28597688; 1 37975185 22523228 12389772 2384071 14785887 797018; 2 17850012 16788703; 
17.25199999999997 0 4.525999999999974 1 9.361999999999966 2 3.3639999999999675 0 22461427 28597688; 1 37975185 22523228 2384071 14785887 797018 12389772; 2 17850012 16788703 24863940; 
18.41599999999999 0 4.553999999999978 1 10.485999999999963 2 3.3759999999999692 0 22461427 28597688; 1 37975185 22523228 2384071 14785887 797018 12389772 23344327; 2 17850012 16788703 24863940; 
19.489999999999984 0 4.627999999999976 1 10.497999999999964 2 4.363999999999987 0 22461427 28597688; 1 37975185 22523228 2384071 14785887 797018 12389772 23344327; 2 17850012 16788703 24863940 16420606; 
20.36599999999997 0 4.489999999999974 1 11.469999999999963 2 4.405999999999988 0 22461427 28597688; 1 37975185 22523228 2384071 14785887 797018 12389772 23344327 14909369; 2 17850012 16788703 24863940 16420606; 
22.085999999999963 0 4.891999999999969 1 12.787999999999958 2 4.405999999999986 0 22461427 28597688; 1 37975185 22523228 2384071 14785887 797018 12389772 23344327 14909369 16102437; 2 17850012 16788703 24863940 16420606; 
23.095999999999965 0 4.725999999999973 1 13.84599999999995 2 4.523999999999986 0 22461427 28597688; 1 37975185 22523228 2384071 14785887 797018 12389772 14909369 16102437 23344327 17201112; 2 17850012 16788703 24863940 16420606; 
24.477999999999945 0 4.863999999999974 1 16.125999999999987 2 3.487999999999968 0 22461427 28597688; 1 37975185 22523228 2384071 14785887 797018 12389772 14909369 20024547 16102437 23344327 17201112 8043172; 2 17850012 16788703 24863940; 
25.181999999999928 0 4.91399999999997 1 16.821999999999996 2 3.445999999999968 0 28597688 22461427; 1 37975185 22523228 17201112 16102437 14909369 23344327 8043172 14785887 20024547 2384071 12389772 797018 16494857; 2 17850012 16788703 24863940; 
26.359999999999904 0 4.867999999999973 1 18.021999999999977 2 3.4699999999999687 0 28597688 22461427; 1 37975185 22523228 17201112 16102437 14909369 23344327 8043172 14785887 20024547 2384071 12389772 797018 16494857 15862005; 2 17850012 16788703 24863940; 
27.429999999999932 0 4.787999999999971 1 19.149999999999977 2 3.4919999999999676 0 28597688 22461427; 1 37975185 22523228 17201112 16102437 14909369 23344327 8043172 14785887 20024547 2384071 12389772 797018 16494857 15862005 21494085; 2 17850012 16788703 24863940; 
28.78599999999995 0 4.839999999999973 1 20.459999999999983 2 3.4859999999999696 0 28597688 22461427; 1 37975185 22523228 17201112 16102437 14909369 23344327 8043172 14785887 20024547 2384071 12389772 797018 16494857 15862005 21494085 22242176; 2 17850012 16788703 24863940; 
29.725999999999967 0 4.877999999999973 1 21.41199999999999 2 3.4359999999999693 0 28597688 22461427; 1 37975185 22523228 17201112 16102437 14909369 23344327 8043172 14785887 20024547 2384071 12389772 797018 16494857 15862005 21494085 22242176 43199935; 2 17850012 16788703 24863940; 
30.91199999999997 0 5.967999999999967 1 21.46999999999999 2 3.4739999999999704 0 28597688 22461427 32627702; 1 37975185 22523228 17201112 16102437 14909369 23344327 8043172 14785887 20024547 2384071 12389772 797018 16494857 43199935 21494085 15862005 22242176; 2 17850012 16788703 24863940; 
32.33199999999997 0 6.02799999999997 1 22.745999999999984 2 3.557999999999968 0 28597688 22461427 32627702; 1 37975185 22523228 17201112 16102437 14909369 23344327 8043172 14785887 20024547 2384071 12389772 797018 16494857 43199935 21494085 15862005 22242176 15105269; 2 17850012 16788703 24863940; 
33.63200000000003 0 6.117999999999964 1 23.977999999999966 2 3.5359999999999716 0 28597688 32627702 22461427; 1 2384071 22242176 16102437 14909369 43199935 8043172 37975185 20024547 22523228 12389772 16494857 797018 21494085 17201112 15862005 14785887 23344327 15105269 21093392; 2 17850012 16788703 24863940; 
35.298000000000044 0 6.229999999999961 1 24.51399999999992 2 4.553999999999982 0 28597688 22461427 82243; 1 2384071 22242176 16102437 14909369 43199935 8043172 37975185 22523228 12389772 16494857 797018 16004411 21494085 17201112 15862005 14785887 23344327 15105269 21093392; 2 17850012 16788703 17291344 24863940; 
36.27800000000005 0 6.089999999999963 1 25.69399999999994 2 4.493999999999982 0 28597688 22461427 82243; 1 2384071 22242176 16102437 14909369 43199935 8043172 37975185 22523228 12389772 16494857 797018 16004411 21494085 17201112 15862005 14785887 23344327 15105269 21093392 21266715; 2 17850012 16788703 17291344 24863940; 
37.751999999999995 0 6.405999999999968 1 26.759999999999927 2 4.58599999999998 0 28597688 22461427 82243; 1 2384071 22242176 16102437 14909369 43199935 8043172 37975185 22523228 12389772 16494857 797018 16004411 21494085 17201112 15862005 14785887 23344327 15105269 21093392 21266715 23135992; 2 17850012 17826349 17291344 24863940; 
38.72800000000003 0 7.215999999999964 1 26.96799999999993 2 4.543999999999983 0 26945207 17582384 82243 22461427; 1 2384071 22242176 16102437 14909369 43199935 8043172 37975185 22523228 12389772 16494857 797018 16004411 21494085 17201112 15862005 14785887 23344327 15105269 21093392 21266715 23135992; 2 17850012 16788703 17291344 24863940; 
