1.0800000000000007 0 0.014 1 1.0580000000000007 2 0.008 0 1 12389772; 2 
2.1160000000000014 0 1.0460000000000007 1 1.0460000000000007 2 0.024 0 18162730; 1 12389772; 2 
3.449999999999965 0 1.0680000000000007 1 2.3359999999999994 2 0.04600000000000001 0 18162730; 1 12389772 14785887; 2 
6.699999999999966 0 2.7079999999999878 1 3.9099999999999726 2 0.08200000000000005 0 22461427; 1 12389772 14785887 14167991; 2 
7.833999999999965 0 2.8039999999999847 1 4.917999999999974 2 0.11200000000000007 0 22461427; 1 12389772 14785887 14167991 22523228; 2 
12.005999999999977 0 3.5179999999999803 1 7.075999999999962 2 1.412000000000001 0 22461427; 1 12389772 14785887 2384071 22523228; 2 17850012; 
13.089999999999968 0 3.483999999999976 1 8.239999999999968 2 1.366000000000001 0 22461427; 1 12389772 14785887 2384071 22523228 797018; 2 17850012; 
14.527999999999958 0 3.5959999999999805 1 9.517999999999969 2 1.414000000000001 0 22461427; 1 12389772 22523228 14785887 797018 2384071 16102437; 2 17850012; 
15.917999999999964 0 3.6379999999999804 1 10.773999999999948 2 1.5060000000000011 0 22461427; 1 12389772 22523228 14785887 797018 2384071 16102437 17201112; 2 17850012; 
16.985999999999972 0 3.7319999999999784 1 10.78399999999996 2 2.4699999999999953 0 22461427; 1 12389772 22523228 14785887 797018 2384071 16102437 17201112; 2 17850012 24863940; 
18.29399999999998 0 3.8159999999999807 1 11.967999999999952 2 2.509999999999995 0 22461427; 1 12389772 22523228 14785887 797018 2384071 16102437 17201112 23344327; 2 17850012 24863940; 
19.237999999999968 0 4.7879999999999745 1 11.93799999999995 2 2.5119999999999942 0 22461427 14813714; 1 12389772 22523228 14785887 797018 2384071 16102437 17201112 23344327; 2 17850012 24863940; 
20.197999999999986 0 4.73399999999997 1 12.023999999999948 2 3.4399999999999706 0 22461427 14813714; 1 12389772 22523228 14785887 797018 2384071 16102437 17201112 23344327; 2 17850012 24863940 16788703; 
21.21399999999997 0 4.6179999999999755 1 13.155999999999953 2 3.4399999999999684 0 22461427 14813714; 1 9447312 22523228 14785887 797018 2384071 16102437 17201112 23344327 22242176; 2 17850012 24863940 16788703; 
22.55799999999997 0 4.843999999999977 1 14.189999999999953 2 3.523999999999969 0 22461427 14813714; 1 9447312 22523228 14785887 797018 2384071 16102437 17201112 23344327 22242176 15862005; 2 17850012 16788703 24863940; 
23.381999999999945 0 4.7819999999999725 1 15.109999999999967 2 3.4899999999999687 0 22461427 14813714; 1 9447312 22523228 14785887 797018 2384071 16102437 17201112 23344327 22242176 15862005 14909369; 2 17850012 16788703 24863940; 
24.351999999999947 0 4.677999999999972 1 15.219999999999972 2 4.4539999999999855 0 22461427 14813714; 1 9447312 22523228 14785887 797018 2384071 16102437 17201112 23344327 22242176 15862005 14909369; 2 17850012 16788703 24863940 16420606; 
25.82399999999991 0 4.74999999999997 1 16.549999999999972 2 4.523999999999984 0 22461427 14813714; 1 9447312 22523228 14785887 797018 2384071 16102437 17201112 23344327 22242176 15862005 14909369 21093392; 2 17850012 16788703 24863940 16420606; 
27.335999999999938 0 5.0959999999999726 1 17.717999999999982 2 4.521999999999981 0 22461427 14813714; 1 9447312 22523228 14785887 797018 2384071 16102437 17201112 23344327 22242176 15862005 14909369 21093392 15105269; 2 17850012 16788703 24863940 16420606; 
27.86999999999992 0 5.779999999999966 1 17.571999999999992 2 4.517999999999982 0 14813714 22461427 18888190; 1 16102437 797018 14785887 37975185 15862005 9447312 2384071 14909369 23344327 17201112 22242176 15105269 22523228; 2 24863940 16788703 16420606 17850012; 
28.951999999999934 0 5.813999999999972 1 18.615999999999982 2 4.5219999999999825 0 14813714 22461427 18888190; 1 16102437 797018 14785887 37975185 15862005 9447312 2384071 14909369 23344327 17201112 22242176 15105269 22523228 29118055; 2 24863940 16788703 16420606 17850012; 
29.993999999999957 0 5.785999999999967 1 19.67199999999999 2 4.535999999999984 0 14813714 22461427 18888190; 1 16102437 797018 14785887 37975185 15862005 9447312 2384071 14909369 23344327 17201112 22242176 15105269 22523228 29118055 21494085; 2 24863940 16788703 16420606 17850012; 
30.989999999999952 0 6.893999999999959 1 19.631999999999977 2 4.463999999999988 0 14813714 22461427 18888190 9922122; 1 16102437 797018 14785887 37975185 15862005 12389772 2384071 14909369 23344327 17201112 22242176 15105269 22523228 29118055 21494085; 2 24863940 16788703 16420606 17850012; 
