1.0600000000000007 0 0.006 1 1.0420000000000007 2 0.012 0 1 12389772; 2 
2.1400000000000015 0 0.01 1 2.0960000000000014 2 0.03400000000000001 0 1 12389772 37975185; 2 
3.149999999999964 0 0.01 1 3.127999999999965 2 0.012 0 1 12389772 37975185 14167991; 2 
5.543999999999963 0 0.2860000000000002 1 4.0159999999999725 2 1.2420000000000009 0 1 12389772 37975185 14167991; 2 17850012; 
6.745999999999951 0 1.360000000000001 1 4.095999999999972 2 1.290000000000001 0 16796683; 1 12389772 37975185 14167991; 2 17850012; 
7.58399999999997 0 1.314000000000001 1 4.0159999999999725 2 2.2540000000000004 0 16796683; 1 12389772 37975185 14167991; 2 17850012 16420606; 
12.76599999999995 0 3.475999999999978 1 6.959999999999959 2 2.329999999999997 0 22461427; 1 2384071 37975185 22523228 14167991; 2 17850012 16420606; 
14.281999999999961 0 3.5819999999999785 1 8.341999999999972 2 2.357999999999997 0 22461427; 1 2384071 37975185 22523228 14167991 14785887; 2 17850012 16420606; 
15.237999999999964 0 4.603999999999974 1 8.26599999999997 2 2.3679999999999977 0 22461427 16954507; 1 2384071 37975185 22523228 14167991 14785887; 2 17850012 16420606; 
16.483999999999966 0 4.6779999999999715 1 8.453999999999976 2 3.351999999999969 0 22461427 16954507; 1 2384071 37975185 22523228 14167991 14785887; 2 17850012 16420606 16788703; 
17.387999999999973 0 4.591999999999973 1 8.415999999999965 2 4.379999999999987 0 22461427 16954507; 1 2384071 37975185 22523228 14167991 14785887; 2 17850012 16420606 16788703 24863940; 
18.43799999999999 0 4.627999999999977 1 9.47799999999997 2 4.33199999999999 0 22461427 16954507; 1 2384071 37975185 22523228 14785887 14167991 797018; 2 16420606 24863940 17850012 16788703; 
20.38799999999997 0 4.785999999999974 1 11.175999999999961 2 4.425999999999988 0 22461427 16954507; 1 2384071 37975185 17173775 14785887 14167991 797018 16102437; 2 16420606 24863940 17850012 16788703; 
21.589999999999964 0 4.967999999999973 1 12.225999999999964 2 4.395999999999986 0 22461427 16954507; 1 2384071 37975185 17173775 14785887 14167991 797018 16102437 23344327; 2 16420606 24863940 17850012 16788703; 
22.753999999999976 0 4.92999999999997 1 13.397999999999946 2 4.425999999999987 0 22461427 16954507; 1 2384071 37975185 17173775 14785887 14167991 797018 16102437 23344327 22242176; 2 16420606 24863940 17850012 16788703; 
23.78199999999995 0 4.999999999999971 1 14.381999999999962 2 4.39999999999999 0 22461427 16954507; 1 2384071 37975185 17173775 14785887 11264322 797018 16102437 23344327 22242176 8043172; 2 16420606 24863940 17850012 16788703; 
24.69599999999993 0 4.91399999999997 1 15.359999999999975 2 4.421999999999985 0 16954507 22461427; 1 37975185 14785887 22242176 16102437 17173775 12389772 14167991 23344327 8043172 797018 2384071; 2 16788703 17850012 24863940 16420606; 
26.00799999999994 0 4.9159999999999755 1 16.625999999999976 2 4.465999999999985 0 16954507 22461427; 1 37975185 14785887 22242176 16102437 17173775 12389772 14098609 23344327 8043172 797018 2384071 19360333; 2 16788703 17850012 24863940 16420606; 
26.701999999999924 0 4.909999999999975 1 17.413999999999987 2 4.377999999999988 0 16954507 22461427; 1 37975185 14785887 22242176 16102437 17173775 12389772 14098609 23344327 8043172 797018 2384071 19360333 16813674; 2 16788703 17850012 24863940 16420606; 
27.71599999999995 0 4.907999999999978 1 18.405999999999995 2 4.401999999999987 0 16954507 22461427; 1 37975185 14785887 22242176 16102437 17173775 12389772 14167991 23344327 8043172 797018 2384071 19360333 16813674 15105269; 2 16788703 17850012 24863940 16420606; 
29.393999999999956 0 5.087999999999978 1 19.84399999999998 2 4.461999999999982 0 16954507 22461427; 1 37975185 14785887 22242176 16102437 17173775 12389772 14167991 23344327 8043172 797018 2384071 19360333 16813674 15105269 21093392; 2 16788703 17850012 24863940 16420606; 
30.507999999999974 0 5.161999999999973 1 20.893999999999973 2 4.4519999999999875 0 16954507 22461427; 1 37975185 14785887 22242176 16102437 17173775 12389772 14167991 23344327 8043172 797018 2384071 19360333 16813674 15105269 21093392 16494857; 2 16788703 17850012 24863940 16420606; 
30.95799999999998 0 5.833999999999964 1 20.69799999999997 2 4.425999999999986 0 14813714 18162730 22461427; 1 37975185 14785887 22242176 16102437 22523228 12389772 14167991 23344327 8043172 797018 2384071 19360333 16813674 15105269 21093392 16494857; 2 16788703 17850012 24863940 16420606; 
30.70799999999998 0 5.705999999999962 1 20.515999999999966 2 4.485999999999985 0 14813714 11350892 26694808 16796683; 1 37975185 14785887 22242176 16102437 17173775 12389772 14167991 23344327 8043172 797018 2384071 19360333 16813674 15105269 21093392 16494857; 2 16788703 17850012 24863940 16420606; 
32.118000000000016 0 5.671999999999964 1 21.90399999999997 2 4.541999999999982 0 14813714 11350892 26694808 16796683; 1 37975185 14785887 22242176 16102437 17173775 12389772 14167991 23344327 8043172 797018 2384071 19360333 16813674 15105269 21093392 16494857 17201112; 2 16788703 17850012 24863940 16420606; 
33.37200000000002 0 5.94799999999996 1 22.95599999999995 2 4.467999999999983 0 14813714 11350892 26694808 16796683; 1 37975185 14785887 22242176 16102437 17173775 12389772 14167991 23344327 8043172 797018 2384071 19360333 16813674 15105269 21093392 16494857 17201112 14451294; 2 16788703 17850012 24863940 16420606; 
33.96200000000004 0 5.727999999999966 1 23.69399999999995 2 4.539999999999985 0 26694808 11350892 14813714 16796683; 1 14785887 22242176 17201112 16102437 22463905 12389772 14167991 8043172 2384071 15105269 797018 37975185 14451294 23344327 21093392 19360333 16494857 16813674 21494085; 2 16420606 17850012 24863940 16788703; 
