1.0400000000000007 0 0.006 1 1.0280000000000007 2 0.006 0 1 12389772; 2 
3.4939999999999842 0 0.2940000000000002 1 1.9240000000000015 2 1.276000000000001 0 1 12389772; 2 17850012; 
6.74799999999996 0 3.009999999999983 1 2.4179999999999913 2 1.320000000000001 0 22461427; 1 12389772; 2 17850012; 
7.87199999999996 0 3.1059999999999817 1 3.487999999999984 2 1.278000000000001 0 22461427; 1 12389772 14167991; 2 17850012; 
8.825999999999963 0 3.0799999999999836 1 4.457999999999979 2 1.288000000000001 0 22461427; 1 12389772 14167991 22523228; 2 17850012; 
12.26599999999995 0 3.6279999999999766 1 7.203999999999961 2 1.434000000000001 0 22461427; 1 2384071 14167991 22523228 14785887; 2 17850012; 
13.249999999999956 0 3.4399999999999786 1 8.397999999999978 2 1.412000000000001 0 22461427; 1 14785887 22523228 14167991 2384071 37975185; 2 17850012; 
14.65799999999997 0 3.7599999999999785 1 9.531999999999977 2 1.366000000000001 0 22461427; 1 14785887 22523228 14167991 2384071 37975185 16102437; 2 17850012; 
15.68799999999998 0 4.751999999999971 1 9.519999999999962 2 1.416000000000001 0 22461427 27362221; 1 14785887 22523228 14167991 2384071 37975185 16102437; 2 17850012; 
16.493999999999968 0 4.629999999999976 1 9.479999999999961 2 2.3839999999999963 0 22461427 27362221; 1 14785887 22523228 14167991 2384071 37975185 16102437; 2 17850012 16788703; 
18.127999999999975 0 4.543999999999972 1 9.677999999999969 2 3.9059999999999686 0 22461427 18888190; 1 14785887 22523228 14167991 2384071 37975185 16102437; 2 17850012 16788703 19686924; 
19.395999999999994 0 4.651999999999975 1 9.80999999999998 2 4.933999999999973 0 22461427 18888190; 1 14785887 22523228 14167991 2384071 37975185 16102437; 2 17850012 16788703 19686924 24863940; 
20.289999999999992 0 5.7039999999999695 1 9.661999999999983 2 4.92399999999997 0 17084975 27362221 22461427; 1 14785887 22523228 14167991 2384071 37975185 16102437; 2 17850012 16788703 19686924 24863940; 
21.685999999999986 0 4.799999999999976 1 11.865999999999952 2 5.019999999999966 0 17084975 22461427; 1 14785887 22523228 14167991 2384071 37975185 16102437 22463905 23344327; 2 17850012 16788703 19686924 24863940; 
22.72999999999997 0 5.717999999999965 1 11.963999999999944 2 5.047999999999969 0 27362221 17084975 22461427; 1 22523228 14167991 16102437 14785887 2384071 23344327 37975185 14909369; 2 24863940 19686924 16788703 17850012; 
23.533999999999967 0 5.557999999999963 1 12.97199999999995 2 5.003999999999969 0 17084975 22461427 18888190; 1 22523228 14167991 16102437 14837803 14785887 2384071 23344327 37975185 14909369; 2 24863940 19686924 16788703 17850012; 
24.791999999999966 0 5.671999999999964 1 14.195999999999962 2 4.923999999999975 0 17084975 22461427 18888190; 1 22523228 14167991 16102437 14837803 14785887 2384071 23344327 37975185 14909369 22242176; 2 24863940 19686924 16788703 17850012; 
26.09999999999994 0 5.881999999999966 1 15.285999999999966 2 4.931999999999975 0 17084975 22461427 18888190; 1 22523228 14167991 16102437 14837803 14785887 2384071 23344327 37975185 14909369 22242176 15105269; 2 24863940 19686924 16788703 17850012; 
26.763999999999918 0 5.6839999999999735 1 16.081999999999976 2 4.997999999999973 0 17084975 22461427 18888190; 1 22523228 14167991 16102437 15728729 14785887 12389772 23344327 37975185 14909369 15862005 22242176 2384071; 2 24863940 19686924 16788703 17850012; 
27.98999999999995 0 5.633999999999967 1 17.411999999999985 2 4.943999999999973 0 17084975 22461427 18888190; 1 22523228 14167991 16102437 15728729 14785887 12389772 23344327 37975185 14909369 15862005 22242176 2384071 16236786; 2 24863940 19686924 16788703 17850012; 
29.241999999999948 0 5.887999999999971 1 18.317999999999977 2 5.0359999999999685 0 17084975 22461427 18888190; 1 22523228 14167991 16102437 15728729 14785887 12389772 23344327 37975185 14909369 15862005 22242176 2384071 41773112 15105269; 2 24863940 19686924 16788703 17850012; 
30.23199999999997 0 5.8519999999999675 1 19.385999999999974 2 4.993999999999974 0 17084975 22461427 18888190; 1 22523228 14167991 16102437 15728729 14785887 12389772 23344327 37975185 14909369 15862005 22242176 2384071 41773112 15105269 16845153; 2 24863940 19686924 16788703 17850012; 
31.579999999999984 0 5.815999999999966 1 20.713999999999988 2 5.04999999999997 0 17084975 22461427 18888190; 1 22523228 14167991 16102437 15728729 14785887 12389772 23344327 37975185 14909369 15862005 22242176 2384071 15105269 41773112 16845153 21266715; 2 24863940 19686924 16788703 17850012; 
32.90200000000004 0 6.097999999999967 1 21.717999999999982 2 5.085999999999967 0 17084975 22461427 18888190; 1 22523228 14167991 16102437 15728729 14785887 12389772 23344327 37975185 14909369 15862005 22242176 2384071 15105269 41773112 16845153 21266715 17201112; 2 24863940 19686924 16788703 17850012; 
33.77400000000001 0 5.857999999999966 1 22.79199999999998 2 5.1239999999999695 0 17084975 22461427 18888190; 1 22523228 14167991 16102437 15728729 14785887 12389772 23344327 37975185 14909369 15862005 22242176 2384071 15105269 41773112 16845153 21266715 17201112 21494085; 2 24863940 19686924 16788703 17850012; 
35.29400000000004 0 7.121999999999969 1 23.07399999999997 2 5.097999999999967 0 17084975 22461427 18888190 32627702; 1 22523228 14167991 16102437 15728729 14785887 12389772 23344327 37975185 14909369 15862005 22242176 2384071 15105269 16845153 21266715 17201112 21494085 16236786; 2 24863940 19686924 16788703 17850012; 
36.336000000000034 0 7.167999999999962 1 24.03799999999994 2 5.129999999999969 0 17084975 22461427 18888190 32627702; 1 22523228 14167991 16102437 15728729 14785887 12389772 23344327 37975185 14909369 15862005 22242176 2384071 15105269 16845153 21266715 17201112 21494085 16236786 21093392; 2 24863940 19686924 16788703 17850012; 
37.458000000000055 0 8.215999999999967 1 24.157999999999948 2 5.083999999999971 0 17084975 22461427 18888190 32627702 28597688; 1 22523228 14167991 16102437 15728729 14785887 12389772 23344327 37975185 14909369 15862005 22242176 2384071 15105269 16845153 21266715 17201112 21494085 16236786 21093392; 2 24863940 19686924 16788703 17850012; 
38.60000000000003 0 9.13199999999997 1 24.273999999999944 2 5.193999999999965 0 26357737 14813714 18888190 32627702 30873801 22461427; 1 22523228 14167991 16102437 15728729 14785887 12389772 23344327 37975185 14909369 15862005 22242176 17201112 15105269 21266715 21093392 21494085 16845153 16236786 2384071; 2 24863940 19686924 16788703 17850012; 
39.474000000000025 0 10.091999999999967 1 24.33199999999993 2 5.049999999999968 0 22599782 14813714 18888190 32627702 17316916 22461427 19045839; 1 22523228 14167991 16102437 15728729 14785887 12389772 23344327 37975185 14909369 15862005 22242176 17201112 15105269 21266715 21093392 21494085 16845153 16236786 2384071; 2 24863940 19686924 16788703 17850012; 
40.59000000000004 0 10.177999999999965 1 25.349999999999913 2 5.061999999999966 0 22599782 14813714 18888190 32627702 17316916 22461427 19045839; 1 22523228 14167991 16102437 15728729 14785887 12389772 23344327 37975185 14909369 15862005 22242176 17201112 15105269 21266715 21093392 21494085 16845153 16236786 2384071 23135992; 2 24863940 19686924 16788703 17850012; 
41.868000000000016 0 10.197999999999972 1 26.493999999999932 2 5.175999999999968 0 22599782 14813714 18888190 32627702 14139780 22461427 19045839; 1 22523228 14167991 16102437 15728729 14785887 12389772 23344327 37975185 14909369 15862005 22242176 17201112 15105269 21266715 21093392 21494085 16845153 16236786 2384071 23135992 797018; 2 24863940 19686924 16788703 17850012; 
42.60799999999999 0 11.173999999999957 1 26.36399999999991 2 5.06999999999997 0 22599782 14813714 33437822 32627702 39299693 22461427 19045839 27362221; 1 22523228 14167991 16102437 15728729 14785887 12389772 23344327 37975185 14909369 15862005 22242176 17201112 15105269 21266715 21093392 21494085 16845153 16236786 2384071 23135992 797018; 2 24863940 19686924 16788703 17850012; 
43.614000000000026 0 11.153999999999957 1 27.37399999999993 2 5.085999999999968 0 22599782 14813714 33437822 32627702 39299693 22461427 19045839 27362221; 1 22523228 14167991 16102437 15728729 14785887 12389772 23344327 37975185 14909369 15862005 22242176 21437676 15105269 21266715 21093392 21494085 16845153 16236786 2384071 23135992 797018 37135242; 2 24863940 19686924 16788703 17850012; 
44.792000000000044 0 11.319999999999965 1 28.393999999999924 2 5.077999999999969 0 22599782 14813714 39299693 33437822 32627702 22461427 27362221 19045839; 1 22523228 14167991 16102437 15728729 14785887 12389772 23344327 37975185 14909369 22242176 21437676 23135992 37135242 21093392 21494085 16845153 2384071 15862005 16236786 21266715 15105269 797018 14451294; 2 24863940 19686924 16788703 17850012; 
46.324 0 11.385999999999962 1 29.84599999999993 2 5.091999999999971 0 22599782 14813714 14139780 33437822 32627702 22461427 27362221 19045839; 1 22523228 14167991 16102437 15728729 14785887 12389772 23344327 37975185 14909369 22242176 21437676 23135992 37135242 21093392 21494085 16845153 2384071 15862005 16236786 21266715 15105269 797018 14451294 17173775; 2 24863940 19686924 16788703 17850012; 
48.40599999999996 0 11.961999999999952 1 31.327999999999975 2 5.115999999999972 0 22599782 14813714 14139780 33437822 32627702 22461427 19045839 7376382; 1 22523228 14167991 16102437 15728729 14785887 12389772 23344327 37975185 14909369 22242176 21437676 23135992 37135242 21093392 21494085 16845153 15076390 2384071 15862005 16236786 21266715 15105269 797018 14451294 17173775; 2 24863940 19686924 16788703 17850012; 
49.58599999999998 0 11.96599999999996 1 32.490000000000016 2 5.12999999999997 0 22599782 14813714 14139780 33437822 41796356 22461427 19045839 7376382; 1 22523228 14167991 16102437 15728729 14785887 12389772 23344327 37975185 14909369 22242176 21437676 23135992 37135242 21093392 21494085 16845153 15076390 2384071 15862005 16236786 21266715 15105269 17962349 14451294 17173775 15487691; 2 24863940 19686924 16788703 17850012; 
50.57999999999997 0 11.94399999999995 1 33.496000000000016 2 5.139999999999966 0 22599782 14813714 39299693 33437822 41796356 22461427 19045839 7376382; 1 22523228 14167991 16102437 15728729 14785887 12389772 23344327 37975185 14909369 22242176 21437676 23135992 37135242 21093392 21494085 16845153 15076390 2384071 15862005 16236786 21266715 15105269 17962349 14451294 17173775 15487691 8043172; 2 24863940 19686924 16788703 17850012; 
51.40599999999987 0 11.85199999999996 1 34.42800000000004 2 5.125999999999968 0 22599782 14813714 39299693 33437822 41796356 22461427 19045839 7376382; 1 22523228 14167991 16102437 15728729 14785887 12389772 23344327 37975185 14909369 22242176 21437676 23135992 37135242 21093392 21494085 16845153 15076390 2384071 15862005 16236786 21266715 15105269 17962349 14451294 17173775 8043172 15487691 16813674; 2 24863940 19686924 16788703 17850012; 
