2.4659999999999913 0 0.34400000000000025 1 0.8860000000000007 2 1.2360000000000009 0 1 2 17850012; 
3.4719999999999787 0 0.2860000000000002 1 0.9340000000000007 2 2.2519999999999993 0 1 2 17850012 24863940; 
5.245999999999977 0 0.44400000000000034 1 2.705999999999987 2 2.0960000000000014 0 1 2384071; 2 24863940 16420606; 
5.493999999999964 0 0.3020000000000002 1 1.9500000000000015 2 3.241999999999967 0 1 797018; 2 17850012 24863940 16420606; 
6.587999999999947 0 1.306000000000001 1 2.0140000000000007 2 3.267999999999966 0 14813714; 1 797018; 2 24863940 16420606 17850012; 
7.623999999999971 0 1.400000000000001 1 1.9740000000000015 2 4.249999999999992 0 14813714; 1 797018; 2 24863940 16420606 17850012 16788703; 
11.795999999999955 0 3.2179999999999827 1 5.373999999999973 2 3.2039999999999664 0 22461427; 1 2384071 797018 17201112; 2 16420606 24863940 16788703; 
13.899999999999954 0 3.555999999999981 1 5.969999999999967 2 4.373999999999988 0 22461427; 1 797018 17201112 2384071; 2 16420606 17850012 24863940 16788703; 
15.20799999999995 0 3.5159999999999796 1 7.315999999999966 2 4.37599999999999 0 22461427; 1 797018 17201112 2384071 22523228; 2 16420606 17850012 24863940 16788703; 
16.857999999999986 0 4.839999999999968 1 7.5659999999999705 2 4.451999999999984 0 22461427 7376382; 1 17201112 22523228 797018 2384071; 2 17850012 16788703 16420606 24863940; 
18.091999999999974 0 5.041999999999976 1 8.671999999999963 2 4.377999999999985 0 22461427 7376382; 1 17201112 22523228 797018 2384071 15862005; 2 17850012 16788703 16420606 24863940; 
19.059999999999988 0 4.963999999999972 1 9.663999999999962 2 4.431999999999986 0 22461427 7376382; 1 17201112 22523228 797018 2384071 15862005 16412744; 2 17850012 16788703 16420606 24863940; 
20.639999999999965 0 5.09999999999997 1 11.06399999999997 2 4.475999999999987 0 22461427 7376382; 1 17201112 22523228 797018 2384071 15862005 16412744 15105269; 2 17850012 16788703 16420606 24863940; 
21.52999999999996 0 6.087999999999969 1 10.979999999999979 2 4.461999999999986 0 22461427 18162730 7376382; 1 17201112 22523228 797018 2384071 15862005 16412744 15105269; 2 17850012 16788703 16420606 24863940; 
22.597999999999978 0 5.953999999999969 1 11.127999999999963 2 5.515999999999944 0 22461427 18162730 7376382; 1 17201112 22523228 797018 2384071 15105269 15862005 16412744; 2 17850012 16788703 16420606 24863940 17826349; 
24.025999999999964 0 6.2719999999999665 1 12.191999999999972 2 5.561999999999943 0 22461427 18162730 7376382; 1 17201112 22523228 797018 2384071 15105269 15862005 16412744 14909369; 2 17850012 16788703 16420606 24863940 17826349; 
24.897999999999954 0 6.159999999999965 1 14.179999999999954 2 4.557999999999979 0 22461427 18162730 7376382; 1 17201112 22523228 797018 20719354 2384071 15105269 15862005 16412744 14909369 14451294; 2 17850012 16788703 24863940 17826349; 
26.51399999999991 0 6.361999999999962 1 14.577999999999955 2 5.57399999999994 0 22461427 18162730 7376382; 1 17201112 22523228 797018 20719354 2384071 15105269 15862005 16412744 14909369 14451294; 2 17850012 16788703 24863940 17826349 13253992; 
27.36599999999993 0 7.341999999999961 1 14.433999999999955 2 5.589999999999947 0 7376382 18162730 22461427 16146535; 1 22523228 14451294 16412744 15105269 15862005 20719354 14909369 17201112 2384071 797018; 2 24863940 16788703 17850012 18102660 17826349; 
28.501999999999928 0 7.229999999999971 1 15.691999999999974 2 5.579999999999944 0 7376382 18162730 22461427 16146535; 1 22523228 14451294 16412744 15105269 15862005 20719354 14909369 17201112 2384071 797018 8043172; 2 24863940 16788703 17850012 18102660 17826349; 
29.431999999999984 0 7.3059999999999645 1 16.571999999999985 2 5.553999999999941 0 7376382 17582384 22461427 16146535; 1 22523228 14451294 16412744 15105269 15862005 20719354 14909369 17201112 2384071 797018 8043172 14270650; 2 24863940 16788703 17850012 18102660 17826349; 
30.691999999999986 0 7.387999999999961 1 16.76399999999996 2 6.539999999999964 0 7376382 17582384 22461427 16146535; 1 22523228 14451294 15105269 15862005 20719354 14909369 17201112 2384071 797018 8043172 14270650 16412744; 2 18336787 24863940 16788703 17850012 18102660 17826349; 
31.685999999999975 0 7.4119999999999555 1 17.683999999999994 2 6.589999999999957 0 7376382 17582384 22461427 16146535; 1 22523228 14451294 15105269 15862005 20719354 14909369 17201112 2384071 797018 8043172 14270650 16412744 29118055; 2 18336787 24863940 16788703 17850012 18102660 17826349; 
33.006000000000014 0 7.267999999999961 1 20.215999999999983 2 5.521999999999951 0 7376382 17582384 22461427 16146535; 1 22523228 14451294 31564134 15105269 15862005 20719354 14909369 17201112 2384071 797018 29118055 14270650 8043172 16236786 14785887; 2 24863940 16788703 17850012 18102660 17826349; 
34.01200000000003 0 7.495999999999968 1 21.037999999999982 2 5.477999999999941 0 7376382 17582384 22461427 16146535; 1 22523228 14451294 31564134 15105269 15862005 20719354 14909369 17201112 2384071 797018 29118055 14270650 8043172 16236786 14785887 19148918; 2 24863940 16788703 17850012 18102660 17826349; 
34.764000000000046 0 7.365999999999963 1 20.88799999999999 2 6.509999999999948 0 7376382 17582384 22461427 16146535; 1 22523228 14451294 31564134 15105269 15862005 14909369 17201112 2384071 797018 29118055 14270650 8043172 16236786 14785887 19148918 16494857; 2 16420606 24863940 16788703 17850012 18102660 17826349; 
36.21000000000001 0 8.387999999999968 1 21.219999999999963 2 6.601999999999952 0 7340872 7376382 17582384 22461427 16146535; 1 22523228 14451294 15105269 15862005 14909369 17201112 2384071 797018 29118055 14270650 8043172 16236786 14785887 16494857 19148918 23135992; 2 16420606 24863940 16788703 17850012 13253992 17826349; 
37.38800000000007 0 8.447999999999967 1 21.357999999999965 2 7.5820000000000105 0 7340872 7376382 17582384 22461427 16146535; 1 22523228 14451294 15105269 15862005 14909369 17201112 2384071 797018 29118055 14270650 8043172 16236786 14785887 16494857 19148918 23135992; 2 16420606 24863940 16788703 17850012 13253992 17826349 11120172; 
38.730000000000075 0 8.43199999999996 1 21.765999999999966 2 8.531999999999979 0 7340872 7376382 17582384 22461427 16146535; 1 22523228 14451294 15105269 15862005 14909369 17201112 2384071 797018 29118055 14270650 8043172 16236786 14785887 23135992 16494857 20719354; 2 16420606 24863940 16788703 17850012 13253992 17826349 18102660 11120172; 
39.44000000000003 0 8.429999999999959 1 23.48199999999997 2 7.528000000000008 0 7340872 7376382 17582384 22461427 16146535; 1 22523228 14451294 15105269 15862005 14909369 17201112 2384071 797018 29118055 14270650 8043172 16236786 14785887 19148918 23135992 16494857 20719354 11541862; 2 16420606 24863940 16788703 17850012 18102660 17826349 11120172; 
40.182 0 8.329999999999966 1 24.377999999999943 2 7.4740000000000135 0 7340872 7376382 17582384 22461427 16146535; 1 22523228 14451294 15105269 15862005 14909369 17201112 2384071 797018 14270650 20719354 8043172 19148918 16494857 11541862 29118055 23135992 41773112 14785887 16236786; 2 16420606 24863940 16788703 17850012 18102660 17826349 11120172; 
41.64000000000002 0 8.585999999999974 1 25.441999999999943 2 7.612000000000005 0 7340872 7376382 17582384 22461427 20661527; 1 22523228 14451294 15105269 15862005 14909369 17201112 2384071 797018 14270650 20719354 8043172 19148918 16494857 11541862 29118055 23135992 41773112 14785887 16236786 16194172; 2 16420606 24863940 16788703 17850012 18102660 17826349 11120172; 
42.78200000000001 0 8.567999999999959 1 25.65199999999993 2 8.561999999999976 0 7340872 17582384 22461427 20661527 7376382; 1 22523228 14451294 15105269 15862005 14909369 17201112 2384071 797018 14270650 20719354 8043172 19148918 16494857 11541862 29118055 23135992 41773112 14785887 16236786 16194172; 2 9146202 16420606 24863940 16788703 17850012 18102660 17826349 11120172; 
43.71400000000001 0 9.693999999999967 1 25.549999999999923 2 8.469999999999981 0 7340872 18162730 22461427 20661527 7376382 5074681; 1 22523228 14451294 15105269 15862005 14909369 17201112 2384071 797018 14270650 20719354 8043172 19148918 16494857 15489180 29118055 23135992 41773112 14785887 16236786 16194172; 2 9146202 16420606 24863940 16788703 17850012 18102660 17826349 11120172; 
44.87000000000008 0 9.26999999999998 1 26.10999999999995 2 9.489999999999958 0 7340872 18162730 22461427 20661527 33437822 5074681; 1 22523228 14451294 15105269 15862005 14909369 16447060 2384071 797018 14270650 20719354 8043172 19148918 16494857 15489180 29118055 23135992 41773112 14785887 16236786 16194172; 2 9146202 16420606 24863940 16788703 17850012 18102660 17826349 11120172 26766494; 
45.38200000000002 0 9.149999999999974 1 26.669999999999913 2 9.561999999999962 0 20661527 18162730 33437822 22461427 41796356 5074681; 1 23135992 9462472 15105269 15862005 8043172 14909369 20024547 2384071 15489180 19148918 14451294 22523228 16236786 797018 16494857 16194172 14785887 14270650 29118055 20719354 23344327; 2 9146202 24863940 16788703 17850012 17826349 18102660 26766494 11120172 16420606; 
47.07199999999999 0 9.779999999999967 1 27.769999999999925 2 9.521999999999974 0 20661527 18162730 7376382 22461427 41796356 5074681; 1 23135992 9462472 15105269 15862005 8043172 14909369 20024547 2384071 15489180 19148918 14451294 22523228 16236786 797018 16494857 16194172 14785887 14270650 29118055 20719354 23344327 15487691; 2 9146202 24863940 16788703 17850012 17826349 18102660 26766494 11120172 16420606; 
48.174000000000014 0 9.641999999999975 1 28.979999999999936 2 9.55199999999997 0 20661527 15001089 7376382 22461427 41796356 5074681; 1 23135992 9462472 15105269 15862005 8043172 14909369 20024547 2384071 15489180 19148918 14451294 22523228 16236786 797018 16494857 16194172 14785887 14270650 29118055 20719354 23344327 15487691 21093392; 2 9146202 24863940 16788703 17850012 17826349 18102660 26766494 11120172 16420606; 
49.69399999999993 0 9.607999999999967 1 30.579999999999977 2 9.50599999999996 0 20661527 15001089 33437822 22461427 32627702 5074681; 1 23135992 11442052 15105269 15862005 8043172 14909369 16447060 2384071 15489180 19148918 14451294 22523228 16236786 797018 16494857 16194172 14785887 14270650 29118055 20719354 23344327 15487691 21093392 15834295; 2 9146202 24863940 16788703 17850012 17826349 18102660 26766494 11120172 16420606; 
50.37799999999992 0 10.38399999999997 1 30.457999999999977 2 9.535999999999971 0 16146535 15001089 18888190 22461427 32627702 5074681 28447324; 1 23135992 11442052 15105269 15862005 8043172 14909369 16447060 2384071 15489180 19148918 14451294 22523228 16236786 797018 16494857 16194172 14785887 14270650 29118055 20719354 23344327 15487691 15834295 21093392; 2 9146202 24863940 16788703 17850012 17826349 18102660 26766494 11120172 16420606; 
