2.5439999999999907 0 0.2920000000000002 1 0.9580000000000007 2 1.294000000000001 0 1 2 17850012; 
3.631999999999978 0 0.4020000000000003 1 1.9540000000000015 2 1.276000000000001 0 1 22523228; 2 17850012; 
6.467999999999966 0 0.6880000000000005 1 4.471999999999973 2 1.308000000000001 0 1 22523228 2384071; 2 17850012; 
7.767999999999957 0 0.7500000000000006 1 4.701999999999972 2 2.3159999999999985 0 1 22523228 2384071; 2 17850012 24863940; 
8.753999999999971 0 0.8380000000000006 1 4.589999999999979 2 3.3259999999999668 0 1 22523228 2384071; 2 17850012 24863940 16420606; 
11.749999999999968 0 3.465999999999979 1 4.959999999999975 2 3.323999999999968 0 22461427; 1 22523228 2384071; 2 16420606 17850012 24863940; 
12.707999999999965 0 3.48599999999998 1 4.9259999999999735 2 4.29599999999999 0 22461427; 1 22523228 2384071; 2 16420606 17850012 24863940 16788703; 
14.089999999999943 0 3.549999999999977 1 6.197999999999964 2 4.341999999999987 0 22461427; 1 22523228 2384071 797018; 2 16420606 17850012 24863940 16788703; 
15.055999999999964 0 4.567999999999973 1 6.207999999999963 2 4.27999999999999 0 14813714 22461427; 1 22523228 2384071 797018; 2 16420606 17850012 24863940 16788703; 
16.129999999999978 0 4.611999999999974 1 7.147999999999955 2 4.369999999999988 0 14813714 22461427; 1 22523228 2384071 797018 17201112; 2 16420606 17850012 24863940 16788703; 
17.485999999999972 0 4.647999999999973 1 8.385999999999965 2 4.451999999999987 0 14813714 22461427; 1 22523228 2384071 797018 17201112 16412744; 2 16420606 17850012 24863940 16788703; 
18.945999999999973 0 4.685999999999976 1 8.805999999999974 2 5.453999999999944 0 14813714 22461427; 1 22523228 2384071 797018 17201112 16412744; 2 16420606 17850012 24863940 16788703 18102660; 
19.91399999999998 0 4.651999999999967 1 9.821999999999964 2 5.439999999999937 0 14813714 22461427; 1 22523228 2384071 797018 17201112 16412744 14167991; 2 16420606 17850012 24863940 16788703 18102660; 
21.173999999999996 0 4.703999999999975 1 11.011999999999963 2 5.457999999999945 0 14813714 22461427; 1 22523228 2384071 797018 17201112 16412744 14167991 16102437; 2 16420606 17850012 24863940 16788703 18102660; 
22.22199999999996 0 4.709999999999972 1 12.093999999999953 2 5.41799999999994 0 14813714 22461427; 1 22523228 2384071 16102437 41773112 797018 14167991 17201112 23344327; 2 16420606 17850012 24863940 18102660 16788703; 
23.32599999999996 0 4.789999999999973 1 13.047999999999954 2 5.48799999999994 0 14813714 22461427; 1 22523228 2384071 16102437 41773112 797018 14167991 17201112 23344327 23135992; 2 16420606 17850012 24863940 18102660 16788703; 
24.64599999999994 0 4.873999999999976 1 14.299999999999951 2 5.471999999999942 0 14813714 22461427; 1 23344327 797018 17201112 16102437 23135992 22523228 2384071 41773112 14167991 21266715; 2 24863940 13253992 16788703 17850012 16420606; 
25.64399999999992 0 4.897999999999978 1 15.25999999999997 2 5.485999999999943 0 14813714 22461427; 1 23344327 797018 17201112 16102437 23135992 22523228 2384071 41773112 14167991 21266715 14909369; 2 24863940 13253992 16788703 17850012 16420606; 
26.409999999999926 0 4.8579999999999695 1 16.087999999999987 2 5.463999999999943 0 14813714 22461427; 1 23344327 797018 17201112 16102437 23135992 22523228 2384071 41773112 14167991 21266715 14909369 19148918; 2 24863940 18102660 16788703 17850012 16420606; 
28.40399999999994 0 4.967999999999975 1 16.937999999999974 2 6.497999999999955 0 22461427 18888190; 1 23344327 797018 17201112 16102437 23135992 22523228 2384071 41773112 16236786 21266715 14909369 19148918; 2 24863940 23015762 18102660 16788703 17850012 16420606; 
29.609999999999967 0 4.983999999999973 1 18.043999999999983 2 6.5819999999999546 0 22461427 18888190; 1 23344327 797018 17201112 16102437 23135992 22523228 2384071 41773112 16236786 21266715 19148918 14909369 14785887; 2 24863940 23015762 18102660 16788703 17850012 16420606; 
30.50599999999997 0 5.119999999999972 1 18.833999999999993 2 6.551999999999953 0 22461427 18888190; 1 23344327 797018 17201112 16102437 23135992 22523228 2384071 41773112 16236786 21266715 19148918 14909369 14785887 15487691; 2 24863940 23015762 18102660 16788703 17850012 16420606; 
31.354000000000003 0 5.0479999999999805 1 19.785999999999984 2 6.519999999999955 0 18888190 22461427; 1 797018 17201112 16102437 22523228 14909369 2384071 41773112 14785887 16236786 23344327 23135992 15487691 19148918 21266715 15489180; 2 18102660 24863940 16788703 17850012 16420606 23015762; 
32.51600000000001 0 5.977999999999961 1 19.98399999999999 2 6.553999999999954 0 18888190 22461427 20661527; 1 797018 17201112 16102437 22523228 14909369 2384071 41773112 14785887 16236786 23344327 23135992 15487691 19148918 21266715 15489180; 2 18102660 24863940 16788703 17850012 16420606 23015762; 
33.67400000000002 0 5.957999999999966 1 20.199999999999992 2 7.5160000000000124 0 22461427 20661527 18888190; 1 797018 17201112 16102437 22523228 14909369 2384071 41773112 14785887 16236786 23344327 23135992 15487691 19148918 21266715 15489180; 2 18102660 9146202 24863940 16788703 17850012 16420606 23015762; 
35.70000000000004 0 6.115999999999967 1 22.023999999999962 2 7.560000000000012 0 22461427 18888190 20661527; 1 797018 17201112 16102437 22523228 14909369 2384071 16004411 14785887 16236786 23344327 23135992 15487691 19148918 21266715 15489180 41773112; 2 18102660 9146202 24863940 16788703 17850012 16420606 23015762; 
36.31200000000005 0 5.93199999999997 1 22.815999999999963 2 7.564000000000012 0 22461427 18888190 20661527; 1 797018 17201112 16102437 22523228 14909369 2384071 16004411 14785887 16236786 23344327 23135992 15487691 19148918 21266715 15489180 41773112 15862005; 2 18102660 9146202 24863940 16788703 17850012 16420606 23015762; 
37.99200000000008 0 7.333999999999965 1 23.11999999999998 2 7.538000000000012 0 22461427 7376382 20661527 18888190; 1 797018 17201112 16102437 22523228 14909369 2384071 16004411 14785887 16236786 23344327 23135992 15487691 19148918 21266715 15489180 41773112 15862005; 2 18102660 9146202 24863940 16788703 17850012 16420606 23015762; 
39.09800000000001 0 7.44999999999997 1 24.08199999999995 2 7.56600000000001 0 22461427 7376382 20661527 18888190; 1 797018 17201112 16102437 22523228 14909369 2384071 16004411 14785887 16236786 23344327 23135992 15487691 19148918 21266715 15489180 41773112 15862005 29118055; 2 18102660 9146202 24863940 16788703 17850012 16420606 23015762; 
40.22600000000003 0 9.46999999999997 1 24.283999999999956 2 6.471999999999963 0 16214599 14813714 7376382 20661527 18888190 22461427; 1 797018 17201112 16102437 22523228 14909369 2384071 16004411 14785887 16236786 23344327 23135992 15487691 19148918 21266715 15489180 41773112 15862005 29118055; 2 18102660 9146202 24863940 16788703 17850012 16420606; 
41.647999999999996 0 10.637999999999963 1 24.489999999999945 2 6.5199999999999445 0 16214599 1253451 18888190 7376382 14813714 22461427 20661527; 1 15489180 17201112 16102437 22523228 14909369 16004411 16236786 29118055 23135992 19148918 41773112 797018 21266715 15487691 23344327 15862005 14785887 2384071; 2 9146202 24863940 16788703 17850012 18102660 16420606; 
42.370000000000054 0 10.561999999999959 1 25.313999999999922 2 6.493999999999954 0 16214599 1253451 18888190 7376382 14813714 22461427 20661527; 1 15489180 17201112 16102437 22523228 14909369 16004411 16236786 29118055 23135992 19148918 41773112 797018 21266715 15487691 23344327 15862005 14785887 2384071 37975185; 2 9146202 24863940 16788703 17850012 18102660 16420606; 
43.51800000000004 0 10.52399999999997 1 25.45599999999993 2 7.538000000000009 0 16214599 1253451 18888190 7376382 14813714 22461427 20661527; 1 15489180 17201112 16102437 22523228 14909369 16004411 16236786 29118055 23135992 19148918 41773112 797018 21266715 15487691 23344327 15862005 14785887 2384071 37975185; 2 9146202 24863940 16788703 17850012 18102660 16420606 11120172; 
44.785999999999966 0 11.573999999999966 1 25.693999999999953 2 7.518000000000014 0 16214599 1253451 18888190 7376382 14813714 22461427 41796356 20661527; 1 15489180 17201112 16102437 22523228 14909369 16004411 16236786 29118055 23135992 19148918 797018 21266715 15487691 23344327 15862005 14785887 2384071 37975185 9462472; 2 9146202 24863940 16788703 17850012 18102660 16420606 11120172; 
45.68200000000004 0 11.733999999999952 1 26.445999999999934 2 7.502000000000013 0 16214599 1253451 18888190 7376382 14813714 22461427 41796356 20661527; 1 15489180 17201112 16102437 22523228 14909369 16004411 16236786 29118055 23135992 19148918 797018 21266715 15487691 23344327 15862005 14785887 2384071 37975185 9462472 21381690; 2 9146202 24863940 16788703 17850012 18102660 16420606 11120172; 
47.479999999999976 0 11.511999999999958 1 26.831999999999933 2 9.135999999999967 0 14813714 18888190 7376382 16214599 22461427 41796356 20661527 1253451; 1 37975185 9462472 16102437 22523228 14909369 16004411 16236786 29118055 23135992 19148918 797018 21266715 15487691 23344327 15862005 14785887 15489180 17201112 2384071 30864390; 2 9146202 19686924 11120172 16788703 17850012 18102660 16420606 24863940; 
48.23399999999991 0 12.541999999999948 1 26.64199999999993 2 9.049999999999974 0 14813714 18888190 7376382 18162730 22461427 41796356 20661527 1253451 19045839; 1 37975185 9462472 16102437 22523228 14909369 16004411 16236786 29118055 23135992 19148918 797018 21266715 15487691 23344327 15862005 14785887 15489180 17201112 2384071 30864390; 2 9146202 19686924 11120172 16788703 17850012 18102660 16420606 24863940; 
