2.5139999999999882 0 0.3000000000000002 1 0.9520000000000007 2 1.262000000000001 0 1 2 17850012; 
5.583999999999976 0 0.6800000000000005 1 3.5659999999999763 2 1.338000000000001 0 1 2384071; 2 17850012; 
6.499999999999964 0 0.7360000000000005 1 3.4299999999999784 2 2.3339999999999965 0 1 2384071; 2 17850012 24863940; 
7.467999999999971 0 0.6900000000000005 1 3.45799999999998 2 3.3199999999999696 0 1 2384071; 2 17850012 24863940 16788703; 
10.955999999999968 0 3.5299999999999785 1 6.023999999999962 2 1.402000000000001 0 22461427; 1 14909369 2384071 14245571; 2 17850012; 
7.699999999999968 0 1.372000000000001 1 3.0199999999999894 2 3.3079999999999656 0 18162730; 1 14245571 22523228; 2 16420606 17850012 24863940; 
10.981999999999962 0 4.1559999999999775 1 3.51799999999998 2 3.3079999999999665 0 15572221 22461427; 1 14245571 22523228; 2 16420606 17850012 24863940; 
12.617999999999954 0 3.38999999999998 1 5.921999999999963 2 3.3059999999999654 0 22461427; 1 14245571 17173775 22523228 23344327; 2 16420606 17850012 24863940; 
15.01599999999994 0 4.443999999999974 1 7.229999999999972 2 3.3419999999999677 0 18888190 22461427; 1 14245571 22523228 23344327 2384071; 2 16420606 17850012 24863940; 
16.165999999999965 0 4.557999999999975 1 8.23199999999997 2 3.3759999999999732 0 18888190 22461427; 1 14245571 22523228 23344327 2384071 14909369; 2 16420606 17850012 24863940; 
17.787999999999982 0 4.683999999999976 1 9.643999999999963 2 3.4599999999999684 0 18888190 22461427; 1 14245571 22523228 23344327 2384071 14909369 16412744; 2 16420606 17850012 24863940; 
18.919999999999984 0 4.725999999999975 1 10.703999999999963 2 3.489999999999969 0 18888190 22461427; 1 14245571 22523228 23344327 2384071 14909369 16412744 17201112; 2 16420606 17850012 24863940; 
19.88399999999999 0 4.6659999999999755 1 11.685999999999956 2 3.5319999999999703 0 18888190 22461427; 1 14245571 22523228 23344327 2384071 14909369 16412744 17201112 797018; 2 16420606 17850012 24863940; 
20.837999999999965 0 5.675999999999968 1 11.697999999999956 2 3.4639999999999675 0 18888190 22461427 16146535; 1 14245571 22523228 23344327 2384071 14909369 16412744 17201112 797018; 2 16420606 17850012 24863940; 
22.28599999999997 0 5.6599999999999655 1 12.111999999999949 2 4.513999999999982 0 18888190 22461427 16146535; 1 14245571 22523228 23344327 2384071 14909369 16412744 17201112 797018; 2 16420606 17850012 24863940 18102660; 
23.35799999999997 0 5.829999999999967 1 13.033999999999947 2 4.493999999999985 0 18888190 22461427 16146535; 1 14245571 22523228 23344327 2384071 14909369 16412744 17201112 797018 23135992; 2 16420606 17850012 24863940 18102660; 
24.8779999999999 0 6.997999999999963 1 13.323999999999954 2 4.555999999999982 0 29863027 22461427 16146535 18888190; 1 14245571 22523228 23135992 23344327 17201112 2384071 14909369 797018 16412744; 2 16420606 17850012 24863940 18102660; 
25.895999999999923 0 7.079999999999968 1 14.283999999999962 2 4.531999999999981 0 29863027 22461427 16146535 18888190; 1 14245571 22523228 23135992 23344327 17201112 2384071 14909369 797018 16412744 30864390; 2 16420606 17850012 24863940 18102660; 
27.147999999999925 0 7.165999999999967 1 14.509999999999964 2 5.471999999999944 0 29863027 22461427 16146535 18888190; 1 14245571 22523228 23135992 23344327 17201112 2384071 14909369 797018 16412744 30864390; 2 16420606 17850012 24863940 18102660 9146202; 
27.81199999999994 0 7.071999999999961 1 14.235999999999944 2 6.503999999999948 0 29863027 22461427 16146535 18888190; 1 14245571 22523228 23135992 23344327 17201112 2384071 14909369 797018 41773112 30864390; 2 16420606 17850012 24863940 18102660 9146202 11120172; 
29.145999999999944 0 7.111999999999958 1 15.561999999999976 2 6.471999999999941 0 29863027 22461427 16146535 18888190; 1 14245571 22523228 23135992 23344327 17201112 2384071 14909369 797018 41773112 30864390 16102437; 2 16420606 17850012 24863940 18102660 9146202 11120172; 
30.038000000000004 0 7.183999999999965 1 15.389999999999976 2 7.464000000000016 0 29863027 22461427 16146535 18888190; 1 14245571 22523228 23135992 23344327 17201112 2384071 14909369 797018 41773112 16102437 30864390; 2 16420606 17850012 24863940 18102660 9146202 11120172 17558182; 
32.40000000000002 0 7.703999999999968 1 17.243999999999975 2 7.452000000000013 0 29863027 22461427 16146535 7376382; 1 14245571 22523228 23135992 23344327 17201112 2384071 14909369 797018 41773112 16102437 30864390 17173775; 2 16420606 17850012 24863940 18102660 9146202 11120172 17558182; 
34.14000000000003 0 8.875999999999962 1 17.663999999999977 2 7.600000000000005 0 5054721 29863027 22461427 16146535 7376382; 1 14245571 22523228 23135992 23344327 17201112 2384071 14909369 797018 16102437 30864390 17173775 16412744; 2 17850012 24863940 18102660 18336787 9146202 11120172 17558182; 
35.88600000000003 0 9.119999999999964 1 18.69599999999999 2 8.069999999999995 0 5054721 29863027 22461427 16146535 7376382; 1 22523228 23135992 23344327 17201112 2384071 14909369 797018 16102437 30864390 20657078 16412744 17173775 14270650; 2 19686924 17850012 24863940 18102660 18336787 9146202 11120172; 
36.69200000000009 0 8.839999999999971 1 19.729999999999972 2 8.121999999999995 0 5054721 29863027 22461427 16146535 7376382; 1 22523228 23135992 23344327 17201112 2384071 14909369 797018 16102437 30864390 20657078 16412744 17173775 14270650 19148918; 2 19686924 17850012 24863940 18102660 18336787 9146202 11120172; 
38.192000000000064 0 9.031999999999966 1 21.07799999999996 2 8.081999999999994 0 5054721 29863027 22461427 16146535 7376382; 1 22523228 23135992 23344327 17201112 2384071 14909369 797018 16102437 30864390 20657078 16412744 17173775 14270650 19148918 21093392; 2 19686924 17850012 24863940 18102660 18336787 9146202 11120172; 
39.04800000000002 0 9.025999999999962 1 21.961999999999986 2 8.059999999999995 0 5054721 29863027 22461427 16146535 7376382; 1 22523228 23135992 23344327 17201112 2384071 14909369 797018 16102437 30864390 20657078 16412744 17173775 14270650 19148918 21093392 37975185; 2 19686924 17850012 24863940 18102660 18336787 9146202 11120172; 
39.57400000000003 0 8.739999999999979 1 22.75 2 8.083999999999996 0 5054721 18595063 22461427 16146535 7376382; 1 22523228 23135992 23344327 17201112 12389772 14909369 797018 16102437 30864390 20657078 16412744 17173775 14270650 19148918 21093392 37975185 2384071; 2 19686924 17850012 24863940 18102660 18336787 9146202 11120172; 
41.018 0 8.759999999999966 1 24.181999999999952 2 8.075999999999992 0 5054721 18595063 22461427 16146535 7376382; 1 22523228 23135992 23344327 17201112 12389772 14909369 797018 30864390 16102437 2384071 19148918 20657078 21093392 17173775 16412744 37975185 14270650 14451294; 2 19686924 17850012 24863940 18102660 18336787 9146202 11120172; 
41.84599999999999 0 8.88399999999998 1 24.90199999999995 2 8.059999999999993 0 5054721 18595063 22461427 16146535 7376382; 1 22523228 23135992 23344327 17201112 12389772 14909369 797018 30864390 16102437 2384071 19148918 20657078 21093392 17173775 16412744 37975185 14270650 14451294 21203278; 2 19686924 17850012 24863940 18102660 18336787 9146202 11120172; 
43.31800000000003 0 10.077999999999971 1 26.099999999999948 2 7.139999999999966 0 22461427 16146535 41796356 7376382 11350892 14249581; 1 18817130 22523228 23135992 23344327 17201112 12389772 14909369 797018 30864390 16102437 2384071 19148918 20657078 21093392 17173775 30720643 37975185 14270650 14451294 15105269; 2 16420606 19686924 17850012 24863940 18102660 11120172; 
44.304000000000066 0 10.081999999999972 1 27.059999999999935 2 7.161999999999978 0 22461427 16146535 41796356 7376382 11350892 14249581; 1 18817130 22523228 23135992 23344327 17201112 12389772 14909369 797018 30864390 16102437 2384071 19148918 20657078 21093392 17173775 30720643 37975185 14270650 14451294 15105269 9462472; 2 16420606 19686924 17850012 24863940 18102660 11120172; 
46.31799999999999 0 10.46399999999996 1 28.66399999999993 2 7.189999999999978 0 22461427 20661527 41796356 11350892 14249581 7376382; 1 18817130 22523228 23135992 23344327 17201112 12389772 14909369 797018 15076390 30864390 16102437 2384071 19148918 20657078 21093392 17173775 30720643 37975185 14270650 14451294 15105269 9462472; 2 16420606 19686924 17850012 24863940 18102660 11120172; 
47.14999999999998 0 11.30199999999996 1 28.63799999999994 2 7.209999999999974 0 14719154 20661527 41796356 11350892 14249581 7376382 22461427; 1 18817130 22523228 23135992 23344327 17201112 12389772 14909369 797018 15076390 30864390 16102437 2384071 19148918 20657078 21093392 17173775 30720643 37975185 14270650 14451294 15105269 9462472; 2 16420606 19686924 17850012 24863940 18102660 11120172; 
47.935999999999886 0 12.281999999999952 1 28.465999999999944 2 7.187999999999973 0 14719154 20661527 41796356 29986886 11350892 14249581 7376382 22461427; 1 18817130 22523228 23135992 23344327 17201112 12389772 14909369 797018 30864390 16102437 2384071 19148918 20657078 21093392 17173775 30720643 37975185 14270650 14451294 15105269 9462472 15076390; 2 16420606 19686924 17850012 24863940 18102660 11120172; 
