2.4659999999999918 0 0.2920000000000002 1 0.9060000000000007 2 1.268000000000001 0 1 2 17850012; 
3.487999999999981 0 0.32200000000000023 1 0.9040000000000007 2 2.2619999999999996 0 1 2 17850012 24863940; 
3.161999999999964 0 0.046000000000000006 1 1.0980000000000008 2 2.0180000000000016 0 1 797018; 2 24863940 16420606; 
7.7219999999999684 0 0.8400000000000006 1 5.543999999999973 2 1.338000000000001 0 1 797018 2384071 18398842; 2 17850012; 
6.543999999999949 0 0.3080000000000002 1 1.9960000000000016 2 4.239999999999994 0 1 797018; 2 17850012 24863940 16420606 16788703; 
9.761999999999972 0 3.1379999999999804 1 2.3759999999999915 2 4.247999999999992 0 22461427; 1 797018; 2 17850012 24863940 16420606 16788703; 
11.493999999999975 0 3.1619999999999813 1 5.20799999999997 2 3.123999999999966 0 22461427; 1 797018 2384071 14909369; 2 16420606 16788703 24863940; 
12.74199999999997 0 3.2619999999999827 1 6.315999999999962 2 3.1639999999999695 0 22461427; 1 797018 2384071 14909369 41773112; 2 16420606 16788703 24863940; 
14.091999999999976 0 3.399999999999981 1 7.4679999999999644 2 3.2239999999999642 0 22461427; 1 797018 2384071 14909369 41773112 17201112; 2 16420606 16788703 24863940; 
16.147999999999968 0 3.5279999999999787 1 8.243999999999966 2 4.375999999999987 0 22461427; 1 797018 14909369 41773112 17201112 2384071; 2 16420606 17850012 16788703 24863940; 
17.329999999999988 0 4.627999999999969 1 8.311999999999964 2 4.389999999999989 0 27362221 22461427; 1 797018 14909369 17201112 41773112 2384071; 2 16420606 17850012 16788703 24863940; 
18.78799999999997 0 4.711999999999974 1 9.587999999999969 2 4.4879999999999844 0 27362221 22461427; 1 797018 14909369 17201112 41773112 2384071 15105269; 2 16420606 17850012 16788703 24863940; 
19.683999999999948 0 5.617999999999969 1 9.58799999999997 2 4.477999999999985 0 27362221 22461427 16146535; 1 797018 14909369 17201112 41773112 2384071 15105269; 2 16420606 17850012 16788703 24863940; 
18.63599999999997 0 5.187999999999968 1 9.021999999999966 2 4.425999999999983 0 14372426 22461427 16146535; 1 797018 14909369 17201112 41773112 22523228 15105269 22463905; 2 16420606 17850012 16788703 24863940; 
19.035999999999987 0 5.057999999999972 1 9.663999999999971 2 4.313999999999994 0 14372426 16146535 22461427; 1 797018 14245571 14909369 41773112 17201112 22523228 15105269 22463905; 2 16420606 16788703 24863940 18102660; 
