2.4879999999999893 0 0.32600000000000023 1 0.9140000000000007 2 1.2480000000000009 0 1 2 17850012; 
3.56199999999998 0 1.318000000000001 1 0.9480000000000007 2 1.296000000000001 0 18162730; 1 2 17850012; 
4.561999999999979 0 0.33000000000000024 1 1.9980000000000016 2 2.233999999999999 0 1 22523228; 2 17850012 16420606; 
5.495999999999967 0 0.2840000000000002 1 1.9680000000000015 2 3.2439999999999687 0 1 22523228; 2 17850012 16420606 24863940; 
6.605999999999958 0 0.33600000000000024 1 2.0280000000000005 2 4.241999999999993 0 1 22523228; 2 17850012 16420606 24863940 16788703; 
7.547999999999974 0 1.298000000000001 1 1.9880000000000015 2 4.2619999999999925 0 18162730; 1 22523228; 2 24863940 16420606 17850012 16788703; 
13.253999999999955 0 3.6079999999999806 1 6.25799999999997 2 3.3879999999999693 0 22461427; 1 22523228 16412744 2384071; 2 16420606 17850012 16788703; 
14.621999999999955 0 3.6419999999999786 1 7.467999999999961 2 3.5119999999999694 0 22461427; 1 22523228 16412744 2384071 17201112; 2 16420606 17850012 16788703; 
15.549999999999963 0 3.649999999999976 1 7.46199999999996 2 4.437999999999985 0 22461427; 1 22523228 2384071 17201112 16412744; 2 24863940 16420606 17850012 16788703; 
16.585999999999977 0 3.5299999999999776 1 8.599999999999968 2 4.455999999999983 0 22461427; 1 22523228 2384071 17201112 16412744 23344327; 2 24863940 16420606 17850012 16788703; 
15.679999999999968 0 3.0679999999999854 1 8.19199999999997 2 4.419999999999987 0 28340503 14813714; 1 22523228 17201112 16412744 23344327 2384071; 2 24863940 16420606 17850012 16788703; 
16.66199999999997 0 3.091999999999985 1 9.135999999999973 2 4.433999999999987 0 28340503 14813714; 1 22523228 17201112 16412744 23344327 2384071 17971670; 2 24863940 16420606 17850012 16788703; 
17.735999999999986 0 3.0799999999999854 1 10.21399999999998 2 4.441999999999985 0 28340503 14813714; 1 22523228 17201112 16412744 23344327 2384071 17971670 797018; 2 24863940 16420606 17850012 16788703; 
19.201999999999977 0 3.0599999999999867 1 10.65399999999996 2 5.487999999999941 0 28340503 14813714; 1 22523228 17201112 16412744 23344327 2384071 17971670 797018; 2 24863940 16420606 17850012 16788703 18102660; 
20.171999999999972 0 4.089999999999973 1 10.639999999999965 2 5.4419999999999416 0 14813714 28340503 16146535; 1 22523228 23344327 16412744 17201112 17971670 2384071 797018; 2 24863940 16420606 16788703 17850012 18102660; 
