2.4419999999999913 0 0.2840000000000002 1 0.9000000000000007 2 1.258000000000001 0 1 2 17850012; 
2.1200000000000014 0 1.0540000000000007 1 1.0540000000000007 2 0.012 0 39299693; 1 19360333; 2 
5.299999999999965 0 1.462000000000001 1 2.51799999999999 2 1.320000000000001 0 39299693; 1 8820652; 2 17850012; 
8.745999999999968 0 3.341999999999978 1 4.053999999999975 2 1.350000000000001 0 22461427; 1 8820652 22523228; 2 17850012; 
9.541999999999963 0 3.123999999999984 1 5.121999999999968 2 1.296000000000001 0 22461427; 1 8820652 15809746 22523228; 2 17850012; 
10.63599999999996 0 3.1699999999999804 1 6.089999999999962 2 1.376000000000001 0 22461427; 1 8820652 14365965 22523228 14872695; 2 17850012; 
11.835999999999954 0 3.2739999999999787 1 7.2119999999999616 2 1.350000000000001 0 22461427; 1 8820652 14365965 22523228 14872695 16412744; 2 17850012; 
12.831999999999951 0 4.259999999999978 1 7.141999999999967 2 1.430000000000001 0 18888190 22461427; 1 8820652 22523228 14872695 19360333 17201112; 2 17850012; 
14.201999999999957 0 4.453999999999973 1 8.403999999999966 2 1.344000000000001 0 18888190 22461427; 1 8820652 22523228 14872695 19360333 17201112 16845153; 2 17850012; 
15.379999999999972 0 4.295999999999977 1 9.72399999999996 2 1.360000000000001 0 18888190 22461427; 1 8820652 22523228 14872695 19360333 17201112 16845153 14451294; 2 17850012; 
18.359999999999975 0 3.779999999999976 1 13.131999999999938 2 1.448000000000001 0 22461427; 1 8820652 21060795 22523228 12389772 19360333 17201112 16845153 14451294 2384071; 2 17850012; 
19.483999999999973 0 4.799999999999972 1 13.251999999999946 2 1.432000000000001 0 27060950 22461427; 1 21060795 2384071 16845153 17201112 22523228 8820652 12389772 14451294 19360333; 2 17850012; 
20.613999999999983 0 5.863999999999969 1 13.237999999999937 2 1.5120000000000011 0 27060950 22461427 33437822; 1 21060795 2384071 16845153 17201112 22523228 8820652 12389772 14451294 19360333; 2 17850012; 
19.717999999999986 0 5.333999999999975 1 12.955999999999959 2 1.428000000000001 0 27060950 22461427 33437822; 1 21060795 14431629 16845153 17201112 22523228 8820652 12389772 14451294 19360333 17323772; 2 17850012; 
21.029999999999987 0 5.553999999999966 1 14.035999999999952 2 1.440000000000001 0 22461427 27060950 33437822; 1 16845153 17201112 22523228 14431629 8820652 12389772 14451294 19360333 17323772 21060795 16412744; 2 17850012; 
22.281999999999954 0 6.617999999999966 1 14.131999999999952 2 1.5320000000000011 0 39299693 27060950 33437822 22461427; 1 16845153 17201112 22523228 14431629 8820652 12389772 14451294 19360333 17323772 21060795 16412744; 2 17850012; 
23.105999999999955 0 6.541999999999966 1 15.05999999999997 2 1.5040000000000011 0 39299693 27060950 33437822 22461427; 1 16845153 17201112 22523228 14431629 8820652 12389772 14451294 19360333 17323772 21060795 16412744 25468909; 2 17850012; 
24.13399999999993 0 7.485999999999965 1 15.197999999999972 2 1.450000000000001 0 39299693 27060950 33437822 22461427 7828252; 1 16845153 17201112 22523228 14431629 8820652 12389772 14451294 19360333 17323772 21060795 16412744 25468909; 2 17850012; 
25.07399999999994 0 8.417999999999974 1 15.149999999999958 2 1.5060000000000011 0 39299693 27060950 9922122 33437822 22461427 7828252; 1 16845153 17201112 22523228 8820652 12389772 14451294 19360333 17323772 21060795 16412744 25468909 14431629; 2 17850012; 
24.30199999999993 0 8.067999999999993 1 14.731999999999966 2 1.5020000000000011 0 39299693 14813714 9922122 33437822 24983519 7828252 1106311; 1 16845153 17201112 22523228 8820652 12389772 14451294 19360333 17323772 21060795 16412744 25468909 14431629; 2 17850012; 
25.595999999999965 0 8.056000000000003 1 16.021999999999974 2 1.5180000000000011 0 39299693 14813714 9922122 33437822 24983519 7828252 1106311; 1 16845153 17201112 22523228 8820652 12389772 14451294 19360333 17323772 21060795 16412744 25468909 14431629 14696934; 2 17850012; 
26.041999999999927 0 7.885999999999999 1 15.247999999999971 2 2.9079999999999853 0 39299693 14813714 9922122 33437822 24983519 7828252 1106311; 1 16845153 17201112 22523228 8820652 12389772 14451294 19360333 17323772 21060795 16412744 25468909 14431629 14696934; 2 19686924 16788703; 
27.443999999999935 0 7.995999999999999 1 16.479999999999997 2 2.9679999999999875 0 39299693 14813714 9922122 33437822 24983519 7828252 1106311; 1 16845153 17201112 22523228 8820652 12389772 14451294 19360333 17323772 21060795 16412744 25468909 14431629 14696934 16102437; 2 19686924 16788703; 
28.379999999999917 0 7.984000000000001 1 17.440000000000005 2 2.955999999999987 0 39299693 14813714 9922122 33437822 7828252 1106311 24983519; 1 16845153 17201112 22523228 8820652 12389772 14451294 19360333 17323772 21060795 16412744 25468909 14696934 14431629 16102437 27120518; 2 19686924 16788703; 
29.623999999999956 0 7.992000000000003 1 18.691999999999986 2 2.9399999999999875 0 39299693 14813714 9922122 33437822 7828252 1106311 24983519; 1 16845153 17201112 22523228 8820652 12389772 14451294 19360333 17323772 21060795 16412744 25468909 14696934 14431629 16102437 27120518 797018; 2 19686924 16788703; 
30.35799999999997 0 8.004000000000005 1 18.47799999999999 2 3.875999999999967 0 39299693 14813714 9922122 33437822 7828252 1106311 24983519; 1 16845153 17201112 22523228 8820652 12389772 14451294 19360333 17323772 21060795 16412744 25468909 14696934 14431629 16102437 27120518 797018; 2 19686924 16788703 24863940; 
31.762000000000015 0 7.051999999999962 1 20.73 2 3.97999999999997 0 39299693 14813714 9922122 7828252 1106311 24983519; 1 16845153 17201112 22523228 8820652 12389772 14451294 19360333 17323772 21060795 39068896 16412744 25468909 14696934 14431629 16102437 27120518 797018 21093392; 2 19686924 16788703 24863940; 
32.86600000000002 0 7.127999999999964 1 21.751999999999978 2 3.985999999999973 0 39299693 14813714 9922122 7828252 1106311 24983519; 1 16845153 17201112 22523228 8820652 12389772 14451294 19360333 17323772 21060795 39068896 16412744 25468909 14696934 14431629 16102437 27120518 797018 21093392 15809746; 2 19686924 16788703 24863940; 
