1.0700000000000007 0 1.0300000000000007 1 0.024000000000000007 2 0.016 0 18162730; 1 2 
2.1700000000000017 0 2.0920000000000014 1 0.048000000000000015 2 0.030000000000000006 0 18162730 14813714; 1 2 
7.24799999999996 0 3.1559999999999824 1 4.009999999999979 2 0.08200000000000006 0 22461427; 1 2384071 19360333; 2 
10.561999999999966 0 3.649999999999977 1 5.523999999999971 2 1.388000000000001 0 22461427; 1 2384071 8820652; 2 17850012; 
11.811999999999967 0 3.66399999999998 1 6.673999999999968 2 1.474000000000001 0 22461427; 1 2384071 8820652 17201112; 2 17850012; 
12.717999999999957 0 3.8019999999999756 1 7.4739999999999664 2 1.442000000000001 0 22461427; 1 17173775 19360333 17201112 2384071; 2 17850012; 
11.88599999999996 0 4.3199999999999745 1 6.197999999999959 2 1.368000000000001 0 18888190 22461427; 1 19360333 17201112 14872695 8820652; 2 17850012; 
14.903999999999968 0 4.763999999999974 1 8.745999999999963 2 1.394000000000001 0 18162730 22461427; 1 19360333 17201112 12389772 8820652 2384071; 2 17850012; 
15.819999999999975 0 3.645999999999979 1 10.72199999999996 2 1.452000000000001 0 22461427; 1 27120518 19360333 17201112 2384071 12389772 8820652 22523228; 2 17850012; 
15.075999999999967 0 3.319999999999977 1 10.34599999999997 2 1.410000000000001 0 22461427; 1 27120518 19360333 17201112 14431629 12389772 8820652 22523228 14451294; 2 17850012; 
16.245999999999974 0 4.4499999999999735 1 10.399999999999979 2 1.396000000000001 0 22461427 26357737; 1 27120518 19360333 17201112 6821602 12389772 8820652 22523228 14451294; 2 17850012; 
17.37799999999998 0 4.491999999999972 1 11.419999999999963 2 1.466000000000001 0 22461427 26357737; 1 27120518 19360333 17201112 14431629 12389772 8820652 22523228 14451294 16845153; 2 17850012; 
18.26799999999999 0 4.183999999999973 1 12.653999999999952 2 1.430000000000001 0 38929280 26357737 33437822; 1 21060795 19360333 17201112 12389772 16845153 8820652 22523228 2384071 14451294; 2 17850012; 
17.528000000000002 0 4.883999999999976 1 11.203999999999956 2 1.440000000000001 0 38929280 26357737 33437822 14139780; 1 21060795 19360333 17201112 12389772 16845153 8820652 22523228 14431629 14451294; 2 17850012; 
18.709999999999987 0 4.907999999999977 1 12.383999999999956 2 1.418000000000001 0 14139780 38929280 33437822 26357737; 1 17201112 21060795 22523228 14431629 16845153 8820652 14451294 12389772 19360333 16412744; 2 17850012; 
20.066 0 5.02399999999997 1 13.549999999999939 2 1.492000000000001 0 14139780 27060950 33437822 30733040; 1 17201112 21060795 22523228 14431629 16845153 8820652 14451294 12389772 19360333 16412744 17323772; 2 17850012; 
20.652 0 4.663999999999985 1 13.135999999999942 2 2.85199999999999 0 14139780 27060950 33437822 30733040; 1 17201112 21060795 22523228 14431629 16845153 8820652 14451294 12389772 19360333 16412744 17323772; 2 19686924 16788703; 
21.669999999999934 0 4.745999999999978 1 14.015999999999947 2 2.907999999999985 0 14139780 27060950 33437822 30733040; 1 17201112 21060795 22523228 14431629 16845153 8820652 14451294 12389772 19360333 16412744 17323772 25468909; 2 19686924 16788703; 
22.783999999999953 0 4.771999999999979 1 15.079999999999972 2 2.9319999999999884 0 14139780 27060950 33437822 30733040; 1 17201112 21060795 22523228 14431629 16845153 8820652 14451294 12389772 19360333 16412744 17323772 25468909 27120518; 2 19686924 16788703; 
24.00999999999996 0 4.797999999999977 1 15.257999999999976 2 3.9539999999999713 0 14139780 27060950 33437822 30733040; 1 17201112 21060795 22523228 14431629 16845153 8820652 14451294 12389772 19360333 16412744 17323772 25468909 27120518; 2 19686924 16788703 24863940; 
24.927999999999937 0 4.783999999999975 1 16.22199999999999 2 3.921999999999969 0 14139780 27060950 33437822 30733040; 1 17201112 21060795 22523228 14431629 16845153 8820652 14451294 12389772 19360333 16412744 17323772 25468909 27120518 14696934; 2 19686924 16788703 24863940; 
27.995999999999928 0 7.495999999999967 1 16.565999999999985 2 3.93399999999997 0 27060950 33437822 15577501 14139780 22461427; 1 16412744 27120518 14696934 16845153 8820652 21060795 14451294 12389772 19360333 17201112 17323772 14431629 22523228 25468909; 2 24863940 19686924 16788703; 
29.35399999999996 0 7.533999999999972 1 17.90399999999998 2 3.91599999999997 0 27060950 33437822 15577501 14139780 22461427; 1 16412744 27120518 14696934 16845153 8820652 21060795 14451294 12389772 19360333 17201112 17323772 14431629 22523228 25468909 16102437; 2 24863940 19686924 16788703; 
28.529999999999948 0 7.0339999999999545 1 17.593999999999983 2 3.901999999999968 0 27060950 33437822 15577501 14139780 39299693 14103852; 1 16412744 27120518 14696934 16845153 8820652 21060795 14451294 12389772 19360333 17201112 17323772 22523228 25468909 16102437 14431629; 2 24863940 19686924 16788703; 
29.741999999999955 0 7.043999999999964 1 17.781999999999986 2 4.915999999999973 0 27060950 33437822 15577501 14139780 39299693 14103852; 1 16412744 27120518 14696934 16845153 8820652 21060795 14451294 12389772 19360333 17201112 17323772 22523228 25468909 14431629 16102437; 2 24863940 19686924 16788703 18102660; 
30.97999999999995 0 8.059999999999995 1 17.964000000000006 2 4.955999999999974 0 27060950 33437822 30733040 14139780 39299693 30873801 7828252; 1 16412744 27120518 14696934 16845153 8820652 21060795 14451294 12389772 19360333 17201112 17323772 22523228 25468909 6821602 16102437; 2 24863940 19686924 16788703 18102660; 
32.283999999999985 0 8.111999999999995 1 19.172 2 4.999999999999972 0 27060950 33437822 30733040 14139780 39299693 30873801 7828252; 1 16412744 27120518 14696934 16845153 8820652 21060795 14451294 12389772 19360333 17201112 17323772 22523228 25468909 6821602 16102437 21093392; 2 24863940 19686924 16788703 18102660; 
