1.0600000000000007 0 1.0280000000000007 1 0.02 2 0.012 0 18162730; 1 2 
3.5639999999999814 0 1.356000000000001 1 0.9000000000000007 2 1.308000000000001 0 39299693; 1 2 17850012; 
8.77399999999997 0 3.4819999999999776 1 3.931999999999977 2 1.360000000000001 0 22461427; 1 2384071; 2 17850012; 
7.94399999999996 0 4.163999999999974 1 2.443999999999992 2 1.336000000000001 0 22461427 18162730; 1 4285941; 2 17850012; 
11.339999999999959 0 3.6939999999999795 1 6.321999999999968 2 1.324000000000001 0 22461427; 1 17173775 12389772 2384071; 2 17850012; 
12.403999999999948 0 4.3979999999999775 1 6.615999999999967 2 1.390000000000001 0 22461427 18162730; 1 12389772 2384071 8820652; 2 17850012; 
13.617999999999958 0 4.6519999999999735 1 7.597999999999971 2 1.368000000000001 0 22461427 18162730; 1 12389772 2384071 8820652 22523228; 2 17850012; 
15.15199999999996 0 3.8199999999999785 1 9.881999999999973 2 1.450000000000001 0 22461427; 1 8820652 2384071 17173775 22523228 12389772 17201112; 2 17850012; 
14.561999999999957 0 4.56599999999997 1 8.56199999999997 2 1.434000000000001 0 22461427 9922122; 1 8820652 14872695 17173775 22523228 12389772 17201112; 2 17850012; 
15.629999999999969 0 4.499999999999973 1 9.761999999999967 2 1.368000000000001 0 22461427 9922122; 1 8820652 14872695 17173775 22523228 12389772 17201112 16845153; 2 17850012; 
16.681999999999977 0 4.473999999999976 1 10.759999999999966 2 1.448000000000001 0 22461427 9922122; 1 8820652 14872695 17173775 22523228 12389772 17201112 16845153 19360333; 2 17850012; 
17.921999999999976 0 4.535999999999973 1 11.919999999999963 2 1.466000000000001 0 22461427 9922122; 1 8820652 14872695 17173775 22523228 12389772 17201112 16845153 19360333 14451294; 2 17850012; 
18.53799999999999 0 5.501999999999969 1 11.59599999999997 2 1.440000000000001 0 22461427 9922122 33437822; 1 8820652 14872695 21060795 22523228 12389772 17201112 16845153 19360333 14451294; 2 17850012; 
19.88999999999998 0 5.457999999999967 1 12.951999999999945 2 1.480000000000001 0 33437822 22461427 9922122; 1 12389772 14451294 22523228 17201112 8820652 19360333 21060795 16845153 14872695 17323772; 2 17850012; 
20.79199999999998 0 6.4519999999999635 1 12.919999999999925 2 1.420000000000001 0 33437822 22461427 9922122 18506582; 1 12389772 14451294 22523228 17201112 8820652 19360333 21060795 16845153 14872695 17323772; 2 17850012; 
22.417999999999967 0 6.645999999999966 1 14.205999999999959 2 1.5660000000000012 0 33437822 22461427 9922122 18506582; 1 12389772 14451294 22523228 17201112 8820652 19360333 21060795 16845153 14872695 17323772 16412744; 2 17850012; 
23.17599999999997 0 6.517999999999957 1 15.115999999999959 2 1.5420000000000011 0 33437822 22461427 9922122 14139780; 1 12389772 14451294 22523228 17201112 8820652 19360333 21060795 16845153 14872695 17323772 16412744 14696934; 2 17850012; 
24.577999999999935 0 7.745999999999962 1 15.339999999999966 2 1.492000000000001 0 33437822 11350892 9922122 14139780 22461427; 1 12389772 14451294 22523228 17201112 8820652 19360333 21060795 16845153 14872695 17323772 14696934 16412744; 2 17850012; 
25.759999999999934 0 7.777999999999968 1 16.445999999999973 2 1.5360000000000011 0 33437822 11350892 9922122 14139780 22461427; 1 12389772 14451294 22523228 17201112 8820652 19360333 21060795 16845153 14872695 17323772 14696934 16412744 25468909; 2 17850012; 
26.175999999999924 0 7.55599999999997 1 15.65399999999998 2 2.9659999999999886 0 33437822 11350892 9922122 14139780 22461427; 1 12389772 14451294 22523228 17201112 8820652 19360333 21060795 16845153 14872695 17323772 14696934 16412744 25468909; 2 19686924 24863940; 
27.273999999999962 0 7.529999999999965 1 16.797999999999977 2 2.9459999999999877 0 33437822 11350892 9922122 14139780 22461427; 1 12389772 14451294 22523228 17201112 8820652 19360333 21060795 16845153 14872695 17323772 14696934 16412744 25468909 797018; 2 19686924 24863940; 
28.855999999999927 0 7.527999999999963 1 17.41600000000001 2 3.91199999999997 0 33437822 11350892 9922122 14139780 22461427; 1 12389772 14451294 22523228 17201112 8820652 19360333 16447060 16845153 14872695 17323772 14696934 16412744 25468909 797018; 2 19686924 22604125 24863940; 
29.937999999999946 0 8.537999999999961 1 17.463999999999967 2 3.935999999999971 0 33437822 11350892 9922122 39299693 14139780 22461427; 1 12389772 14451294 22523228 17201112 8820652 19360333 16447060 16845153 17323772 14696934 16412744 25468909 797018 14872695; 2 19686924 24863940 22604125; 
31.177999999999955 0 8.601999999999972 1 17.531999999999993 2 5.04399999999997 0 33437822 11350892 9922122 39299693 14139780 22461427; 1 12389772 14451294 22523228 17201112 8820652 19360333 16447060 16845153 17323772 14696934 16412744 25468909 797018 14872695; 2 19686924 24863940 22604125 18102660; 
32.372000000000014 0 9.663999999999971 1 17.67799999999998 2 5.0299999999999665 0 33437822 11350892 9922122 39299693 14139780 22461427 7828252; 1 12389772 14451294 22523228 17201112 8820652 19360333 16447060 16845153 17323772 14696934 16412744 25468909 797018 6821602; 2 19686924 24863940 22604125 18102660; 
32.814 0 8.561999999999975 1 19.277999999999977 2 4.973999999999972 0 11350892 9922122 39299693 14139780 22461427 7828252; 1 40225273 12389772 14451294 22523228 17201112 8820652 19360333 21060795 16845153 17323772 14696934 17498731 25468909 797018 6821602 16102437; 2 19686924 24863940 22604125 18102660; 
