1.0320000000000007 0 1.0140000000000007 1 0.006 2 0.012 0 14813714; 1 2 
4.133999999999976 0 1.486000000000001 1 2.5899999999999896 2 0.05800000000000003 0 14813714; 1 2384071; 2 
7.597999999999966 0 3.32199999999998 1 4.173999999999974 2 0.10200000000000008 0 22461427; 1 2384071 19360333; 2 
8.453999999999967 0 3.183999999999982 1 3.9439999999999746 2 1.326000000000001 0 22461427; 1 18120477 8820652; 2 17850012; 
9.963999999999977 0 3.477999999999977 1 5.105999999999973 2 1.380000000000001 0 22461427; 1 8820652 18120477 16412744; 2 17850012; 
10.869999999999955 0 3.3359999999999825 1 6.1259999999999675 2 1.408000000000001 0 22461427; 1 8820652 18120477 19360333 22523228; 2 17850012; 
11.74999999999996 0 4.291999999999975 1 6.1239999999999615 2 1.334000000000001 0 22461427 18888190; 1 8820652 19360333 22523228 7067442; 2 17850012; 
13.051999999999955 0 4.321999999999974 1 7.3419999999999614 2 1.388000000000001 0 22461427 18888190; 1 8820652 19360333 22523228 14872695 14451294; 2 17850012; 
14.311999999999962 0 4.415999999999972 1 8.53599999999996 2 1.360000000000001 0 22461427 18888190; 1 8820652 19360333 14872695 14451294 22523228 16845153; 2 17850012; 
15.463999999999961 0 4.39799999999998 1 9.66199999999998 2 1.404000000000001 0 22461427 18888190; 1 8820652 19360333 14872695 14451294 22523228 16845153 17201112; 2 17850012; 
16.34799999999997 0 2.2199999999999966 1 12.61399999999996 2 1.5140000000000011 0 27060950; 1 8820652 27120518 19360333 14451294 22523228 17201112 12389772 16845153 2384071; 2 17850012; 
17.75199999999997 0 3.2159999999999838 1 13.101999999999935 2 1.434000000000001 0 27060950 33437822; 1 8820652 16447060 19360333 14451294 22523228 17201112 12389772 16845153 2384071; 2 17850012; 
19.091999999999963 0 3.263999999999984 1 14.335999999999963 2 1.492000000000001 0 27060950 33437822; 1 8820652 16447060 19360333 14451294 22523228 17201112 12389772 16845153 2384071 16412744; 2 17850012; 
22.81199999999997 0 6.11999999999996 1 15.17799999999995 2 1.5140000000000011 0 20297525 22461427 33437822; 1 8820652 16447060 19360333 14451294 22523228 17201112 12389772 16845153 16412744 2384071; 2 17850012; 
23.437999999999942 0 5.997999999999967 1 15.84999999999997 2 1.5900000000000012 0 22461427 33437822 27060950; 1 2384071 16845153 12389772 17201112 22523228 19360333 8820652 16447060 14451294 16412744 17323772; 2 17850012; 
22.917999999999974 0 6.6239999999999615 1 14.82199999999997 2 1.472000000000001 0 22461427 33437822 27060950 14139780; 1 14872695 16845153 12389772 17201112 22523228 19360333 8820652 16447060 14451294 16412744 17323772; 2 17850012; 
25.619999999999933 0 7.979999999999964 1 16.09799999999997 2 1.5420000000000011 0 22461427 33437822 27060950 14139780 7828252; 1 2384071 16845153 12389772 17201112 22523228 19360333 8820652 16447060 14451294 16412744 17323772; 2 17850012; 
26.813999999999936 0 8.099999999999962 1 17.107999999999972 2 1.6060000000000012 0 22461427 33437822 27060950 7828252 14139780; 1 2384071 16845153 12389772 17201112 22523228 19360333 8820652 16447060 14451294 16412744 17323772 14696934; 2 17850012; 
