3.3499999999999814 0 2.855999999999985 1 0.46800000000000036 2 0.026000000000000002 0 22461427; 1 2 
6.461999999999967 0 3.23799999999998 1 3.1499999999999844 2 0.07400000000000005 0 22461427; 1 2384071; 2 
8.931999999999965 0 3.6119999999999797 1 3.9419999999999726 2 1.378000000000001 0 22461427; 1 2384071; 2 17850012; 
10.463999999999968 0 4.821999999999973 1 4.271999999999976 2 1.370000000000001 0 22461427 7376382; 1 2384071; 2 17850012; 
12.231999999999974 0 4.909999999999975 1 5.987999999999972 2 1.334000000000001 0 22461427 7376382; 1 2384071 16004411; 2 17850012; 
13.871999999999963 0 5.165999999999975 1 7.2999999999999625 2 1.406000000000001 0 22461427 7376382; 1 2384071 16004411 17173775; 2 17850012; 
15.483999999999954 0 5.177999999999969 1 7.355999999999969 2 2.9499999999999886 0 22461427 7376382; 1 2384071 16004411 17173775; 2 17850012 19686924; 
17.03599999999997 0 5.417999999999971 1 8.707999999999961 2 2.9099999999999886 0 22461427 7376382; 1 2384071 16004411 17173775 15076390; 2 17850012 19686924; 
18.842 0 5.485999999999973 1 10.421999999999956 2 2.9339999999999877 0 22461427 7376382; 1 2384071 16004411 17173775 15076390 8820652; 2 17850012 19686924; 
20.477999999999994 0 5.551999999999969 1 11.923999999999976 2 3.0019999999999856 0 22461427 7376382; 1 2384071 16004411 17173775 15076390 8820652 16447060; 2 17850012 19686924; 
21.29400000000001 0 5.409999999999968 1 11.889999999999956 2 3.9939999999999687 0 22461427 7376382; 1 2384071 16004411 17173775 15076390 8820652 16447060; 2 17850012 19686924 14050355; 
22.697999999999976 0 6.707999999999964 1 11.989999999999972 2 3.9999999999999734 0 22461427 7376382 11350892; 1 2384071 16004411 17173775 15076390 8820652 16447060; 2 17850012 19686924 14050355; 
24.477999999999966 0 6.793999999999961 1 13.651999999999951 2 4.031999999999968 0 22461427 7376382 11350892; 1 2384071 16004411 17173775 15076390 8820652 16447060 15105269; 2 17850012 19686924 14050355; 
25.971999999999923 0 6.857999999999971 1 13.93799999999996 2 5.175999999999965 0 22461427 7376382 11350892; 1 2384071 16004411 17173775 15076390 8820652 16447060 15105269; 2 17850012 19686924 14050355 13654112; 
