1.0920000000000007 0 0.008 1 1.0740000000000007 2 0.01 0 1 12389772; 2 
2.1860000000000004 0 0.034 1 2.140000000000001 2 0.012 0 1 12389772 22523228; 2 
5.503999999999964 0 3.887999999999976 1 1.5640000000000012 2 0.05200000000000003 0 22461427 18162730; 1 12389772; 2 
7.101999999999956 0 4.053999999999973 1 2.9819999999999873 2 0.06600000000000002 0 22461427 14813714; 1 12389772 17173775; 2 
7.723999999999958 0 4.90799999999997 1 2.749999999999992 2 0.06600000000000003 0 22461427 18162730 14813714; 1 12389772 22242176; 2 
10.37199999999996 0 4.1079999999999774 1 5.203999999999976 2 1.0600000000000007 0 22461427 14813714; 1 12389772 16447060 22242176; 2 17850012; 
11.675999999999963 0 4.189999999999979 1 6.419999999999959 2 1.0660000000000007 0 22461427 14813714; 1 12389772 16447060 22242176 16845153; 2 17850012; 
12.021999999999956 0 5.079999999999972 1 5.877999999999963 2 1.0640000000000007 0 14813714 22461427 18162730; 1 12389772 22242176 16845153 16494857; 2 17850012; 
13.23999999999994 0 5.285999999999975 1 6.885999999999959 2 1.0680000000000007 0 14813714 18162730 22461427; 1 12389772 22242176 22523228 16845153 16494857; 2 17850012; 
14.261999999999965 0 5.113999999999966 1 8.053999999999975 2 1.0940000000000007 0 14813714 18162730 22461427; 1 12389772 22242176 22523228 16845153 16494857 37975185; 2 17850012; 
15.381999999999964 0 5.231999999999967 1 9.043999999999976 2 1.1060000000000008 0 14813714 18162730 22461427; 1 12389772 22242176 22523228 16845153 16494857 37975185 19360333; 2 17850012; 
18.724 0 5.693999999999968 1 11.907999999999952 2 1.1220000000000008 0 14813714 18162730 22461427; 1 2384071 22242176 22523228 16845153 16494857 19360333 37975185 16447060; 2 17850012; 
18.726000000000003 0 6.419999999999961 1 11.181999999999961 2 1.1240000000000008 0 18888190 14813714 18162730 22461427; 1 12389772 22523228 16845153 16494857 19360333 37975185 16447060 8820652; 2 17850012; 
19.339999999999996 0 6.237999999999961 1 12.005999999999945 2 1.0960000000000008 0 18888190 14813714 18162730 22461427; 1 12389772 22523228 16845153 16494857 19360333 37975185 16447060 8820652 14328764; 2 17850012; 
20.840000000000003 0 6.337999999999961 1 13.359999999999955 2 1.1420000000000008 0 18888190 14813714 18162730 22461427; 1 12389772 22523228 16845153 16494857 17498731 20576509 16447060 8820652 14328764 15487691; 2 17850012; 
21.909999999999997 0 6.36199999999996 1 14.381999999999964 2 1.1660000000000008 0 14813714 18162730 22461427 18888190; 1 12389772 22242176 22523228 16845153 16494857 17498731 14590651 16447060 8820652 14328764 15487691; 2 17850012; 
23.181999999999974 0 6.553999999999957 1 14.471999999999952 2 2.156000000000001 0 14813714 18162730 22461427 18888190; 1 12389772 22242176 22523228 16845153 16494857 17498731 20576509 16447060 15487691 8820652 14328764; 2 17850012 24863940; 
24.441999999999926 0 6.487999999999961 1 15.81399999999997 2 2.14 0 14813714 18162730 22461427 18888190; 1 12389772 22242176 22523228 16845153 16494857 17498731 14590651 16447060 15487691 8820652 14328764 17862286; 2 17850012 24863940; 
