1.1420000000000008 0 0.016 1 1.1220000000000008 2 0.004 0 1 22523228; 2 
2.2300000000000013 0 0.062000000000000006 1 2.152000000000001 2 0.016 0 1 22523228 12389772; 2 
5.339999999999967 0 3.8359999999999776 1 1.476000000000001 2 0.02800000000000001 0 22461427 18162730; 1 12389772; 2 
7.397999999999964 0 3.047999999999982 1 4.275999999999973 2 0.07400000000000005 0 22461427; 1 12389772 17173775 17862286; 2 
8.34599999999997 0 4.103999999999974 1 4.185999999999975 2 0.056000000000000036 0 22461427 14813714; 1 12389772 17173775 17862286; 2 
8.779999999999971 0 5.763999999999957 1 2.937999999999988 2 0.07800000000000006 0 22461427 18162730 14813714 33437822; 1 12389772 17862286; 2 
10.211999999999964 0 5.949999999999961 1 4.1859999999999715 2 0.07600000000000005 0 33437822 18162730 14813714 22461427; 1 17862286 12389772 16845153; 2 
11.243999999999955 0 5.941999999999962 1 5.219999999999972 2 0.08200000000000005 0 33437822 18162730 14813714 22461427; 1 17862286 12389772 22523228 16845153; 2 
12.249999999999956 0 5.881999999999967 1 6.235999999999953 2 0.1320000000000001 0 33437822 18162730 14813714 22461427; 1 17862286 12389772 22523228 16845153 14328764; 2 
13.375999999999957 0 5.941999999999964 1 7.335999999999976 2 0.09800000000000006 0 33437822 18162730 14813714 22461427; 1 17862286 12389772 22523228 16845153 14328764 14451294; 2 
15.103999999999974 0 6.175999999999959 1 8.781999999999972 2 0.1460000000000001 0 18162730 14813714 33437822 22461427; 1 17862286 12389772 16845153 14451294 14328764 22523228 15105269; 2 
16.11999999999997 0 6.161999999999965 1 9.813999999999972 2 0.1440000000000001 0 18162730 14813714 15572221 22461427; 1 17862286 12389772 16845153 14451294 14328764 22523228 15105269 19360333; 2 
18.379999999999995 0 6.483999999999959 1 10.727999999999973 2 1.1680000000000008 0 18162730 14813714 15572221 22461427; 1 17862286 12389772 16845153 14451294 14328764 22523228 15105269 16412744; 2 17850012; 
19.317999999999984 0 6.507999999999959 1 11.685999999999952 2 1.1240000000000008 0 18162730 14813714 15572221 22461427; 1 17862286 12389772 16845153 14451294 14328764 22523228 15105269 19360333 16494857; 2 17850012; 
20.39199999999997 0 6.489999999999964 1 11.785999999999953 2 2.116000000000001 0 18162730 14813714 33437822 22461427; 1 17862286 12389772 16845153 14451294 14328764 22523228 15105269 16494857 19360333; 2 17850012 30702406; 
21.273999999999994 0 5.55599999999997 1 14.61399999999995 2 1.1040000000000008 0 18162730 14813714 22461427; 1 17862286 12389772 16845153 14451294 14328764 26348935 22523228 15105269 16494857 19360333 15809746 25468909; 2 17850012; 
23.943999999999953 0 6.859999999999961 1 15.933999999999974 2 1.1500000000000008 0 18162730 14813714 22461427 14139780; 1 17862286 12389772 16845153 14451294 14328764 26348935 22523228 15105269 16494857 19360333 25468909 2384071; 2 17850012; 
25.95399999999994 0 6.961999999999965 1 17.733999999999977 2 1.258000000000001 0 18162730 14813714 22461427 14139780; 1 17862286 12389772 16845153 14451294 14328764 26348935 22523228 15105269 16494857 17498731 25468909 2384071 8820652; 2 17850012; 
27.459999999999923 0 7.277999999999963 1 18.956000000000003 2 1.2260000000000009 0 18162730 14813714 22461427 14139780; 1 17862286 12389772 16845153 14451294 14328764 26348935 22523228 15105269 16494857 17498731 25468909 2384071 8820652 16102437; 2 17850012; 
28.439999999999916 0 7.0719999999999565 1 20.07199999999999 2 1.296000000000001 0 14139780 18162730 22461427 14813714; 1 17498731 2384071 12389772 16845153 14451294 14328764 22463905 22523228 15105269 8820652 16102437 25468909 17862286 16494857 20214703; 2 17850012; 
29.415999999999947 0 8.087999999999969 1 20.063999999999975 2 1.264000000000001 0 14139780 18162730 22461427 18660521 14813714; 1 17498731 2384071 12389772 16845153 14451294 14328764 22463905 22523228 15105269 8820652 16102437 17862286 16494857 20214703 14349955; 2 17850012; 
30.09999999999999 0 6.993999999999964 1 21.883999999999975 2 1.2220000000000009 0 14139780 18162730 22461427 14813714; 1 17498731 2384071 12389772 16845153 14451294 14328764 22463905 22523228 15105269 8820652 16102437 25468909 17862286 16494857 20214703 5397192 8043172; 2 17850012; 
31.331999999999958 0 9.06199999999998 1 21.009999999999987 2 1.260000000000001 0 33437822 14139780 18162730 22461427 18660521 14813714; 1 17498731 2384071 12389772 16845153 14451294 14328764 22523228 15105269 8820652 16102437 17862286 16494857 20214703 14349955 8043172 40225273; 2 17850012; 
33.338 0 9.615999999999962 1 22.42999999999996 2 1.292000000000001 0 7376382 14139780 18162730 22461427 18660521 14813714; 1 17498731 2384071 12389772 16845153 14451294 14328764 22523228 15105269 8820652 16102437 17862286 16494857 20214703 14349955 40225273 8043172 21093392; 2 17850012; 
34.05400000000003 0 9.397999999999989 1 23.357999999999954 2 1.298000000000001 0 7376382 14139780 18162730 22461427 18660521 14813714; 1 17498731 2384071 12389772 16845153 14451294 14328764 22523228 15105269 8820652 16102437 17862286 16494857 20214703 14349955 40225273 8043172 21093392 15487691; 2 17850012; 
