1.1500000000000008 0 0.02 1 1.1260000000000008 2 0.004 0 1 22523228; 2 
4.443999999999976 0 2.8839999999999852 1 1.5300000000000011 2 0.030000000000000013 0 22461427; 1 12389772; 2 
5.6399999999999695 0 2.913999999999984 1 2.6839999999999917 2 0.04200000000000002 0 22461427; 1 12389772 27486099; 2 
6.485999999999967 0 3.8639999999999817 1 2.5879999999999947 2 0.03400000000000001 0 22461427 14813714; 1 27486099 12389772; 2 
8.309999999999965 0 3.907999999999975 1 4.339999999999978 2 0.06200000000000003 0 22461427 14813714; 1 16447060 12389772 22242176; 2 
9.471999999999964 0 3.9659999999999767 1 5.443999999999962 2 0.062000000000000034 0 22461427 14813714; 1 22242176 12389772 16447060 14451294; 2 
10.861999999999965 0 4.061999999999976 1 6.727999999999966 2 0.07200000000000004 0 22461427 14813714; 1 22242176 12389772 16447060 14451294 17862286; 2 
12.995999999999952 0 4.357999999999975 1 7.557999999999962 2 1.0800000000000007 0 22461427 14813714; 1 22242176 12389772 16447060 14451294 17862286; 2 17850012; 
13.561999999999953 0 6.281999999999962 1 6.1899999999999675 2 1.0900000000000007 0 22461427 18162730 14813714 18888190; 1 22242176 12389772 14451294 17862286; 2 17850012; 
14.80999999999998 0 6.311999999999956 1 7.4159999999999675 2 1.0820000000000007 0 22461427 18162730 14813714 18888190; 1 22242176 12389772 14451294 17862286 16102437; 2 17850012; 
16.025999999999968 0 6.351999999999961 1 8.587999999999978 2 1.0860000000000007 0 22461427 18162730 14813714 18888190; 1 22242176 12389772 14451294 17862286 16102437 16845153; 2 17850012; 
16.90999999999998 0 6.329999999999962 1 9.461999999999971 2 1.1180000000000008 0 18162730 14813714 22461427 18888190; 1 12389772 17862286 16845153 14451294 16102437 22242176 14167991; 2 17850012; 
18.23999999999997 0 6.423999999999958 1 10.685999999999968 2 1.1300000000000008 0 18162730 14813714 22461427 18888190; 1 12389772 17862286 16845153 14451294 16102437 22242176 14167991 16494857; 2 17850012; 
19.169999999999995 0 6.401999999999968 1 11.665999999999956 2 1.1020000000000008 0 18162730 14813714 22461427 18888190; 1 12389772 17862286 16845153 14451294 16102437 22242176 14167991 16494857 8043172; 2 17850012; 
20.461999999999993 0 6.5059999999999585 1 12.845999999999947 2 1.1100000000000008 0 18162730 14813714 22461427 18888190; 1 12389772 17862286 16845153 14451294 16102437 22242176 14167991 8043172 16494857 19360333; 2 17850012; 
21.371999999999996 0 6.453999999999962 1 13.79599999999994 2 1.1220000000000008 0 18162730 14813714 22461427 18888190; 1 12389772 17862286 16845153 14451294 16102437 22242176 14167991 8043172 16494857 19360333 15658445; 2 17850012; 
22.307999999999957 0 6.387999999999965 1 14.809999999999969 2 1.1100000000000008 0 18162730 14813714 22461427 18888190; 1 12389772 17862286 16845153 14451294 16102437 22242176 14167991 19360333 16494857 8043172 15658445 18988350; 2 17850012; 
25.42599999999993 0 5.8779999999999655 1 17.42199999999999 2 2.1260000000000017 0 18162730 14813714 22461427; 1 12389772 17862286 16845153 14451294 16102437 22242176 14167991 19360333 16494857 8043172 20576509 18988350 2384071; 2 17850012 9146202; 
