1.1500000000000008 0 0.046 1 1.0960000000000008 2 0.008 0 1 22523228; 2 
2.304 0 0.07200000000000001 1 2.214 2 0.018000000000000002 0 1 22523228 12389772; 2 
3.3439999999999617 0 1.1140000000000008 1 2.186000000000001 2 0.044000000000000025 0 18162730; 1 22523228 12389772; 2 
4.963999999999977 0 1.328000000000001 1 3.583999999999968 2 0.05200000000000003 0 14813714; 1 17173775 12389772 22523228; 2 
5.481999999999942 0 2.1640000000000015 1 3.2799999999999625 2 0.03800000000000001 0 18162730 14813714; 1 12389772 22523228 27120518; 2 
7.6159999999999615 0 2.465999999999998 1 4.1139999999999715 2 1.0360000000000007 0 18162730 14813714; 1 12389772 22523228 27120518; 2 17850012; 
8.653999999999984 0 2.4659999999999966 1 5.137999999999975 2 1.0500000000000007 0 18162730 14813714; 1 12389772 22523228 27120518 37975185; 2 17850012; 
10.007999999999976 0 2.511999999999996 1 6.4299999999999535 2 1.0660000000000007 0 18162730 14813714; 1 12389772 22523228 27120518 37975185 14451294; 2 17850012; 
11.089999999999975 0 2.583999999999995 1 7.451999999999976 2 1.0540000000000007 0 18162730 14813714; 1 12389772 22523228 37975185 27120518 14451294 19360333; 2 17850012; 
14.639999999999967 0 6.335999999999962 1 7.187999999999964 2 1.1160000000000008 0 18162730 22461427 14813714 15572221; 1 12389772 5397192 14451294 19360333 16102437; 2 17850012; 
15.78599999999998 0 6.27999999999996 1 8.417999999999976 2 1.0880000000000007 0 18162730 22461427 14813714 15572221; 1 12389772 5397192 14451294 19360333 16102437 17862286; 2 17850012; 
16.749999999999986 0 6.3259999999999605 1 9.337999999999976 2 1.0860000000000007 0 14813714 15572221 18162730 22461427; 1 14451294 5397192 16102437 19360333 12389772 17862286 14167991; 2 17850012; 
18.023999999999987 0 6.387999999999963 1 10.50599999999997 2 1.1300000000000008 0 14813714 15572221 18162730 22461427; 1 14451294 5397192 16102437 19360333 12389772 17862286 14167991 23344327; 2 17850012; 
19.413999999999998 0 6.5159999999999645 1 11.773999999999969 2 1.1240000000000008 0 14813714 15572221 18162730 22461427; 1 14451294 20576509 16102437 19360333 12389772 17862286 14167991 23344327 16494857; 2 17850012; 
20.31800000000001 0 5.395999999999971 1 13.79799999999995 2 1.1240000000000008 0 14813714 18162730 22461427; 1 14451294 20576509 16102437 19360333 12389772 27120518 17862286 14167991 23344327 16494857 22463905; 2 17850012; 
21.64599999999996 0 7.521999999999969 1 12.99199999999995 2 1.1320000000000008 0 14813714 15572221 18162730 22461427 33437822; 1 14451294 20576509 16102437 19360333 12389772 17862286 14167991 16494857 23344327 22242176; 2 17850012; 
22.679999999999968 0 7.481999999999967 1 14.041999999999941 2 1.1560000000000008 0 14813714 22461427 18162730 24983519 15572221; 1 14451294 20576509 16102437 19360333 12389772 17862286 14167991 16494857 23344327 22242176 14328764; 2 17850012; 
23.481999999999942 0 7.453999999999965 1 13.905999999999946 2 2.1220000000000008 0 14813714 22461427 18162730 24983519 15572221; 1 14451294 20576509 16102437 19360333 12389772 17862286 14167991 16494857 23344327 22242176 14328764; 2 17850012 24863940; 
24.521999999999952 0 7.425999999999964 1 14.94399999999997 2 2.1520000000000006 0 14813714 22461427 18162730 24983519 15572221; 1 14451294 20576509 16102437 19360333 12389772 17862286 14167991 23344327 22242176 14328764 16494857 15834295; 2 17850012 24863940; 
25.70599999999995 0 7.523999999999965 1 16.05599999999999 2 2.126000000000001 0 14813714 22461427 18162730 24983519 15572221; 1 14451294 20576509 16102437 19360333 12389772 17862286 14167991 23344327 22242176 14328764 16494857 15834295 21494085; 2 17850012 24863940; 
26.88999999999992 0 7.523999999999969 1 17.237999999999992 2 2.1280000000000006 0 14813714 22461427 18162730 24983519 15572221; 1 14451294 20576509 16102437 19360333 12389772 17862286 14167991 23344327 22242176 14328764 16494857 15834295 17498731 16845153; 2 17850012 24863940; 
27.801999999999964 0 7.543999999999972 1 18.137999999999984 2 2.120000000000001 0 14813714 22461427 18162730 24983519 15572221; 1 14451294 20576509 16102437 19360333 12389772 17862286 14167991 23344327 22242176 14328764 16494857 15834295 17498731 16845153 18988350; 2 17850012 24863940; 
29.43399999999995 0 7.729999999999969 1 19.551999999999968 2 2.152 0 14813714 22461427 18162730 24983519 15572221; 1 14451294 20576509 16102437 19360333 12389772 17862286 14167991 23344327 22242176 14328764 16494857 15834295 17498731 16845153 18988350 15105269; 2 17850012 24863940; 
30.43799999999995 0 6.747999999999967 1 20.527999999999988 2 3.1619999999999675 0 14813714 22461427 18162730 24983519; 1 14451294 20576509 16102437 19360333 12389772 17862286 14167991 22463905 23344327 22242176 14328764 16494857 15834295 17498731 16845153 18988350 15105269; 2 17850012 24863940 30702406; 
31.565999999999995 0 6.711999999999967 1 21.675999999999984 2 3.177999999999966 0 14813714 22461427 18162730 24983519; 1 14451294 20576509 16102437 19360333 12389772 17862286 14167991 22463905 23344327 22242176 14328764 16494857 15834295 17498731 16845153 18988350 15105269 14785887; 2 17850012 24863940 30702406; 
32.408000000000015 0 6.657999999999962 1 22.591999999999953 2 3.1579999999999666 0 14813714 22461427 18162730 24983519; 1 14451294 20576509 16102437 19360333 12389772 17862286 14167991 22463905 23344327 22242176 14328764 16494857 15834295 17498731 16845153 18988350 15105269 14785887 8043172; 2 17850012 24863940 30702406; 
33.57 0 6.8659999999999615 1 23.551999999999953 2 3.151999999999968 0 14813714 22461427 18162730 24983519; 1 14451294 20576509 16102437 19360333 12389772 17862286 14167991 15834295 22463905 22242176 18988350 16494857 8043172 23344327 14785887 17498731 16845153 14328764 15105269 30063657; 2 17850012 24863940 30702406; 
34.73400000000001 0 7.777999999999965 1 23.787999999999933 2 3.1679999999999673 0 14813714 22461427 18162730 24983519 16146535; 1 14451294 20576509 16102437 19360333 12389772 17862286 14167991 15834295 22463905 22242176 18988350 16494857 8043172 23344327 14785887 17498731 16845153 14328764 15105269 30063657; 2 17850012 24863940 30702406; 
35.65000000000007 0 8.667999999999973 1 23.815999999999946 2 3.165999999999966 0 14813714 22461427 18162730 24983519 14139780 16146535; 1 14451294 20576509 16102437 19360333 12389772 17862286 14167991 15834295 26348935 22242176 18988350 16494857 8043172 23344327 14785887 17498731 16845153 14328764 15105269 30063657; 2 17850012 24863940 30702406; 
36.69600000000006 0 8.693999999999972 1 24.841999999999924 2 3.1599999999999677 0 14813714 22461427 18162730 24983519 14139780 16146535; 1 14451294 20576509 16102437 19360333 12389772 17862286 14167991 15834295 26348935 22242176 18988350 16494857 8043172 23344327 14785887 17498731 16845153 14328764 15105269 30063657 15006507; 2 17850012 24863940 30702406; 
37.67800000000004 0 8.645999999999976 1 25.827999999999903 2 3.2039999999999673 0 14813714 18162730 14139780 16146535 39299693 22461427; 1 14451294 20576509 16102437 19360333 12389772 27120518 17862286 22523228 14167991 15834295 22463905 22242176 18988350 16494857 8043172 23344327 14785887 17498731 16845153 14328764 15105269 30063657; 2 17850012 24863940 30702406; 
38.88200000000004 0 9.683999999999973 1 25.98599999999992 2 3.211999999999968 0 14813714 18162730 33437822 14139780 39299693 16146535 22461427; 1 14451294 20576509 16102437 19360333 12389772 27120518 17862286 22523228 14167991 15834295 22242176 18988350 16494857 8043172 23344327 14785887 17498731 16845153 14328764 15105269 30063657 22463905; 2 17850012 24863940 30702406; 
