1.1760000000000008 0 0.04800000000000001 1 1.1140000000000008 2 0.014 0 1 22523228; 2 
2.2060000000000017 0 0.03200000000000001 1 2.1500000000000017 2 0.024000000000000007 0 1 22523228 12389772; 2 
5.769999999999969 0 2.9399999999999804 1 2.77799999999999 2 0.05200000000000002 0 22461427; 1 12389772 14451294; 2 
6.719999999999968 0 3.907999999999975 1 2.7539999999999907 2 0.05800000000000004 0 22461427 14813714; 1 14451294 12389772; 2 
8.36599999999997 0 4.077999999999978 1 4.225999999999973 2 0.062000000000000034 0 22461427 14813714; 1 14451294 12389772 15076390; 2 
9.61399999999997 0 4.133999999999977 1 5.407999999999967 2 0.07200000000000004 0 22461427 14813714; 1 14451294 12389772 15076390 16845153; 2 
10.589999999999975 0 4.115999999999977 1 6.387999999999959 2 0.08600000000000006 0 14813714 22461427; 1 22523228 14451294 12389772 15076390 16845153; 2 
14.751999999999953 0 5.009999999999971 1 8.60599999999997 2 1.1360000000000008 0 14813714 22461427; 1 22523228 14451294 2384071 17173775 16845153; 2 17850012; 
15.753999999999964 0 4.629999999999974 1 9.013999999999973 2 2.110000000000001 0 14813714 22461427; 1 16447060 14451294 2384071 16845153 19360333; 2 9146202 17850012; 
16.577999999999967 0 4.643999999999976 1 9.803999999999972 2 2.1300000000000012 0 14813714 22461427; 1 16447060 14451294 2384071 19360333 16845153 37975185; 2 9146202 17850012; 
17.841999999999995 0 4.791999999999972 1 10.935999999999964 2 2.1140000000000008 0 14813714 22461427; 1 16447060 14451294 2384071 19360333 16845153 37975185 8043172; 2 9146202 17850012; 
19.077999999999975 0 4.751999999999971 1 12.209999999999967 2 2.1160000000000005 0 14813714 22461427; 1 16447060 14451294 2384071 19360333 16845153 37975185 8043172 16494857; 2 9146202 17850012; 
20.579999999999973 0 4.841999999999977 1 13.557999999999963 2 2.18 0 14813714 22461427; 1 16447060 14451294 2384071 19360333 16845153 37975185 16494857 8043172 16102437; 2 9146202 17850012; 
21.637999999999987 0 4.891999999999977 1 14.59999999999997 2 2.1460000000000004 0 14813714 22461427; 1 16447060 14451294 2384071 19360333 16845153 37975185 16494857 8043172 16102437 17862286; 2 9146202 17850012; 
22.80399999999995 0 4.919999999999973 1 15.719999999999963 2 2.1640000000000006 0 14813714 22461427; 1 14451294 16845153 2384071 16494857 37975185 17862286 16447060 19360333 16102437 8043172 15834295; 2 17850012 9146202; 
21.805999999999983 0 6.371999999999963 1 14.335999999999954 2 1.0980000000000008 0 14813714 22461427 18162730 15572221; 1 14451294 16845153 12389772 16494857 37975185 17862286 16447060 19360333 16102437 8043172 15834295; 2 17850012; 
24.47999999999997 0 6.815999999999968 1 16.505999999999986 2 1.1580000000000008 0 14813714 22461427 18162730 27362221; 1 14451294 16845153 12389772 16494857 37975185 17862286 16447060 19360333 16102437 8043172 15834295 2384071; 2 17850012; 
