1.1200000000000008 0 1.0400000000000007 1 0.08000000000000003 2 0.0 0 33437822; 1 2 
2.399999999999998 0 1.0840000000000007 1 1.284000000000001 2 0.032000000000000015 0 19045839; 1 14785887; 2 
3.2959999999999656 0 1.0740000000000007 1 2.2000000000000006 2 0.022000000000000006 0 33437822; 1 22523228 12389772; 2 
8.69199999999997 0 3.275999999999981 1 5.293999999999969 2 0.1220000000000001 0 22461427; 1 22523228 2384071 14785887; 2 
10.513999999999966 0 4.653999999999972 1 5.735999999999967 2 0.1240000000000001 0 7376382 22461427; 1 22523228 14785887 2384071; 2 
11.94799999999995 0 4.913999999999972 1 6.87799999999997 2 0.1560000000000001 0 7376382 22461427; 1 22523228 14785887 2384071 14451294; 2 
12.817999999999952 0 4.827999999999975 1 7.865999999999969 2 0.1240000000000001 0 7376382 22461427; 1 22523228 14785887 12389772 14451294 2384071; 2 
13.677999999999951 0 5.709999999999961 1 7.8239999999999705 2 0.1440000000000001 0 7376382 22461427 14813714; 1 22523228 14785887 12389772 14451294 2384071; 2 
14.761999999999952 0 6.691999999999958 1 7.927999999999962 2 0.1420000000000001 0 7376382 22461427 14813714 14139780; 1 22523228 14785887 12389772 14451294 2384071; 2 
16.339999999999968 0 6.86999999999997 1 9.243999999999975 2 0.22600000000000017 0 7376382 22461427 14813714 14139780; 1 22523228 14785887 12389772 14451294 2384071 17323772; 2 
17.179999999999986 0 6.807999999999962 1 10.139999999999974 2 0.23200000000000018 0 7376382 22461427 14813714 14139780; 1 22523228 14785887 12389772 14451294 2384071 17323772 16845153; 2 
18.691999999999986 0 6.915999999999967 1 11.529999999999937 2 0.2460000000000002 0 7376382 22461427 14813714 14139780; 1 22523228 14785887 12389772 14451294 2384071 17323772 16845153 17201112; 2 
19.45199999999999 0 6.897999999999965 1 12.305999999999946 2 0.2480000000000002 0 7376382 22461427 14139780 14813714; 1 22523228 14785887 12389772 2384071 17323772 17201112 16845153 14451294 14167991; 2 
20.725999999999996 0 6.937999999999968 1 13.455999999999952 2 0.33200000000000024 0 7376382 22461427 14139780 14813714; 1 22523228 14785887 12389772 2384071 17323772 17201112 16845153 14451294 14167991 797018; 2 
