2.857999999999982 0 0.4100000000000003 1 2.4039999999999933 2 0.044000000000000025 0 1 2384071; 2 
4.385999999999975 0 0.4840000000000004 1 3.813999999999977 2 0.08800000000000006 0 1 2384071 14785887; 2 
7.597999999999967 0 3.1779999999999826 1 4.349999999999975 2 0.07000000000000005 0 22461427; 1 2384071 14785887; 2 
8.35999999999997 0 3.151999999999981 1 5.101999999999971 2 0.10600000000000007 0 22461427; 1 12389772 2384071 22523228; 2 
9.661999999999974 0 3.2299999999999836 1 6.315999999999965 2 0.11600000000000008 0 22461427; 1 22523228 12389772 2384071 14785887; 2 
11.451999999999963 0 4.6119999999999735 1 6.713999999999964 2 0.12600000000000008 0 22461427 7376382; 1 22523228 12389772 2384071 14785887; 2 
12.349999999999955 0 5.53199999999997 1 6.687999999999961 2 0.1300000000000001 0 22461427 7376382 18162730; 1 22523228 12389772 2384071 14785887; 2 
13.55599999999996 0 6.743999999999962 1 6.695999999999958 2 0.11600000000000009 0 14139780 7376382 18162730 22461427; 1 22523228 12389772 2384071 14785887; 2 
14.333999999999953 0 7.557999999999964 1 6.645999999999969 2 0.1300000000000001 0 14139780 7376382 18162730 22461427 9922122; 1 22523228 12389772 2384071 14785887; 2 
15.493999999999977 0 7.651999999999969 1 7.6399999999999695 2 0.20200000000000015 0 14139780 7376382 18162730 22461427 14858006; 1 22523228 12389772 2384071 14785887 14167991; 2 
16.505999999999986 0 8.567999999999978 1 7.811999999999965 2 0.12600000000000008 0 14139780 7376382 18162730 22461427 14858006 19109577; 1 22523228 12389772 2384071 14785887 14167991; 2 
18.29 0 8.727999999999977 1 9.351999999999968 2 0.21000000000000016 0 14139780 15854271 14858006 7376382 22461427 18162730; 1 22523228 12389772 2384071 14785887 14167991 8820652; 2 
19.189999999999984 0 8.663999999999973 1 10.331999999999962 2 0.19400000000000014 0 14139780 15854271 14858006 7376382 22461427 18162730; 1 22523228 12389772 2384071 14785887 14167991 8820652 4285941; 2 
20.22999999999998 0 8.70599999999997 1 11.313999999999966 2 0.21000000000000016 0 14858006 15854271 7376382 22461427 18162730 14139780; 1 14167991 2384071 4285941 8820652 14785887 22523228 12389772 25468909; 2 
21.84799999999997 0 8.701999999999979 1 12.941999999999956 2 0.20400000000000015 0 14858006 15854271 7376382 22461427 18162730 14139780; 1 14167991 2384071 4285941 8820652 14785887 22523228 12389772 25468909 16004411; 2 
23.69399999999998 0 8.96399999999997 1 14.46599999999998 2 0.2640000000000002 0 14858006 15854271 7376382 22461427 18162730 14139780; 1 16236786 2384071 4285941 8820652 14785887 22523228 12389772 25468909 16004411 17201112; 2 
23.785999999999962 0 9.53399999999997 1 14.021999999999954 2 0.23000000000000018 0 14858006 15854271 24918830 22461427 18162730 14139780 18888190; 1 16236786 2384071 4285941 8820652 14785887 22523228 12389772 25468909 16004411 17201112; 2 
24.785999999999923 0 9.555999999999964 1 14.95599999999995 2 0.2740000000000002 0 14858006 15854271 24918830 22461427 18162730 14139780 18888190; 1 16236786 2384071 4285941 8820652 14785887 22523228 12389772 25468909 17201112 16004411 797018; 2 
26.051999999999943 0 10.637999999999977 1 15.18799999999997 2 0.22600000000000017 0 14858006 15854271 33437822 22461427 18162730 14139780 15572221 24208679; 1 16236786 2384071 4285941 8820652 14785887 22523228 12389772 25468909 17201112 16004411 797018; 2 
26.827999999999918 0 10.581999999999955 1 15.97399999999996 2 0.2720000000000002 0 14858006 15854271 24918830 22461427 18162730 14139780 15572221 24208679; 1 14167991 2384071 4285941 8820652 14785887 22523228 12389772 25468909 17201112 16004411 797018 14451294; 2 
28.017999999999926 0 10.461999999999964 1 16.319999999999975 2 1.2360000000000009 0 14858006 15854271 24918830 22461427 18162730 14139780 15572221 24208679; 1 14167991 2384071 4285941 8820652 14785887 22523228 12389772 25468909 797018 14451294 17201112 16004411; 2 30702406; 
29.395999999999972 0 10.727999999999975 1 17.403999999999982 2 1.264000000000001 0 14858006 15854271 24918830 22461427 18162730 14139780 15572221 24208679; 1 14167991 2384071 4285941 8820652 14785887 22523228 12389772 25468909 797018 14451294 17201112 16004411 16102437; 2 30702406; 
30.785999999999937 0 9.719999999999974 1 18.791999999999977 2 2.2739999999999987 0 14858006 15854271 24918830 22461427 14139780 15572221 24208679; 1 14167991 2384071 4285941 8820652 14785887 22523228 17486893 12389772 25468909 797018 14451294 17201112 16004411 16102437; 2 30702406 24241212; 
32.709999999999994 0 11.161999999999962 1 20.281999999999986 2 1.266000000000001 0 14858006 15854271 24918830 22461427 14139780 7376382 24208679 14813714; 1 16236786 2384071 4285941 8820652 14785887 22523228 17486893 12389772 25468909 797018 14451294 17201112 16004411 16102437 24922522; 2 30702406; 
33.87200000000002 0 11.203999999999965 1 21.361999999999977 2 1.306000000000001 0 14858006 15854271 24918830 22461427 14139780 7376382 24208679 14813714; 1 16236786 2384071 4285941 8820652 14785887 22523228 17486893 12389772 25468909 797018 14451294 17201112 16004411 16102437 24922522 16845153; 2 30702406; 
34.33400000000004 0 11.811999999999943 1 21.195999999999966 2 1.326000000000001 0 14858006 15854271 33437822 22461427 14139780 15572221 24208679 14813714 17497582; 1 16236786 2384071 4285941 8820652 14785887 22523228 17486893 12389772 25468909 797018 14451294 17201112 16004411 24922522 16845153 16102437; 2 30702406; 
35.42000000000004 0 11.937999999999947 1 22.20199999999997 2 1.280000000000001 0 14858006 15854271 33437822 22461427 14139780 15572221 24208679 14813714 17497582; 1 16236786 2384071 4285941 8820652 14785887 22523228 17486893 12389772 25468909 797018 14451294 17201112 16004411 24922522 16845153 16102437 15184942; 2 30702406; 
36.82200000000003 0 12.10399999999994 1 23.411999999999964 2 1.306000000000001 0 14858006 15854271 33437822 22461427 14139780 15572221 24208679 14813714 17497582; 1 16236786 2384071 4285941 8820652 14785887 22523228 17486893 12389772 25468909 797018 14451294 17201112 16004411 24922522 16845153 16102437 15184942 8624502; 2 30702406; 
36.36400000000004 0 12.761999999999954 1 21.29799999999998 2 2.3039999999999994 0 15572221 14858006 24208679 39299693 17497582 14139780 18162730 33437822 19045839 22461427; 1 2384071 4285941 14451294 14785887 797018 24922522 19447907 25468909 12389772 15184942 16102437 17201112 22523228 8820652 16845153 8624502 16236786; 2 30702406 24241212; 
37.532000000000046 0 11.745999999999958 1 23.42199999999998 2 2.363999999999998 0 15572221 14858006 24208679 17497582 14139780 18162730 33437822 19045839 22461427; 1 2384071 35967493 14451294 14785887 797018 24922522 16780257 19447907 25468909 12389772 15184942 16102437 17201112 22523228 8820652 16845153 8624502 16236786 9475112; 2 30702406 24241212; 
39.190000000000005 0 11.881999999999962 1 24.949999999999914 2 2.357999999999998 0 15572221 14858006 24208679 17497582 14139780 18162730 33437822 19045839 22461427; 1 2384071 35967493 14451294 14785887 797018 24922522 16780257 19447907 25468909 12389772 15184942 16102437 17201112 22523228 8820652 16845153 8624502 16236786 9475112 15105269; 2 30702406 24241212; 
