1.0740000000000007 0 0.014 1 1.0500000000000007 2 0.01 0 1 12389772; 2 
2.2560000000000002 0 1.0620000000000007 1 1.1720000000000008 2 0.022000000000000006 0 33437822; 1 12389772; 2 
5.383999999999969 0 2.725999999999988 1 2.6219999999999932 2 0.03600000000000002 0 22461427; 1 12389772 14167991; 2 
8.547999999999975 0 3.2019999999999835 1 5.225999999999975 2 0.12000000000000006 0 22461427; 1 14785887 14167991 2384071; 2 
9.741999999999958 0 4.1659999999999755 1 5.435999999999967 2 0.1400000000000001 0 33437822 22461427; 1 14785887 14167991 2384071; 2 
10.775999999999962 0 4.215999999999973 1 6.445999999999959 2 0.11400000000000009 0 33437822 22461427; 1 12389772 14167991 2384071 14785887; 2 
12.929999999999971 0 4.815999999999973 1 7.937999999999968 2 0.17600000000000013 0 7376382 22461427; 1 12389772 14167991 2384071 14785887 15184942; 2 
13.10799999999995 0 5.283999999999969 1 7.701999999999972 2 0.1220000000000001 0 10367842 33437822 22461427; 1 14167991 2384071 15184942 14785887 12389772; 2 
14.07599999999997 0 6.337999999999962 1 7.567999999999964 2 0.17000000000000012 0 9922122 33437822 19045839 22461427; 1 14167991 2384071 15184942 14785887 12389772; 2 
15.769999999999964 0 7.693999999999971 1 7.8839999999999675 2 0.19200000000000014 0 9922122 7376382 15001089 22461427 5074681; 1 14167991 2384071 15184942 14785887 12389772; 2 
16.977999999999973 0 7.5379999999999745 1 9.24599999999997 2 0.19400000000000014 0 9922122 7376382 15001089 22461427 5074681; 1 14167991 2384071 15184942 14785887 12389772 22242176; 2 
17.05 0 8.237999999999971 1 8.671999999999976 2 0.1400000000000001 0 9922122 33437822 19045839 39299693 22461427 14813714; 1 14167991 2384071 15184942 14785887 12389772 22242176; 2 
18.19799999999999 0 9.249999999999982 1 8.75999999999997 2 0.18800000000000014 0 9922122 33437822 19045839 39299693 22461427 14813714 17208441; 1 14167991 2384071 15184942 14785887 12389772 22242176; 2 
19.46199999999998 0 9.337999999999969 1 9.95399999999997 2 0.17000000000000012 0 9922122 33437822 19045839 39299693 22461427 14813714 17208441; 1 14167991 2384071 15184942 14785887 12389772 22242176 36071096; 2 
20.36599999999998 0 7.33599999999997 1 12.83599999999994 2 0.19400000000000014 0 9922122 33437822 19045839 22461427 17208441; 1 14167991 2384071 15184942 14785887 12389772 16780257 22242176 16936384 36071096 22523228; 2 
22.937999999999953 0 8.771999999999974 1 13.983999999999966 2 0.18200000000000013 0 9922122 33437822 19045839 5074681 7376382 22461427; 1 14167991 2384071 15184942 14785887 12389772 22523228 22242176 16936384 36071096 16004411; 2 
24.18999999999994 0 8.753999999999966 1 15.187999999999967 2 0.2480000000000002 0 9922122 33437822 15001089 14813714 7376382 22461427; 1 14167991 2384071 15184942 14785887 12389772 22523228 16780257 22242176 36071096 16004411 15105269; 2 
25.84999999999994 0 10.059999999999974 1 15.535999999999957 2 0.25400000000000017 0 9922122 33437822 15001089 39299693 14813714 7376382 22461427; 1 14167991 2384071 15184942 14785887 12389772 22523228 22242176 36071096 16004411 15105269 14451294; 2 
26.915999999999922 0 8.979999999999967 1 17.657999999999987 2 0.2780000000000002 0 9922122 33437822 15001089 14813714 7376382 22461427; 1 14167991 2384071 15184942 14785887 12389772 22523228 16780257 22242176 36071096 16004411 15105269 14451294 16845153; 2 
28.225999999999964 0 10.001999999999974 1 17.951999999999984 2 0.2720000000000002 0 9922122 33437822 15001089 14813714 7376382 14368074 22461427; 1 14167991 2384071 15184942 14785887 12389772 28726058 16780257 22242176 16004411 15105269 14451294 16845153 27120518; 2 
