1.1260000000000008 0 0.018000000000000002 1 1.1020000000000008 2 0.006 0 1 22523228; 2 
2.226000000000001 0 0.036000000000000004 1 2.172000000000001 2 0.018000000000000002 0 1 22523228 12389772; 2 
5.4939999999999705 0 2.8359999999999856 1 2.6119999999999943 2 0.04600000000000002 0 22461427; 1 22523228 12389772; 2 
6.697999999999961 0 2.889999999999985 1 3.729999999999969 2 0.07800000000000006 0 22461427; 1 12389772 22523228 14167991; 2 
7.701999999999968 0 2.837999999999984 1 4.811999999999975 2 0.052000000000000025 0 22461427; 1 12389772 22523228 14167991 797018; 2 
8.669999999999972 0 3.8119999999999776 1 4.793999999999979 2 0.06400000000000004 0 19045839 22461427; 1 12389772 22523228 14167991 797018; 2 
9.633999999999965 0 4.8399999999999785 1 4.741999999999976 2 0.05200000000000003 0 19045839 22461427 21719730; 1 12389772 22523228 14167991 797018; 2 
8.68199999999999 0 4.208 1 4.429999999999992 2 0.044000000000000025 0 19045839 9922122 39299693 18162730; 1 12389772 22523228 14167991 797018; 2 
15.25399999999997 0 5.5239999999999725 1 8.55799999999996 2 1.1720000000000008 0 19045839 22461427 39299693; 1 22523228 797018 14167991 2384071 16102437; 2 17850012; 
16.869999999999965 0 6.877999999999968 1 8.839999999999979 2 1.1520000000000008 0 19045839 22461427 39299693 7376382; 1 22523228 797018 14167991 2384071 16102437; 2 17850012; 
17.787999999999997 0 6.81399999999996 1 9.819999999999974 2 1.1540000000000008 0 19045839 22461427 39299693 7376382; 1 22523228 797018 14167991 2384071 16102437 27120518; 2 17850012; 
18.436000000000007 0 7.66999999999996 1 9.591999999999974 2 1.1740000000000008 0 19045839 22461427 39299693 33437822 18888190; 1 22523228 797018 14167991 2384071 16102437 17201112; 2 17850012; 
19.331999999999983 0 7.571999999999969 1 10.537999999999954 2 1.2220000000000009 0 19045839 22461427 39299693 33437822 15572221; 1 22523228 797018 14167991 2384071 16102437 27120518 17201112; 2 17850012; 
21.049999999999972 0 7.939999999999969 1 11.917999999999958 2 1.1920000000000008 0 19045839 14334981 39299693 7376382 22461427; 1 22523228 797018 14167991 2384071 16102437 27120518 17201112 15929023; 2 17850012; 
20.249999999999982 0 8.305999999999973 1 10.807999999999964 2 1.1360000000000008 0 19045839 14334981 39299693 33437822 18888190 22461427; 1 22523228 797018 14167991 12389772 16102437 17201112 15076390 14837803; 2 17850012; 
22.817999999999973 0 8.757999999999976 1 12.893999999999947 2 1.1660000000000008 0 19045839 14334981 39299693 33437822 18888190 22461427; 1 22523228 797018 14167991 12389772 16102437 17201112 15076390 14837803 2384071; 2 17850012; 
23.801999999999943 0 9.75399999999997 1 12.861999999999945 2 1.1860000000000008 0 19045839 9922122 39299693 33437822 18888190 14139780 22461427; 1 22523228 797018 14167991 12389772 16102437 17201112 15076390 14837803 2384071; 2 17850012; 
25.86199999999994 0 10.14599999999999 1 14.483999999999966 2 1.2320000000000009 0 19045839 9922122 39299693 7376382 18888190 22461427 14139780; 1 22523228 797018 14167991 12389772 16102437 17201112 14837803 2384071 15076390 15105269; 2 17850012; 
26.933999999999926 0 10.133999999999972 1 15.555999999999969 2 1.2440000000000009 0 19045839 39299693 7376382 18888190 22461427 14139780 5074681; 1 22523228 797018 14167991 12389772 14070736 16102437 17201112 14837803 2384071 15076390 15105269; 2 17850012; 
27.685999999999947 0 10.015999999999975 1 16.45399999999999 2 1.2160000000000009 0 774675 9922122 39299693 20322928 22461427 14139780 18843449; 1 22523228 797018 14167991 12389772 16102437 17173775 17201112 14837803 2384071 15929023 15105269 16780257; 2 17850012; 
28.913999999999966 0 11.059999999999977 1 16.62599999999997 2 1.2280000000000009 0 774675 39299693 33437822 18888190 22461427 15572221 14139780 18843449; 1 22523228 797018 14167991 12389772 14070736 16102437 17201112 14837803 2384071 15105269 16780257 17173775; 2 17850012; 
30.68999999999997 0 10.401999999999969 1 18.989999999999995 2 1.298000000000001 0 774675 39299693 20322928 24208679 22461427 14139780 18843449; 1 22523228 797018 14167991 12389772 14070736 16102437 17201112 14837803 2384071 15076390 15105269 17173775 16780257 17323772; 2 17850012; 
30.625999999999955 0 10.93799999999996 1 18.345999999999986 2 1.342000000000001 0 774675 39299693 33437822 18888190 22461427 15572221 14139780 18843449; 1 22523228 797018 14167991 12389772 14070736 16102437 17201112 14837803 2384071 15105269 25468909 16780257 17323772 27120518; 2 17850012; 
31.647999999999957 0 11.017999999999962 1 18.334000000000007 2 2.2959999999999976 0 774675 39299693 33437822 18888190 22461427 15572221 14139780 18843449; 1 22523228 797018 14167991 12389772 14070736 16102437 17201112 14837803 2384071 15105269 25468909 16780257 17323772 27120518; 2 17850012 18221018; 
32.964000000000034 0 11.023999999999951 1 19.609999999999978 2 2.3299999999999983 0 774675 39299693 33437822 18888190 22461427 15572221 14139780 18843449; 1 22523228 797018 14167991 12389772 14070736 16102437 17201112 14837803 2384071 15105269 25468909 16780257 17323772 27120518 14785887; 2 17850012 18221018; 
34.05600000000003 0 11.07799999999996 1 20.688 2 2.2899999999999987 0 774675 39299693 33437822 18888190 22461427 15572221 14139780 18843449; 1 22523228 797018 14167991 12389772 14070736 16102437 17201112 14837803 2384071 15105269 27120518 14785887 17323772 25468909 16780257 15184942; 2 17850012 18221018; 
35.90000000000004 0 11.357999999999961 1 22.21399999999996 2 2.3279999999999967 0 774675 39299693 20322928 29863027 22461427 15572221 14139780 18843449; 1 22523228 797018 14167991 12389772 14070736 16102437 17201112 14837803 2384071 15105269 27120518 14785887 17323772 25468909 16780257 15184942 17486893; 2 17850012 18221018; 
36.80600000000005 0 12.39999999999996 1 22.09399999999997 2 2.311999999999999 0 774675 39299693 20322928 29863027 22461427 15572221 14139780 18843449 18083070; 1 22523228 17486893 797018 14167991 12389772 14070736 16102437 17201112 14837803 2384071 15105269 27120518 14785887 17323772 25468909 16780257 15184942; 2 18221018 17850012; 
37.974 0 14.443999999999953 1 21.20199999999996 2 2.3279999999999976 0 18162730 774675 9922122 39299693 15309336 29863027 22461427 15572221 14139780 18843449 27051306; 1 22523228 797018 14167991 12389772 16102437 17201112 14837803 2384071 15105269 27120518 14785887 17323772 25468909 16780257 15184942 17486893; 2 18221018 17850012; 
38.78200000000001 0 14.363999999999958 1 22.08399999999999 2 2.333999999999998 0 18162730 774675 9922122 39299693 27051306 14139780 22461427 29863027 15572221 15309336 18843449; 1 22523228 797018 14167991 12389772 16102437 17201112 15184942 27120518 17323772 16780257 14837803 25468909 17486893 2384071 14785887 15105269 6760152; 2 18221018 17850012; 
39.05400000000005 0 14.241999999999955 1 22.409999999999965 2 2.4019999999999984 0 18162730 774675 9922122 39299693 27051306 14139780 22461427 29863027 15572221 15309336 18843449; 1 22523228 797018 14167991 12389772 16102437 17201112 15184942 27120518 17323772 16780257 14837803 25468909 17486893 2384071 14785887 15105269 6760152 16845153; 2 18221018 24241212; 
39.662000000000006 0 13.89399999999995 1 23.407999999999973 2 2.3599999999999977 0 18162730 774675 9922122 39299693 27051306 14139780 22461427 18888190 15309336 18843449 14720172; 1 22523228 797018 14167991 12389772 16102437 17201112 15184942 27120518 17323772 16780257 14837803 36444947 25468909 17486893 2384071 14785887 15105269 6760152 16845153; 2 18221018 24241212; 
40.79799999999996 0 14.923999999999973 1 23.505999999999958 2 2.3679999999999963 0 18162730 774675 9922122 39299693 27051306 14139780 22461427 18888190 14834422 20322928 18843449 14720172; 1 22523228 797018 14167991 12389772 16102437 17201112 15184942 27120518 17323772 16780257 14837803 36444947 25468909 2384071 14785887 15105269 6760152 16845153 17486893; 2 18221018 24241212; 
42.350000000000016 0 16.225999999999978 1 23.723999999999933 2 2.3999999999999964 0 14813714 774675 9922122 39299693 27051306 14139780 22461427 18888190 14834422 7376382 18843449 14720172 18083070; 1 22523228 797018 14167991 12389772 16102437 17201112 15184942 27120518 17323772 16780257 14837803 36444947 25468909 2384071 14785887 15105269 6760152 16845153 17486893; 2 18221018 24241212; 
