1.0860000000000007 0 0.014 1 1.0580000000000007 2 0.014 0 1 12389772; 2 
2.248 0 0.022000000000000006 1 2.212 2 0.014 0 1 12389772 22242176; 2 
3.327999999999967 0 0.02800000000000001 1 3.2819999999999667 2 0.018000000000000002 0 1 12389772 22242176 797018; 2 
7.001999999999961 0 0.6740000000000005 1 6.2399999999999585 2 0.08800000000000006 0 1 2384071 22242176 797018 16102437; 2 
10.197999999999976 0 3.427999999999977 1 6.643999999999965 2 0.12600000000000008 0 22461427; 1 2384071 22242176 797018 16102437; 2 
11.19399999999996 0 3.4019999999999806 1 7.675999999999968 2 0.11600000000000009 0 22461427; 1 2384071 22242176 797018 16102437 14167991; 2 
12.685999999999957 0 3.413999999999979 1 9.133999999999977 2 0.1380000000000001 0 22461427; 1 22242176 797018 2384071 14167991 16102437 15105269; 2 
13.625999999999948 0 3.4999999999999774 1 9.969999999999967 2 0.1560000000000001 0 22461427; 1 22242176 797018 2384071 14167991 16102437 15105269 22523228; 2 
12.655999999999956 0 2.8179999999999907 1 9.69799999999997 2 0.1400000000000001 0 14139780 18162730; 1 22242176 797018 2384071 14167991 16102437 15105269 22523228; 2 
15.941999999999977 0 4.425999999999974 1 11.359999999999957 2 0.1560000000000001 0 22461427 18162730; 1 22242176 797018 2384071 14167991 16102437 15105269 22523228 14785887; 2 
16.793999999999986 0 4.395999999999973 1 12.221999999999952 2 0.17600000000000013 0 22461427 18162730; 1 22242176 797018 12389772 14167991 16102437 15105269 22523228 14785887 2384071; 2 
17.96599999999999 0 5.411999999999968 1 12.323999999999943 2 0.23000000000000018 0 14813714 14139780 22461427; 1 16102437 797018 12389772 14785887 22242176 2384071 14167991 22523228 15105269; 2 
19.531999999999968 0 6.791999999999971 1 12.513999999999967 2 0.22600000000000017 0 14813714 14139780 22461427 7376382; 1 16102437 797018 12389772 14785887 22242176 2384071 14167991 22523228 15105269; 2 
20.605999999999973 0 6.701999999999964 1 13.695999999999946 2 0.20800000000000016 0 14813714 14139780 22461427 7376382; 1 16102437 797018 12389772 14785887 22242176 2384071 14167991 22523228 15105269 14837803; 2 
21.855999999999966 0 6.857999999999963 1 14.74999999999997 2 0.2480000000000002 0 14813714 14139780 22461427 7376382; 1 16102437 797018 12389772 14785887 22242176 2384071 14167991 22523228 15105269 14837803 15184942; 2 
22.237999999999953 0 7.495999999999967 1 14.527999999999953 2 0.21400000000000016 0 14813714 14139780 22461427 33437822 27362221; 1 16102437 797018 12389772 14785887 22242176 2384071 14167991 22523228 15105269 14837803 15184942; 2 
23.63399999999998 0 7.4759999999999645 1 14.921999999999958 2 1.2360000000000009 0 14813714 14139780 22461427 33437822 27362221; 1 16102437 797018 12389772 14785887 22242176 2384071 14167991 22523228 15105269 14837803 15184942; 2 13654112; 
25.181999999999928 0 7.999999999999974 1 15.953999999999963 2 1.2280000000000009 0 14813714 14139780 22461427 33437822 7376382; 1 16102437 797018 12389772 14785887 22242176 2384071 14167991 22523228 15105269 14837803 15184942 27120518; 2 13654112; 
26.463999999999942 0 7.059999999999966 1 17.165999999999997 2 2.2380000000000004 0 14813714 14139780 22461427 7376382; 1 16102437 797018 12389772 14785887 22242176 2384071 14167991 22523228 15105269 14837803 15184942 27120518 25468909; 2 9146202 13654112; 
27.509999999999927 0 7.045999999999963 1 18.134000000000004 2 2.3299999999999974 0 14813714 14139780 22461427 7376382; 1 16102437 797018 12389772 14785887 22242176 2384071 14167991 22523228 15105269 14837803 15184942 27120518 25468909 17323772; 2 9146202 13654112; 
27.667999999999957 0 8.461999999999978 1 17.883999999999983 2 1.322000000000001 0 14813714 14139780 22461427 33437822 15572221 15309336; 1 16102437 797018 12389772 14785887 22242176 2384071 14167991 22523228 15105269 14837803 15184942 27120518 25468909 17323772; 2 13654112; 
29.089999999999936 0 8.777999999999983 1 19.011999999999993 2 1.300000000000001 0 15572221 15309336 14813714 33437822 14139780 22461427; 1 17323772 15105269 797018 12389772 25468909 14837803 2384071 14167991 22523228 16102437 27120518 15184942 22242176 14785887 17201112; 2 13654112; 
30.085999999999967 0 8.675999999999977 1 20.092 2 1.318000000000001 0 15572221 15309336 14813714 33437822 14139780 22461427; 1 17323772 15105269 797018 12389772 25468909 14837803 2384071 14167991 22523228 16102437 27120518 15184942 22242176 14785887 17201112 9981522; 2 13654112; 
31.123999999999985 0 9.663999999999962 1 20.157999999999962 2 1.302000000000001 0 29986886 15309336 14813714 33437822 14139780 22461427 14720172; 1 17323772 15105269 797018 12389772 25468909 14837803 2384071 14167991 22523228 16102437 27120518 15184942 22242176 14785887 17201112 9981522; 2 13654112; 
32.376 0 9.819999999999965 1 21.18599999999999 2 1.370000000000001 0 29986886 15309336 14813714 33437822 14139780 22461427 14720172; 1 17323772 15105269 797018 12389772 25468909 14837803 2384071 14167991 22523228 16102437 27120518 15184942 22242176 14785887 17201112 9981522 229523; 2 13654112; 
33.344000000000044 0 10.807999999999971 1 21.159999999999982 2 1.376000000000001 0 29986886 15309336 14813714 33437822 14139780 22461427 14720172 27015480; 1 17323772 15105269 797018 12389772 25468909 14837803 2384071 14167991 22523228 16102437 27120518 15184942 22242176 14785887 17201112 9981522 229523; 2 13654112; 
35.08200000000006 0 8.981999999999971 1 23.73199999999995 2 2.3679999999999968 0 15309336 33437822 14139780 22461427 14720172 27015480; 1 17323772 15105269 797018 12389772 25468909 14837803 2384071 14167991 22523228 16102437 17486893 17173775 15184942 22242176 14785887 17201112 9981522 229523 15940891; 2 13654112 24241212; 
36.182000000000016 0 8.995999999999972 1 24.841999999999924 2 2.3439999999999985 0 15309336 33437822 14139780 22461427 14720172 27015480; 1 17323772 15105269 797018 12389772 25468909 14837803 2384071 14167991 22523228 16102437 17486893 17173775 15184942 22242176 14785887 17201112 9981522 229523 15940891 16462880; 2 13654112 24241212; 
36.71800000000004 0 9.951999999999972 1 24.397999999999943 2 2.3679999999999963 0 15572221 15309336 33437822 14139780 22461427 14720172 27015480; 1 17323772 15105269 797018 12389772 25468909 14837803 2384071 14167991 22523228 16102437 27120518 15184942 22242176 14785887 17201112 9981522 16462880 229523 15940891 17486893; 2 13654112 24241212; 
38.10400000000002 0 9.845999999999965 1 25.87599999999992 2 2.381999999999997 0 15572221 15309336 33437822 14139780 22461427 14720172 27015480; 1 17323772 15105269 797018 12389772 25468909 14837803 2384071 14167991 22523228 16102437 27120518 15184942 22242176 14785887 17201112 9981522 16462880 229523 15940891 17486893 11039482; 2 13654112 24241212; 
38.77000000000001 0 9.761999999999961 1 26.603999999999928 2 2.4039999999999973 0 15572221 15309336 33437822 14139780 22461427 14720172 27015480; 1 17323772 15105269 797018 12389772 25468909 14837803 2384071 14167991 22523228 16102437 27120518 15184942 22242176 14785887 17201112 9981522 16462880 229523 15940891 17486893 11039482 34258868; 2 13654112 24241212; 
39.908000000000015 0 9.935999999999966 1 27.625999999999937 2 2.3459999999999988 0 14720172 15309336 33437822 14139780 22461427 27015480 15572221; 1 15105269 797018 25468909 14837803 2384071 14167991 9981522 16102437 19489212 27120518 15184942 16462880 22242176 229523 34258868 17323772 14785887 11039482 17486893 22523228 12389772 17201112 9846942; 2 24241212 13654112; 
40.97200000000005 0 10.857999999999958 1 27.695999999999927 2 2.4179999999999944 0 14720172 15309336 33437822 14139780 22461427 27015480 29986886 15572221; 1 15105269 797018 25468909 14837803 2384071 14167991 9981522 16102437 19489212 27120518 15184942 16462880 22242176 229523 34258868 17323772 14785887 11039482 22523228 12389772 17201112 9846942 16845153; 2 24241212 13654112; 
41.92200000000002 0 10.925999999999965 1 28.57799999999993 2 2.417999999999997 0 14720172 15309336 33437822 14139780 22461427 27015480 29986886 15572221; 1 15105269 797018 25468909 14837803 2384071 14167991 9981522 16102437 19489212 27120518 15184942 16462880 22242176 229523 34258868 17323772 14785887 11039482 22523228 12389772 17201112 9846942 16845153 14451294; 2 24241212 13654112; 
43.45000000000006 0 11.04799999999996 1 29.985999999999947 2 2.415999999999997 0 14720172 15309336 33437822 14139780 22461427 27015480 15572221 16304657; 1 15105269 797018 25468909 14837803 2384071 14167991 9981522 16102437 19489212 27120518 15184942 16462880 22242176 229523 34258868 17323772 14785887 11039482 17486893 22523228 12389772 17201112 9846942 16845153 14451294; 2 24241212 13654112; 
44.486000000000075 0 10.979999999999958 1 31.066000000000013 2 2.4399999999999964 0 14720172 15309336 33437822 14139780 22461427 27015480 15572221 16304657; 1 15105269 797018 25468909 14837803 2384071 14167991 9981522 16102437 19489212 27120518 15184942 16462880 22242176 229523 34258868 17323772 14785887 11039482 17486893 22523228 12389772 17201112 9846942 16845153 14451294 24561360; 2 24241212 13654112; 
43.75200000000006 0 12.763999999999946 1 29.573999999999963 2 1.414000000000001 0 14813714 14720172 15309336 33437822 14139780 39299693 14551274 40581589 15572221 9922122 18506582; 1 15105269 797018 25468909 14837803 2384071 14167991 9981522 16102437 19489212 17173775 15184942 16462880 22242176 229523 34258868 17323772 14785887 11039482 22523228 12389772 17201112 9846942 16845153 14451294 24561360; 2 13654112; 
46.624000000000024 0 14.211999999999945 1 31.001999999999985 2 1.410000000000001 0 14813714 14720172 15309336 33437822 14139780 22461427 29863027 40581589 15572221 9922122 18506582; 1 15105269 797018 25468909 14837803 2384071 14167991 9981522 16102437 15940891 17173775 15184942 16462880 22242176 229523 34258868 17323772 14785887 11039482 22523228 12389772 17201112 9846942 16845153 14451294 24561360 16579074; 2 13654112; 
47.749999999999936 0 14.423999999999966 1 31.842000000000017 2 1.484000000000001 0 14813714 14720172 15309336 33437822 14139780 22461427 29863027 40581589 15572221 9922122 18506582; 1 15105269 797018 25468909 14837803 2384071 14167991 9981522 16102437 15940891 17173775 15184942 16462880 22242176 229523 34258868 17323772 14785887 11039482 22523228 12389772 17201112 9846942 16845153 14451294 24561360 16579074 14328764; 2 13654112; 
48.92599999999992 0 14.421999999999947 1 33.090000000000025 2 1.414000000000001 0 14813714 14720172 15309336 33437822 14139780 22461427 29863027 40581589 15572221 18506582 9922122; 1 15105269 797018 25468909 14837803 2384071 14167991 9981522 16102437 15940891 17173775 15184942 16462880 22242176 229523 34258868 17323772 14785887 11039482 22523228 12389772 17201112 9846942 16845153 14451294 14328764 24561360 16579074 20214703; 2 13654112; 
