1.0540000000000007 0 0.014 1 1.0260000000000007 2 0.014 0 1 12389772; 2 
2.2399999999999998 0 0.07 1 2.1460000000000004 2 0.024000000000000007 0 1 12389772 22523228; 2 
5.645999999999972 0 2.8739999999999863 1 2.7279999999999918 2 0.044000000000000025 0 22461427; 1 12389772 22523228; 2 
6.4759999999999645 0 2.7299999999999875 1 3.6939999999999693 2 0.05200000000000003 0 22461427; 1 12389772 22523228 37975185; 2 
7.669999999999968 0 2.8999999999999853 1 4.709999999999982 2 0.06000000000000004 0 22461427; 1 12389772 22523228 37975185 14167991; 2 
8.703999999999967 0 3.747999999999978 1 4.87199999999998 2 0.08400000000000006 0 22461427 33437822; 1 12389772 22523228 37975185 14167991; 2 
10.001999999999981 0 3.9639999999999724 1 5.989999999999945 2 0.04800000000000003 0 22461427 15572221; 1 12389772 22523228 37975185 14167991 14451294; 2 
10.985999999999976 0 3.931999999999976 1 6.987999999999963 2 0.06600000000000004 0 22461427 15572221; 1 12389772 22523228 37975185 14167991 14451294 797018; 2 
12.243999999999957 0 3.9859999999999745 1 8.157999999999992 2 0.10000000000000007 0 22461427 15572221; 1 12389772 22523228 14451294 797018 37975185 14167991 16845153; 2 
13.541999999999948 0 3.9739999999999753 1 9.491999999999976 2 0.07600000000000005 0 22461427 15572221; 1 12389772 22523228 14451294 797018 37975185 14167991 16845153 22242176; 2 
14.30199999999995 0 4.933999999999975 1 9.283999999999978 2 0.08400000000000006 0 22461427 15572221 14813714; 1 12389772 22523228 14451294 797018 37975185 14167991 16845153 22242176; 2 
15.991999999999994 0 5.107999999999968 1 10.767999999999962 2 0.11600000000000009 0 22461427 15572221 14813714; 1 12389772 22523228 14451294 797018 37975185 14167991 16845153 22242176 16102437; 2 
18.89999999999998 0 5.439999999999971 1 13.26199999999995 2 0.19800000000000015 0 22461427 18888190 14813714; 1 12389772 22523228 14451294 797018 37975185 14167991 16845153 16102437 22242176 2384071; 2 
19.609999999999996 0 6.361999999999959 1 13.091999999999947 2 0.1560000000000001 0 12377702 18888190 14813714 22461427; 1 12389772 22523228 14451294 797018 37975185 14167991 16845153 16102437 22242176 2384071; 2 
21.729999999999997 0 6.739999999999954 1 13.867999999999967 2 1.1220000000000008 0 12377702 18888190 14813714 22461427; 1 12389772 22523228 14451294 797018 37975185 14167991 16845153 22242176 2384071 16102437; 2 17850012; 
23.263999999999946 0 7.087999999999963 1 15.035999999999959 2 1.1400000000000008 0 12377702 7376382 14813714 22461427; 1 12389772 22523228 14451294 797018 37975185 14167991 16845153 22242176 2384071 16102437 27120518; 2 17850012; 
24.637999999999952 0 7.095999999999963 1 16.345999999999993 2 1.1960000000000008 0 12377702 7376382 14813714 22461427; 1 12389772 22523228 14451294 797018 37975185 14167991 16845153 22242176 2384071 16102437 27120518 14785887; 2 17850012; 
25.599999999999923 0 7.087999999999965 1 17.27999999999999 2 1.2320000000000009 0 7376382 14813714 14551274 22461427; 1 12389772 22523228 14451294 797018 37975185 11541862 14167991 16845153 22242176 2384071 16102437 27120518 14785887; 2 17850012; 
27.311999999999937 0 7.16399999999996 1 18.931999999999995 2 1.2160000000000009 0 7376382 14813714 14551274 22461427; 1 12389772 22523228 14451294 797018 37975185 11541862 14167991 16845153 22242176 2384071 16102437 27120518 14785887 8820652; 2 17850012; 
28.843999999999955 0 7.12199999999996 1 20.503999999999976 2 1.2180000000000009 0 7376382 14813714 14551274 22461427; 1 12389772 22523228 14451294 797018 37975185 11541862 14167991 16004411 22242176 2384071 16102437 27120518 14785887 8820652 15184942; 2 17850012; 
30.477999999999966 0 7.387999999999964 1 21.805999999999983 2 1.284000000000001 0 14813714 7376382 22461427 14551274; 1 797018 16004411 22242176 2384071 16102437 14167991 14785887 27120518 12389772 15184942 14451294 8820652 11541862 37975185 22523228 21093392; 2 17850012; 
32.16599999999998 0 8.685999999999972 1 22.179999999999964 2 1.300000000000001 0 14813714 7376382 22461427 14551274 18843449; 1 797018 16004411 22242176 2384071 16102437 14167991 14785887 17173775 12389772 15184942 14451294 8820652 11541862 37975185 22523228 21093392; 2 17850012; 
33.225999999999985 0 8.563999999999961 1 23.37199999999997 2 1.290000000000001 0 14813714 7376382 22461427 14551274 18843449; 1 797018 16004411 22242176 2384071 16102437 14167991 14785887 17173775 12389772 15184942 14451294 8820652 11541862 37975185 22523228 21093392 19360333; 2 17850012; 
34.15800000000004 0 8.677999999999974 1 24.207999999999945 2 1.272000000000001 0 14813714 7376382 22461427 14551274 18843449; 1 797018 16845153 22242176 2384071 16102437 14167991 14785887 17173775 12389772 15184942 14451294 8820652 11541862 37975185 22523228 21093392 19360333 16004411; 2 17850012; 
35.512000000000015 0 8.633999999999975 1 25.56999999999992 2 1.308000000000001 0 14813714 7376382 22461427 14551274 18843449; 1 797018 16845153 22242176 2384071 16102437 14167991 14785887 17173775 12389772 15184942 14451294 8820652 11541862 37975185 22523228 21093392 19360333 16004411 23344327; 2 17850012; 
36.58200000000003 0 9.71999999999996 1 25.53999999999994 2 1.322000000000001 0 14813714 15572221 7376382 22461427 14551274 18843449; 1 797018 16845153 22242176 2384071 16102437 14167991 14785887 12389772 15184942 14451294 8820652 11541862 37975185 22523228 21093392 19360333 16004411 23344327 17173775; 2 17850012; 
37.438000000000024 0 9.755999999999966 1 26.379999999999946 2 1.302000000000001 0 14813714 15572221 7376382 22461427 14551274 18843449; 1 797018 16845153 22242176 2384071 16102437 14167991 14785887 12389772 15184942 14451294 8820652 11541862 37975185 22523228 21093392 19360333 16004411 23344327 17173775 16494857; 2 17850012; 
38.606000000000044 0 10.673999999999964 1 26.58599999999992 2 1.346000000000001 0 14813714 15572221 7376382 22461427 14551274 18843449 9922122; 1 797018 16845153 22242176 2384071 16102437 14167991 14785887 12389772 15184942 14451294 8820652 11541862 37975185 22523228 21093392 19360333 16004411 23344327 17173775 16494857; 2 17850012; 
40.153999999999975 0 10.90399999999995 1 27.94599999999994 2 1.304000000000001 0 14813714 15572221 7376382 22461427 14551274 18843449 9922122; 1 797018 16845153 22242176 2384071 16102437 14167991 14785887 12389772 15184942 14451294 8820652 11541862 37975185 17486893 21093392 19360333 16004411 23344327 17173775 16494857 17862286; 2 17850012; 
40.39600000000005 0 10.429999999999977 1 28.623999999999942 2 1.342000000000001 0 14813714 33437822 22461427 14551274 18843449 9922122 27362221; 1 797018 16845153 22242176 2384071 16102437 14167991 14785887 27120518 12389772 15184942 14451294 8820652 11541862 37975185 17486893 21093392 19360333 16004411 23344327 17173775 16494857 17862286; 2 17850012; 
42.012000000000036 0 10.655999999999958 1 30.06399999999994 2 1.292000000000001 0 14813714 33437822 22461427 14551274 18843449 9922122 27362221; 1 797018 16845153 22242176 2384071 16102437 14167991 14785887 27120518 12389772 15184942 14451294 8820652 11541862 37975185 17486893 21093392 19360333 16004411 23344327 17173775 16494857 17862286 15105269; 2 17850012; 
42.618000000000066 0 11.62399999999995 1 29.70399999999997 2 1.290000000000001 0 14813714 39469612 22461427 14551274 18843449 9922122 27362221 18888190; 1 797018 16845153 22242176 2384071 16102437 14167991 14785887 27120518 12389772 15184942 14451294 8820652 11541862 37975185 30663037 21093392 19360333 16004411 23344327 17173775 16494857 17862286 15105269; 2 17850012; 
43.78399999999999 0 13.577999999999955 1 28.833999999999925 2 1.372000000000001 0 14813714 39469612 22461427 14551274 19570101 18843449 9922122 27362221 18888190 15757811; 1 797018 16845153 22242176 2384071 16102437 14167991 14785887 27120518 12389772 15184942 14451294 8820652 37975185 30663037 21093392 19360333 16004411 23344327 17173775 16494857 17862286 15105269; 2 17850012; 
45.072 0 13.625999999999937 1 30.017999999999972 2 1.428000000000001 0 14813714 39469612 22461427 14551274 19570101 18843449 15757811 27362221 18888190 9922122; 1 797018 16845153 22242176 2384071 16102437 14167991 14785887 27120518 12389772 15184942 14451294 8820652 37975185 22523228 21093392 16494857 23344327 17173775 17862286 15105269 19360333 42158886 16004411; 2 17850012; 
46.059999999999974 0 13.581999999999942 1 30.125999999999983 2 2.3519999999999976 0 14813714 39469612 22461427 14551274 19570101 18843449 15757811 27362221 18888190 9922122; 1 797018 16845153 22242176 2384071 16102437 14167991 14785887 27120518 12389772 15184942 14451294 8820652 37975185 22523228 21093392 16494857 23344327 17173775 17862286 15105269 19360333 42158886 16004411; 2 17850012 26766494; 
47.38400000000005 0 13.98199999999995 1 31.009999999999998 2 2.3919999999999977 0 14813714 39469612 22461427 14551274 19570101 18843449 15757811 27362221 18888190 9922122; 1 797018 16845153 22242176 2384071 16102437 14167991 14785887 27120518 12389772 15184942 14451294 8820652 37975185 22523228 21093392 16494857 23344327 17173775 17862286 15105269 19360333 42158886 16004411 15487691; 2 17850012 26766494; 
48.28599999999994 0 13.763999999999957 1 32.13 2 2.391999999999997 0 14813714 39469612 22461427 14551274 19570101 18843449 15757811 27362221 18888190 9922122; 1 797018 16845153 22242176 2384071 16102437 14167991 14785887 27120518 12389772 15184942 14451294 8820652 37975185 22523228 21093392 16494857 23344327 17173775 17862286 15105269 19360333 42158886 16004411 15487691 15834295; 2 17850012 26766494; 
49.31799999999997 0 13.787999999999954 1 32.158000000000015 2 3.3719999999999697 0 14813714 18132880 22461427 14551274 19570101 18843449 15757811 27362221 18888190 9922122; 1 797018 16845153 22242176 2384071 16102437 14167991 14785887 27120518 12389772 15184942 14451294 8820652 37975185 22523228 21093392 16494857 23344327 17173775 17862286 15105269 19360333 21060795 16004411 15487691 15834295; 2 17850012 26766494 24863940; 
50.21199999999992 0 13.761999999999947 1 33.07800000000004 2 3.3719999999999684 0 14813714 18132880 22461427 14551274 19570101 18843449 15757811 27362221 18888190 9922122; 1 797018 16845153 22242176 2384071 16102437 14167991 14785887 27120518 12389772 15184942 14451294 8820652 37975185 22523228 21093392 16494857 23344327 17173775 17862286 15105269 19360333 21060795 16004411 15487691 15834295 14198539; 2 17850012 26766494 24863940; 
50.85599999999986 0 13.721999999999948 1 33.784000000000056 2 3.349999999999968 0 14813714 18132880 22461427 17316916 19570101 18843449 15757811 27362221 18888190 15847834; 1 797018 16845153 22242176 2384071 16102437 14167991 14785887 27120518 12389772 15184942 14451294 8820652 37975185 22523228 21093392 16494857 23344327 18817130 17173775 17862286 15105269 19360333 21060795 16004411 15487691 15834295 14198539; 2 17850012 26766494 24863940; 
