1.0680000000000007 0 0.01 1 1.0440000000000007 2 0.014 0 1 12389772; 2 
2.28 0 0.04800000000000001 1 2.214 2 0.018000000000000002 0 1 12389772 22523228; 2 
5.385999999999972 0 2.745999999999985 1 2.603999999999994 2 0.03600000000000001 0 22461427; 1 12389772 22523228; 2 
6.539999999999957 0 3.8759999999999732 1 2.6139999999999937 2 0.05000000000000002 0 22461427 18843449; 1 22523228 12389772; 2 
7.889999999999967 0 3.9199999999999755 1 3.8959999999999724 2 0.07400000000000005 0 22461427 18843449; 1 22523228 12389772 15184942; 2 
10.957999999999966 0 4.375999999999976 1 6.441999999999955 2 0.1400000000000001 0 22461427 18843449; 1 22523228 2384071 15184942 37975185; 2 
11.649999999999945 0 4.229999999999972 1 7.313999999999963 2 0.10600000000000008 0 22461427 18843449; 1 22523228 2384071 15184942 37975185 14167991; 2 
13.03199999999997 0 4.455999999999969 1 8.439999999999975 2 0.1360000000000001 0 22461427 18843449; 1 37975185 2384071 22523228 15184942 14167991 797018; 2 
14.429999999999962 0 4.351999999999973 1 9.913999999999978 2 0.16400000000000012 0 22461427 18843449; 1 37975185 2384071 22523228 15184942 14167991 797018 16845153; 2 
15.113999999999965 0 4.275999999999976 1 10.679999999999959 2 0.1580000000000001 0 22461427 18843449; 1 37975185 2384071 22523228 15184942 14167991 797018 16845153 22463905; 2 
16.39799999999998 0 5.51199999999997 1 10.721999999999962 2 0.16400000000000012 0 22461427 18843449 14813714; 1 37975185 2384071 22523228 15184942 14167991 797018 16845153 22463905; 2 
17.38599999999998 0 5.357999999999969 1 11.86199999999995 2 0.16600000000000012 0 22461427 18843449 14813714; 1 37975185 2384071 22523228 15184942 14167991 797018 16845153 22463905 20024547; 2 
19.55599999999999 0 5.657999999999974 1 12.71599999999995 2 1.1820000000000008 0 22461427 18843449 36572402; 1 37975185 2384071 22523228 15184942 14167991 797018 16845153 22463905 20024547; 2 17850012; 
20.713999999999988 0 5.731999999999968 1 13.81399999999996 2 1.1680000000000008 0 22461427 18843449 36572402; 1 37975185 2384071 22523228 15184942 14167991 797018 16845153 22463905 20024547 14785887; 2 17850012; 
21.899999999999988 0 5.7359999999999705 1 14.955999999999964 2 1.2080000000000009 0 22461427 18843449 36572402; 1 37975185 2384071 22523228 15184942 14167991 797018 16845153 22463905 14785887 22242176 20024547; 2 17850012; 
23.181999999999967 0 5.8139999999999645 1 16.175999999999966 2 1.1920000000000008 0 22461427 18843449 36572402; 1 37975185 2384071 22523228 15184942 14167991 797018 16845153 22463905 14785887 22242176 20024547 15105269; 2 17850012; 
24.60999999999994 0 5.84399999999997 1 17.57999999999997 2 1.1860000000000008 0 22461427 18843449 36572402; 1 37975185 2384071 22523228 15184942 14167991 797018 16845153 22463905 14785887 22242176 20024547 15105269 16102437; 2 17850012; 
25.23999999999994 0 5.7979999999999645 1 18.235999999999986 2 1.2060000000000008 0 22461427 18843449 36572402; 1 37975185 2384071 22523228 15184942 14167991 797018 16845153 22463905 14785887 22242176 20024547 16102437 15105269 14431629; 2 17850012; 
26.82799999999993 0 6.075999999999963 1 19.551999999999992 2 1.2000000000000008 0 22461427 18843449 36572402; 1 37975185 2384071 22523228 15184942 14167991 797018 16845153 22463905 14785887 22242176 20024547 16102437 15105269 14431629 21093392; 2 17850012; 
27.74999999999991 0 5.969999999999969 1 20.567999999999973 2 1.2120000000000009 0 22461427 18843449 14813714; 1 37975185 12389772 22523228 15184942 14167991 797018 16845153 22463905 14785887 22242176 20024547 16102437 15105269 15728729 21093392 2384071; 2 17850012; 
28.971999999999916 0 5.961999999999964 1 21.74799999999997 2 1.262000000000001 0 22461427 18843449 14813714; 1 37975185 12389772 22523228 15184942 14167991 797018 16845153 22463905 14785887 22242176 20024547 16102437 15105269 15728729 21093392 2384071 23344327; 2 17850012; 
30.144 0 6.919999999999959 1 21.963999999999977 2 1.260000000000001 0 16304657 18843449 14813714 22461427; 1 37975185 12389772 22523228 15184942 14167991 797018 15105269 20024547 21093392 23344327 14785887 15728729 16102437 16845153 22242176 22463905 2384071; 2 17850012; 
30.931999999999995 0 8.011999999999967 1 21.667999999999964 2 1.252000000000001 0 16304657 18843449 14813714 22461427 28597688; 1 37975185 12389772 22523228 15184942 14167991 797018 15105269 20024547 21093392 23344327 14785887 15728729 16102437 16845153 22242176 22463905 2384071; 2 17850012; 
32.312 0 9.201999999999972 1 21.82799999999998 2 1.282000000000001 0 16304657 18843449 14813714 14719154 29863027 22461427; 1 37975185 12389772 22523228 15184942 14167991 797018 15105269 20024547 21093392 23344327 14785887 15728729 16102437 16845153 22242176 22463905 2384071; 2 17850012; 
33.380000000000045 0 9.225999999999964 1 21.895999999999983 2 2.2579999999999987 0 16304657 18843449 14813714 14719154 29863027 22461427; 1 37975185 12389772 22523228 15184942 14167991 797018 15105269 20024547 21093392 23344327 14785887 15728729 16102437 16845153 22242176 22463905 2384071; 2 17850012 24863940; 
34.88400000000002 0 9.391999999999982 1 23.211999999999957 2 2.2799999999999985 0 16304657 18843449 14813714 14719154 29863027 22461427; 1 37975185 12389772 22523228 15184942 14167991 797018 15105269 20024547 21093392 23344327 14785887 15728729 16102437 16845153 22242176 22463905 2384071 8820652; 2 17850012 24863940; 
36.054000000000045 0 9.43399999999997 1 24.339999999999943 2 2.2799999999999994 0 16304657 18843449 14813714 14719154 29863027 22461427; 1 37975185 12389772 22523228 15184942 14167991 797018 15105269 20024547 21093392 23344327 14785887 15728729 16102437 16845153 22242176 22463905 2384071 8820652 15862005; 2 17850012 24863940; 
36.89200000000004 0 10.213999999999958 1 24.391999999999957 2 2.2859999999999983 0 16304657 18843449 14813714 14719154 33437822 29863027 22461427; 1 37975185 12389772 22523228 15184942 14167991 797018 15105269 20024547 21093392 23344327 14785887 15728729 16102437 16845153 22242176 2384071 8820652 15862005 22463905; 2 17850012 24863940; 
38.272000000000084 0 9.395999999999956 1 26.559999999999928 2 2.3159999999999985 0 16304657 18843449 14719154 33437822 29863027 22461427; 1 37975185 12389772 22523228 15184942 14167991 797018 16431844 15105269 20024547 21093392 23344327 14785887 15728729 16102437 16845153 22242176 2384071 8820652 15862005 22463905 15307206; 2 17850012 24863940; 
39.38800000000004 0 9.285999999999973 1 27.807999999999918 2 2.293999999999999 0 16304657 18843449 14719154 33437822 29863027 22461427; 1 37975185 12389772 22523228 15184942 14167991 797018 16431844 15105269 20024547 21093392 23344327 14785887 15728729 16102437 16845153 22242176 2384071 8820652 15862005 22463905 15307206 29888946; 2 17850012 24863940; 
40.33199999999999 0 9.293999999999977 1 28.74799999999994 2 2.2899999999999983 0 16304657 18843449 14719154 33437822 19045839 22461427; 1 37975185 12389772 22523228 15184942 14167991 797018 16431844 15105269 20024547 21093392 23344327 14785887 14389149 16102437 16845153 22242176 2384071 8820652 15862005 40225273 15055852 29888946 16494857; 2 17850012 24863940; 
41.73400000000006 0 9.349999999999975 1 31.050000000000004 2 1.334000000000001 0 16304657 18843449 14719154 33437822 19045839 22461427; 1 37975185 12389772 22523228 15184942 14167991 797018 16431844 15105269 20024547 21093392 23344327 14785887 14389149 16102437 16845153 22242176 15862005 15055852 17105161 8820652 2384071 16494857 40225273 29888946 14451294; 2 17850012; 
42.64400000000005 0 10.373999999999963 1 29.94599999999994 2 2.3239999999999976 0 16304657 18843449 14719154 33437822 19045839 22461427 18888190; 1 37975185 12389772 22523228 15184942 20724218 797018 16431844 15105269 20024547 21093392 23344327 14785887 14389149 16102437 16845153 22242176 15862005 15055852 17105161 8820652 2384071 16494857 14451294 9527932; 2 17850012 9146202; 
44.00000000000002 0 9.26199999999998 1 33.44000000000003 2 1.298000000000001 0 16304657 18843449 14719154 33437822 19045839 22461427; 1 37975185 12389772 22523228 15184942 20724218 797018 16431844 15105269 20024547 21093392 23344327 14785887 14389149 16102437 16845153 22242176 15862005 15055852 17105161 8820652 2384071 16494857 22463905 15777354 14451294 9527932 27486099; 2 17850012; 
44.65400000000005 0 9.425999999999968 1 33.880000000000045 2 1.348000000000001 0 18843449 14813714 9922122 33437822 39299693 22461427; 1 16780257 37975185 12389772 22523228 15184942 20724218 797018 15105269 20024547 21093392 23344327 14785887 14389149 16102437 16845153 22242176 9647442 15862005 15307206 17105161 8820652 2384071 16494857 22463905 15777354 14451294 9527932 27486099; 2 17850012; 
