1.0640000000000007 0 1.0180000000000007 1 0.032 2 0.014 0 18162730; 1 2 
2.3179999999999987 0 1.0440000000000007 1 1.256000000000001 2 0.018000000000000002 0 18162730; 1 14785887; 2 
5.477999999999973 0 2.7699999999999863 1 2.6619999999999933 2 0.04600000000000003 0 22461427; 1 22523228 12389772; 2 
6.5759999999999605 0 2.8119999999999847 1 3.6959999999999664 2 0.06800000000000003 0 22461427; 1 22523228 12389772 14167991; 2 
9.491999999999974 0 3.093999999999981 1 6.301999999999958 2 0.09600000000000007 0 22461427; 1 22523228 2384071 14167991 37975185; 2 
10.919999999999968 0 3.201999999999982 1 7.565999999999956 2 0.1520000000000001 0 22461427; 1 22523228 2384071 14167991 37975185 14785887; 2 
12.005999999999965 0 3.2559999999999825 1 8.62799999999998 2 0.12200000000000008 0 22461427; 1 22523228 2384071 14167991 37975185 14785887 16845153; 2 
8.999999999999975 0 2.172000000000001 1 6.745999999999959 2 0.08200000000000006 0 18162730 19045839; 1 22523228 12389772 14167991 37975185 14785887 16845153; 2 
10.101999999999965 0 3.2339999999999662 1 6.7759999999999545 2 0.09200000000000007 0 18162730 19045839 14813714; 1 22523228 12389772 14167991 37975185 14785887 16845153; 2 
15.093999999999982 0 5.281999999999966 1 9.657999999999983 2 0.1540000000000001 0 16090188 14813714 22461427; 1 22523228 12389772 14167991 37975185 14785887 16845153 2384071; 2 
16.085999999999977 0 6.1819999999999595 1 9.721999999999971 2 0.18200000000000013 0 18162730 14813714 22461427 14139780; 1 22523228 12389772 14167991 37975185 14785887 16845153 2384071; 2 
18.05199999999997 0 6.393999999999962 1 11.467999999999954 2 0.19000000000000014 0 18162730 14813714 22461427 14139780; 1 22523228 12389772 14167991 37975185 14785887 16004411 2384071 15184942; 2 
19.68199999999999 0 7.745999999999973 1 11.739999999999947 2 0.19600000000000015 0 16090188 14813714 22461427 14139780 7376382; 1 22523228 12389772 14167991 37975185 14785887 16004411 2384071 15184942; 2 
21.578000000000003 0 7.937999999999958 1 12.475999999999951 2 1.1640000000000008 0 16090188 14813714 22461427 14139780 7376382; 1 22523228 12389772 14167991 37975185 14785887 16004411 2384071 15184942; 2 17850012; 
22.90599999999998 0 8.027999999999968 1 13.709999999999946 2 1.1680000000000008 0 16090188 14813714 22461427 14139780 7376382; 1 22523228 12389772 14167991 37975185 14785887 16004411 2384071 15184942 22242176; 2 17850012; 
24.341999999999967 0 8.089999999999966 1 15.065999999999944 2 1.1860000000000008 0 16090188 14813714 22461427 14139780 7376382; 1 22523228 12389772 14098609 37975185 14785887 16004411 2384071 22242176 15184942 23344327; 2 17850012; 
25.08399999999994 0 8.981999999999971 1 14.881999999999957 2 1.2200000000000009 0 18162730 14813714 12377702 14139780 7376382 22461427; 1 22523228 12389772 14098609 37975185 14785887 16004411 2384071 22242176 15184942 23344327; 2 17850012; 
26.435999999999893 0 9.039999999999973 1 16.151999999999965 2 1.2440000000000009 0 18162730 14813714 15495146 14139780 7376382 22461427; 1 22523228 12389772 14098609 37975185 14785887 16004411 2384071 22242176 15184942 23344327 21093392; 2 17850012; 
28.067999999999966 0 9.269999999999966 1 17.567999999999984 2 1.2300000000000009 0 18162730 14813714 12377702 14139780 7376382 22461427; 1 22523228 12389772 14098609 37975185 14785887 16004411 2384071 22242176 15184942 23344327 21093392 1315431; 2 17850012; 
28.947999999999936 0 7.0879999999999574 1 20.672 2 1.1880000000000008 0 16090188 14813714 14139780 22461427; 1 22523228 12389772 14098609 37975185 17486893 14785887 16845153 2384071 22242176 40225273 15184942 23344327 21093392 1315431 16004411; 2 17850012; 
30.367999999999967 0 9.44399999999996 1 19.681999999999988 2 1.2420000000000009 0 18162730 14813714 15495146 14139780 7376382 22461427; 1 22523228 12389772 14098609 37975185 14785887 16845153 2384071 22242176 15184942 23344327 21093392 1315431 16004411 17173775; 2 17850012; 
31.796000000000017 0 9.687999999999967 1 20.88800000000001 2 1.2200000000000009 0 14813714 18162730 27015480 14139780 22461427 7376382; 1 37975185 12389772 14785887 2384071 16845153 14098609 23344327 1315431 22242176 16004411 17173775 15184942 21093392 22523228 16780257; 2 17850012; 
32.24199999999999 0 9.601999999999967 1 21.359999999999978 2 1.280000000000001 0 14813714 16090188 26945207 14139780 22461427 7376382; 1 37975185 12389772 14785887 2384071 16845153 14098609 23344327 1315431 22242176 27486099 17173775 15184942 21093392 22523228 16780257 28942852; 2 17850012; 
