1.1640000000000008 0 0.030000000000000002 1 1.1200000000000008 2 0.014 0 1 22523228; 2 
2.2640000000000002 0 0.048 1 2.19 2 0.026000000000000002 0 1 22523228 12389772; 2 
3.309999999999963 0 0.05000000000000002 1 3.2299999999999653 2 0.030000000000000013 0 1 22523228 12389772 14167991; 2 
6.557999999999962 0 2.8279999999999843 1 3.663999999999971 2 0.06600000000000003 0 22461427; 1 12389772 22523228 14167991; 2 
9.665999999999976 0 3.3539999999999806 1 6.197999999999958 2 0.11400000000000009 0 22461427; 1 2384071 22523228 14167991 37975185; 2 
10.935999999999959 0 3.327999999999981 1 7.497999999999965 2 0.11000000000000008 0 22461427; 1 2384071 22523228 14167991 37975185 16845153; 2 
11.90399999999996 0 4.333999999999976 1 7.463999999999964 2 0.10600000000000008 0 22461427 27362221; 1 2384071 22523228 14167991 37975185 16845153; 2 
8.837999999999983 0 3.201999999999962 1 5.545999999999942 2 0.09000000000000007 0 18162730 27362221 14139780; 1 12389772 22523228 14167991 37975185 16845153; 2 
10.237999999999968 0 3.335999999999967 1 6.809999999999956 2 0.09200000000000005 0 18162730 27362221 14139780; 1 12389772 22523228 14167991 37975185 16845153 16102437; 2 
11.547999999999947 0 3.3279999999999643 1 8.117999999999999 2 0.10200000000000008 0 14139780 18162730 27362221; 1 22523228 12389772 16845153 14167991 16102437 37975185 14785887; 2 
16.53199999999998 0 5.435999999999969 1 10.907999999999957 2 0.18800000000000014 0 22461427 18162730 27362221; 1 22523228 12389772 16845153 14167991 16102437 37975185 14785887 2384071; 2 
17.63600000000001 0 6.397999999999959 1 11.053999999999954 2 0.18400000000000014 0 22461427 18162730 27362221 19570101; 1 22523228 12389772 16845153 14167991 16102437 37975185 14785887 2384071; 2 
18.85999999999998 0 6.4959999999999605 1 12.157999999999952 2 0.20600000000000016 0 22461427 18162730 27362221 19570101; 1 22523228 12389772 16845153 14167991 16102437 37975185 14785887 2384071 14451294; 2 
19.718000000000007 0 6.337999999999962 1 13.201999999999948 2 0.17800000000000013 0 19570101 22461427 14813714 27362221; 1 14451294 12389772 16845153 2384071 16102437 22523228 37975185 14167991 14785887 797018; 2 
21.097999999999974 0 6.435999999999963 1 14.463999999999952 2 0.19800000000000015 0 19570101 22461427 14813714 27362221; 1 14451294 12389772 16845153 2384071 16102437 22523228 37975185 14167991 14785887 797018 15184942; 2 
22.73399999999998 0 6.941999999999961 1 15.569999999999988 2 0.22200000000000017 0 19570101 22461427 14813714 7376382; 1 14451294 12389772 16845153 2384071 16102437 22523228 37975185 14167991 14785887 797018 15184942 27120518; 2 
23.711999999999936 0 7.903999999999971 1 15.587999999999985 2 0.22000000000000017 0 19570101 22461427 14813714 7376382 19045839; 1 14451294 12389772 16845153 2384071 16102437 22523228 37975185 14167991 14785887 797018 15184942 27120518; 2 
25.84599999999994 0 8.195999999999966 1 16.44199999999998 2 1.2080000000000009 0 19570101 22461427 14813714 7376382 19045839; 1 14451294 12389772 16845153 2384071 16102437 22523228 37975185 14167991 14785887 797018 15184942 27120518; 2 17850012; 
26.711999999999936 0 9.08399999999997 1 16.43799999999998 2 1.1900000000000008 0 19570101 22461427 34983 7376382 19045839 14813714; 1 14451294 12389772 16845153 2384071 16102437 22523228 37975185 14167991 14785887 797018 15184942 27120518; 2 17850012; 
27.709999999999912 0 9.063999999999972 1 17.487999999999975 2 1.1580000000000008 0 19570101 22461427 34983 7376382 19045839 14813714; 1 14451294 12389772 16845153 2384071 16102437 22523228 37975185 14167991 14785887 797018 15184942 27120518 22242176; 2 17850012; 
28.469999999999956 0 9.83199999999998 1 17.463999999999984 2 1.1740000000000008 0 19570101 22461427 34983 33437822 19045839 14813714 27362221; 1 14451294 12389772 16845153 2384071 16102437 22523228 37975185 14167991 14785887 797018 22242176 15184942 27120518; 2 17850012; 
29.42799999999996 0 10.791999999999957 1 17.423999999999975 2 1.2120000000000009 0 19570101 22461427 34983 33437822 19045839 14813714 27362221 9922122; 1 14451294 12389772 16845153 2384071 16102437 22523228 37975185 14167991 14785887 797018 22242176 15184942 27120518; 2 17850012; 
30.731999999999978 0 10.963999999999956 1 18.577999999999985 2 1.1900000000000008 0 19570101 22461427 34983 33437822 19045839 14813714 27362221 9922122; 1 14451294 12389772 16845153 2384071 16102437 22523228 37975185 14167991 14785887 797018 22242176 15184942 27120518 21093392; 2 17850012; 
31.821999999999974 0 10.993999999999964 1 19.617999999999974 2 1.2100000000000009 0 19570101 22461427 34983 33437822 19045839 14813714 27362221 9922122; 1 14451294 12389772 16845153 2384071 16102437 22523228 37975185 14167991 14785887 797018 22242176 15184942 27120518 21093392 16494857; 2 17850012; 
33.154 0 11.06599999999996 1 20.863999999999972 2 1.2240000000000009 0 19570101 22461427 34983 33437822 19045839 14813714 27362221 9922122; 1 14451294 12389772 16845153 2384071 16102437 22523228 37975185 14167991 14785887 797018 22242176 15184942 27120518 21093392 16494857 15105269; 2 17850012; 
35.15000000000002 0 10.201999999999964 1 23.711999999999993 2 1.2360000000000009 0 19570101 22461427 34983 14813714 9922122 19045839 27362221; 1 14451294 12389772 16845153 2384071 16102437 16004411 22523228 37975185 14167991 14785887 797018 22242176 15184942 15105269 21093392 16494857 27120518 17173775; 2 17850012; 
36.510000000000055 0 10.363999999999963 1 24.881999999999923 2 1.264000000000001 0 19570101 22461427 34983 14813714 9922122 19045839 27362221; 1 14451294 12389772 16845153 2384071 16102437 16004411 22523228 37975185 14167991 14785887 797018 22242176 15184942 15105269 21093392 16494857 27120518 17173775 19360333; 2 17850012; 
38.076000000000036 0 10.407999999999975 1 26.321999999999917 2 1.346000000000001 0 19570101 22461427 34983 14813714 9922122 19045839 27362221; 1 14451294 12389772 16845153 2384071 16102437 16004411 22523228 37975185 14167991 14785887 797018 22242176 15184942 15105269 21093392 16494857 27120518 17173775 19360333 8820652; 2 17850012; 
39.69400000000003 0 10.669999999999972 1 27.671999999999922 2 1.352000000000001 0 19570101 22461427 34983 14813714 9922122 18762666 15309336; 1 14451294 12389772 16845153 2384071 16102437 16004411 22523228 37975185 14167991 14785887 797018 22242176 15184942 15105269 21093392 16494857 27120518 17173775 19360333 8820652 15076390; 2 17850012; 
40.23200000000003 0 11.499999999999954 1 27.459999999999912 2 1.272000000000001 0 19570101 22461427 34983 14813714 9922122 18762666 15309336 15572221; 1 14451294 12389772 16845153 2384071 16102437 16004411 22523228 37975185 14167991 14785887 797018 22242176 15184942 15105269 21093392 16494857 27120518 17173775 19360333 8820652 15076390; 2 17850012; 
