1.0920000000000007 0 0.006 1 1.0700000000000007 2 0.016 0 1 14167991; 2 
2.180000000000001 0 0.022000000000000006 1 2.1420000000000012 2 0.016 0 1 14167991 12389772; 2 
3.1419999999999653 0 1.0280000000000007 1 2.098000000000001 2 0.016 0 38929280; 1 14167991 12389772; 2 
6.6679999999999655 0 2.9559999999999826 1 3.6579999999999684 2 0.054000000000000034 0 22461427; 1 12389772 14167991 22523228; 2 
7.843999999999974 0 2.8759999999999843 1 4.881999999999976 2 0.08600000000000005 0 22461427; 1 12389772 14167991 22523228 23344327; 2 
11.867999999999956 0 3.565999999999975 1 7.159999999999967 2 1.1420000000000008 0 22461427; 1 22523228 2384071 23344327 14167991; 2 17850012; 
12.887999999999955 0 4.535999999999972 1 7.221999999999961 2 1.1300000000000008 0 22461427 14813714; 1 22523228 2384071 23344327 14167991; 2 17850012; 
14.071999999999946 0 4.659999999999979 1 8.265999999999961 2 1.1460000000000008 0 22461427 14813714; 1 22523228 2384071 23344327 14167991 37975185; 2 17850012; 
14.991999999999969 0 4.523999999999973 1 9.319999999999968 2 1.1480000000000008 0 22461427 14813714; 1 22523228 2384071 23344327 14167991 37975185 14785887; 2 17850012; 
16.56199999999997 0 4.709999999999969 1 10.671999999999956 2 1.1800000000000008 0 22461427 14813714; 1 22523228 2384071 23344327 14167991 14785887 37975185 22242176; 2 17850012; 
17.529999999999976 0 4.741999999999975 1 11.61199999999997 2 1.1760000000000008 0 22461427 14813714; 1 22523228 2384071 23344327 14167991 14785887 37975185 22242176 8043172; 2 17850012; 
18.04799999999998 0 5.42799999999997 1 11.449999999999955 2 1.1700000000000008 0 22461427 14813714 27362221; 1 22523228 2384071 23344327 14167991 14785887 37975185 22242176 8043172; 2 17850012; 
19.389999999999993 0 5.555999999999966 1 11.691999999999954 2 2.1420000000000003 0 22461427 14813714 27362221; 1 22523228 2384071 23344327 14167991 14785887 37975185 22242176 8043172; 2 17850012 24863940; 
20.748000000000015 0 5.699999999999969 1 12.82999999999997 2 2.2179999999999995 0 22461427 14813714 27362221; 1 22523228 2384071 23344327 14167991 14785887 37975185 22242176 8043172 14909369; 2 17850012 24863940; 
21.631999999999973 0 5.663999999999969 1 13.799999999999947 2 2.168 0 14813714 27362221 22461427; 1 14785887 14167991 22242176 8043172 22523228 2384071 23344327 37975185 14909369 797018; 2 24863940 17850012; 
23.279999999999934 0 5.76599999999997 1 15.297999999999968 2 2.2159999999999993 0 14813714 27362221 22461427; 1 14785887 14167991 22242176 16236786 22523228 2384071 23344327 37975185 14909369 797018 16102437; 2 24863940 17850012; 
24.50599999999994 0 5.8099999999999685 1 16.529999999999987 2 2.166 0 14813714 27362221 22461427; 1 14785887 14167991 22242176 16236786 22523228 2384071 23344327 37975185 14909369 797018 16102437 14451294; 2 24863940 17850012; 
25.613999999999972 0 5.887999999999961 1 17.52599999999998 2 2.1999999999999997 0 27362221 14813714 22461427; 1 14167991 22242176 16236786 22523228 2384071 797018 23344327 37975185 16102437 14785887 14909369 14451294 15728729; 2 24863940 17850012; 
