1.0340000000000007 0 0.004 1 1.0300000000000007 2 0.0 0 1 12389772; 2 
2.146000000000001 0 0.05000000000000001 1 2.0840000000000014 2 0.012 0 1 12389772 797018; 2 
3.2759999999999634 0 0.05800000000000001 1 3.1939999999999653 2 0.024000000000000007 0 1 12389772 797018 22523228; 2 
4.569999999999989 0 0.11400000000000006 1 4.411999999999992 2 0.044000000000000025 0 1 797018 12389772 22523228 23344327; 2 
7.787999999999963 0 2.8099999999999854 1 4.911999999999974 2 0.06600000000000004 0 22461427; 1 797018 12389772 22523228 23344327; 2 
9.019999999999968 0 2.9319999999999853 1 6.009999999999946 2 0.07800000000000004 0 22461427; 1 797018 12389772 22523228 23344327 14167991; 2 
10.007999999999972 0 3.9079999999999755 1 6.0159999999999405 2 0.08400000000000005 0 22461427 15572221; 1 797018 12389772 22523228 23344327 14167991; 2 
10.999999999999961 0 4.84599999999997 1 6.063999999999953 2 0.09000000000000007 0 22461427 33437822 15572221; 1 797018 12389772 22523228 23344327 14167991; 2 
12.405999999999953 0 4.867999999999971 1 7.429999999999975 2 0.10800000000000008 0 22461427 33437822 15572221; 1 797018 12389772 22523228 23344327 14167991 14785887; 2 
13.579999999999949 0 4.983999999999971 1 8.495999999999986 2 0.10000000000000007 0 22461427 15572221 33437822; 1 797018 12389772 22523228 23344327 14167991 14785887 22242176; 2 
15.003999999999966 0 5.049999999999974 1 9.805999999999976 2 0.1480000000000001 0 22461427 15572221 33437822; 1 797018 12389772 22523228 23344327 14167991 14785887 22242176 15184942; 2 
17.921999999999983 0 5.485999999999971 1 12.267999999999956 2 0.16800000000000012 0 22461427 15572221 33437822; 1 797018 12389772 22523228 23344327 14167991 14785887 22242176 15184942 2384071; 2 
19.205999999999978 0 5.633999999999973 1 13.359999999999953 2 0.21200000000000016 0 33437822 22461427 15572221; 1 797018 12389772 22523228 23344327 14785887 22242176 14167991 15184942 2384071 14451294; 2 
20.034000000000002 0 5.523999999999964 1 14.327999999999946 2 0.18200000000000013 0 33437822 22461427 15572221; 1 797018 12389772 22523228 23344327 14785887 22242176 14167991 15184942 2384071 14451294 37975185; 2 
21.669999999999966 0 5.833999999999965 1 15.623999999999961 2 0.21200000000000016 0 7376382 22461427 15572221; 1 797018 12389772 22523228 23344327 14785887 22242176 14167991 15184942 2384071 14451294 37975185 27120518; 2 
22.673999999999953 0 6.903999999999962 1 15.58399999999997 2 0.18600000000000014 0 7376382 14813714 15572221 22461427; 1 797018 12389772 22523228 23344327 14785887 22242176 14167991 15184942 2384071 14451294 37975185 27120518; 2 
24.55599999999995 0 7.067999999999959 1 16.27799999999998 2 1.2100000000000009 0 7376382 18349132 15572221 22461427; 1 797018 12389772 22523228 23344327 14785887 22242176 14167991 15184942 2384071 14451294 37975185 27120518; 2 17850012; 
25.82599999999994 0 7.167999999999966 1 17.471999999999973 2 1.1860000000000008 0 7376382 18349132 15572221 22461427; 1 797018 12389772 22523228 23344327 14785887 22242176 34387155 15184942 2384071 14451294 37975185 27120518 16845153; 2 17850012; 
26.96599999999991 0 8.171999999999962 1 17.621999999999986 2 1.1720000000000008 0 7376382 18349132 15572221 19045839 22461427; 1 797018 12389772 22523228 23344327 14785887 22242176 34387155 15184942 14451294 37975185 27120518 16845153 2384071; 2 17850012; 
27.73599999999993 0 9.025999999999968 1 17.529999999999976 2 1.1800000000000008 0 7376382 15854271 15572221 19045839 22461427 14813714; 1 797018 12389772 22523228 23344327 14785887 22242176 34387155 15184942 14451294 37975185 27120518 16845153 2384071; 2 17850012; 
29.01999999999992 0 9.261999999999963 1 18.533999999999992 2 1.2240000000000009 0 22461427 19045839 15572221 15854271 7376382 14813714; 1 22523228 16845153 797018 22242176 2384071 27120518 34387155 14785887 15184942 14451294 23344327 37975185 12389772 21093392; 2 17850012; 
30.501999999999953 0 9.243999999999977 1 20.03599999999998 2 1.2220000000000009 0 22461427 19045839 15572221 15854271 7376382 14813714; 1 22523228 16845153 797018 22242176 2384071 27120518 34387155 14785887 15184942 14451294 23344327 37975185 12389772 21093392 15105269; 2 17850012; 
31.67599999999998 0 9.27799999999997 1 21.13799999999998 2 1.260000000000001 0 22461427 19045839 15572221 15854271 7376382 14813714; 1 22523228 16845153 797018 22242176 2384071 27120518 34387155 14785887 15184942 14451294 23344327 37975185 12389772 21093392 15105269 32949746; 2 17850012; 
33.06199999999998 0 9.425999999999974 1 22.378000000000007 2 1.258000000000001 0 22461427 19045839 15572221 15854271 7376382 14813714; 1 17486893 16845153 797018 22242176 2384071 27120518 34387155 14785887 15184942 14451294 23344327 37975185 12389772 21093392 15105269 32949746 16102437; 2 17850012; 
34.27600000000001 0 10.41999999999997 1 22.58999999999998 2 1.266000000000001 0 22461427 19045839 15572221 15854271 7376382 14813714 9922122; 1 17486893 16845153 797018 22242176 2384071 27120518 34387155 14785887 15184942 14451294 23344327 37975185 12389772 21093392 15105269 32949746 16102437; 2 17850012; 
35.22800000000003 0 10.465999999999966 1 23.497999999999966 2 1.264000000000001 0 22461427 19045839 15572221 18349132 7376382 14813714 9922122; 1 17486893 16845153 797018 22242176 2384071 27120518 34387155 14785887 15184942 14451294 23344327 37975185 12389772 21093392 15105269 32949746 16102437 16813674; 2 17850012; 
36.56800000000001 0 10.611999999999965 1 24.665999999999947 2 1.290000000000001 0 22461427 19045839 15572221 18349132 7376382 14813714 9922122; 1 17486893 16845153 797018 22242176 2384071 27120518 34387155 14785887 15184942 14451294 23344327 37975185 12389772 21093392 15105269 32949746 16102437 16813674 14198539; 2 17850012; 
37.29400000000002 0 10.583999999999962 1 25.431999999999938 2 1.278000000000001 0 22461427 19045839 15572221 18349132 7376382 14813714 9922122; 1 17486893 16845153 797018 22242176 2384071 27120518 34387155 14785887 15184942 14451294 23344327 37975185 12389772 21093392 15105269 32949746 16102437 16813674 14198539 15834295; 2 17850012; 
38.312000000000054 0 10.591999999999969 1 25.513999999999946 2 2.205999999999999 0 22461427 19045839 15572221 18349132 7376382 14813714 9922122; 1 17486893 16845153 797018 22242176 2384071 27120518 34387155 14785887 15184942 14451294 23344327 37975185 12389772 21093392 15105269 32949746 16102437 14198539 15834295 16813674; 2 17850012 24863940; 
38.928 0 10.30799999999996 1 26.3779999999999 2 2.2419999999999995 0 22461427 19045839 15572221 18349132 7376382 14813714 17316916; 1 22523228 16845153 797018 22242176 2384071 27120518 34387155 14785887 15184942 14451294 23344327 37975185 12389772 21093392 15105269 32949746 16102437 14198539 15834295 16813674 16494857; 2 17850012 24863940; 
40.376000000000005 0 10.593999999999971 1 27.53599999999992 2 2.2460000000000004 0 22461427 19045839 15572221 18349132 7376382 14813714 17316916; 1 22523228 16845153 797018 22242176 2384071 27120518 34387155 14785887 15184942 14451294 23344327 37975185 12389772 21093392 15105269 32949746 16102437 14198539 15834295 16813674 16494857 25652849; 2 17850012 24863940; 
41.272000000000084 0 11.477999999999954 1 27.50799999999993 2 2.2859999999999974 0 22461427 19045839 15572221 18349132 7376382 14813714 17316916 14720172; 1 22523228 16845153 797018 22242176 2384071 27120518 34387155 14785887 15184942 14451294 23344327 37975185 12389772 21093392 32949746 16813674 25652849 15834295 14198539 15105269 16494857 16102437; 2 17850012 24863940; 
42.144000000000005 0 11.471999999999962 1 28.395999999999916 2 2.275999999999998 0 22461427 19045839 15572221 18349132 7376382 14813714 17316916 14720172; 1 22523228 16845153 797018 22242176 2384071 27120518 34387155 14785887 15184942 14451294 23344327 37975185 12389772 21093392 32949746 16813674 25652849 15834295 14198539 15105269 16494857 16102437 15862005; 2 17850012 24863940; 
43.205999999999996 0 11.531999999999957 1 29.421999999999926 2 2.2519999999999984 0 22461427 19045839 15572221 18349132 7376382 14813714 17316916 14720172; 1 22523228 16845153 797018 22242176 2384071 27120518 34387155 14785887 15184942 14451294 23344327 37975185 12389772 21093392 32949746 16813674 25652849 15834295 14198539 15105269 16494857 16102437 15862005 8043172; 2 17850012 24863940; 
44.720000000000006 0 11.57999999999996 1 30.847999999999978 2 2.291999999999998 0 22461427 19045839 15572221 18349132 7376382 14813714 17316916 14720172; 1 22523228 16845153 797018 22242176 2384071 27120518 29378681 14785887 15184942 14451294 23344327 37975185 12389772 21093392 32949746 16813674 25652849 15834295 14198539 15105269 16494857 16102437 15862005 8043172 17173775; 2 17850012 24863940; 
45.49399999999998 0 12.67199999999994 1 30.565999999999974 2 2.2559999999999993 0 22461427 19045839 15572221 18349132 33437822 14813714 17316916 14720172 7376382; 1 22523228 16845153 797018 22242176 2384071 27120518 29378681 14785887 15184942 14451294 23344327 37975185 12389772 21093392 32949746 16813674 25652849 15834295 14198539 15105269 16494857 16102437 15862005 8043172 17173775; 2 17850012 24863940; 
46.42000000000002 0 13.463999999999949 1 30.635999999999942 2 2.3199999999999985 0 22461427 19045839 15572221 15854271 33437822 14813714 9922122 14720172 7376382 21719730; 1 22523228 16845153 797018 22242176 2384071 27120518 29378681 14785887 15184942 14451294 23344327 37975185 12389772 21093392 32949746 16813674 25652849 15834295 14198539 15105269 16494857 16102437 17173775 8043172 15862005; 2 17850012 24863940; 
47.92399999999998 0 14.655999999999944 1 30.947999999999976 2 2.3199999999999976 0 22461427 19045839 15572221 15854271 33437822 14813714 9922122 14720172 7376382 21719730 14368074; 1 22523228 16845153 797018 22242176 2384071 27120518 34387155 14785887 15184942 14451294 23344327 37975185 12389772 21093392 32949746 16813674 25652849 15834295 14198539 15105269 16494857 16102437 17173775 8043172 15862005; 2 17850012 24863940; 
48.64199999999991 0 13.717999999999954 1 32.63000000000001 2 2.293999999999999 0 22461427 19045839 15572221 15854271 33437822 14813714 9922122 14368074 7376382 21719730; 1 22523228 16845153 797018 22242176 2384071 27120518 34387155 14785887 15184942 14451294 23344327 37975185 12389772 21093392 32949746 16813674 25652849 15834295 14198539 15105269 16494857 16102437 19447907 8043172 15862005 17173775 33095128; 2 17850012 24863940; 
50.273999999999894 0 13.85999999999995 1 34.07000000000007 2 2.343999999999998 0 22461427 19045839 15572221 15854271 33437822 14813714 9922122 14368074 7376382 21719730; 1 22523228 16845153 797018 22242176 2384071 27120518 34387155 14785887 15184942 14451294 23344327 37975185 12389772 21093392 32949746 16813674 25652849 15834295 14198539 15105269 16494857 16102437 19447907 8043172 15862005 17173775 33095128 17323772; 2 17850012 24863940; 
