1.1120000000000008 0 0.024 1 1.0880000000000007 2 0.0 0 1 797018; 2 
2.162000000000001 0 0.030000000000000006 1 2.122000000000001 2 0.01 0 1 797018 12389772; 2 
3.4339999999999633 0 0.08000000000000002 1 3.331999999999965 2 0.022000000000000006 0 1 797018 12389772 22242176; 2 
6.815999999999962 0 2.9859999999999802 1 3.767999999999969 2 0.062000000000000034 0 22461427; 1 22242176 797018 12389772; 2 
7.9299999999999615 0 2.9599999999999835 1 4.915999999999974 2 0.054000000000000034 0 22461427; 1 22242176 797018 12389772 22523228; 2 
8.751999999999965 0 2.7239999999999878 1 5.965999999999945 2 0.06200000000000004 0 22461427; 1 22242176 797018 12389772 22523228 37975185; 2 
12.075999999999954 0 3.3419999999999814 1 8.629999999999976 2 0.10400000000000008 0 22461427; 1 797018 2384071 22523228 22242176 37975185 14451294; 2 
13.377999999999947 0 3.291999999999981 1 9.92599999999997 2 0.16000000000000011 0 22461427; 1 797018 2384071 22523228 22242176 37975185 14451294 15184942; 2 
14.33799999999994 0 4.455999999999977 1 9.72799999999997 2 0.1540000000000001 0 22461427 14813714; 1 797018 2384071 22523228 22242176 37975185 14451294 15184942; 2 
16.425999999999988 0 4.567999999999977 1 10.719999999999965 2 1.1380000000000008 0 22461427 16639670; 1 797018 2384071 22523228 22242176 37975185 14451294 15184942; 2 17850012; 
17.533999999999978 0 4.725999999999978 1 11.66799999999996 2 1.1400000000000008 0 22461427 16639670; 1 797018 2384071 22523228 22242176 37975185 14451294 15184942 14167991; 2 17850012; 
18.563999999999986 0 4.779999999999973 1 12.669999999999952 2 1.1140000000000008 0 22461427 16639670; 1 797018 2384071 22523228 22242176 37975185 14451294 14167991 15184942 16845153; 2 17850012; 
19.735999999999972 0 4.673999999999973 1 13.885999999999951 2 1.1760000000000008 0 22461427 16639670; 1 797018 2384071 22523228 22242176 37975185 14451294 14167991 15184942 16845153 16236786; 2 17850012; 
21.281999999999996 0 4.827999999999974 1 15.303999999999968 2 1.1500000000000008 0 22461427 16639670; 1 797018 2384071 22523228 22242176 37975185 14451294 16845153 14167991 15184942 16236786 16494857; 2 17850012; 
22.207999999999995 0 4.7599999999999705 1 16.265999999999973 2 1.1820000000000008 0 22461427 16639670; 1 797018 2384071 22523228 22242176 37975185 14451294 16845153 14167991 15184942 16236786 16494857 15105269; 2 17850012; 
23.325999999999983 0 4.865999999999969 1 17.30199999999997 2 1.1580000000000008 0 22461427 16639670; 1 797018 12389772 22523228 22242176 37975185 14451294 16845153 14167991 15184942 16236786 16494857 15105269 2384071; 2 17850012; 
24.573999999999952 0 5.9339999999999735 1 17.47999999999998 2 1.1600000000000008 0 22461427 16639670 14139780; 1 797018 12389772 22523228 22242176 37975185 14451294 16845153 14167991 15184942 16236786 16494857 15105269 2384071; 2 17850012; 
25.60399999999994 0 5.955999999999964 1 18.47999999999998 2 1.1680000000000008 0 22461427 16639670 14139780; 1 797018 12389772 22523228 22242176 37975185 14451294 16845153 14167991 15184942 16236786 16494857 2384071 15105269 14909369; 2 17850012; 
26.72799999999994 0 5.939999999999966 1 19.59399999999997 2 1.1940000000000008 0 22461427 16639670 14139780; 1 797018 12389772 22523228 22242176 37975185 14451294 16845153 14167991 15184942 16236786 16494857 2384071 15105269 14909369 28942852; 2 17850012; 
27.707999999999927 0 6.967999999999965 1 19.561999999999973 2 1.1780000000000008 0 22461427 18888190 16639670 9922122; 1 797018 12389772 22523228 22242176 37975185 14451294 28942852 2384071 14909369 16494857 16845153 16236786 15105269 15184942 14167991; 2 17850012; 
28.70799999999996 0 6.859999999999967 1 20.62000000000001 2 1.2280000000000009 0 22461427 18888190 16639670 9922122; 1 797018 12389772 22523228 22242176 37975185 14451294 28942852 2384071 14909369 16494857 16845153 16236786 15105269 15184942 14167991 14785887; 2 17850012; 
29.685999999999947 0 7.9099999999999655 1 20.54200000000001 2 1.2340000000000009 0 22461427 31177882 16639670 9922122 18888190; 1 797018 12389772 22523228 22242176 37975185 14451294 28942852 2384071 14909369 16494857 16845153 16236786 15105269 15184942 14167991 14785887; 2 17850012; 
32.381999999999984 0 8.783999999999967 1 22.356000000000005 2 1.2420000000000009 0 22461427 31177882 16639670 29863027 7376382; 1 797018 12389772 22523228 22242176 37975185 14451294 28942852 2384071 14909369 16494857 16845153 16236786 15105269 15184942 14167991 14785887 17173775; 2 17850012; 
33.260000000000005 0 8.795999999999964 1 23.219999999999942 2 1.2440000000000009 0 22461427 31177882 16639670 29863027 7376382; 1 797018 12389772 22523228 22242176 37975185 14451294 28942852 2384071 14909369 16494857 16845153 16236786 15105269 15184942 14167991 14785887 17173775 27120518; 2 17850012; 
