1.0500000000000007 0 1.0200000000000007 1 0.020000000000000004 2 0.01 0 18162730; 1 2 
2.3539999999999996 0 1.0920000000000007 1 1.2420000000000009 2 0.020000000000000004 0 18162730; 1 22242176; 2 
3.437999999999967 0 1.0880000000000007 1 2.325999999999999 2 0.024000000000000007 0 18162730; 1 22242176 22523228; 2 
6.761999999999964 0 2.867999999999986 1 3.8419999999999703 2 0.052000000000000025 0 22461427; 1 22242176 22523228 37975185; 2 
9.537999999999972 0 3.161999999999981 1 6.277999999999956 2 0.09800000000000006 0 22461427; 1 22242176 22523228 37975185 2384071; 2 
11.073999999999959 0 3.253999999999979 1 7.695999999999963 2 0.1240000000000001 0 22461427; 1 22242176 22523228 2384071 37975185 15184942; 2 
13.07399999999996 0 3.531999999999978 1 8.42399999999997 2 1.1180000000000008 0 22461427; 1 22242176 22523228 2384071 37975185 15184942; 2 17850012; 
9.027999999999981 0 3.2199999999999642 1 5.723999999999947 2 0.08400000000000005 0 18162730 14813714 14139780; 1 22242176 22523228 14167991 37975185 15184942; 2 
15.005999999999968 0 5.51199999999997 1 8.355999999999971 2 1.1380000000000008 0 18162730 14813714 22461427; 1 22242176 22523228 2384071 37975185 15184942; 2 17850012; 
15.99999999999996 0 6.481999999999969 1 8.373999999999969 2 1.1440000000000008 0 18162730 14813714 23387073 22461427; 1 22242176 22523228 2384071 37975185 15184942; 2 17850012; 
17.62199999999999 0 6.753999999999967 1 9.683999999999964 2 1.1840000000000008 0 14813714 17582384 22461427 18162730; 1 15184942 22523228 2384071 37975185 22242176 15105269; 2 17850012; 
18.465999999999976 0 6.553999999999958 1 10.759999999999962 2 1.1520000000000008 0 14813714 14139780 19045839 22461427; 1 15184942 22523228 2384071 37975185 22242176 15105269 797018; 2 17850012; 
19.837999999999997 0 6.711999999999965 1 11.949999999999958 2 1.1760000000000008 0 14813714 14139780 19045839 22461427; 1 15184942 22523228 2384071 37975185 22242176 15105269 797018 8043172; 2 17850012; 
20.47399999999998 0 6.515999999999962 1 12.79799999999995 2 1.1600000000000008 0 14813714 14139780 19045839 22461427; 1 15184942 22523228 14167991 37975185 22242176 15105269 797018 8043172 2384071; 2 17850012; 
21.651999999999973 0 6.6239999999999535 1 13.893999999999938 2 1.1340000000000008 0 14813714 14139780 19045839 22461427; 1 15184942 22523228 14167991 37975185 22242176 15105269 797018 8043172 2384071 14328764; 2 17850012; 
23.031999999999975 0 6.9299999999999615 1 14.955999999999962 2 1.1460000000000008 0 14813714 14139780 19045839 22461427; 1 15184942 22523228 14167991 37975185 22242176 15105269 8043172 14328764 797018 2384071 14451294; 2 17850012; 
22.84199999999995 0 6.489999999999955 1 15.251999999999962 2 1.1000000000000008 0 14813714 14139780 19045839 22461427; 1 15184942 22523228 14167991 37975185 16004411 15105269 8043172 14328764 797018 6821602 14451294 27120518; 2 17850012; 
23.83399999999996 0 6.533999999999959 1 16.18199999999999 2 1.1180000000000008 0 14813714 14139780 19045839 22461427; 1 15184942 22523228 14167991 37975185 16004411 15105269 8043172 14328764 797018 6821602 14451294 27120518 15862005; 2 17850012; 
25.07399999999993 0 6.579999999999969 1 17.373999999999985 2 1.1200000000000008 0 14813714 14139780 19045839 22461427; 1 15184942 22523228 14167991 37975185 16004411 15105269 8043172 14328764 797018 6821602 14451294 27120518 15862005 21093392; 2 17850012; 
26.577999999999932 0 7.729999999999964 1 17.69999999999998 2 1.1480000000000008 0 14813714 14139780 19045839 22461427 7376382; 1 15184942 22523228 14167991 37975185 16004411 15105269 8043172 14328764 797018 6821602 14451294 15862005 27120518 21093392; 2 17850012; 
27.957999999999913 0 7.9519999999999635 1 18.841999999999985 2 1.1640000000000008 0 14813714 14139780 19045839 22461427 7376382; 1 15184942 22523228 14167991 37975185 16004411 15105269 8043172 14328764 797018 6821602 14451294 15862005 27120518 21093392 16102437; 2 17850012; 
30.985999999999983 0 8.46399999999997 1 21.279999999999976 2 1.2420000000000009 0 14813714 15847834 22461427 31177882 7376382; 1 15184942 22523228 14167991 37975185 16004411 15105269 8043172 14328764 797018 12389772 14451294 15862005 27120518 21093392 16102437 2384071; 2 17850012; 
32.02399999999998 0 8.44999999999997 1 22.371999999999975 2 1.2020000000000008 0 14813714 15847834 22461427 31177882 7376382; 1 15184942 22523228 14167991 37975185 16004411 15105269 8043172 14328764 797018 12389772 14451294 15862005 27120518 21093392 16102437 2384071 16845153; 2 17850012; 
33.11199999999997 0 8.41399999999997 1 23.479999999999944 2 1.2180000000000009 0 7376382 22461427 14813714 31177882 15847834; 1 14328764 21093392 14167991 12389772 14451294 37975185 16004411 2384071 15184942 797018 16845153 8043172 15862005 27120518 22523228 16102437 15105269 23344327; 2 17850012; 
33.56000000000004 0 8.333999999999966 1 23.955999999999953 2 1.270000000000001 0 7376382 22461427 14813714 31177882 15847834; 1 14328764 21093392 14167991 12389772 14451294 37975185 22242176 2384071 15184942 797018 16845153 8043172 15862005 27120518 22523228 16102437 15105269 23344327 20024547; 2 17850012; 
34.738000000000035 0 8.33799999999996 1 25.09599999999992 2 1.304000000000001 0 7376382 22461427 14813714 31177882 15847834; 1 14328764 21093392 14167991 12389772 14451294 37975185 22242176 2384071 15184942 797018 16845153 8043172 15862005 27120518 22523228 16102437 15105269 23344327 20024547 17323772; 2 17850012; 
35.84800000000005 0 9.373999999999967 1 25.177999999999926 2 1.296000000000001 0 33437822 22461427 14813714 31177882 15847834 7376382; 1 14328764 21093392 14167991 12389772 14451294 37975185 22242176 2384071 15184942 797018 16845153 8043172 15862005 27120518 22523228 16102437 15105269 23344327 17323772 20024547; 2 17850012; 
37.17000000000003 0 9.41799999999997 1 26.45199999999992 2 1.300000000000001 0 33437822 22461427 14813714 31177882 15847834 7376382; 1 14328764 21093392 14167991 12389772 14451294 37975185 22242176 2384071 15184942 797018 16845153 8043172 41773112 27120518 22523228 16102437 15105269 23344327 17323772 20024547 15487691; 2 17850012; 
38.13000000000003 0 9.481999999999957 1 26.33399999999993 2 2.3139999999999983 0 33437822 22461427 14813714 31177882 15847834 7376382; 1 14328764 21093392 14167991 12389772 14451294 37975185 22242176 2384071 15184942 797018 16845153 8043172 15862005 27120518 22523228 16102437 15105269 23344327 17323772 20024547 15487691; 2 17850012 26766494; 
39.00200000000002 0 10.37999999999995 1 26.29399999999991 2 2.3279999999999976 0 33437822 22461427 14813714 31177882 33325960 7376382 24983519; 1 14328764 21093392 14167991 12389772 14451294 37975185 22242176 2384071 15184942 797018 16845153 8043172 15862005 27120518 22523228 16102437 15105269 23344327 17323772 20024547 15487691; 2 17850012 26766494; 
40.02800000000001 0 10.435999999999972 1 26.30999999999995 2 3.2819999999999676 0 33437822 22461427 14813714 31177882 33325960 7376382 24983519; 1 14328764 21093392 14167991 12389772 14451294 37975185 22242176 2384071 15184942 797018 16845153 8043172 15862005 27120518 22523228 16102437 15105269 23344327 17323772 20024547 15487691; 2 17850012 26766494 24863940; 
41.38200000000009 0 10.511999999999961 1 27.54599999999989 2 3.3239999999999674 0 33437822 22461427 14813714 31177882 33325960 7376382 24983519; 1 14328764 21093392 14167991 12389772 14451294 37975185 22242176 2384071 15184942 797018 16845153 8043172 15862005 27120518 22523228 16102437 15105269 23344327 17323772 20024547 15487691 17201112; 2 17850012 26766494 24863940; 
42.18600000000005 0 10.561999999999967 1 28.33399999999993 2 3.2899999999999676 0 33437822 22461427 14813714 31177882 33325960 7376382 24983519; 1 14328764 21093392 14167991 12389772 14451294 37975185 22242176 2384071 15184942 797018 16845153 8043172 15862005 27120518 22523228 16102437 15105269 23344327 17323772 20024547 15487691 17201112 15608670; 2 17850012 26766494 24863940; 
43.16000000000004 0 11.321999999999967 1 28.499999999999908 2 3.33799999999997 0 33437822 19045839 14813714 31177882 17582384 7376382 24983519 22461427; 1 14328764 21093392 14167991 12389772 14451294 37975185 22242176 2384071 15184942 797018 16845153 8043172 15862005 27120518 22523228 16102437 15105269 23344327 17323772 20024547 17201112 15487691 15608670; 2 17850012 24863940 26766494; 
44.30600000000007 0 12.389999999999947 1 28.567999999999905 2 3.34799999999997 0 33437822 19045839 14813714 31177882 17582384 7376382 24983519 22461427 24208679; 1 14328764 21093392 14167991 12389772 14451294 37975185 22242176 2384071 15184942 797018 16845153 8043172 15862005 27120518 22523228 16102437 15105269 23344327 17323772 20024547 17201112 15487691 15608670; 2 17850012 24863940 26766494; 
45.408000000000015 0 12.497999999999939 1 29.58799999999998 2 3.3219999999999685 0 33437822 19045839 14813714 31177882 17582384 7376382 24983519 22461427 24208679; 1 14328764 21093392 14167991 12389772 14451294 37975185 22242176 2384071 15184942 797018 16845153 8043172 15862005 27120518 22523228 16102437 15105269 23344327 17323772 20024547 17201112 15487691 15608670 16462880; 2 17850012 24863940 26766494; 
46.62999999999997 0 12.501999999999947 1 30.72599999999996 2 3.4019999999999686 0 33437822 19045839 14813714 31177882 17582384 7376382 24983519 22461427 24208679; 1 14328764 21093392 14167991 12389772 14451294 37975185 22242176 2384071 15184942 797018 16845153 8043172 15862005 27120518 22523228 16102437 15105269 23344327 17323772 20024547 17201112 15487691 15608670 16462880 14785887; 2 17850012 24863940 26766494; 
48.31799999999997 0 12.699999999999958 1 32.25600000000004 2 3.3619999999999712 0 33437822 19045839 14813714 31177882 17582384 7376382 24983519 22461427 24208679; 1 14328764 21093392 14167991 12389772 14451294 37975185 22242176 2384071 15184942 797018 16845153 8043172 41773112 15076390 22523228 16102437 15105269 23344327 17323772 20024547 17201112 15487691 15608670 16462880 14785887 32949746; 2 17850012 24863940 26766494; 
49.32999999999988 0 12.68999999999995 1 33.28800000000002 2 3.3519999999999692 0 33437822 19045839 14813714 31177882 17582384 15572221 24983519 22461427 7376382; 1 14328764 21093392 14167991 12389772 14451294 37975185 22242176 2384071 15184942 797018 16845153 8043172 41773112 27120518 17486893 16102437 15105269 23344327 17323772 20024547 17201112 15487691 15608670 16462880 14785887 32949746 17173775; 2 17850012 24863940 26766494; 
51.151999999999866 0 13.951999999999941 1 33.736000000000004 2 3.4639999999999684 0 33437822 19045839 14813714 31177882 17582384 14720172 7376382 22461427 24983519 18843449; 1 14328764 21093392 14167991 12389772 14451294 37975185 22242176 2384071 15184942 797018 16845153 8043172 41773112 15076390 17486893 16102437 15105269 23344327 17323772 20024547 32949746 17173775 16462880 17201112 14785887 15608670 15487691; 2 17850012 26766494 24863940; 
