1.1560000000000008 0 0.06 1 1.0840000000000007 2 0.012 0 1 22523228; 2 
2.242000000000001 0 0.054000000000000006 1 2.158000000000001 2 0.030000000000000013 0 1 22523228 12389772; 2 
3.7919999999999696 0 0.2700000000000002 1 3.4779999999999696 2 0.044000000000000025 0 1 22523228 12389772 17173775; 2 
4.953999999999977 0 0.33400000000000024 1 4.571999999999985 2 0.04800000000000003 0 1 22523228 12389772 17173775 14167991; 2 
7.913999999999962 0 0.6280000000000004 1 7.169999999999962 2 0.11600000000000008 0 1 797018 12389772 17173775 2384071 37975185; 2 
9.011999999999977 0 1.7160000000000013 1 7.187999999999962 2 0.10800000000000008 0 14813714; 1 797018 12389772 17173775 2384071 37975185; 2 
13.143999999999947 0 4.6699999999999715 1 7.359999999999964 2 1.1140000000000008 0 22461427 14813714; 1 12389772 17173775 2384071 37975185; 2 17850012; 
14.319999999999954 0 4.749999999999982 1 8.457999999999961 2 1.1120000000000008 0 22461427 14813714; 1 12389772 17173775 2384071 37975185 19360333; 2 17850012; 
15.205999999999968 0 4.659999999999975 1 9.377999999999977 2 1.1680000000000008 0 22461427 14813714; 1 12389772 17173775 2384071 37975185 19360333 21494085; 2 17850012; 
16.095999999999968 0 4.769999999999972 1 10.221999999999973 2 1.1040000000000008 0 22461427 14813714; 1 12389772 17173775 19360333 2384071 21494085 37975185 18988350; 2 17850012; 
17.213999999999995 0 4.681999999999968 1 11.399999999999958 2 1.1320000000000008 0 22461427 14813714; 1 12389772 17173775 19360333 2384071 21494085 37975185 18988350 15307206; 2 17850012; 
18.559999999999995 0 4.877999999999971 1 12.535999999999962 2 1.1460000000000008 0 22461427 14813714; 1 12389772 17173775 19360333 2384071 21494085 37975185 18988350 15307206 8043172; 2 17850012; 
19.173999999999968 0 4.709999999999975 1 13.32199999999994 2 1.1420000000000008 0 22461427 14813714; 1 12389772 17173775 19360333 2384071 21494085 37975185 18988350 15307206 8043172 15862005; 2 17850012; 
20.518 0 4.817999999999968 1 14.55599999999997 2 1.1440000000000008 0 22461427 14813714; 1 12389772 17173775 19360333 2384071 21494085 37975185 18988350 15307206 8043172 15862005 22242176; 2 17850012; 
21.47599999999997 0 4.801999999999974 1 15.553999999999963 2 1.1200000000000008 0 22461427 14813714; 1 12389772 17173775 19360333 2384071 21494085 23135992 18988350 8043172 15862005 22242176 15307206 32949746; 2 17850012; 
22.855999999999966 0 4.831999999999977 1 15.877999999999979 2 2.146000000000001 0 22461427 14813714; 1 12389772 17173775 19360333 2384071 21494085 23135992 18988350 8043172 15862005 22242176 15307206 32949746; 2 17850012 24863940; 
23.78399999999997 0 4.801999999999974 1 16.849999999999984 2 2.132000000000001 0 22461427 14813714; 1 12389772 17173775 19360333 2384071 21494085 37975185 18988350 8043172 15862005 22242176 15307206 32949746 14785887; 2 17850012 24863940; 
24.985999999999958 0 4.713999999999971 1 19.116 2 1.1560000000000008 0 22461427 14813714; 1 12389772 17173775 19360333 2384071 21494085 20780856 37975185 18988350 8043172 15862005 22242176 15307206 32949746 14785887 37135242; 2 17850012; 
25.91799999999992 0 4.839999999999973 1 19.872000000000007 2 1.2060000000000008 0 22461427 14813714; 1 12389772 17173775 19360333 2384071 21494085 20780856 37975185 18988350 32949746 15307206 22242176 15862005 14785887 8043172 37135242 30864390; 2 17850012; 
26.543999999999947 0 4.641999999999975 1 20.66999999999998 2 1.2320000000000009 0 22461427 14813714; 1 12389772 17173775 19360333 2384071 21494085 20780856 37975185 18988350 32949746 15307206 22242176 15862005 14785887 16236786 37135242 30864390 14451294; 2 24863940; 
28.407999999999927 0 4.8299999999999725 1 22.409999999999968 2 1.1680000000000008 0 14334981 22461427; 1 12389772 22523228 17173775 19360333 2384071 21494085 20780856 37975185 18988350 32949746 15307206 22242176 15862005 14785887 16236786 37135242 30864390 14451294; 2 17850012; 
29.513999999999932 0 4.891999999999972 1 23.487999999999953 2 1.1340000000000008 0 14813714 22461427; 1 12389772 22523228 17173775 19360333 2384071 21494085 20780856 37975185 18988350 32949746 15307206 22242176 15862005 14785887 16236786 37135242 30864390 14451294 16813674; 2 17850012; 
30.445999999999955 0 4.801999999999971 1 24.477999999999934 2 1.1660000000000008 0 14813714 22461427; 1 12389772 22523228 17173775 19360333 2384071 21494085 20780856 37975185 18988350 32949746 15307206 22242176 15862005 14785887 16236786 37135242 30864390 14451294 16813674 22951944; 2 17850012; 
32.22399999999998 0 5.159999999999972 1 25.88199999999993 2 1.1820000000000008 0 14813714 22461427; 1 12389772 22523228 17173775 19360333 2384071 21494085 20780856 37975185 18988350 32949746 15307206 22242176 15862005 14785887 16236786 37135242 30864390 14451294 16813674 22951944 23885448; 2 17850012; 
33.211999999999996 0 4.991999999999966 1 26.997999999999937 2 1.2220000000000009 0 14813714 22461427; 1 12389772 22523228 17173775 19360333 2384071 21494085 20780856 37975185 18988350 32949746 15307206 22242176 15862005 14785887 16236786 37135242 30864390 14451294 16813674 22951944 23885448 15105269; 2 17850012; 
34.856000000000066 0 5.155999999999976 1 28.46399999999995 2 1.2360000000000009 0 14813714 22461427; 1 12389772 22523228 17173775 19360333 2384071 21494085 20780856 37975185 18988350 32949746 15307206 22242176 15862005 14785887 16236786 37135242 30864390 14451294 16813674 22951944 23885448 15105269 15184942; 2 17850012; 
35.71600000000001 0 5.155999999999971 1 29.295999999999964 2 1.264000000000001 0 14813714 22461427; 1 12389772 22523228 17173775 19360333 2384071 21494085 20780856 37975185 18988350 32949746 15307206 22242176 15862005 14785887 16236786 37135242 30864390 15184942 23885448 22951944 14451294 15105269 16813674 14909369; 2 17850012; 
37.64000000000001 0 6.395999999999962 1 30.001999999999963 2 1.2420000000000009 0 20466461 14813714 22461427; 1 12389772 17486893 17173775 19360333 2384071 20780856 37975185 18988350 32949746 15307206 22242176 15862005 14785887 16236786 37135242 30864390 15184942 23885448 22951944 14451294 15105269 16813674 14909369 16102437; 2 17850012; 
38.80800000000007 0 6.623999999999965 1 30.92399999999998 2 1.260000000000001 0 14813714 7376382 22461427; 1 12389772 22523228 17173775 19360333 2384071 21494085 20780856 37975185 18988350 32949746 15307206 15862005 14785887 16236786 37135242 30864390 15184942 23885448 22951944 14451294 15105269 16813674 14909369 16102437 16494857; 2 17850012; 
40.02400000000006 0 6.419999999999971 1 30.385999999999957 2 3.217999999999967 0 20466461 14813714 22461427; 1 12389772 17486893 17173775 19360333 2384071 37975185 18988350 32949746 15307206 22242176 15862005 14785887 16236786 20086401 30864390 15184942 23885448 22951944 14451294 15105269 16813674 16102437 16494857 20780856; 2 17850012 24863940 13253992; 
41.36999999999998 0 6.545999999999968 1 31.58200000000001 2 3.241999999999969 0 20466461 14813714 22461427; 1 12389772 17486893 17173775 19360333 2384071 37975185 18988350 32949746 15307206 22242176 15862005 14785887 16236786 20086401 30864390 23885448 22951944 14451294 15105269 16102437 16813674 15184942 16494857 20780856 14097544; 2 17850012 24863940 13253992; 
41.61000000000008 0 6.295999999999959 1 32.04999999999999 2 3.2639999999999674 0 18162730 14813714 22461427; 1 12389772 22523228 19360333 2384071 21494085 37975185 18988350 32949746 15307206 22242176 15862005 14785887 16236786 20086401 30864390 23885448 22951944 14451294 15105269 16102437 16813674 15184942 16494857 20780856 14097544 15076390; 2 17850012 24863940 13253992; 
40.46600000000001 0 6.73599999999997 1 31.51799999999999 2 2.211999999999999 0 18162730 14813714 22461427 18888190; 1 12389772 22523228 19360333 14167991 21494085 37975185 18988350 32949746 15307206 22242176 15862005 14785887 16236786 37135242 30864390 21093392 16813674 22951944 14451294 15105269 16102437 15184942 16494857 20780856 14909369 23885448 14097544; 2 17850012 24863940; 
41.46000000000005 0 6.717999999999964 1 30.561999999999948 2 4.1799999999999935 0 18162730 20466461 14813714 22461427; 1 12389772 22523228 19360333 14167991 37975185 18988350 32949746 15307206 22242176 15862005 14785887 16236786 20086401 30864390 21093392 16813674 22951944 14451294 15105269 16102437 15184942 16494857 20780856 23885448 14097544 22463905; 2 17850012 24863940 13253992 30702406; 
42.720000000000034 0 6.949999999999967 1 31.57 2 4.199999999999991 0 14813714 20466461 22461427 18162730; 1 22523228 16236786 21093392 19360333 14097544 16813674 37975185 12389772 22951944 22242176 14167991 20780856 30864390 15777354 16102437 15184942 15307206 14451294 15105269 32949746 20086401 16494857 14785887 23885448 15862005 18988350 22463905; 2 24863940 17850012 30702406 13253992; 
44.585999999999956 0 7.007999999999964 1 33.32400000000001 2 4.253999999999992 0 14813714 20466461 22461427 18162730; 1 22523228 16236786 21093392 19360333 14097544 16431844 37975185 12389772 22951944 22242176 14167991 20780856 30864390 15777354 16102437 15184942 15307206 14451294 15105269 32949746 20086401 16494857 14785887 23885448 15862005 18988350 22463905 23344327; 2 24863940 17850012 30702406 13253992; 
45.35000000000004 0 6.889999999999967 1 34.208000000000034 2 4.251999999999994 0 14813714 20466461 22461427 18162730; 1 22523228 16236786 21093392 19360333 14097544 16431844 37975185 12389772 22951944 22242176 14167991 20780856 30864390 15777354 16102437 15184942 15307206 14451294 15105269 32949746 20086401 16494857 14785887 23885448 15862005 18988350 22463905 23344327 14160956; 2 24863940 17850012 30702406 13253992; 
48.08599999999997 0 7.369999999999966 1 36.48000000000005 2 4.235999999999992 0 14813714 20466461 22461427 18162730; 1 22523228 16236786 21093392 19360333 14097544 16431844 37975185 12389772 22951944 22242176 14167991 20780856 30864390 15777354 16102437 2384071 15184942 15307206 14451294 15105269 32949746 20086401 16494857 14785887 23885448 15862005 18988350 22463905 23344327 14160956; 2 24863940 17850012 13253992 30702406; 
49.06599999999994 0 8.267999999999969 1 36.542000000000016 2 4.255999999999991 0 14813714 20466461 22461427 18162730 15305959; 1 22523228 16236786 21093392 19360333 14097544 16431844 37975185 12389772 22951944 22242176 14167991 20780856 30864390 15777354 16102437 2384071 15184942 15307206 14451294 15105269 32949746 20086401 16494857 14785887 23885448 15862005 18988350 22463905 23344327 14160956; 2 24863940 17850012 13253992 30702406; 
50.54599999999989 0 8.375999999999975 1 37.88400000000003 2 4.28599999999999 0 14813714 20466461 22461427 18162730 15305959; 1 22523228 16236786 21093392 19360333 14097544 16431844 37975185 12389772 22951944 22242176 14167991 20780856 30864390 15777354 16102437 2384071 15184942 15307206 14451294 15105269 32949746 20086401 16494857 14785887 23885448 15862005 18988350 22463905 23344327 14160956 16412744; 2 24863940 17850012 13253992 30702406; 
