1.1900000000000008 0 0.044000000000000004 1 1.1380000000000008 2 0.008 0 1 22523228; 2 
2.198000000000001 0 0.028000000000000004 1 2.1500000000000012 2 0.020000000000000004 0 1 22523228 12389772; 2 
3.319999999999966 0 0.07000000000000002 1 3.213999999999966 2 0.03600000000000002 0 1 22523228 12389772 14167991; 2 
4.275999999999998 0 1.0540000000000007 1 3.1939999999999653 2 0.02800000000000001 0 18162730; 1 797018 12389772 14167991; 2 
5.959999999999942 0 1.310000000000001 1 4.605999999999984 2 0.044000000000000025 0 14813714; 1 14167991 17173775 797018 12389772; 2 
8.889999999999974 0 1.7560000000000013 1 7.051999999999954 2 0.08200000000000005 0 14813714; 1 2384071 17173775 797018 12389772 37975185; 2 
11.183999999999964 0 1.9840000000000015 1 8.071999999999967 2 1.1280000000000008 0 14813714; 1 2384071 17173775 797018 12389772 37975185; 2 17850012; 
14.479999999999967 0 4.757999999999973 1 8.581999999999969 2 1.1400000000000008 0 22461427 14813714; 1 2384071 17173775 12389772 37975185 14785887; 2 17850012; 
15.703999999999965 0 4.661999999999975 1 9.869999999999967 2 1.1720000000000008 0 22461427 14813714; 1 2384071 17173775 12389772 37975185 14785887 16102437; 2 17850012; 
17.03199999999997 0 4.84199999999997 1 10.997999999999971 2 1.1920000000000008 0 22461427 14813714; 1 2384071 17173775 12389772 37975185 14785887 16102437 19360333; 2 17850012; 
18.10599999999997 0 4.9799999999999764 1 11.945999999999952 2 1.1800000000000008 0 22461427 14813714; 1 2384071 17173775 12389772 37975185 14785887 16102437 19360333 21494085; 2 17850012; 
19.86999999999997 0 4.951999999999974 1 13.771999999999952 2 1.1460000000000008 0 22461427 14813714; 1 2384071 17173775 12389772 37975185 14785887 16102437 16004411 21494085 8043172; 2 17850012; 
20.651999999999997 0 4.8239999999999785 1 14.671999999999967 2 1.1560000000000008 0 22461427 14813714; 1 2384071 17173775 12389772 21494085 16004411 16102437 14785887 37975185 8043172 15862005; 2 17850012; 
21.603999999999974 0 4.837999999999973 1 14.587999999999955 2 2.178 0 22461427 14813714; 1 2384071 17173775 12389772 21494085 16004411 16102437 14785887 37975185 8043172 15862005; 2 17850012 24863940; 
22.869999999999965 0 5.05199999999997 1 15.647999999999964 2 2.1700000000000004 0 14813714 22461427; 1 2384071 17173775 22523228 12389772 21494085 16004411 16102437 14785887 37975185 8043172 15862005; 2 17850012 24863940; 
23.745999999999942 0 4.997999999999974 1 16.588 2 2.1600000000000006 0 14813714 22461427; 1 2384071 17173775 22523228 12389772 21494085 16004411 16102437 14785887 37975185 8043172 15862005 18988350; 2 17850012 24863940; 
25.15799999999994 0 5.079999999999972 1 17.869999999999983 2 2.2079999999999993 0 14813714 22461427; 1 2384071 17173775 22523228 12389772 21494085 16004411 16102437 14785887 37975185 8043172 15862005 18988350 16494857; 2 17850012 24863940; 
26.241999999999923 0 5.051999999999978 1 18.985999999999972 2 2.2039999999999997 0 14813714 22461427; 1 2384071 17173775 22523228 12389772 21494085 16004411 16102437 14785887 37975185 8043172 15862005 18988350 16494857 16813674; 2 17850012 24863940; 
